Jordan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
88,1888,-0.0009677419354839345,-0.18,0.01,-0.02,0.05,-0.01
89,1889,0.1790322580645161,-0.18,0.01,-0.02,0.05,-0.01
90,1890,-0.13096774193548394,-0.18,0.01,-0.02,0.05,-0.01
91,1891,-0.040967741935483915,-0.19,0.01,-0.02,0.05,-0.01
92,1892,0.19903225806451608,-0.2,0.02,-0.02,0.05,-0.0
93,1893,-0.40096774193548396,-0.21,0.03,-0.01,0.06,0.01
94,1894,-0.7609677419354839,-0.21,0.04,0.0,0.07,0.02
95,1895,-0.42096774193548386,-0.2,0.05,0.01,0.07,0.03
96,1896,-0.19096774193548388,-0.19,0.06,0.02,0.08,0.03
97,1897,-0.640967741935484,-0.18,0.06,0.02,0.08,0.03
98,1898,-0.24096774193548393,-0.18,0.06,0.02,0.07,0.03
99,1899,0.019032258064516083,-0.17,0.05,0.01,0.06,0.02
100,1900,0.3390322580645161,-0.17,0.04,-0.0,0.05,0.01
101,1901,0.8490322580645161,-0.16,0.03,-0.01,0.04,0.0
102,1902,0.43903225806451607,-0.16,0.02,-0.02,0.03,-0.01
103,1903,-0.3509677419354839,-0.17,0.01,-0.03,0.02,-0.02
104,1904,-0.3609677419354839,-0.19,0.0,-0.04,0.01,-0.03
105,1905,-0.41096774193548397,-0.23,-0.01,-0.05,0.01,-0.04
106,1906,-0.0009677419354839345,-0.28,-0.02,-0.06,-0.0,-0.05
107,1907,-0.7109677419354841,-0.33,-0.03,-0.06,-0.01,-0.05
108,1908,-0.4809677419354839,-0.37,-0.03,-0.07,-0.01,-0.06
109,1909,0.5190322580645161,-0.37,-0.03,-0.07,-0.01,-0.06
110,1910,-0.4809677419354839,-0.36,-0.03,-0.07,-0.01,-0.06
111,1911,-0.8209677419354839,-0.33,-0.03,-0.06,-0.01,-0.05
112,1912,-0.18096774193548387,-0.3,-0.02,-0.05,0.0,-0.04
113,1913,-0.7909677419354839,-0.27,-0.01,-0.04,0.02,-0.03
114,1914,-0.4909677419354839,-0.24,0.01,-0.02,0.03,-0.01
115,1915,0.2190322580645161,-0.21,0.02,-0.01,0.05,0.0
116,1916,0.3590322580645161,-0.17,0.04,0.01,0.06,0.02
117,1917,0.06903225806451607,-0.12,0.05,0.02,0.08,0.03
118,1918,-0.27096774193548395,-0.06,0.06,0.03,0.09,0.05
119,1919,0.19903225806451608,-0.01,0.08,0.05,0.1,0.06
120,1920,-0.5009677419354839,0.04,0.09,0.06,0.11,0.07
121,1921,-0.5509677419354839,0.08,0.1,0.07,0.13,0.08
122,1922,0.3590322580645161,0.11,0.11,0.08,0.14,0.1
123,1923,0.37903225806451607,0.14,0.13,0.1,0.15,0.11
124,1924,0.2890322580645161,0.18,0.13,0.1,0.15,0.12
125,1925,0.12903225806451607,0.22,0.14,0.11,0.16,0.12
126,1926,0.07903225806451608,0.26,0.15,0.12,0.16,0.13
127,1927,0.4490322580645161,0.28,0.15,0.12,0.17,0.13
128,1928,0.6090322580645161,0.3,0.15,0.12,0.17,0.13
129,1929,0.22903225806451608,0.31,0.16,0.12,0.17,0.14
130,1930,0.649032258064516,0.33,0.16,0.13,0.17,0.14
131,1931,0.29903225806451605,0.36,0.16,0.13,0.18,0.14
132,1932,0.0990322580645161,0.38,0.17,0.13,0.18,0.14
133,1933,-0.3209677419354839,0.39,0.17,0.14,0.18,0.15
134,1934,0.2490322580645161,0.4,0.18,0.14,0.19,0.15
135,1935,0.7890322580645162,0.41,0.18,0.15,0.19,0.16
136,1936,0.669032258064516,0.41,0.18,0.15,0.19,0.16
137,1937,0.8590322580645161,0.41,0.19,0.15,0.19,0.16
138,1938,-0.010967741935483888,0.41,0.19,0.16,0.2,0.16
139,1939,0.5090322580645161,0.4,0.19,0.16,0.2,0.17
140,1940,0.4690322580645161,0.38,0.2,0.16,0.2,0.17
141,1941,0.649032258064516,0.35,0.2,0.16,0.2,0.17
142,1942,0.3490322580645161,0.3,0.2,0.17,0.2,0.17
143,1943,-0.05096774193548392,0.26,0.2,0.17,0.2,0.18
144,1944,0.22903225806451608,0.23,0.2,0.17,0.2,0.18
145,1945,-0.3309677419354839,0.22,0.2,0.17,0.2,0.18
146,1946,0.31903225806451607,0.23,0.2,0.16,0.19,0.18
147,1947,1.089032258064516,0.24,0.2,0.16,0.19,0.18
148,1948,-0.40096774193548396,0.26,0.2,0.16,0.19,0.17
149,1949,-0.670967741935484,0.29,0.2,0.16,0.19,0.17
150,1950,0.1790322580645161,0.32,0.2,0.16,0.2,0.17
151,1951,0.8090322580645161,0.36,0.2,0.16,0.2,0.18
152,1952,0.889032258064516,0.39,0.21,0.17,0.2,0.18
153,1953,-0.11096774193548392,0.43,0.21,0.17,0.21,0.18
154,1954,0.5890322580645161,0.46,0.21,0.17,0.21,0.18
155,1955,1.0790322580645162,0.49,0.21,0.16,0.21,0.18
156,1956,0.2490322580645161,0.52,0.2,0.16,0.2,0.17
157,1957,0.30903225806451606,0.54,0.19,0.15,0.2,0.17
158,1958,0.7690322580645161,0.55,0.18,0.15,0.19,0.16
159,1959,-0.3409677419354839,0.56,0.18,0.14,0.18,0.15
160,1960,1.219032258064516,0.57,0.17,0.13,0.18,0.14
161,1961,0.0390322580645161,0.58,0.16,0.12,0.17,0.14
162,1962,1.389032258064516,0.58,0.15,0.12,0.16,0.13
163,1963,1.0690322580645162,0.57,0.14,0.11,0.15,0.12
164,1964,-0.26096774193548394,0.57,0.13,0.1,0.14,0.11
165,1965,0.4990322580645161,0.54,0.12,0.09,0.13,0.11
166,1966,1.109032258064516,0.5,0.11,0.09,0.12,0.1
167,1967,-0.690967741935484,0.45,0.1,0.08,0.12,0.09
168,1968,0.2690322580645161,0.39,0.1,0.07,0.11,0.08
169,1969,0.7290322580645161,0.33,0.09,0.07,0.11,0.08
170,1970,0.4090322580645161,0.26,0.09,0.07,0.11,0.08
171,1971,-0.0909677419354839,0.22,0.09,0.07,0.11,0.08
172,1972,-0.29096774193548386,0.18,0.1,0.08,0.12,0.09
173,1973,0.20903225806451609,0.17,0.11,0.09,0.13,0.1
174,1974,0.0390322580645161,0.17,0.12,0.1,0.14,0.11
175,1975,-0.12096774193548393,0.18,0.13,0.11,0.15,0.12
176,1976,-0.15096774193548396,0.18,0.14,0.12,0.16,0.13
177,1977,0.3690322580645161,0.18,0.15,0.14,0.17,0.14
178,1978,0.5590322580645161,0.18,0.16,0.15,0.18,0.16
179,1979,1.0690322580645162,0.19,0.18,0.16,0.2,0.17
180,1980,0.4190322580645161,0.21,0.2,0.18,0.21,0.19
181,1981,0.3690322580645161,0.23,0.22,0.2,0.24,0.21
182,1982,-0.5109677419354839,0.26,0.24,0.23,0.26,0.23
183,1983,-0.4609677419354839,0.27,0.27,0.25,0.29,0.26
184,1984,-0.13096774193548394,0.28,0.3,0.28,0.31,0.29
185,1985,0.4590322580645161,0.28,0.33,0.31,0.34,0.31
186,1986,0.3890322580645161,0.29,0.35,0.34,0.37,0.34
187,1987,0.5090322580645161,0.32,0.38,0.37,0.4,0.37
188,1988,0.4090322580645161,0.36,0.42,0.4,0.43,0.4
189,1989,0.2690322580645161,0.42,0.45,0.43,0.47,0.44
190,1990,0.5290322580645161,0.47,0.48,0.47,0.5,0.47
191,1991,0.5190322580645161,0.52,0.52,0.51,0.54,0.51
192,1992,-0.7309677419354839,0.57,0.56,0.54,0.58,0.55
193,1993,0.3290322580645161,0.62,0.6,0.59,0.62,0.59
194,1994,0.869032258064516,0.67,0.64,0.63,0.66,0.63
195,1995,0.4890322580645161,0.72,0.68,0.67,0.7,0.67
196,1996,1.0790322580645162,0.77,0.72,0.71,0.75,0.71
197,1997,0.07903225806451608,0.82,0.76,0.75,0.78,0.75
198,1998,1.469032258064516,0.85,0.8,0.79,0.82,0.79
199,1999,1.2790322580645161,0.87,0.84,0.83,0.86,0.83
200,2000,0.6190322580645161,0.89,0.89,0.87,0.9,0.87
201,2001,1.2990322580645162,0.91,0.93,0.91,0.95,0.92
202,2002,0.9390322580645161,0.92,0.97,0.95,0.99,0.96
203,2003,0.8290322580645161,0.92,1.01,0.99,1.03,1.0
204,2004,0.8390322580645161,0.92,1.05,1.03,1.07,1.04
205,2005,0.7190322580645161,0.92,1.09,1.07,1.1,1.08
206,2006,0.7090322580645161,0.93,1.13,1.11,1.14,1.12
207,2007,0.9990322580645161,0.96,1.17,1.15,1.18,1.15
208,2008,1.119032258064516,1.0,1.2,1.18,1.21,1.19
209,2009,1.0190322580645161,1.05,1.23,1.22,1.24,1.23
210,2010,2.829032258064516,1.12,1.27,1.26,1.28,1.26
211,2011,0.5990322580645161,1.19,1.3,1.29,1.31,1.29
212,2012,1.469032258064516,1.28,1.33,1.33,1.34,1.33
213,2013,1.149032258064516,1.36,1.37,1.37,1.37,1.37
214,2014,1.429032258064516,1.44,1.41,1.41,1.41,1.41
215,2015,1.4990322580645161,1.53,1.45,1.46,1.44,1.45
216,2016,1.879032258064516,1.61,1.48,1.49,1.47,1.48
217,2017,1.589032258064516,1.7,1.52,1.53,1.5,1.52
218,2018,2.1790322580645163,1.78,1.55,1.57,1.54,1.56
219,2019,1.559032258064516,1.87,1.59,1.6,1.57,1.6
220,2020,1.969032258064516,1.96,1.63,1.64,1.6,1.65
221,2021,,,1.66,1.67,1.64,1.69
222,2022,,,1.7,1.71,1.67,1.73
223,2023,,,1.74,1.74,1.71,1.78
224,2024,,,1.77,1.77,1.74,1.82
225,2025,,,1.81,1.8,1.78,1.87
226,2026,,,1.84,1.83,1.82,1.91
227,2027,,,1.88,1.86,1.86,1.96
228,2028,,,1.91,1.89,1.9,2.0
229,2029,,,1.94,1.92,1.94,2.05
230,2030,,,1.96,1.95,1.97,2.09
231,2031,,,1.99,1.97,2.01,2.13
232,2032,,,2.01,2.0,2.05,2.17
233,2033,,,2.03,2.02,2.08,2.21
234,2034,,,2.04,2.05,2.11,2.25
235,2035,,,2.06,2.08,2.15,2.3
236,2036,,,2.08,2.1,2.19,2.34
237,2037,,,2.09,2.13,2.23,2.39
238,2038,,,2.11,2.17,2.27,2.44
239,2039,,,2.13,2.2,2.3,2.49
240,2040,,,2.15,2.23,2.35,2.55
241,2041,,,2.17,2.26,2.39,2.6
242,2042,,,2.19,2.29,2.43,2.65
243,2043,,,2.2,2.32,2.47,2.71
244,2044,,,2.22,2.35,2.51,2.76
245,2045,,,2.23,2.38,2.56,2.82
246,2046,,,2.25,2.41,2.61,2.88
247,2047,,,2.27,2.44,2.65,2.93
248,2048,,,2.28,2.47,2.7,2.99
249,2049,,,2.29,2.49,2.74,3.04
250,2050,,,2.3,2.52,2.78,3.1
251,2051,,,2.31,2.56,2.82,3.16
252,2052,,,2.32,2.58,2.86,3.21
253,2053,,,2.33,2.6,2.9,3.27
254,2054,,,2.33,2.63,2.94,3.33
255,2055,,,2.34,2.65,2.98,3.38
256,2056,,,2.34,2.68,3.02,3.43
257,2057,,,2.34,2.7,3.06,3.5
258,2058,,,2.34,2.73,3.1,3.55
259,2059,,,2.34,2.75,3.14,3.61
260,2060,,,2.33,2.78,3.18,3.66
261,2061,,,2.33,2.8,3.22,3.72
262,2062,,,2.33,2.83,3.27,3.78
263,2063,,,2.32,2.85,3.31,3.85
264,2064,,,2.32,2.87,3.36,3.91
265,2065,,,2.32,2.9,3.41,3.96
266,2066,,,2.32,2.92,3.46,4.03
267,2067,,,2.31,2.94,3.51,4.09
268,2068,,,2.31,2.96,3.55,4.15
269,2069,,,2.31,2.98,3.6,4.21
270,2070,,,2.3,3.0,3.64,4.27
271,2071,,,2.3,3.02,3.68,4.33
272,2072,,,2.29,3.04,3.73,4.39
273,2073,,,2.29,3.06,3.78,4.45
274,2074,,,2.29,3.08,3.82,4.51
275,2075,,,2.29,3.1,3.87,4.57
276,2076,,,2.28,3.11,3.92,4.63
277,2077,,,2.28,3.14,3.97,4.7
278,2078,,,2.28,3.15,4.01,4.76
279,2079,,,2.27,3.17,4.06,4.83
280,2080,,,2.27,3.18,4.11,4.9
281,2081,,,2.26,3.19,4.15,4.96
282,2082,,,2.26,3.21,4.2,5.03
283,2083,,,2.25,3.23,4.25,5.1
284,2084,,,2.25,3.24,4.3,5.16
285,2085,,,2.24,3.26,4.35,5.23
286,2086,,,2.23,3.27,4.41,5.3
287,2087,,,2.22,3.29,4.46,5.37
288,2088,,,2.21,3.31,4.51,5.44
289,2089,,,2.2,3.32,4.56,5.51
290,2090,,,2.2,3.33,4.61,5.58
291,2091,,,2.19,3.34,4.66,5.65
292,2092,,,2.18,3.35,4.71,5.72
293,2093,,,2.17,3.36,4.76,5.79
294,2094,,,2.16,3.37,4.81,5.86
295,2095,,,2.15,3.39,4.86,5.92
296,2096,,,2.14,3.4,4.91,5.99
297,2097,,,2.13,3.41,4.96,6.06
298,2098,,,2.12,3.41,5.0,6.12
299,2099,,,2.11,3.42,5.05,6.18
300,2100,,,2.11,3.43,5.1,6.26
