Gambia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
109,1909,-0.10500000000000004,0.11,0.29,0.28,0.29,0.29
110,1910,0.20499999999999996,0.12,0.3,0.29,0.29,0.29
111,1911,0.17499999999999996,0.12,0.31,0.29,0.3,0.3
112,1912,0.37499999999999994,0.12,0.31,0.3,0.31,0.31
113,1913,0.575,0.12,0.32,0.31,0.32,0.32
114,1914,0.16499999999999995,0.12,0.33,0.32,0.33,0.33
115,1915,0.32499999999999996,0.12,0.34,0.33,0.34,0.34
116,1916,-0.05500000000000005,0.12,0.35,0.34,0.34,0.35
117,1917,-0.35500000000000004,0.12,0.35,0.34,0.35,0.35
118,1918,-0.23500000000000004,0.12,0.36,0.35,0.35,0.36
119,1919,0.13499999999999995,0.12,0.37,0.36,0.36,0.37
120,1920,-0.00500000000000006,0.13,0.38,0.37,0.37,0.38
121,1921,0.24499999999999997,0.15,0.39,0.38,0.38,0.39
122,1922,0.19499999999999995,0.16,0.4,0.39,0.38,0.39
123,1923,0.39499999999999996,0.18,0.4,0.39,0.39,0.4
124,1924,0.23499999999999996,0.2,0.41,0.4,0.4,0.41
125,1925,0.26499999999999996,0.21,0.42,0.41,0.41,0.42
126,1926,0.7949999999999999,0.22,0.42,0.42,0.41,0.42
127,1927,0.19499999999999995,0.23,0.43,0.42,0.42,0.43
128,1928,0.004999999999999949,0.23,0.44,0.43,0.43,0.44
129,1929,-0.08500000000000002,0.23,0.44,0.44,0.43,0.44
130,1930,-0.175,0.22,0.45,0.44,0.44,0.45
131,1931,0.5549999999999999,0.22,0.46,0.45,0.45,0.46
132,1932,0.365,0.22,0.47,0.46,0.46,0.47
133,1933,0.415,0.24,0.47,0.47,0.46,0.47
134,1934,0.004999999999999949,0.26,0.48,0.48,0.47,0.48
135,1935,0.17499999999999996,0.29,0.49,0.48,0.48,0.49
136,1936,0.39499999999999996,0.31,0.5,0.49,0.49,0.5
137,1937,0.37499999999999994,0.33,0.51,0.5,0.5,0.51
138,1938,0.37499999999999994,0.34,0.52,0.51,0.51,0.51
139,1939,0.15499999999999997,0.36,0.52,0.51,0.52,0.52
140,1940,0.39499999999999996,0.37,0.53,0.52,0.52,0.53
141,1941,0.715,0.38,0.53,0.53,0.53,0.53
142,1942,0.39499999999999996,0.39,0.54,0.53,0.54,0.54
143,1943,0.11499999999999994,0.38,0.55,0.54,0.55,0.54
144,1944,0.615,0.37,0.55,0.55,0.55,0.55
145,1945,0.715,0.35,0.55,0.55,0.56,0.55
146,1946,0.22499999999999995,0.32,0.56,0.56,0.56,0.56
147,1947,0.345,0.29,0.56,0.56,0.57,0.56
148,1948,0.12499999999999994,0.25,0.56,0.56,0.57,0.56
149,1949,0.345,0.22,0.57,0.57,0.58,0.57
150,1950,0.05499999999999994,0.2,0.57,0.57,0.58,0.57
151,1951,0.09499999999999997,0.18,0.58,0.57,0.58,0.57
152,1952,-0.09500000000000003,0.16,0.58,0.58,0.59,0.58
153,1953,0.12499999999999994,0.16,0.59,0.58,0.59,0.58
154,1954,0.09499999999999997,0.16,0.59,0.59,0.59,0.59
155,1955,0.30499999999999994,0.18,0.6,0.6,0.6,0.6
156,1956,0.08499999999999996,0.2,0.6,0.6,0.6,0.6
157,1957,0.10499999999999998,0.23,0.61,0.6,0.6,0.6
158,1958,0.5449999999999999,0.26,0.61,0.6,0.6,0.6
159,1959,0.18499999999999997,0.29,0.61,0.6,0.6,0.6
160,1960,0.30499999999999994,0.31,0.6,0.6,0.6,0.6
161,1961,0.365,0.31,0.6,0.6,0.59,0.6
162,1962,0.505,0.32,0.6,0.6,0.59,0.6
163,1963,0.5349999999999999,0.33,0.6,0.6,0.59,0.59
164,1964,0.37499999999999994,0.34,0.6,0.6,0.59,0.59
165,1965,-0.025000000000000022,0.36,0.6,0.59,0.59,0.59
166,1966,0.485,0.38,0.59,0.59,0.59,0.59
167,1967,-0.12500000000000006,0.4,0.59,0.59,0.59,0.59
168,1968,0.004999999999999949,0.41,0.59,0.59,0.59,0.59
169,1969,1.075,0.42,0.59,0.59,0.59,0.59
170,1970,0.885,0.43,0.59,0.6,0.59,0.59
171,1971,0.25499999999999995,0.45,0.6,0.6,0.6,0.6
172,1972,0.655,0.49,0.61,0.61,0.61,0.61
173,1973,0.905,0.53,0.62,0.62,0.62,0.62
174,1974,-0.015000000000000013,0.58,0.63,0.64,0.64,0.63
175,1975,0.21499999999999997,0.63,0.65,0.65,0.65,0.65
176,1976,0.14499999999999996,0.66,0.67,0.67,0.67,0.66
177,1977,1.025,0.7,0.68,0.69,0.69,0.68
178,1978,0.635,0.73,0.7,0.7,0.71,0.7
179,1979,1.045,0.77,0.72,0.72,0.73,0.71
180,1980,1.115,0.8,0.73,0.74,0.75,0.73
181,1981,1.035,0.84,0.75,0.76,0.76,0.75
182,1982,0.5149999999999999,0.88,0.77,0.78,0.79,0.77
183,1983,1.525,0.91,0.79,0.8,0.81,0.79
184,1984,0.7849999999999999,0.93,0.81,0.82,0.83,0.81
185,1985,0.645,0.95,0.82,0.83,0.84,0.83
186,1986,0.665,0.96,0.84,0.85,0.86,0.84
187,1987,1.385,0.97,0.85,0.86,0.87,0.86
188,1988,1.015,0.98,0.86,0.87,0.88,0.87
189,1989,0.845,1.01,0.88,0.89,0.89,0.88
190,1990,1.345,1.04,0.9,0.9,0.91,0.9
191,1991,1.005,1.08,0.91,0.92,0.92,0.92
192,1992,1.035,1.12,0.94,0.94,0.94,0.94
193,1993,1.165,1.15,0.96,0.96,0.96,0.96
194,1994,0.875,1.17,0.98,0.98,0.99,0.98
195,1995,1.125,1.2,1.01,1.01,1.01,1.0
196,1996,1.425,1.22,1.03,1.03,1.03,1.03
197,1997,1.5050000000000001,1.24,1.05,1.05,1.05,1.05
198,1998,1.7550000000000001,1.26,1.08,1.08,1.08,1.07
199,1999,0.7649999999999999,1.29,1.1,1.1,1.1,1.1
200,2000,0.9749999999999999,1.31,1.13,1.13,1.13,1.13
201,2001,1.525,1.33,1.16,1.16,1.17,1.16
202,2002,1.545,1.34,1.19,1.2,1.2,1.19
203,2003,1.155,1.34,1.22,1.23,1.23,1.22
204,2004,1.2449999999999999,1.34,1.25,1.26,1.26,1.25
205,2005,1.625,1.35,1.28,1.29,1.29,1.28
206,2006,1.285,1.35,1.31,1.32,1.32,1.31
207,2007,1.425,1.36,1.34,1.34,1.35,1.34
208,2008,1.425,1.36,1.36,1.37,1.38,1.37
209,2009,0.9450000000000001,1.37,1.38,1.39,1.4,1.39
210,2010,1.735,1.38,1.41,1.42,1.42,1.41
211,2011,1.305,1.4,1.43,1.44,1.45,1.44
212,2012,1.2249999999999999,1.42,1.46,1.47,1.47,1.46
213,2013,1.415,1.45,1.49,1.49,1.5,1.49
214,2014,1.405,1.49,1.52,1.52,1.52,1.52
215,2015,1.295,1.53,1.56,1.55,1.55,1.55
216,2016,1.835,1.57,1.59,1.58,1.57,1.58
217,2017,1.855,1.62,1.62,1.6,1.6,1.61
218,2018,1.2349999999999999,1.66,1.64,1.63,1.62,1.64
219,2019,1.585,1.71,1.67,1.66,1.65,1.67
220,2020,2.085,1.75,1.7,1.69,1.67,1.7
221,2021,,,1.74,1.72,1.7,1.74
222,2022,,,1.77,1.75,1.72,1.78
223,2023,,,1.8,1.78,1.75,1.81
224,2024,,,1.83,1.81,1.77,1.85
225,2025,,,1.86,1.84,1.8,1.89
226,2026,,,1.89,1.87,1.83,1.92
227,2027,,,1.92,1.9,1.86,1.96
228,2028,,,1.95,1.93,1.89,2.0
229,2029,,,1.97,1.96,1.92,2.04
230,2030,,,2.0,1.99,1.95,2.08
231,2031,,,2.02,2.02,1.98,2.12
232,2032,,,2.05,2.04,2.02,2.15
233,2033,,,2.07,2.07,2.05,2.19
234,2034,,,2.09,2.1,2.08,2.23
235,2035,,,2.11,2.12,2.12,2.27
236,2036,,,2.12,2.15,2.16,2.31
237,2037,,,2.14,2.18,2.19,2.35
238,2038,,,2.16,2.21,2.23,2.39
239,2039,,,2.17,2.24,2.27,2.43
240,2040,,,2.18,2.26,2.31,2.48
241,2041,,,2.2,2.29,2.35,2.53
242,2042,,,2.21,2.32,2.39,2.58
243,2043,,,2.22,2.35,2.43,2.63
244,2044,,,2.23,2.37,2.47,2.68
245,2045,,,2.24,2.4,2.51,2.73
246,2046,,,2.25,2.42,2.55,2.77
247,2047,,,2.26,2.45,2.59,2.82
248,2048,,,2.27,2.48,2.63,2.87
249,2049,,,2.28,2.51,2.67,2.92
250,2050,,,2.29,2.54,2.71,2.97
251,2051,,,2.31,2.58,2.76,3.02
252,2052,,,2.31,2.61,2.8,3.07
253,2053,,,2.32,2.64,2.84,3.13
254,2054,,,2.33,2.67,2.89,3.18
255,2055,,,2.34,2.69,2.93,3.24
256,2056,,,2.35,2.72,2.97,3.29
257,2057,,,2.35,2.75,3.01,3.35
258,2058,,,2.36,2.78,3.05,3.41
259,2059,,,2.36,2.81,3.09,3.46
260,2060,,,2.37,2.83,3.13,3.51
261,2061,,,2.38,2.86,3.17,3.57
262,2062,,,2.38,2.88,3.21,3.63
263,2063,,,2.38,2.91,3.25,3.69
264,2064,,,2.38,2.93,3.29,3.75
265,2065,,,2.38,2.95,3.33,3.81
266,2066,,,2.38,2.97,3.38,3.87
267,2067,,,2.38,2.99,3.42,3.93
268,2068,,,2.38,3.01,3.47,3.99
269,2069,,,2.38,3.03,3.51,4.05
270,2070,,,2.38,3.05,3.55,4.11
271,2071,,,2.38,3.07,3.6,4.17
272,2072,,,2.37,3.09,3.65,4.22
273,2073,,,2.37,3.11,3.69,4.28
274,2074,,,2.37,3.13,3.74,4.35
275,2075,,,2.37,3.15,3.79,4.41
276,2076,,,2.37,3.17,3.84,4.47
277,2077,,,2.37,3.19,3.89,4.53
278,2078,,,2.37,3.21,3.93,4.59
279,2079,,,2.37,3.22,3.98,4.66
280,2080,,,2.36,3.24,4.02,4.72
281,2081,,,2.36,3.25,4.06,4.78
282,2082,,,2.36,3.27,4.1,4.84
283,2083,,,2.36,3.28,4.15,4.9
284,2084,,,2.36,3.29,4.19,4.96
285,2085,,,2.35,3.31,4.23,5.02
286,2086,,,2.35,3.32,4.27,5.08
287,2087,,,2.34,3.34,4.32,5.14
288,2088,,,2.33,3.35,4.37,5.2
289,2089,,,2.32,3.36,4.42,5.26
290,2090,,,2.31,3.38,4.47,5.32
291,2091,,,2.3,3.4,4.51,5.37
292,2092,,,2.29,3.41,4.56,5.43
293,2093,,,2.27,3.43,4.61,5.49
294,2094,,,2.26,3.44,4.66,5.54
295,2095,,,2.25,3.46,4.71,5.6
296,2096,,,2.24,3.47,4.76,5.65
297,2097,,,2.23,3.48,4.81,5.71
298,2098,,,2.22,3.5,4.86,5.76
299,2099,,,2.21,3.51,4.9,5.81
300,2100,,,2.2,3.53,4.96,5.87
