Romania,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.24000000000000002,0.63,,,,
1,1801,1.1600000000000001,0.52,,,,
2,1802,1.1,0.42,,,,
3,1803,-0.17999999999999994,0.32,,,,
4,1804,-0.02999999999999997,0.22,,,,
5,1805,-0.92,0.12,,,,
6,1806,0.65,0.02,,,,
7,1807,0.79,-0.08,,,,
8,1808,-0.85,-0.18,,,,
9,1809,-0.7100000000000001,-0.28,,,,
10,1810,-0.29999999999999993,-0.34,,,,
11,1811,0.28,-0.38,,,,
12,1812,-1.06,-0.4,,,,
13,1813,-0.7799999999999999,-0.41,,,,
14,1814,-0.64,-0.4,,,,
15,1815,-0.6900000000000001,-0.37,,,,
16,1816,-0.83,-0.32,,,,
17,1817,-0.16999999999999993,-0.25,,,,
18,1818,0.10000000000000003,-0.17,,,,
19,1819,0.16000000000000003,-0.08,,,,
20,1820,-0.32999999999999996,-0.0,,,,
21,1821,-0.009999999999999953,0.07,,,,
22,1822,0.74,0.1,,,,
23,1823,0.25,0.11,,,,
24,1824,1.21,0.1,,,,
25,1825,0.14,0.06,,,,
26,1826,0.21000000000000002,0.01,,,,
27,1827,0.65,-0.03,,,,
28,1828,-0.39,-0.08,,,,
29,1829,-1.5099999999999998,-0.13,,,,
30,1830,-0.31999999999999995,-0.2,,,,
31,1831,-0.44999999999999996,-0.27,,,,
32,1832,-1.5899999999999999,-0.34,,,,
33,1833,-0.08999999999999997,-0.4,,,,
34,1834,0.5700000000000001,-0.44,,,,
35,1835,-0.63,-0.45,,,,
36,1836,0.14,-0.44,,,,
37,1837,-0.91,-0.42,,,,
38,1838,-1.19,-0.4,,,,
39,1839,-0.24,-0.37,,,,
40,1840,-1.2599999999999998,-0.35,,,,
41,1841,0.64,-0.32,,,,
42,1842,-0.57,-0.3,,,,
43,1843,0.21000000000000002,-0.26,,,,
44,1844,-0.7699999999999999,-0.2,,,,
45,1845,-0.17999999999999994,-0.15,,,,
46,1846,0.9400000000000001,-0.09,,,,
47,1847,-0.65,-0.04,,,,
48,1848,0.68,-0.01,,,,
49,1849,-0.35,0.01,,,,
50,1850,-0.31999999999999995,0.02,0.43,0.42,0.54,0.41
51,1851,0.5700000000000001,0.02,0.44,0.43,0.54,0.42
52,1852,0.17000000000000004,0.01,0.44,0.44,0.54,0.43
53,1853,0.47000000000000003,0.01,0.45,0.44,0.54,0.44
54,1854,-0.14,0.0,0.46,0.45,0.54,0.44
55,1855,0.040000000000000036,0.0,0.46,0.45,0.54,0.45
56,1856,-0.27,0.0,0.47,0.46,0.54,0.46
57,1857,-0.29999999999999993,-0.01,0.48,0.47,0.54,0.47
58,1858,-1.2999999999999998,-0.02,0.48,0.47,0.54,0.48
59,1859,0.74,-0.03,0.49,0.48,0.54,0.48
60,1860,0.41000000000000003,-0.03,0.5,0.48,0.54,0.49
61,1861,-0.41999999999999993,-0.02,0.51,0.49,0.54,0.5
62,1862,-0.09999999999999998,0.0,0.51,0.49,0.54,0.5
63,1863,0.98,0.03,0.52,0.5,0.55,0.51
64,1864,-1.0299999999999998,0.04,0.53,0.51,0.55,0.52
65,1865,-0.17999999999999994,0.06,0.53,0.51,0.55,0.52
66,1866,0.46,0.08,0.53,0.51,0.56,0.52
67,1867,0.020000000000000018,0.08,0.53,0.51,0.55,0.52
68,1868,0.44000000000000006,0.08,0.53,0.51,0.55,0.51
69,1869,0.63,0.08,0.52,0.5,0.55,0.51
70,1870,-0.7499999999999999,0.09,0.52,0.5,0.55,0.5
71,1871,-0.87,0.08,0.51,0.49,0.54,0.5
72,1872,1.28,0.07,0.5,0.49,0.54,0.49
73,1873,0.8300000000000001,0.05,0.5,0.48,0.54,0.49
74,1874,5.551115123125783e-17,0.03,0.49,0.48,0.54,0.48
75,1875,-1.37,-0.0,0.48,0.47,0.54,0.48
76,1876,0.020000000000000018,-0.03,0.47,0.47,0.53,0.47
77,1877,0.030000000000000027,-0.06,0.45,0.45,0.52,0.45
78,1878,0.5900000000000001,-0.07,0.44,0.44,0.51,0.44
79,1879,-0.19999999999999996,-0.08,0.43,0.43,0.5,0.43
80,1880,-0.42999999999999994,-0.1,0.41,0.42,0.49,0.42
81,1881,-1.08,-0.11,0.4,0.41,0.49,0.41
82,1882,0.5900000000000001,-0.12,0.39,0.4,0.48,0.4
83,1883,-0.52,-0.13,0.38,0.39,0.47,0.39
