Turkey,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.09451612903225803,0.56,,,,
1,1801,0.745483870967742,0.43,,,,
2,1802,0.705483870967742,0.3,,,,
3,1803,-0.014516129032258018,0.18,,,,
4,1804,0.08548387096774196,0.05,,,,
5,1805,-0.20451612903225802,-0.07,,,,
6,1806,0.315483870967742,-0.19,,,,
7,1807,0.315483870967742,-0.31,,,,
8,1808,-0.834516129032258,-0.42,,,,
9,1809,-1.174516129032258,-0.54,,,,
10,1810,-0.8945161290322581,-0.63,,,,
11,1811,-0.9845161290322579,-0.71,,,,
12,1812,-1.154516129032258,-0.76,,,,
13,1813,-1.024516129032258,-0.8,,,,
14,1814,-0.554516129032258,-0.81,,,,
15,1815,-0.9345161290322581,-0.79,,,,
16,1816,-1.2145161290322581,-0.75,,,,
17,1817,-0.8745161290322581,-0.7,,,,
18,1818,-0.174516129032258,-0.64,,,,
19,1819,-0.564516129032258,-0.57,,,,
20,1820,-0.584516129032258,-0.51,,,,
21,1821,-0.37451612903225806,-0.45,,,,
22,1822,-0.6645161290322581,-0.41,,,,
23,1823,-0.054516129032258054,-0.37,,,,
24,1824,0.725483870967742,-0.34,,,,
25,1825,-0.424516129032258,-0.33,,,,
26,1826,-0.36451612903225805,-0.33,,,,
27,1827,0.695483870967742,-0.34,,,,
28,1828,-0.414516129032258,-0.35,,,,
29,1829,-0.5245161290322581,-0.38,,,,
30,1830,-0.08451612903225802,-0.41,,,,
31,1831,-0.604516129032258,-0.46,,,,
32,1832,-1.7345161290322582,-0.51,,,,
33,1833,-0.4045161290322581,-0.55,,,,
34,1834,-0.454516129032258,-0.59,,,,
35,1835,-0.844516129032258,-0.61,,,,
36,1836,-0.37451612903225806,-0.62,,,,
37,1837,-0.8945161290322581,-0.62,,,,
38,1838,-1.044516129032258,-0.6,,,,
39,1839,-0.6945161290322581,-0.57,,,,
40,1840,-1.014516129032258,-0.52,,,,
41,1841,-0.1545161290322581,-0.47,,,,
42,1842,-0.3945161290322581,-0.41,,,,
43,1843,-0.314516129032258,-0.35,,,,
44,1844,-0.564516129032258,-0.28,,,,
45,1845,-0.1545161290322581,-0.22,,,,
46,1846,0.365483870967742,-0.15,,,,
47,1847,0.06548387096774194,-0.1,,,,
48,1848,0.20548387096774196,-0.06,,,,
49,1849,-0.08451612903225802,-0.03,,,,
50,1850,-0.574516129032258,-0.03,0.11,0.07,0.12,0.09
51,1851,0.415483870967742,-0.03,0.12,0.08,0.13,0.1
52,1852,-0.09451612903225803,-0.03,0.13,0.09,0.14,0.11
53,1853,0.715483870967742,-0.04,0.13,0.09,0.14,0.11
