Burkina Faso,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
110,1910,0.37249999999999994,-0.08,0.17,0.15,0.17,0.16
111,1911,-0.8375,-0.04,0.18,0.16,0.18,0.17
112,1912,-0.04750000000000004,-0.01,0.19,0.17,0.19,0.18
113,1913,0.10249999999999992,0.01,0.2,0.18,0.2,0.19
114,1914,0.5625,0.03,0.21,0.19,0.21,0.2
115,1915,0.21249999999999994,0.04,0.21,0.2,0.21,0.21
116,1916,-0.25750000000000006,0.05,0.22,0.21,0.22,0.21
117,1917,0.07249999999999995,0.06,0.23,0.21,0.22,0.22
118,1918,-0.2875000000000001,0.08,0.23,0.22,0.22,0.22
119,1919,0.10249999999999992,0.09,0.24,0.22,0.23,0.23
120,1920,0.0024999999999999467,0.12,0.24,0.23,0.23,0.24
121,1921,0.16249999999999995,0.15,0.25,0.24,0.24,0.24
122,1922,0.30249999999999994,0.18,0.26,0.25,0.25,0.25
123,1923,0.22249999999999995,0.2,0.27,0.25,0.25,0.26
124,1924,0.37249999999999994,0.21,0.27,0.26,0.26,0.27
125,1925,0.3424999999999999,0.23,0.28,0.27,0.26,0.27
126,1926,0.5924999999999999,0.25,0.28,0.27,0.27,0.28
127,1927,-0.08750000000000008,0.26,0.29,0.28,0.27,0.28
128,1928,0.062499999999999944,0.26,0.29,0.28,0.28,0.29
129,1929,-0.01750000000000007,0.26,0.3,0.29,0.28,0.3
130,1930,0.37249999999999994,0.25,0.3,0.29,0.29,0.3
131,1931,0.5725,0.25,0.31,0.3,0.3,0.31
132,1932,0.31249999999999994,0.27,0.32,0.31,0.3,0.32
133,1933,0.27249999999999996,0.31,0.33,0.31,0.31,0.33
134,1934,0.16249999999999995,0.35,0.33,0.32,0.32,0.33
135,1935,0.23249999999999993,0.4,0.34,0.33,0.33,0.34
136,1936,0.0024999999999999467,0.44,0.35,0.33,0.34,0.35
137,1937,0.7525,0.48,0.35,0.34,0.34,0.35
138,1938,0.8125,0.51,0.36,0.35,0.35,0.35
139,1939,0.42249999999999993,0.54,0.36,0.35,0.35,0.36
140,1940,0.7324999999999999,0.56,0.37,0.36,0.36,0.36
141,1941,1.0025,0.58,0.37,0.36,0.37,0.37
142,1942,0.6525,0.58,0.38,0.37,0.37,0.38
143,1943,0.21249999999999994,0.57,0.39,0.38,0.38,0.38
144,1944,0.7024999999999999,0.55,0.39,0.39,0.39,0.39
145,1945,0.33249999999999996,0.52,0.4,0.39,0.4,0.4
146,1946,0.31249999999999994,0.49,0.41,0.4,0.41,0.41
147,1947,0.8825,0.45,0.42,0.41,0.42,0.42
148,1948,0.33249999999999996,0.42,0.42,0.42,0.43,0.42
149,1949,0.8125,0.39,0.43,0.43,0.44,0.43
150,1950,-0.007500000000000062,0.35,0.44,0.44,0.45,0.44
151,1951,0.5125,0.32,0.45,0.45,0.46,0.45
152,1952,0.21249999999999994,0.29,0.46,0.45,0.46,0.46
153,1953,0.20249999999999993,0.28,0.47,0.46,0.47,0.47
154,1954,0.13249999999999995,0.27,0.48,0.47,0.48,0.48
155,1955,0.052499999999999936,0.27,0.49,0.48,0.48,0.49
156,1956,0.21249999999999994,0.27,0.49,0.49,0.48,0.49
157,1957,0.16249999999999995,0.27,0.5,0.49,0.48,0.49
158,1958,0.6824999999999999,0.28,0.49,0.48,0.47,0.49
159,1959,0.5924999999999999,0.29,0.49,0.48,0.46,0.49
160,1960,0.33249999999999996,0.3,0.48,0.47,0.45,0.48
161,1961,0.03249999999999992,0.3,0.48,0.47,0.45,0.47
162,1962,0.18249999999999994,0.3,0.47,0.46,0.44,0.47
163,1963,0.6024999999999999,0.3,0.47,0.46,0.43,0.46
164,1964,0.22249999999999995,0.3,0.46,0.45,0.43,0.46
165,1965,0.07249999999999995,0.31,0.46,0.45,0.43,0.46
166,1966,0.40249999999999997,0.34,0.46,0.45,0.42,0.46
167,1967,0.09249999999999992,0.37,0.45,0.45,0.42,0.45
168,1968,0.27249999999999996,0.39,0.45,0.44,0.42,0.45
169,1969,0.8624999999999999,0.41,0.45,0.44,0.42,0.44
170,1970,0.6224999999999999,0.41,0.45,0.44,0.42,0.44
171,1971,0.37249999999999994,0.42,0.45,0.44,0.43,0.45
172,1972,0.5225,0.42,0.46,0.45,0.44,0.46
173,1973,0.9824999999999999,0.43,0.47,0.47,0.46,0.47
174,1974,0.15249999999999994,0.45,0.49,0.48,0.47,0.48
175,1975,0.052499999999999936,0.47,0.5,0.49,0.49,0.5
176,1976,-0.05750000000000005,0.48,0.51,0.51,0.5,0.51
177,1977,0.5125,0.5,0.52,0.52,0.52,0.52
178,1978,0.5924999999999999,0.54,0.53,0.53,0.53,0.54
179,1979,0.6525,0.59,0.55,0.55,0.55,0.55
180,1980,1.0125,0.65,0.56,0.56,0.56,0.57
181,1981,0.7024999999999999,0.71,0.58,0.58,0.58,0.58
182,1982,0.42249999999999993,0.76,0.6,0.6,0.6,0.6
183,1983,1.1324999999999998,0.79,0.62,0.62,0.63,0.62
184,1984,1.0025,0.8,0.63,0.64,0.65,0.64
185,1985,0.7625,0.81,0.65,0.66,0.66,0.66
186,1986,0.6124999999999999,0.81,0.67,0.67,0.68,0.67
187,1987,1.5124999999999997,0.81,0.68,0.68,0.69,0.68
188,1988,0.7825,0.8,0.69,0.69,0.7,0.69
189,1989,0.4624999999999999,0.8,0.7,0.71,0.71,0.7
190,1990,1.0525,0.8,0.71,0.72,0.73,0.72
191,1991,0.7625,0.82,0.73,0.74,0.74,0.73
192,1992,0.42249999999999993,0.84,0.76,0.76,0.77,0.76
193,1993,1.1025,0.87,0.78,0.79,0.79,0.78
194,1994,0.5325,0.9,0.81,0.81,0.82,0.8
195,1995,0.9824999999999999,0.93,0.83,0.84,0.84,0.83
196,1996,1.2625,0.96,0.86,0.86,0.86,0.85
197,1997,0.9724999999999999,0.99,0.88,0.88,0.88,0.87
198,1998,1.3824999999999998,1.03,0.9,0.9,0.91,0.89
199,1999,0.7725,1.09,0.92,0.93,0.93,0.92
200,2000,0.8925,1.13,0.95,0.96,0.96,0.95
201,2001,1.0025,1.18,0.99,0.99,1.0,0.98
202,2002,1.2825,1.21,1.02,1.02,1.03,1.01
203,2003,1.2825,1.23,1.05,1.06,1.06,1.05
204,2004,1.4525000000000001,1.26,1.09,1.09,1.1,1.08
205,2005,1.7125,1.28,1.12,1.12,1.13,1.12
206,2006,1.3525,1.3,1.14,1.15,1.16,1.15
207,2007,1.3125,1.31,1.17,1.18,1.19,1.18
208,2008,0.7324999999999999,1.29,1.19,1.21,1.21,1.2
209,2009,1.3125,1.27,1.21,1.23,1.24,1.23
210,2010,1.5124999999999997,1.26,1.23,1.25,1.26,1.25
211,2011,1.2525,1.25,1.26,1.27,1.28,1.27
212,2012,0.9325,1.25,1.28,1.29,1.3,1.29
213,2013,1.1524999999999999,1.27,1.31,1.32,1.32,1.32
214,2014,1.2325,1.29,1.34,1.34,1.35,1.35
215,2015,1.2425,1.31,1.38,1.37,1.37,1.37
216,2016,1.5625,1.33,1.41,1.4,1.39,1.4
217,2017,1.3824999999999998,1.36,1.44,1.42,1.41,1.43
218,2018,1.3624999999999998,1.38,1.47,1.45,1.43,1.45
219,2019,1.4125,1.4,1.5,1.47,1.46,1.48
220,2020,1.4125,1.43,1.53,1.5,1.48,1.51
221,2021,,,1.56,1.53,1.51,1.54
222,2022,,,1.59,1.56,1.53,1.57
223,2023,,,1.63,1.58,1.56,1.6
224,2024,,,1.66,1.62,1.58,1.63
225,2025,,,1.7,1.65,1.61,1.66
226,2026,,,1.74,1.68,1.63,1.69
227,2027,,,1.77,1.71,1.66,1.73
228,2028,,,1.8,1.75,1.69,1.77
229,2029,,,1.83,1.78,1.72,1.81
230,2030,,,1.86,1.8,1.75,1.84
231,2031,,,1.89,1.83,1.78,1.88
232,2032,,,1.91,1.85,1.82,1.91
233,2033,,,1.94,1.88,1.85,1.95
234,2034,,,1.96,1.9,1.88,1.98
235,2035,,,1.98,1.92,1.92,2.02
236,2036,,,1.99,1.95,1.95,2.06
237,2037,,,2.01,1.98,1.99,2.1
238,2038,,,2.02,2.0,2.03,2.14
239,2039,,,2.04,2.03,2.07,2.18
240,2040,,,2.05,2.06,2.1,2.23
241,2041,,,2.06,2.08,2.14,2.27
242,2042,,,2.07,2.11,2.18,2.32
243,2043,,,2.08,2.14,2.21,2.36
244,2044,,,2.09,2.17,2.25,2.41
245,2045,,,2.1,2.19,2.29,2.46
246,2046,,,2.11,2.22,2.33,2.5
247,2047,,,2.12,2.26,2.37,2.55
248,2048,,,2.13,2.29,2.4,2.6
249,2049,,,2.14,2.31,2.44,2.65
250,2050,,,2.15,2.35,2.48,2.7
251,2051,,,2.16,2.38,2.52,2.76
252,2052,,,2.17,2.41,2.56,2.82
253,2053,,,2.18,2.45,2.6,2.87
254,2054,,,2.18,2.48,2.65,2.93
255,2055,,,2.19,2.51,2.69,2.98
256,2056,,,2.19,2.54,2.73,3.04
257,2057,,,2.2,2.57,2.78,3.1
258,2058,,,2.2,2.59,2.82,3.16
259,2059,,,2.21,2.62,2.87,3.22
260,2060,,,2.21,2.65,2.91,3.27
261,2061,,,2.22,2.68,2.96,3.33
262,2062,,,2.22,2.7,3.0,3.39
263,2063,,,2.22,2.73,3.04,3.45
264,2064,,,2.22,2.76,3.09,3.51
265,2065,,,2.22,2.78,3.13,3.58
266,2066,,,2.22,2.8,3.18,3.64
267,2067,,,2.22,2.82,3.22,3.7
268,2068,,,2.22,2.84,3.26,3.75
269,2069,,,2.22,2.86,3.31,3.81
270,2070,,,2.21,2.88,3.35,3.87
271,2071,,,2.21,2.9,3.4,3.94
272,2072,,,2.21,2.93,3.45,4.0
273,2073,,,2.21,2.95,3.49,4.06
274,2074,,,2.21,2.98,3.54,4.13
275,2075,,,2.21,3.0,3.59,4.19
276,2076,,,2.21,3.01,3.64,4.26
277,2077,,,2.21,3.03,3.68,4.32
278,2078,,,2.21,3.05,3.72,4.39
279,2079,,,2.21,3.06,3.77,4.45
280,2080,,,2.21,3.08,3.82,4.52
281,2081,,,2.22,3.1,3.86,4.58
282,2082,,,2.22,3.11,3.91,4.64
283,2083,,,2.22,3.13,3.95,4.71
284,2084,,,2.21,3.15,4.0,4.78
285,2085,,,2.21,3.16,4.05,4.84
286,2086,,,2.2,3.18,4.09,4.9
287,2087,,,2.2,3.2,4.14,4.97
288,2088,,,2.18,3.21,4.19,5.03
289,2089,,,2.17,3.23,4.24,5.1
290,2090,,,2.16,3.24,4.29,5.17
291,2091,,,2.15,3.26,4.35,5.23
292,2092,,,2.13,3.28,4.4,5.3
293,2093,,,2.12,3.29,4.46,5.36
294,2094,,,2.11,3.31,4.51,5.42
295,2095,,,2.1,3.33,4.56,5.48
296,2096,,,2.09,3.34,4.62,5.55
297,2097,,,2.07,3.36,4.67,5.61
298,2098,,,2.06,3.37,4.72,5.67
299,2099,,,2.05,3.39,4.78,5.73
300,2100,,,2.04,3.4,4.83,5.8
