Honduras,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,-0.16774193548387095,0.0,,,,
26,1826,0.16225806451612906,-0.04,,,,
27,1827,0.582258064516129,-0.08,,,,
28,1828,-0.09774193548387089,-0.12,,,,
29,1829,-0.5077419354838708,-0.16,,,,
30,1830,0.23225806451612907,-0.2,,,,
31,1831,-0.477741935483871,-0.24,,,,
32,1832,-0.6077419354838709,-0.27,,,,
33,1833,-0.16774193548387095,-0.31,,,,
34,1834,-0.06774193548387086,-0.35,,,,
35,1835,-0.947741935483871,-0.39,,,,
36,1836,,,,,,
37,1837,-0.6377419354838709,-0.41,,,,
38,1838,-0.687741935483871,-0.42,,,,
39,1839,-0.3377419354838709,-0.41,,,,
40,1840,-0.30774193548387097,-0.4,,,,
41,1841,-0.5577419354838709,-0.38,,,,
42,1842,-0.26774193548387093,-0.35,,,,
43,1843,-0.08774193548387088,-0.31,,,,
44,1844,-0.7977419354838708,-0.26,,,,
45,1845,-0.7977419354838708,-0.21,,,,
46,1846,0.1322580645161291,-0.18,,,,
47,1847,-0.2277419354838709,-0.15,,,,
48,1848,-0.1077419354838709,-0.13,,,,
49,1849,0.28225806451612906,-0.12,,,,
50,1850,0.1522580645161291,-0.1,0.12,0.08,0.12,0.08
51,1851,-0.03774193548387095,-0.08,0.12,0.08,0.12,0.08
52,1852,-0.02774193548387094,-0.07,0.11,0.08,0.11,0.08
53,1853,-0.08774193548387088,-0.07,0.11,0.08,0.11,0.08
54,1854,-0.43774193548387097,-0.07,0.11,0.08,0.11,0.08
55,1855,-0.20774193548387088,-0.08,0.11,0.08,0.11,0.07
56,1856,-0.047741935483870956,-0.09,0.11,0.08,0.11,0.07
57,1857,-0.15774193548387094,-0.1,0.11,0.07,0.11,0.07
58,1858,0.18225806451612908,-0.12,0.11,0.07,0.1,0.07
59,1859,0.032258064516129115,-0.12,0.11,0.07,0.1,0.07
60,1860,-0.14774193548387093,-0.13,0.11,0.07,0.1,0.07
61,1861,-0.07774193548387087,-0.12,0.1,0.07,0.1,0.07
62,1862,-0.3777419354838709,-0.12,0.1,0.07,0.1,0.06
63,1863,-0.1077419354838709,-0.12,0.1,0.07,0.1,0.06
64,1864,-0.3477419354838709,-0.12,0.1,0.07,0.09,0.06
65,1865,-0.007741935483870921,-0.12,0.1,0.07,0.09,0.06
66,1866,-0.30774193548387097,-0.12,0.1,0.07,0.09,0.06
67,1867,0.1522580645161291,-0.11,0.1,0.07,0.1,0.06
68,1868,-0.26774193548387093,-0.09,0.1,0.07,0.1,0.06
69,1869,0.812258064516129,-0.08,0.1,0.07,0.1,0.06
70,1870,-0.06774193548387086,-0.05,0.11,0.07,0.1,0.07
71,1871,-0.03774193548387095,-0.03,0.11,0.08,0.11,0.07
72,1872,0.2122580645161291,-0.01,0.11,0.08,0.11,0.08
73,1873,-0.2377419354838709,0.01,0.12,0.08,0.11,0.08
74,1874,0.10225806451612907,0.03,0.12,0.09,0.12,0.08
75,1875,-0.06774193548387086,0.05,0.12,0.09,0.12,0.09
76,1876,0.002258064516129088,0.07,0.12,0.09,0.12,0.09
77,1877,0.35225806451612907,0.07,0.13,0.1,0.13,0.09
78,1878,0.8722580645161291,0.07,0.13,0.1,0.13,0.09
79,1879,-0.03774193548387095,0.06,0.13,0.09,0.12,0.09
80,1880,0.22225806451612906,0.04,0.12,0.09,0.12,0.09
81,1881,0.22225806451612906,0.03,0.12,0.09,0.12,0.08
82,1882,0.16225806451612906,0.01,0.12,0.09,0.12,0.08
83,1883,0.07225806451612904,-0.02,0.12,0.08,0.11,0.08
84,1884,-0.18774193548387097,-0.05,0.11,0.08,0.11,0.07
85,1885,-0.31774193548387086,-0.07,0.11,0.08,0.11,0.07
86,1886,-0.13774193548387093,-0.1,0.11,0.07,0.1,0.06
87,1887,-0.3477419354838709,-0.12,0.1,0.07,0.1,0.06
88,1888,-0.29774193548387096,-0.12,0.1,0.06,0.1,0.06
89,1889,0.16225806451612906,-0.12,0.09,0.06,0.09,0.05
90,1890,-0.6377419354838709,-0.1,0.09,0.06,0.09,0.05
91,1891,0.2022580645161291,-0.07,0.09,0.06,0.1,0.05
92,1892,-0.42774193548387096,-0.02,0.1,0.07,0.1,0.06
