Central African Republic,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
113,1913,0.31999999999999995,-0.01,0.46,0.47,0.5,0.47
114,1914,1.0699999999999998,0.01,0.47,0.48,0.51,0.48
115,1915,0.64,0.03,0.48,0.48,0.52,0.48
116,1916,-0.10999999999999999,0.05,0.48,0.49,0.52,0.49
117,1917,-0.08999999999999997,0.08,0.49,0.49,0.52,0.49
118,1918,-0.050000000000000044,0.1,0.49,0.5,0.53,0.5
119,1919,0.58,0.12,0.5,0.5,0.53,0.5
120,1920,-0.41000000000000003,0.14,0.5,0.51,0.54,0.51
121,1921,0.14999999999999997,0.16,0.51,0.52,0.55,0.52
122,1922,0.020000000000000018,0.19,0.52,0.52,0.55,0.52
123,1923,0.13,0.23,0.52,0.53,0.56,0.53
124,1924,0.4,0.27,0.53,0.54,0.57,0.54
125,1925,0.3,0.31,0.54,0.55,0.58,0.55
126,1926,0.58,0.34,0.55,0.55,0.58,0.55
127,1927,0.58,0.38,0.55,0.56,0.59,0.56
128,1928,0.41,0.42,0.56,0.56,0.59,0.56
129,1929,-0.07999999999999996,0.46,0.57,0.57,0.6,0.57
130,1930,0.27,0.49,0.57,0.58,0.61,0.58
131,1931,1.08,0.52,0.58,0.58,0.61,0.58
132,1932,0.58,0.55,0.59,0.59,0.62,0.59
133,1933,0.75,0.58,0.6,0.6,0.63,0.6
134,1934,0.31999999999999995,0.61,0.6,0.6,0.63,0.61
135,1935,0.61,0.64,0.61,0.61,0.64,0.61
136,1936,0.6799999999999999,0.66,0.61,0.61,0.64,0.62
137,1937,0.73,0.68,0.62,0.62,0.65,0.62
138,1938,0.87,0.68,0.62,0.62,0.65,0.62
139,1939,0.66,0.68,0.62,0.62,0.65,0.62
140,1940,0.78,0.67,0.62,0.63,0.66,0.63
141,1941,0.99,0.66,0.63,0.63,0.66,0.63
142,1942,0.8999999999999999,0.64,0.63,0.64,0.66,0.63
143,1943,0.45999999999999996,0.62,0.64,0.64,0.67,0.64
144,1944,0.37,0.59,0.64,0.65,0.67,0.64
145,1945,0.65,0.57,0.65,0.65,0.68,0.65
146,1946,0.3,0.54,0.65,0.66,0.68,0.65
147,1947,0.6799999999999999,0.5,0.65,0.66,0.69,0.66
148,1948,0.37,0.47,0.66,0.66,0.69,0.66
149,1949,0.45999999999999996,0.44,0.66,0.66,0.69,0.66
150,1950,0.29,0.42,0.66,0.66,0.69,0.66
151,1951,0.38,0.41,0.66,0.67,0.69,0.67
152,1952,0.59,0.41,0.67,0.67,0.69,0.67
153,1953,0.45,0.4,0.67,0.67,0.7,0.68
154,1954,0.36,0.4,0.68,0.68,0.7,0.68
155,1955,0.010000000000000009,0.39,0.68,0.68,0.7,0.68
156,1956,0.24,0.39,0.68,0.68,0.7,0.68
157,1957,0.4,0.38,0.68,0.68,0.7,0.68
158,1958,0.76,0.37,0.68,0.67,0.69,0.68
159,1959,0.49,0.37,0.67,0.66,0.68,0.67
160,1960,0.53,0.36,0.66,0.66,0.68,0.66
161,1961,0.13,0.36,0.66,0.66,0.67,0.66
162,1962,0.22999999999999998,0.37,0.66,0.66,0.67,0.66
163,1963,0.43,0.38,0.66,0.66,0.67,0.66
164,1964,0.22999999999999998,0.38,0.66,0.66,0.67,0.66
165,1965,0.31999999999999995,0.39,0.66,0.66,0.68,0.66
166,1966,0.42,0.41,0.66,0.66,0.68,0.67
167,1967,0.3,0.42,0.66,0.66,0.68,0.67
168,1968,0.3,0.44,0.66,0.66,0.68,0.66
169,1969,0.69,0.47,0.66,0.66,0.68,0.66
170,1970,0.64,0.49,0.67,0.67,0.69,0.67
171,1971,0.31,0.52,0.67,0.68,0.69,0.68
172,1972,0.69,0.55,0.68,0.69,0.71,0.69
173,1973,1.06,0.58,0.7,0.7,0.72,0.7
174,1974,0.35,0.61,0.71,0.71,0.73,0.71
175,1975,0.45,0.64,0.72,0.72,0.75,0.72
176,1976,0.55,0.66,0.73,0.73,0.76,0.73
177,1977,0.73,0.68,0.74,0.74,0.77,0.74
178,1978,0.6799999999999999,0.7,0.75,0.75,0.78,0.75
179,1979,0.9299999999999999,0.72,0.76,0.76,0.79,0.76
180,1980,1.08,0.74,0.77,0.77,0.8,0.77
181,1981,0.64,0.76,0.78,0.78,0.82,0.78
182,1982,0.7,0.78,0.79,0.8,0.83,0.8
183,1983,0.96,0.79,0.81,0.81,0.85,0.81
184,1984,0.66,0.8,0.83,0.83,0.87,0.83
185,1985,0.66,0.81,0.84,0.84,0.89,0.84
186,1986,0.84,0.81,0.85,0.85,0.9,0.86
187,1987,1.21,0.81,0.87,0.86,0.91,0.87
188,1988,0.8300000000000001,0.82,0.88,0.88,0.92,0.88
189,1989,0.5,0.83,0.89,0.89,0.94,0.89
190,1990,0.99,0.85,0.91,0.9,0.95,0.91
191,1991,0.8999999999999999,0.87,0.92,0.92,0.96,0.92
192,1992,0.41,0.89,0.94,0.94,0.98,0.94
193,1993,0.96,0.91,0.96,0.96,1.0,0.96
194,1994,0.9199999999999999,0.94,0.98,0.98,1.02,0.98
195,1995,0.77,0.97,1.01,1.0,1.04,1.0
196,1996,0.9199999999999999,1.0,1.02,1.02,1.06,1.02
197,1997,1.24,1.05,1.04,1.04,1.08,1.04
198,1998,1.53,1.11,1.06,1.06,1.09,1.05
199,1999,0.88,1.16,1.08,1.08,1.11,1.07
200,2000,1.06,1.22,1.1,1.1,1.13,1.1
201,2001,1.0699999999999998,1.27,1.13,1.13,1.16,1.12
202,2002,1.38,1.31,1.15,1.16,1.19,1.15
203,2003,1.47,1.34,1.18,1.18,1.21,1.18
204,2004,1.56,1.37,1.21,1.21,1.24,1.2
205,2005,1.89,1.39,1.23,1.24,1.27,1.23
206,2006,1.61,1.41,1.26,1.27,1.29,1.26
207,2007,1.29,1.41,1.28,1.29,1.32,1.29
208,2008,1.26,1.42,1.31,1.32,1.34,1.31
209,2009,1.77,1.42,1.33,1.34,1.36,1.34
210,2010,1.54,1.42,1.35,1.36,1.38,1.36
211,2011,1.22,1.42,1.38,1.38,1.4,1.38
212,2012,1.02,1.42,1.4,1.41,1.42,1.41
213,2013,1.3399999999999999,1.42,1.43,1.43,1.43,1.43
214,2014,1.3399999999999999,1.42,1.46,1.46,1.45,1.46
215,2015,1.33,1.42,1.49,1.49,1.47,1.49
216,2016,1.7,1.43,1.52,1.51,1.49,1.51
217,2017,1.68,1.43,1.54,1.53,1.51,1.54
218,2018,1.31,1.44,1.57,1.56,1.53,1.56
219,2019,1.46,1.44,1.59,1.58,1.55,1.58
220,2020,1.44,1.45,1.62,1.6,1.57,1.61
221,2021,,,1.65,1.63,1.59,1.63
222,2022,,,1.68,1.65,1.61,1.66
223,2023,,,1.7,1.67,1.63,1.69
224,2024,,,1.73,1.7,1.66,1.71
225,2025,,,1.77,1.72,1.68,1.74
226,2026,,,1.79,1.75,1.71,1.77
227,2027,,,1.82,1.77,1.74,1.8
228,2028,,,1.85,1.8,1.77,1.83
229,2029,,,1.88,1.83,1.8,1.86
230,2030,,,1.91,1.85,1.83,1.89
231,2031,,,1.94,1.88,1.86,1.92
232,2032,,,1.96,1.9,1.9,1.95
233,2033,,,1.98,1.93,1.93,1.98
234,2034,,,2.0,1.95,1.96,2.02
235,2035,,,2.02,1.97,1.99,2.05
236,2036,,,2.04,2.0,2.02,2.08
237,2037,,,2.06,2.03,2.05,2.12
238,2038,,,2.08,2.05,2.09,2.15
239,2039,,,2.09,2.08,2.12,2.19
240,2040,,,2.1,2.11,2.15,2.23
241,2041,,,2.11,2.13,2.19,2.27
242,2042,,,2.12,2.16,2.22,2.31
243,2043,,,2.13,2.19,2.25,2.35
244,2044,,,2.14,2.22,2.29,2.4
245,2045,,,2.15,2.24,2.32,2.44
246,2046,,,2.16,2.27,2.36,2.48
247,2047,,,2.17,2.3,2.4,2.53
248,2048,,,2.17,2.33,2.44,2.57
249,2049,,,2.18,2.36,2.47,2.62
250,2050,,,2.19,2.39,2.51,2.66
251,2051,,,2.2,2.42,2.55,2.71
252,2052,,,2.2,2.45,2.59,2.76
253,2053,,,2.21,2.48,2.63,2.81
254,2054,,,2.22,2.5,2.68,2.86
255,2055,,,2.23,2.53,2.72,2.91
256,2056,,,2.24,2.56,2.76,2.96
257,2057,,,2.25,2.59,2.8,3.01
258,2058,,,2.26,2.61,2.84,3.06
259,2059,,,2.26,2.64,2.88,3.1
260,2060,,,2.27,2.67,2.92,3.15
261,2061,,,2.27,2.69,2.96,3.19
262,2062,,,2.28,2.72,3.01,3.24
263,2063,,,2.28,2.74,3.05,3.3
264,2064,,,2.28,2.77,3.09,3.34
265,2065,,,2.29,2.79,3.13,3.39
266,2066,,,2.29,2.81,3.18,3.45
267,2067,,,2.29,2.83,3.22,3.5
268,2068,,,2.29,2.86,3.26,3.55
269,2069,,,2.29,2.88,3.3,3.6
270,2070,,,2.28,2.9,3.34,3.65
271,2071,,,2.28,2.92,3.38,3.71
272,2072,,,2.28,2.94,3.42,3.76
273,2073,,,2.28,2.96,3.47,3.82
274,2074,,,2.28,2.98,3.51,3.88
275,2075,,,2.28,3.0,3.55,3.94
276,2076,,,2.28,3.01,3.59,4.0
277,2077,,,2.28,3.03,3.63,4.06
278,2078,,,2.28,3.05,3.67,4.12
279,2079,,,2.28,3.06,3.72,4.18
280,2080,,,2.28,3.07,3.76,4.24
281,2081,,,2.28,3.09,3.8,4.3
282,2082,,,2.28,3.1,3.84,4.36
283,2083,,,2.27,3.11,3.88,4.42
284,2084,,,2.27,3.13,3.92,4.48
285,2085,,,2.27,3.15,3.96,4.54
286,2086,,,2.27,3.16,4.0,4.59
287,2087,,,2.26,3.18,4.04,4.65
288,2088,,,2.26,3.19,4.08,4.72
289,2089,,,2.25,3.21,4.13,4.78
290,2090,,,2.24,3.22,4.17,4.84
291,2091,,,2.24,3.24,4.22,4.9
292,2092,,,2.23,3.25,4.26,4.96
293,2093,,,2.22,3.27,4.31,5.02
294,2094,,,2.22,3.28,4.35,5.08
295,2095,,,2.21,3.3,4.4,5.14
296,2096,,,2.2,3.32,4.44,5.2
297,2097,,,2.2,3.33,4.49,5.26
298,2098,,,2.19,3.34,4.53,5.31
299,2099,,,2.18,3.36,4.57,5.37
300,2100,,,2.18,3.37,4.62,5.43
