Niger,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
125,1925,0.3703225806451613,0.32,0.06,0.05,0.05,0.04
126,1926,0.6603225806451614,0.37,0.07,0.06,0.05,0.05
127,1927,0.34032258064516135,0.41,0.07,0.06,0.06,0.05
128,1928,0.45032258064516134,0.43,0.08,0.07,0.06,0.06
129,1929,-0.12967741935483862,0.43,0.08,0.07,0.07,0.07
130,1930,0.6903225806451614,0.42,0.09,0.08,0.08,0.07
131,1931,1.5203225806451615,0.42,0.1,0.09,0.08,0.08
132,1932,0.6703225806451614,0.41,0.11,0.1,0.09,0.09
133,1933,0.5603225806451614,0.42,0.12,0.11,0.1,0.1
134,1934,0.20032258064516134,0.44,0.13,0.12,0.11,0.11
135,1935,0.18032258064516132,0.46,0.14,0.13,0.12,0.12
136,1936,0.020322580645161348,0.48,0.15,0.14,0.13,0.13
137,1937,0.48032258064516137,0.48,0.16,0.15,0.14,0.14
138,1938,0.5103225806451613,0.47,0.17,0.15,0.15,0.15
139,1939,0.7803225806451614,0.46,0.17,0.16,0.15,0.15
140,1940,0.8803225806451613,0.46,0.18,0.17,0.16,0.16
141,1941,1.4403225806451614,0.46,0.19,0.17,0.17,0.17
142,1942,0.9303225806451614,0.47,0.2,0.18,0.18,0.17
143,1943,0.19032258064516133,0.46,0.21,0.19,0.18,0.18
144,1944,0.14032258064516134,0.44,0.21,0.2,0.19,0.19
145,1945,0.07032258064516134,0.42,0.22,0.2,0.19,0.19
146,1946,0.4903225806451613,0.38,0.22,0.21,0.2,0.2
147,1947,0.8003225806451614,0.36,0.23,0.21,0.2,0.2
148,1948,0.06032258064516133,0.34,0.23,0.22,0.21,0.21
149,1949,0.4903225806451613,0.34,0.24,0.22,0.21,0.21
150,1950,-0.18967741935483867,0.34,0.24,0.23,0.21,0.22
151,1951,0.6803225806451614,0.35,0.25,0.23,0.22,0.22
152,1952,0.3003225806451614,0.36,0.25,0.24,0.23,0.23
153,1953,0.28032258064516136,0.37,0.26,0.25,0.23,0.24
154,1954,0.32032258064516134,0.37,0.27,0.25,0.23,0.24
155,1955,0.40032258064516135,0.39,0.27,0.25,0.24,0.25
156,1956,0.3003225806451614,0.41,0.28,0.25,0.24,0.25
157,1957,0.3703225806451613,0.43,0.28,0.25,0.23,0.24
158,1958,0.7003225806451614,0.44,0.27,0.25,0.22,0.24
159,1959,0.3603225806451613,0.44,0.27,0.24,0.22,0.23
160,1960,0.5703225806451614,0.44,0.26,0.23,0.21,0.22
161,1961,-0.5896774193548386,0.43,0.25,0.22,0.2,0.21
162,1962,0.47032258064516136,0.43,0.25,0.22,0.19,0.21
163,1963,0.8903225806451613,0.42,0.24,0.21,0.19,0.2
164,1964,0.24032258064516135,0.42,0.23,0.21,0.18,0.2
165,1965,0.10032258064516136,0.41,0.23,0.2,0.18,0.19
166,1966,0.47032258064516136,0.41,0.22,0.2,0.17,0.19
167,1967,0.26032258064516134,0.42,0.22,0.19,0.17,0.18
168,1968,0.42032258064516137,0.42,0.21,0.19,0.17,0.18
169,1969,1.4203225806451614,0.42,0.21,0.19,0.17,0.18
170,1970,0.3603225806451613,0.43,0.21,0.19,0.18,0.18
171,1971,0.4303225806451614,0.44,0.22,0.2,0.19,0.19
172,1972,0.7703225806451613,0.45,0.23,0.22,0.21,0.21
173,1973,0.8903225806451613,0.48,0.25,0.24,0.22,0.23
174,1974,0.11032258064516137,0.51,0.27,0.26,0.24,0.25
175,1975,0.18032258064516132,0.54,0.28,0.27,0.26,0.27
176,1976,0.5903225806451613,0.56,0.3,0.29,0.28,0.28
177,1977,0.10032258064516136,0.58,0.32,0.31,0.3,0.3
178,1978,0.7503225806451613,0.6,0.34,0.33,0.32,0.32
179,1979,0.9403225806451614,0.62,0.36,0.35,0.34,0.34
180,1980,0.8503225806451613,0.65,0.38,0.37,0.36,0.36
181,1981,0.5603225806451614,0.7,0.41,0.4,0.39,0.39
182,1982,0.6803225806451614,0.74,0.43,0.43,0.42,0.42
183,1983,0.5603225806451614,0.78,0.46,0.45,0.45,0.44
184,1984,0.8403225806451613,0.81,0.49,0.48,0.47,0.47
185,1985,0.7303225806451614,0.83,0.51,0.51,0.5,0.5
186,1986,1.0003225806451614,0.85,0.54,0.53,0.52,0.52
187,1987,1.2703225806451615,0.86,0.57,0.56,0.55,0.55
188,1988,0.9003225806451614,0.88,0.59,0.59,0.58,0.57
189,1989,0.26032258064516134,0.91,0.62,0.62,0.6,0.6
190,1990,1.1603225806451614,0.94,0.65,0.65,0.63,0.63
191,1991,0.9503225806451614,0.98,0.69,0.68,0.67,0.66
192,1992,0.26032258064516134,1.01,0.72,0.71,0.7,0.7
193,1993,0.9703225806451614,1.04,0.76,0.75,0.74,0.73
194,1994,0.5503225806451614,1.06,0.8,0.79,0.78,0.77
195,1995,1.2303225806451614,1.09,0.84,0.83,0.82,0.81
196,1996,1.3503225806451613,1.11,0.88,0.87,0.85,0.85
197,1997,1.2503225806451614,1.14,0.91,0.9,0.89,0.88
198,1998,1.4403225806451614,1.17,0.95,0.94,0.93,0.92
199,1999,1.2803225806451612,1.21,0.98,0.97,0.96,0.96
200,2000,0.8803225806451613,1.24,1.02,1.01,1.0,0.99
201,2001,1.1203225806451613,1.27,1.06,1.05,1.04,1.03
202,2002,1.2103225806451614,1.29,1.1,1.09,1.09,1.08
203,2003,1.2903225806451613,1.31,1.14,1.14,1.13,1.12
204,2004,1.3303225806451613,1.33,1.18,1.18,1.18,1.16
205,2005,1.6403225806451613,1.36,1.23,1.22,1.22,1.21
206,2006,1.3603225806451613,1.38,1.27,1.26,1.26,1.25
207,2007,1.4503225806451614,1.41,1.3,1.3,1.31,1.29
208,2008,1.0103225806451614,1.43,1.34,1.34,1.34,1.33
209,2009,1.8503225806451613,1.44,1.37,1.37,1.38,1.36
210,2010,2.2603225806451612,1.46,1.4,1.41,1.41,1.39
211,2011,1.4603225806451614,1.47,1.43,1.44,1.44,1.43
212,2012,1.2603225806451614,1.48,1.47,1.47,1.47,1.46
213,2013,1.4503225806451614,1.49,1.5,1.5,1.51,1.5
214,2014,1.6303225806451613,1.51,1.54,1.54,1.54,1.53
215,2015,1.2403225806451614,1.52,1.57,1.57,1.57,1.57
216,2016,1.9303225806451614,1.53,1.6,1.6,1.6,1.61
217,2017,1.3203225806451613,1.54,1.63,1.63,1.63,1.65
218,2018,1.7103225806451614,1.56,1.66,1.66,1.66,1.68
219,2019,1.5403225806451615,1.57,1.69,1.69,1.68,1.72
220,2020,1.5703225806451615,1.58,1.72,1.72,1.71,1.75
221,2021,,,1.75,1.75,1.74,1.79
222,2022,,,1.79,1.78,1.77,1.83
223,2023,,,1.82,1.81,1.8,1.88
224,2024,,,1.85,1.85,1.84,1.92
225,2025,,,1.89,1.88,1.87,1.96
226,2026,,,1.93,1.91,1.91,2.0
227,2027,,,1.97,1.95,1.94,2.05
228,2028,,,2.0,1.98,1.98,2.09
229,2029,,,2.04,2.02,2.02,2.13
230,2030,,,2.07,2.05,2.06,2.17
231,2031,,,2.1,2.08,2.1,2.21
232,2032,,,2.12,2.1,2.14,2.24
233,2033,,,2.15,2.13,2.18,2.28
234,2034,,,2.17,2.16,2.22,2.32
235,2035,,,2.19,2.18,2.25,2.36
236,2036,,,2.2,2.21,2.3,2.4
237,2037,,,2.21,2.24,2.34,2.44
238,2038,,,2.23,2.27,2.38,2.48
239,2039,,,2.24,2.3,2.42,2.53
240,2040,,,2.25,2.33,2.46,2.58
241,2041,,,2.26,2.36,2.5,2.63
242,2042,,,2.27,2.4,2.54,2.69
243,2043,,,2.28,2.43,2.58,2.74
244,2044,,,2.29,2.46,2.62,2.8
245,2045,,,2.3,2.48,2.67,2.85
246,2046,,,2.31,2.51,2.71,2.91
247,2047,,,2.32,2.55,2.75,2.96
248,2048,,,2.33,2.58,2.79,3.01
249,2049,,,2.34,2.6,2.83,3.07
250,2050,,,2.35,2.64,2.88,3.13
251,2051,,,2.36,2.67,2.92,3.19
252,2052,,,2.37,2.7,2.96,3.25
253,2053,,,2.38,2.73,3.01,3.31
254,2054,,,2.38,2.76,3.05,3.37
255,2055,,,2.38,2.79,3.1,3.43
256,2056,,,2.39,2.82,3.14,3.49
257,2057,,,2.39,2.84,3.19,3.56
258,2058,,,2.39,2.87,3.23,3.62
259,2059,,,2.39,2.9,3.28,3.68
260,2060,,,2.39,2.93,3.32,3.73
261,2061,,,2.39,2.96,3.37,3.79
262,2062,,,2.38,2.98,3.41,3.86
263,2063,,,2.38,3.01,3.46,3.92
264,2064,,,2.38,3.04,3.5,3.99
265,2065,,,2.38,3.06,3.55,4.05
266,2066,,,2.37,3.08,3.6,4.11
267,2067,,,2.36,3.11,3.64,4.17
268,2068,,,2.36,3.13,3.69,4.23
269,2069,,,2.35,3.15,3.73,4.29
270,2070,,,2.35,3.17,3.77,4.35
271,2071,,,2.34,3.19,3.82,4.41
272,2072,,,2.34,3.22,3.87,4.47
273,2073,,,2.33,3.24,3.92,4.54
274,2074,,,2.32,3.26,3.97,4.6
275,2075,,,2.32,3.28,4.02,4.67
276,2076,,,2.31,3.3,4.08,4.74
277,2077,,,2.31,3.32,4.12,4.81
278,2078,,,2.3,3.33,4.17,4.87
279,2079,,,2.3,3.34,4.22,4.95
280,2080,,,2.3,3.36,4.28,5.02
281,2081,,,2.29,3.37,4.33,5.08
282,2082,,,2.29,3.38,4.37,5.15
283,2083,,,2.29,3.4,4.42,5.23
284,2084,,,2.28,3.42,4.47,5.3
285,2085,,,2.27,3.43,4.52,5.37
286,2086,,,2.27,3.45,4.57,5.44
287,2087,,,2.26,3.47,4.62,5.52
288,2088,,,2.25,3.48,4.67,5.59
289,2089,,,2.24,3.5,4.73,5.67
290,2090,,,2.23,3.52,4.78,5.74
291,2091,,,2.23,3.54,4.84,5.81
292,2092,,,2.22,3.55,4.9,5.88
293,2093,,,2.21,3.57,4.95,5.94
294,2094,,,2.21,3.59,5.01,6.01
295,2095,,,2.2,3.61,5.06,6.08
296,2096,,,2.19,3.63,5.12,6.15
297,2097,,,2.19,3.64,5.17,6.21
298,2098,,,2.18,3.66,5.23,6.27
299,2099,,,2.17,3.67,5.28,6.34
300,2100,,,2.17,3.69,5.34,6.41
