Ghana,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
110,1910,-0.20466666666666672,-0.08,0.29,0.28,0.29,0.29
111,1911,-0.7846666666666666,-0.02,0.29,0.29,0.3,0.29
112,1912,0.10533333333333333,0.02,0.3,0.29,0.3,0.3
113,1913,0.16533333333333333,0.06,0.31,0.3,0.31,0.31
114,1914,0.3853333333333333,0.11,0.31,0.31,0.32,0.31
115,1915,0.29533333333333334,0.15,0.32,0.31,0.32,0.32
116,1916,-0.03466666666666668,0.19,0.32,0.32,0.32,0.32
117,1917,0.4053333333333333,0.22,0.32,0.32,0.33,0.33
118,1918,-0.07466666666666666,0.24,0.33,0.32,0.33,0.33
119,1919,0.20533333333333334,0.26,0.33,0.33,0.33,0.33
120,1920,0.2853333333333333,0.27,0.34,0.33,0.33,0.34
121,1921,0.43533333333333335,0.29,0.34,0.34,0.34,0.34
122,1922,0.3853333333333333,0.3,0.35,0.34,0.35,0.35
123,1923,0.2653333333333333,0.31,0.35,0.35,0.35,0.36
124,1924,0.3853333333333333,0.32,0.36,0.35,0.36,0.36
125,1925,0.24533333333333335,0.32,0.36,0.36,0.36,0.37
126,1926,0.7453333333333334,0.31,0.37,0.36,0.37,0.37
127,1927,0.23533333333333334,0.3,0.37,0.37,0.37,0.38
128,1928,0.10533333333333333,0.29,0.38,0.37,0.38,0.38
129,1929,0.15533333333333332,0.27,0.38,0.38,0.38,0.39
130,1930,0.44533333333333336,0.26,0.39,0.38,0.39,0.39
131,1931,0.44533333333333336,0.24,0.4,0.39,0.39,0.4
132,1932,-0.10466666666666669,0.24,0.4,0.4,0.4,0.41
133,1933,0.23533333333333334,0.25,0.41,0.4,0.41,0.41
134,1934,0.2653333333333333,0.26,0.42,0.41,0.42,0.42
135,1935,0.16533333333333333,0.29,0.42,0.42,0.42,0.43
136,1936,0.01533333333333331,0.32,0.43,0.42,0.43,0.43
137,1937,0.5253333333333333,0.35,0.44,0.43,0.44,0.44
138,1938,0.5053333333333333,0.39,0.44,0.44,0.44,0.44
139,1939,0.06533333333333335,0.42,0.45,0.44,0.45,0.45
140,1940,0.6953333333333334,0.45,0.45,0.45,0.45,0.45
141,1941,0.9453333333333334,0.47,0.46,0.45,0.46,0.46
142,1942,0.5153333333333333,0.49,0.46,0.46,0.47,0.46
143,1943,0.20533333333333334,0.5,0.47,0.47,0.48,0.47
144,1944,0.6853333333333333,0.5,0.48,0.47,0.48,0.48
145,1945,0.5253333333333333,0.49,0.48,0.48,0.49,0.49
146,1946,0.37533333333333335,0.47,0.49,0.49,0.5,0.49
147,1947,0.6353333333333333,0.45,0.49,0.5,0.51,0.5
148,1948,0.2653333333333333,0.42,0.5,0.5,0.52,0.51
149,1949,0.5953333333333333,0.4,0.51,0.51,0.52,0.51
150,1950,0.20533333333333334,0.36,0.51,0.51,0.53,0.52
151,1951,0.45533333333333337,0.32,0.52,0.52,0.53,0.52
152,1952,0.3353333333333333,0.29,0.53,0.53,0.54,0.53
153,1953,0.29533333333333334,0.28,0.54,0.54,0.55,0.54
154,1954,0.07533333333333331,0.27,0.54,0.54,0.55,0.55
155,1955,0.04533333333333334,0.27,0.55,0.55,0.56,0.56
156,1956,0.03533333333333333,0.26,0.56,0.56,0.56,0.56
157,1957,0.30533333333333335,0.26,0.56,0.56,0.56,0.56
158,1958,0.42533333333333334,0.27,0.56,0.55,0.56,0.56
159,1959,0.48533333333333334,0.27,0.55,0.55,0.55,0.56
160,1960,0.3953333333333333,0.28,0.55,0.54,0.55,0.55
161,1961,0.22533333333333333,0.29,0.54,0.54,0.54,0.55
162,1962,0.16533333333333333,0.29,0.54,0.54,0.54,0.54
163,1963,0.4653333333333333,0.29,0.54,0.53,0.54,0.54
164,1964,0.055333333333333345,0.29,0.54,0.53,0.54,0.54
165,1965,0.15533333333333332,0.3,0.54,0.54,0.54,0.54
166,1966,0.45533333333333337,0.31,0.54,0.53,0.54,0.54
167,1967,0.11533333333333334,0.33,0.53,0.53,0.53,0.54
168,1968,0.2853333333333333,0.35,0.53,0.53,0.53,0.54
169,1969,0.6253333333333333,0.37,0.53,0.53,0.53,0.53
170,1970,0.6353333333333333,0.38,0.53,0.53,0.53,0.53
171,1971,0.16533333333333333,0.39,0.54,0.54,0.53,0.54
172,1972,0.45533333333333337,0.4,0.54,0.54,0.54,0.55
173,1973,0.9353333333333333,0.41,0.56,0.56,0.56,0.56
174,1974,0.29533333333333334,0.43,0.57,0.57,0.57,0.57
175,1975,0.15533333333333332,0.46,0.58,0.58,0.58,0.58
176,1976,-0.02466666666666667,0.48,0.59,0.59,0.59,0.59
177,1977,0.6353333333333333,0.5,0.6,0.6,0.61,0.6
178,1978,0.44533333333333336,0.54,0.61,0.61,0.62,0.61
179,1979,0.7953333333333333,0.58,0.62,0.62,0.63,0.62
180,1980,0.7353333333333334,0.62,0.63,0.63,0.64,0.64
181,1981,0.6753333333333333,0.67,0.64,0.64,0.65,0.65
182,1982,0.45533333333333337,0.71,0.65,0.66,0.67,0.66
183,1983,1.0753333333333333,0.73,0.67,0.67,0.68,0.68
184,1984,0.8853333333333333,0.75,0.68,0.69,0.7,0.69
185,1985,0.6153333333333333,0.76,0.7,0.7,0.72,0.71
186,1986,0.5553333333333333,0.77,0.71,0.71,0.73,0.72
187,1987,1.3753333333333333,0.77,0.72,0.72,0.74,0.73
188,1988,0.8953333333333333,0.77,0.73,0.73,0.75,0.74
189,1989,0.6353333333333333,0.77,0.74,0.75,0.76,0.75
190,1990,0.9753333333333334,0.77,0.76,0.76,0.78,0.77
191,1991,0.6753333333333333,0.78,0.78,0.78,0.8,0.78
192,1992,0.5153333333333333,0.8,0.8,0.8,0.82,0.8
193,1993,0.7853333333333333,0.82,0.82,0.82,0.84,0.83
194,1994,0.7153333333333334,0.84,0.84,0.85,0.86,0.85
195,1995,1.0353333333333334,0.86,0.87,0.87,0.89,0.87
196,1996,0.9253333333333333,0.89,0.89,0.89,0.91,0.89
197,1997,0.8653333333333333,0.92,0.91,0.91,0.93,0.91
198,1998,1.5153333333333332,0.97,0.93,0.94,0.95,0.93
199,1999,0.8653333333333333,1.02,0.95,0.96,0.98,0.96
200,2000,0.8453333333333333,1.07,0.98,0.99,1.0,0.98
201,2001,1.0253333333333334,1.12,1.01,1.02,1.03,1.01
202,2002,1.1553333333333333,1.16,1.03,1.05,1.06,1.04
203,2003,1.3553333333333333,1.19,1.06,1.08,1.09,1.07
204,2004,1.2753333333333334,1.23,1.09,1.1,1.12,1.1
205,2005,1.4653333333333334,1.26,1.12,1.13,1.15,1.12
206,2006,1.4353333333333333,1.28,1.15,1.16,1.17,1.15
207,2007,1.3153333333333332,1.28,1.17,1.19,1.2,1.18
208,2008,1.1153333333333333,1.27,1.19,1.21,1.22,1.21
209,2009,1.2253333333333334,1.26,1.22,1.23,1.24,1.23
210,2010,1.5453333333333332,1.25,1.24,1.26,1.27,1.25
211,2011,1.1853333333333333,1.25,1.26,1.28,1.28,1.27
212,2012,0.9753333333333334,1.25,1.29,1.3,1.3,1.3
213,2013,1.0953333333333333,1.28,1.32,1.32,1.33,1.32
214,2014,1.1553333333333333,1.3,1.35,1.35,1.35,1.35
215,2015,1.3153333333333332,1.33,1.38,1.37,1.37,1.38
216,2016,1.5853333333333333,1.35,1.41,1.4,1.39,1.4
217,2017,1.4853333333333332,1.38,1.44,1.42,1.41,1.43
218,2018,1.3053333333333332,1.4,1.47,1.45,1.43,1.45
219,2019,1.5053333333333332,1.43,1.5,1.47,1.45,1.48
220,2020,1.4253333333333333,1.46,1.53,1.5,1.47,1.51
221,2021,,,1.56,1.52,1.49,1.53
222,2022,,,1.59,1.55,1.51,1.56
223,2023,,,1.61,1.57,1.54,1.59
224,2024,,,1.64,1.6,1.56,1.62
225,2025,,,1.68,1.63,1.59,1.65
226,2026,,,1.71,1.66,1.61,1.68
227,2027,,,1.73,1.69,1.64,1.71
228,2028,,,1.76,1.71,1.67,1.75
229,2029,,,1.79,1.74,1.7,1.78
230,2030,,,1.81,1.77,1.73,1.81
231,2031,,,1.83,1.79,1.76,1.85
232,2032,,,1.86,1.82,1.79,1.88
233,2033,,,1.88,1.84,1.82,1.91
234,2034,,,1.9,1.86,1.85,1.95
235,2035,,,1.91,1.88,1.88,1.98
236,2036,,,1.93,1.91,1.91,2.01
237,2037,,,1.95,1.93,1.94,2.05
238,2038,,,1.96,1.96,1.97,2.08
239,2039,,,1.98,1.98,2.01,2.12
240,2040,,,1.99,2.01,2.04,2.17
241,2041,,,2.0,2.03,2.07,2.21
242,2042,,,2.01,2.06,2.1,2.25
243,2043,,,2.02,2.08,2.13,2.29
244,2044,,,2.03,2.11,2.17,2.33
245,2045,,,2.04,2.13,2.2,2.37
246,2046,,,2.05,2.16,2.24,2.42
247,2047,,,2.06,2.19,2.27,2.46
248,2048,,,2.07,2.22,2.3,2.5
249,2049,,,2.08,2.24,2.34,2.54
250,2050,,,2.08,2.27,2.37,2.59
251,2051,,,2.09,2.3,2.41,2.64
252,2052,,,2.1,2.33,2.44,2.68
253,2053,,,2.1,2.36,2.48,2.73
254,2054,,,2.11,2.38,2.52,2.78
255,2055,,,2.12,2.41,2.55,2.83
256,2056,,,2.12,2.43,2.59,2.88
257,2057,,,2.13,2.46,2.63,2.93
258,2058,,,2.13,2.48,2.66,2.98
259,2059,,,2.13,2.51,2.7,3.02
260,2060,,,2.14,2.53,2.74,3.07
261,2061,,,2.14,2.55,2.78,3.12
262,2062,,,2.14,2.58,2.81,3.17
263,2063,,,2.14,2.6,2.85,3.23
264,2064,,,2.15,2.62,2.89,3.28
265,2065,,,2.15,2.64,2.93,3.33
266,2066,,,2.15,2.66,2.97,3.38
267,2067,,,2.15,2.68,3.01,3.43
268,2068,,,2.15,2.7,3.05,3.48
269,2069,,,2.15,2.72,3.09,3.53
270,2070,,,2.15,2.74,3.13,3.58
271,2071,,,2.14,2.76,3.17,3.64
272,2072,,,2.14,2.78,3.21,3.69
273,2073,,,2.14,2.8,3.25,3.74
274,2074,,,2.14,2.82,3.29,3.8
275,2075,,,2.14,2.84,3.33,3.86
276,2076,,,2.14,2.85,3.37,3.91
277,2077,,,2.14,2.87,3.41,3.97
278,2078,,,2.14,2.89,3.45,4.02
279,2079,,,2.15,2.9,3.49,4.08
280,2080,,,2.14,2.92,3.54,4.13
281,2081,,,2.14,2.93,3.58,4.19
282,2082,,,2.14,2.95,3.61,4.24
283,2083,,,2.14,2.96,3.65,4.3
284,2084,,,2.13,2.98,3.69,4.36
285,2085,,,2.13,2.99,3.73,4.41
286,2086,,,2.12,3.0,3.77,4.47
287,2087,,,2.12,3.02,3.81,4.52
288,2088,,,2.11,3.03,3.85,4.58
289,2089,,,2.1,3.04,3.89,4.64
290,2090,,,2.09,3.05,3.93,4.69
291,2091,,,2.08,3.07,3.98,4.75
292,2092,,,2.07,3.08,4.02,4.8
293,2093,,,2.07,3.09,4.06,4.86
294,2094,,,2.06,3.1,4.1,4.91
295,2095,,,2.05,3.12,4.15,4.96
296,2096,,,2.04,3.13,4.19,5.02
297,2097,,,2.03,3.14,4.23,5.07
298,2098,,,2.02,3.15,4.27,5.12
299,2099,,,2.01,3.16,4.32,5.17
300,2100,,,2.01,3.17,4.36,5.23
