Swaziland,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
105,1905,-0.038181818181817984,-0.03,0.2,0.21,0.25,0.21
106,1906,-0.20818181818181802,-0.03,0.21,0.22,0.25,0.22
107,1907,-0.298181818181818,-0.01,0.22,0.23,0.26,0.23
108,1908,0.321818181818182,0.02,0.23,0.24,0.27,0.24
109,1909,0.801818181818182,0.05,0.24,0.25,0.28,0.25
110,1910,-0.638181818181818,0.08,0.25,0.26,0.29,0.26
111,1911,-0.308181818181818,0.1,0.26,0.27,0.29,0.27
112,1912,0.291818181818182,0.13,0.27,0.28,0.3,0.28
113,1913,0.481818181818182,0.15,0.28,0.29,0.31,0.29
114,1914,0.521818181818182,0.17,0.29,0.3,0.32,0.3
115,1915,0.10181818181818197,0.19,0.3,0.31,0.33,0.31
116,1916,0.21181818181818196,0.22,0.31,0.32,0.34,0.32
117,1917,-0.328181818181818,0.24,0.31,0.33,0.35,0.32
118,1918,0.051818181818181985,0.27,0.32,0.33,0.35,0.33
119,1919,0.311818181818182,0.28,0.32,0.34,0.36,0.33
120,1920,0.5018181818181819,0.29,0.32,0.34,0.36,0.33
121,1921,0.13181818181818195,0.31,0.33,0.35,0.37,0.34
122,1922,0.6118181818181819,0.33,0.33,0.35,0.37,0.34
123,1923,0.771818181818182,0.35,0.34,0.35,0.38,0.35
124,1924,-0.23818181818181805,0.37,0.34,0.36,0.38,0.35
125,1925,0.38181818181818195,0.38,0.35,0.36,0.39,0.36
126,1926,0.511818181818182,0.39,0.36,0.37,0.39,0.37
127,1927,0.431818181818182,0.39,0.36,0.38,0.4,0.37
128,1928,0.40181818181818196,0.39,0.37,0.38,0.41,0.38
129,1929,0.301818181818182,0.38,0.38,0.39,0.42,0.39
130,1930,0.041818181818181976,0.36,0.38,0.39,0.42,0.39
131,1931,0.541818181818182,0.35,0.39,0.4,0.43,0.4
132,1932,0.591818181818182,0.33,0.4,0.41,0.44,0.41
133,1933,0.37181818181818194,0.32,0.41,0.41,0.44,0.41
134,1934,0.521818181818182,0.32,0.41,0.42,0.45,0.42
135,1935,-0.24818181818181806,0.33,0.42,0.43,0.46,0.42
136,1936,-0.08818181818181803,0.34,0.43,0.43,0.47,0.43
137,1937,0.311818181818182,0.36,0.43,0.44,0.47,0.44
138,1938,0.46181818181818196,0.37,0.44,0.45,0.48,0.44
139,1939,-0.11818181818181805,0.38,0.44,0.45,0.48,0.45
140,1940,0.671818181818182,0.4,0.45,0.46,0.49,0.45
141,1941,1.261818181818182,0.43,0.45,0.46,0.5,0.46
142,1942,0.671818181818182,0.47,0.46,0.47,0.5,0.46
143,1943,0.19181818181818194,0.51,0.46,0.48,0.51,0.47
144,1944,0.671818181818182,0.54,0.47,0.48,0.52,0.48
145,1945,0.3618181818181819,0.55,0.48,0.49,0.52,0.48
146,1946,0.7218181818181819,0.56,0.48,0.49,0.53,0.49
147,1947,0.641818181818182,0.55,0.49,0.5,0.53,0.49
148,1948,0.551818181818182,0.53,0.49,0.5,0.54,0.5
149,1949,0.581818181818182,0.51,0.49,0.51,0.54,0.5
150,1950,0.691818181818182,0.5,0.5,0.51,0.55,0.5
151,1951,0.17181818181818198,0.49,0.51,0.52,0.55,0.51
152,1952,0.801818181818182,0.48,0.51,0.52,0.56,0.52
153,1953,0.301818181818182,0.47,0.52,0.53,0.56,0.52
154,1954,0.321818181818182,0.47,0.53,0.54,0.57,0.53
155,1955,-0.178181818181818,0.48,0.53,0.54,0.57,0.53
156,1956,0.39181818181818195,0.48,0.53,0.54,0.56,0.53
157,1957,0.591818181818182,0.49,0.53,0.54,0.56,0.53
158,1958,0.831818181818182,0.5,0.53,0.54,0.55,0.53
159,1959,0.47181818181818197,0.52,0.52,0.53,0.54,0.52
160,1960,0.421818181818182,0.53,0.52,0.52,0.53,0.51
161,1961,0.701818181818182,0.54,0.51,0.52,0.52,0.51
162,1962,1.081818181818182,0.55,0.51,0.52,0.51,0.51
163,1963,0.39181818181818195,0.55,0.51,0.51,0.51,0.51
164,1964,0.40181818181818196,0.55,0.51,0.51,0.51,0.51
165,1965,0.441818181818182,0.55,0.51,0.52,0.51,0.51
166,1966,0.681818181818182,0.55,0.51,0.52,0.51,0.51
167,1967,0.351818181818182,0.54,0.5,0.51,0.51,0.5
168,1968,0.301818181818182,0.53,0.5,0.51,0.51,0.5
169,1969,0.9518181818181819,0.51,0.5,0.51,0.51,0.5
170,1970,1.1318181818181818,0.51,0.5,0.51,0.52,0.5
171,1971,0.481818181818182,0.51,0.51,0.52,0.53,0.51
172,1972,0.351818181818182,0.52,0.52,0.54,0.54,0.52
173,1973,0.421818181818182,0.53,0.53,0.55,0.56,0.54
174,1974,0.551818181818182,0.54,0.55,0.56,0.58,0.55
175,1975,0.20181818181818195,0.55,0.56,0.58,0.59,0.56
176,1976,0.321818181818182,0.56,0.57,0.59,0.61,0.57
177,1977,0.9818181818181819,0.58,0.58,0.6,0.62,0.58
178,1978,0.631818181818182,0.61,0.59,0.61,0.63,0.59
179,1979,0.851818181818182,0.66,0.6,0.62,0.64,0.6
180,1980,0.581818181818182,0.71,0.61,0.63,0.65,0.61
181,1981,0.12181818181818199,0.76,0.62,0.64,0.66,0.62
182,1982,0.821818181818182,0.8,0.63,0.65,0.68,0.64
183,1983,1.3818181818181818,0.84,0.64,0.67,0.69,0.65
184,1984,0.41181818181818197,0.87,0.65,0.68,0.7,0.66
185,1985,1.121818181818182,0.89,0.66,0.69,0.71,0.68
186,1986,1.011818181818182,0.92,0.68,0.7,0.72,0.69
187,1987,1.2018181818181821,0.95,0.69,0.71,0.73,0.7
188,1988,1.021818181818182,0.98,0.7,0.72,0.75,0.71
189,1989,0.7518181818181819,0.98,0.71,0.74,0.76,0.72
190,1990,0.821818181818182,0.98,0.73,0.75,0.77,0.74
191,1991,1.041818181818182,0.98,0.75,0.77,0.79,0.76
192,1992,1.851818181818182,0.98,0.77,0.79,0.81,0.78
193,1993,1.221818181818182,0.99,0.79,0.82,0.83,0.8
194,1994,0.561818181818182,1.0,0.82,0.84,0.86,0.83
195,1995,1.1318181818181818,1.02,0.84,0.87,0.88,0.85
196,1996,0.7118181818181819,1.04,0.87,0.89,0.91,0.87
197,1997,0.771818181818182,1.07,0.89,0.91,0.93,0.9
198,1998,1.511818181818182,1.09,0.92,0.94,0.95,0.92
199,1999,1.331818181818182,1.12,0.94,0.96,0.98,0.95
200,2000,0.6218181818181819,1.16,0.97,0.99,1.01,0.98
201,2001,1.1718181818181819,1.19,1.0,1.02,1.04,1.01
202,2002,1.271818181818182,1.22,1.03,1.05,1.07,1.04
203,2003,1.6718181818181819,1.24,1.06,1.08,1.1,1.07
204,2004,1.141818181818182,1.25,1.09,1.11,1.12,1.09
205,2005,1.721818181818182,1.26,1.12,1.14,1.15,1.12
206,2006,1.021818181818182,1.26,1.14,1.17,1.18,1.15
207,2007,1.371818181818182,1.26,1.17,1.19,1.2,1.18
208,2008,1.161818181818182,1.25,1.2,1.22,1.23,1.2
209,2009,0.9818181818181819,1.25,1.22,1.24,1.25,1.23
210,2010,1.551818181818182,1.25,1.25,1.26,1.27,1.25
211,2011,1.101818181818182,1.27,1.27,1.29,1.29,1.28
212,2012,1.301818181818182,1.3,1.3,1.31,1.31,1.31
213,2013,0.9518181818181819,1.32,1.33,1.34,1.34,1.33
214,2014,1.1518181818181819,1.34,1.37,1.36,1.36,1.37
215,2015,2.141818181818182,1.36,1.4,1.39,1.39,1.4
216,2016,1.841818181818182,1.38,1.44,1.42,1.41,1.43
217,2017,1.301818181818182,1.41,1.47,1.45,1.44,1.46
218,2018,1.291818181818182,1.43,1.5,1.48,1.47,1.5
219,2019,1.9118181818181819,1.46,1.53,1.5,1.49,1.53
220,2020,1.1918181818181819,1.49,1.57,1.53,1.52,1.56
221,2021,,,1.6,1.56,1.55,1.6
222,2022,,,1.62,1.59,1.58,1.64
223,2023,,,1.65,1.62,1.6,1.67
224,2024,,,1.68,1.65,1.63,1.71
225,2025,,,1.7,1.68,1.67,1.75
226,2026,,,1.72,1.71,1.7,1.78
227,2027,,,1.75,1.74,1.74,1.82
228,2028,,,1.77,1.77,1.77,1.86
229,2029,,,1.79,1.8,1.81,1.9
230,2030,,,1.82,1.83,1.85,1.93
231,2031,,,1.84,1.85,1.89,1.97
232,2032,,,1.85,1.88,1.92,2.01
233,2033,,,1.87,1.9,1.96,2.05
234,2034,,,1.89,1.93,2.0,2.08
235,2035,,,1.91,1.95,2.03,2.12
236,2036,,,1.92,1.98,2.07,2.16
237,2037,,,1.94,2.01,2.11,2.2
238,2038,,,1.95,2.03,2.15,2.24
239,2039,,,1.97,2.06,2.19,2.28
240,2040,,,1.98,2.09,2.23,2.32
241,2041,,,1.99,2.12,2.27,2.36
242,2042,,,2.0,2.15,2.3,2.41
243,2043,,,2.0,2.18,2.34,2.45
244,2044,,,2.01,2.21,2.37,2.5
245,2045,,,2.02,2.24,2.41,2.54
246,2046,,,2.03,2.27,2.45,2.59
247,2047,,,2.03,2.3,2.48,2.64
248,2048,,,2.04,2.33,2.52,2.69
249,2049,,,2.04,2.35,2.55,2.73
250,2050,,,2.05,2.38,2.59,2.78
251,2051,,,2.06,2.41,2.62,2.83
252,2052,,,2.07,2.43,2.66,2.88
253,2053,,,2.07,2.46,2.7,2.94
254,2054,,,2.08,2.48,2.74,2.99
255,2055,,,2.09,2.5,2.78,3.04
256,2056,,,2.09,2.53,2.81,3.09
257,2057,,,2.1,2.54,2.85,3.15
258,2058,,,2.1,2.56,2.9,3.2
259,2059,,,2.1,2.58,2.94,3.25
260,2060,,,2.1,2.6,2.98,3.29
261,2061,,,2.11,2.62,3.02,3.35
262,2062,,,2.11,2.64,3.06,3.4
263,2063,,,2.11,2.66,3.11,3.46
264,2064,,,2.11,2.68,3.15,3.52
265,2065,,,2.11,2.7,3.19,3.57
266,2066,,,2.11,2.72,3.24,3.63
267,2067,,,2.11,2.74,3.28,3.69
268,2068,,,2.11,2.76,3.32,3.74
269,2069,,,2.12,2.78,3.36,3.8
270,2070,,,2.12,2.8,3.4,3.85
271,2071,,,2.12,2.82,3.44,3.91
272,2072,,,2.12,2.85,3.48,3.97
273,2073,,,2.12,2.87,3.52,4.02
274,2074,,,2.13,2.89,3.56,4.08
275,2075,,,2.13,2.91,3.6,4.14
276,2076,,,2.13,2.93,3.64,4.2
277,2077,,,2.13,2.95,3.67,4.26
278,2078,,,2.12,2.97,3.71,4.32
279,2079,,,2.12,2.99,3.74,4.38
280,2080,,,2.12,3.0,3.78,4.44
281,2081,,,2.11,3.01,3.82,4.5
282,2082,,,2.11,3.02,3.86,4.55
283,2083,,,2.1,3.04,3.9,4.61
284,2084,,,2.09,3.05,3.94,4.67
285,2085,,,2.09,3.06,3.98,4.73
286,2086,,,2.08,3.08,4.02,4.79
287,2087,,,2.07,3.09,4.07,4.85
288,2088,,,2.07,3.1,4.11,4.91
289,2089,,,2.06,3.12,4.16,4.97
290,2090,,,2.06,3.13,4.21,5.02
291,2091,,,2.05,3.15,4.26,5.08
292,2092,,,2.05,3.16,4.31,5.14
293,2093,,,2.04,3.18,4.36,5.19
294,2094,,,2.04,3.19,4.41,5.25
295,2095,,,2.03,3.2,4.46,5.3
296,2096,,,2.03,3.22,4.51,5.36
297,2097,,,2.03,3.23,4.55,5.41
298,2098,,,2.02,3.24,4.6,5.46
299,2099,,,2.02,3.26,4.65,5.51
300,2100,,,2.01,3.27,4.7,5.57
