United States of America,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.3419354838709678,0.58,,,,
1,1801,0.45806451612903226,0.48,,,,
2,1802,0.37806451612903225,0.37,,,,
3,1803,0.45806451612903226,0.26,,,,
4,1804,0.21806451612903227,0.15,,,,
5,1805,0.6080645161290323,0.05,,,,
6,1806,0.048064516129032286,-0.06,,,,
7,1807,-0.19193548387096776,-0.16,,,,
8,1808,-0.28193548387096773,-0.27,,,,
9,1809,-0.8319354838709678,-0.38,,,,
10,1810,-0.6619354838709677,-0.48,,,,
11,1811,-0.6319354838709679,-0.57,,,,
12,1812,-1.3819354838709679,-0.65,,,,
13,1813,-0.5119354838709678,-0.7,,,,
14,1814,-0.3819354838709677,-0.74,,,,
15,1815,-1.1019354838709678,-0.75,,,,
16,1816,-1.5319354838709678,-0.74,,,,
17,1817,-1.2419354838709677,-0.7,,,,
18,1818,-0.6219354838709679,-0.65,,,,
19,1819,-0.6319354838709679,-0.58,,,,
20,1820,-0.5819354838709678,-0.5,,,,
21,1821,-0.8719354838709679,-0.4,,,,
22,1822,-0.05193548387096775,-0.29,,,,
23,1823,-0.42193548387096774,-0.18,,,,
24,1824,-0.011935483870967711,-0.09,,,,
25,1825,0.4280645161290323,-0.02,,,,
26,1826,0.3180645161290323,0.04,,,,
27,1827,0.7880645161290323,0.08,,,,
28,1828,0.5380645161290323,0.1,,,,
29,1829,-0.1219354838709677,0.09,,,,
30,1830,0.9280645161290323,0.06,,,,
31,1831,-0.8619354838709679,0.02,,,,
32,1832,-0.20193548387096777,-0.02,,,,
33,1833,0.4880645161290323,-0.08,,,,
34,1834,0.27806451612903227,-0.13,,,,
35,1835,-0.8119354838709678,-0.18,,,,
36,1836,-0.7319354838709677,-0.22,,,,
37,1837,-0.4019354838709677,-0.25,,,,
38,1838,-0.8919354838709679,-0.28,,,,
39,1839,0.27806451612903227,-0.29,,,,
40,1840,-0.16193548387096773,-0.3,,,,
41,1841,-0.3819354838709677,-0.31,,,,
42,1842,-0.05193548387096775,-0.31,,,,
43,1843,-0.7019354838709677,-0.29,,,,
44,1844,-0.3919354838709677,-0.28,,,,
45,1845,-0.07193548387096776,-0.26,,,,
46,1846,0.6880645161290323,-0.25,,,,
47,1847,-0.5219354838709678,-0.23,,,,
48,1848,-0.3819354838709677,-0.21,,,,
49,1849,-0.44193548387096776,-0.19,,,,
50,1850,-0.21193548387096778,-0.18,0.16,0.12,0.2,0.11
51,1851,0.20806451612903226,-0.17,0.15,0.12,0.19,0.11
52,1852,-0.2619354838709677,-0.16,0.15,0.12,0.19,0.11
53,1853,0.02806451612903227,-0.15,0.14,0.11,0.18,0.1
54,1854,0.38806451612903226,-0.13,0.14,0.11,0.18,0.1
55,1855,-0.03193548387096773,-0.1,0.14,0.11,0.17,0.1
56,1856,-0.4719354838709677,-0.08,0.13,0.1,0.17,0.1
57,1857,-0.4819354838709677,-0.06,0.13,0.1,0.16,0.1
