New Zealand,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
103,1903,-0.15678571428571425,-0.13,0.12,0.12,0.17,0.11
104,1904,-0.3267857142857143,-0.12,0.12,0.12,0.17,0.11
105,1905,-0.25678571428571434,-0.1,0.12,0.12,0.17,0.11
106,1906,-0.4667857142857143,-0.09,0.13,0.13,0.17,0.12
107,1907,0.2932142857142857,-0.08,0.13,0.13,0.17,0.12
108,1908,-0.06678571428571428,-0.07,0.13,0.13,0.18,0.12
109,1909,0.4032142857142857,-0.04,0.13,0.13,0.18,0.12
110,1910,0.5432142857142856,-0.02,0.14,0.14,0.18,0.12
111,1911,0.18321428571428572,-0.0,0.14,0.14,0.18,0.13
112,1912,-0.5367857142857142,-0.0,0.14,0.14,0.18,0.13
113,1913,-0.19678571428571429,-0.01,0.15,0.15,0.19,0.14
114,1914,-0.17678571428571427,-0.03,0.15,0.15,0.19,0.14
115,1915,0.053214285714285714,-0.06,0.16,0.15,0.19,0.14
116,1916,0.8832142857142857,-0.09,0.16,0.16,0.19,0.15
117,1917,0.6132142857142857,-0.11,0.16,0.16,0.2,0.15
118,1918,-0.28678571428571425,-0.13,0.16,0.16,0.2,0.15
119,1919,-0.4567857142857143,-0.14,0.17,0.16,0.2,0.15
120,1920,-0.37678571428571433,-0.15,0.17,0.16,0.21,0.16
121,1921,-0.07678571428571429,-0.16,0.17,0.17,0.21,0.16
122,1922,-0.07678571428571429,-0.17,0.17,0.17,0.22,0.16
123,1923,-0.18678571428571428,-0.18,0.18,0.17,0.22,0.16
124,1924,0.8332142857142857,-0.2,0.18,0.18,0.23,0.17
125,1925,-0.38678571428571434,-0.21,0.18,0.18,0.23,0.17
126,1926,-0.17678571428571427,-0.2,0.18,0.18,0.23,0.17
127,1927,-0.3267857142857143,-0.19,0.18,0.18,0.24,0.18
128,1928,0.7232142857142857,-0.17,0.19,0.19,0.24,0.18
129,1929,-0.006785714285714284,-0.16,0.19,0.19,0.25,0.18
130,1930,-0.6467857142857143,-0.14,0.19,0.2,0.25,0.19
131,1931,-0.5267857142857142,-0.12,0.2,0.2,0.26,0.19
132,1932,-0.3167857142857143,-0.11,0.21,0.21,0.26,0.2
133,1933,0.11321428571428571,-0.1,0.21,0.21,0.27,0.2
134,1934,0.2532142857142857,-0.09,0.22,0.22,0.27,0.21
135,1935,0.5232142857142857,-0.08,0.22,0.22,0.27,0.21
136,1936,-0.046785714285714264,-0.07,0.23,0.23,0.28,0.22
137,1937,-0.3167857142857143,-0.06,0.23,0.23,0.28,0.22
138,1938,0.9032142857142857,-0.05,0.24,0.24,0.29,0.23
139,1939,-0.07678571428571429,-0.05,0.25,0.25,0.29,0.24
140,1940,-0.24678571428571433,-0.05,0.25,0.25,0.3,0.25
141,1941,-0.18678571428571428,-0.06,0.26,0.26,0.3,0.25
142,1942,0.11321428571428571,-0.07,0.27,0.27,0.31,0.26
143,1943,-0.15678571428571425,-0.06,0.27,0.27,0.31,0.26
144,1944,-0.06678571428571428,-0.05,0.28,0.27,0.31,0.27
145,1945,-0.3267857142857143,-0.03,0.28,0.28,0.32,0.27
146,1946,-0.09678571428571431,-0.01,0.28,0.28,0.32,0.27
147,1947,0.1032142857142857,0.02,0.28,0.28,0.32,0.27
148,1948,0.3132142857142857,0.06,0.29,0.29,0.32,0.28
149,1949,0.013214285714285734,0.11,0.29,0.29,0.33,0.28
150,1950,0.2032142857142857,0.17,0.3,0.3,0.33,0.29
151,1951,-0.15678571428571425,0.22,0.3,0.3,0.34,0.29
152,1952,0.1532142857142857,0.26,0.31,0.31,0.34,0.3
153,1953,0.13321428571428573,0.3,0.32,0.32,0.35,0.3
154,1954,0.5832142857142857,0.33,0.32,0.32,0.35,0.31
155,1955,0.8232142857142857,0.35,0.33,0.33,0.36,0.31
156,1956,0.9832142857142858,0.37,0.33,0.33,0.36,0.32
157,1957,0.4232142857142857,0.38,0.34,0.34,0.37,0.32
158,1958,0.4532142857142857,0.38,0.34,0.34,0.37,0.33
159,1959,0.2032142857142857,0.37,0.34,0.34,0.37,0.33
160,1960,0.3332142857142857,0.35,0.34,0.34,0.37,0.33
161,1961,0.3532142857142857,0.33,0.34,0.34,0.37,0.33
162,1962,0.9232142857142858,0.3,0.34,0.35,0.37,0.33
163,1963,0.013214285714285734,0.28,0.34,0.35,0.38,0.33
164,1964,0.07321428571428573,0.28,0.34,0.35,0.38,0.34
165,1965,-0.09678571428571431,0.29,0.35,0.35,0.38,0.34
166,1966,0.1732142857142857,0.31,0.35,0.35,0.39,0.34
167,1967,0.26321428571428573,0.34,0.35,0.35,0.39,0.34
168,1968,0.21321428571428572,0.37,0.35,0.36,0.39,0.34
169,1969,0.2032142857142857,0.4,0.35,0.36,0.39,0.34
170,1970,0.9032142857142857,0.43,0.35,0.36,0.4,0.35
171,1971,1.1032142857142857,0.46,0.36,0.37,0.41,0.35
172,1972,0.3132142857142857,0.49,0.37,0.38,0.42,0.36
173,1973,0.7132142857142857,0.52,0.38,0.39,0.43,0.37
174,1974,0.8632142857142857,0.55,0.4,0.4,0.45,0.39
175,1975,0.7632142857142857,0.56,0.42,0.42,0.46,0.4
176,1976,-0.0267857142857143,0.56,0.43,0.43,0.47,0.42
177,1977,-0.05678571428571427,0.55,0.44,0.44,0.48,0.43
178,1978,0.8732142857142857,0.55,0.46,0.46,0.49,0.44
179,1979,0.6532142857142857,0.54,0.47,0.47,0.5,0.46
180,1980,0.3732142857142857,0.55,0.49,0.48,0.51,0.47
181,1981,0.8432142857142857,0.56,0.5,0.5,0.53,0.48
182,1982,0.0932142857142857,0.59,0.52,0.51,0.54,0.5
183,1983,0.013214285714285734,0.61,0.53,0.53,0.55,0.51
184,1984,0.7132142857142857,0.64,0.55,0.54,0.57,0.53
185,1985,0.8032142857142857,0.66,0.56,0.56,0.58,0.54
186,1986,0.7032142857142858,0.66,0.57,0.57,0.59,0.55
187,1987,0.7632142857142857,0.65,0.58,0.58,0.6,0.56
188,1988,0.9232142857142858,0.64,0.59,0.59,0.61,0.58
189,1989,1.0832142857142857,0.63,0.61,0.61,0.62,0.59
190,1990,1.0532142857142857,0.63,0.62,0.62,0.64,0.6
191,1991,0.3032142857142857,0.63,0.64,0.64,0.66,0.62
192,1992,-0.28678571428571425,0.63,0.65,0.65,0.68,0.64
193,1993,0.043214285714285705,0.64,0.67,0.67,0.69,0.66
194,1994,0.3732142857142857,0.64,0.69,0.69,0.71,0.67
195,1995,0.6332142857142857,0.65,0.7,0.71,0.73,0.69
196,1996,0.5332142857142858,0.66,0.72,0.72,0.75,0.71
197,1997,0.39321428571428574,0.67,0.73,0.74,0.76,0.72
198,1998,1.4632142857142858,0.69,0.75,0.75,0.78,0.74
199,1999,1.4332142857142858,0.72,0.76,0.77,0.8,0.75
200,2000,0.9432142857142858,0.76,0.78,0.79,0.82,0.77
201,2001,1.0332142857142856,0.78,0.8,0.8,0.83,0.79
202,2002,0.7932142857142856,0.81,0.82,0.82,0.85,0.81
203,2003,0.6932142857142858,0.82,0.83,0.84,0.87,0.83
204,2004,0.2332142857142857,0.83,0.85,0.86,0.89,0.84
205,2005,1.1632142857142858,0.83,0.87,0.87,0.9,0.86
206,2006,0.4732142857142857,0.83,0.89,0.89,0.92,0.88
207,2007,0.8732142857142857,0.83,0.91,0.91,0.93,0.9
208,2008,0.9632142857142858,0.84,0.93,0.93,0.95,0.92
209,2009,0.4032142857142857,0.86,0.95,0.95,0.97,0.95
210,2010,1.1332142857142857,0.89,0.97,0.98,0.98,0.97
211,2011,0.9632142857142858,0.94,0.99,1.0,1.0,0.99
212,2012,0.5832142857142857,0.99,1.02,1.02,1.01,1.02
213,2013,1.3532142857142857,1.03,1.04,1.04,1.03,1.04
214,2014,0.8432142857142857,1.08,1.07,1.07,1.05,1.07
215,2015,0.8332142857142857,1.12,1.09,1.09,1.08,1.1
216,2016,1.5032142857142858,1.17,1.12,1.11,1.1,1.12
217,2017,1.1932142857142858,1.22,1.14,1.14,1.12,1.15
218,2018,1.4332142857142858,1.26,1.17,1.16,1.15,1.17
219,2019,1.3932142857142857,1.31,1.19,1.18,1.17,1.19
220,2020,1.2032142857142858,1.36,1.21,1.2,1.19,1.22
221,2021,,,1.24,1.22,1.21,1.24
222,2022,,,1.26,1.24,1.24,1.26
223,2023,,,1.28,1.26,1.26,1.28
224,2024,,,1.29,1.28,1.28,1.29
225,2025,,,1.31,1.3,1.3,1.32
226,2026,,,1.33,1.31,1.32,1.34
227,2027,,,1.35,1.33,1.35,1.36
228,2028,,,1.37,1.36,1.37,1.38
229,2029,,,1.39,1.38,1.39,1.41
230,2030,,,1.4,1.4,1.41,1.43
231,2031,,,1.42,1.42,1.44,1.46
232,2032,,,1.43,1.44,1.46,1.49
233,2033,,,1.44,1.46,1.48,1.52
234,2034,,,1.46,1.48,1.51,1.55
235,2035,,,1.46,1.5,1.54,1.58
236,2036,,,1.47,1.52,1.57,1.61
237,2037,,,1.48,1.55,1.6,1.64
238,2038,,,1.49,1.57,1.63,1.67
239,2039,,,1.5,1.59,1.66,1.71
240,2040,,,1.51,1.62,1.69,1.74
241,2041,,,1.52,1.64,1.72,1.78
242,2042,,,1.52,1.67,1.75,1.81
243,2043,,,1.53,1.69,1.78,1.85
244,2044,,,1.54,1.72,1.81,1.89
245,2045,,,1.55,1.74,1.83,1.92
246,2046,,,1.56,1.76,1.86,1.96
247,2047,,,1.57,1.78,1.89,2.0
248,2048,,,1.58,1.8,1.92,2.04
249,2049,,,1.58,1.82,1.94,2.07
250,2050,,,1.59,1.84,1.96,2.11
251,2051,,,1.6,1.86,1.99,2.15
252,2052,,,1.61,1.87,2.02,2.19
253,2053,,,1.62,1.89,2.04,2.23
254,2054,,,1.63,1.91,2.07,2.27
255,2055,,,1.63,1.93,2.1,2.31
256,2056,,,1.64,1.95,2.13,2.35
257,2057,,,1.65,1.96,2.16,2.39
258,2058,,,1.65,1.98,2.19,2.43
259,2059,,,1.65,2.0,2.22,2.47
260,2060,,,1.65,2.02,2.25,2.5
261,2061,,,1.65,2.03,2.28,2.54
262,2062,,,1.65,2.05,2.31,2.58
263,2063,,,1.66,2.07,2.34,2.62
264,2064,,,1.66,2.09,2.37,2.66
265,2065,,,1.66,2.1,2.4,2.71
266,2066,,,1.66,2.12,2.43,2.75
267,2067,,,1.66,2.13,2.46,2.79
268,2068,,,1.67,2.15,2.49,2.83
269,2069,,,1.67,2.16,2.52,2.88
270,2070,,,1.67,2.18,2.54,2.92
271,2071,,,1.67,2.19,2.57,2.97
272,2072,,,1.67,2.21,2.6,3.02
273,2073,,,1.67,2.22,2.63,3.06
274,2074,,,1.67,2.23,2.67,3.11
275,2075,,,1.66,2.24,2.7,3.16
276,2076,,,1.66,2.25,2.74,3.21
277,2077,,,1.66,2.27,2.78,3.25
278,2078,,,1.65,2.28,2.81,3.3
279,2079,,,1.64,2.29,2.85,3.35
280,2080,,,1.64,2.3,2.88,3.39
281,2081,,,1.63,2.31,2.92,3.43
282,2082,,,1.63,2.32,2.95,3.48
283,2083,,,1.62,2.33,2.99,3.52
284,2084,,,1.62,2.33,3.03,3.56
285,2085,,,1.62,2.34,3.07,3.6
286,2086,,,1.62,2.35,3.11,3.64
287,2087,,,1.62,2.36,3.14,3.68
288,2088,,,1.62,2.37,3.18,3.72
289,2089,,,1.62,2.38,3.22,3.76
290,2090,,,1.62,2.39,3.25,3.8
291,2091,,,1.62,2.4,3.28,3.84
292,2092,,,1.62,2.41,3.32,3.88
293,2093,,,1.62,2.42,3.35,3.92
294,2094,,,1.62,2.43,3.38,3.96
295,2095,,,1.62,2.44,3.41,4.0
296,2096,,,1.63,2.45,3.45,4.04
297,2097,,,1.63,2.46,3.48,4.08
298,2098,,,1.63,2.47,3.51,4.12
299,2099,,,1.63,2.47,3.54,4.16
300,2100,,,1.63,2.48,3.58,4.2
