South Korea,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
105,1905,0.17032258064516126,-0.1,0.49,0.49,0.54,0.49
106,1906,-0.4096774193548387,-0.14,0.48,0.48,0.53,0.48
107,1907,0.010322580645161228,-0.17,0.47,0.47,0.52,0.47
108,1908,-0.33967741935483875,-0.2,0.47,0.46,0.51,0.46
109,1909,-0.1696774193548387,-0.2,0.46,0.45,0.5,0.46
110,1910,-0.5196774193548388,-0.21,0.46,0.45,0.5,0.45
111,1911,-0.09967741935483876,-0.2,0.46,0.45,0.5,0.45
112,1912,-0.3796774193548388,-0.19,0.46,0.45,0.5,0.46
113,1913,-0.6696774193548387,-0.18,0.47,0.46,0.51,0.46
114,1914,0.9703225806451612,-0.15,0.47,0.46,0.51,0.47
115,1915,0.23032258064516126,-0.12,0.48,0.47,0.52,0.47
116,1916,0.27032258064516124,-0.08,0.49,0.48,0.53,0.48
117,1917,-0.8196774193548388,-0.04,0.49,0.49,0.54,0.49
118,1918,-0.31967741935483873,-0.01,0.5,0.49,0.55,0.5
119,1919,0.16032258064516125,0.0,0.51,0.51,0.56,0.51
120,1920,0.49032258064516127,0.01,0.52,0.52,0.58,0.52
121,1921,-0.05967741935483872,0.01,0.53,0.53,0.59,0.53
122,1922,0.3403225806451613,0.01,0.54,0.54,0.6,0.54
123,1923,-0.17967741935483872,0.03,0.54,0.54,0.61,0.54
124,1924,-0.019677419354838688,0.05,0.55,0.55,0.61,0.55
125,1925,-0.17967741935483872,0.08,0.55,0.55,0.61,0.55
126,1926,-0.2596774193548388,0.09,0.55,0.55,0.61,0.55
127,1927,0.12032258064516127,0.1,0.55,0.55,0.61,0.55
128,1928,0.17032258064516126,0.12,0.55,0.55,0.61,0.55
129,1929,0.3803225806451612,0.14,0.55,0.55,0.61,0.55
130,1930,0.7003225806451613,0.17,0.55,0.56,0.61,0.55
131,1931,-0.05967741935483872,0.21,0.56,0.56,0.61,0.55
132,1932,0.40032258064516124,0.26,0.56,0.56,0.61,0.56
133,1933,0.10032258064516125,0.3,0.57,0.57,0.62,0.56
134,1934,-0.17967741935483872,0.32,0.57,0.57,0.62,0.57
135,1935,0.6903225806451613,0.34,0.58,0.58,0.63,0.57
136,1936,-0.5596774193548388,0.36,0.58,0.58,0.63,0.58
137,1937,0.7803225806451612,0.38,0.59,0.59,0.64,0.59
138,1938,0.3803225806451612,0.4,0.6,0.6,0.65,0.59
139,1939,0.8903225806451613,0.42,0.61,0.61,0.66,0.6
140,1940,0.28032258064516125,0.44,0.62,0.62,0.67,0.61
141,1941,0.3803225806451612,0.46,0.63,0.62,0.67,0.62
142,1942,0.47032258064516125,0.48,0.63,0.62,0.68,0.62
143,1943,0.6003225806451613,0.5,0.63,0.63,0.68,0.62
144,1944,0.35032258064516125,0.52,0.63,0.63,0.68,0.63
145,1945,-0.20967741935483875,0.54,0.63,0.63,0.68,0.62
146,1946,0.7103225806451613,0.55,0.63,0.62,0.67,0.62
147,1947,-0.8096774193548388,0.57,0.62,0.62,0.67,0.62
148,1948,0.9403225806451613,0.59,0.62,0.61,0.66,0.61
149,1949,0.6003225806451613,0.61,0.61,0.61,0.66,0.61
150,1950,0.8503225806451613,0.63,0.61,0.61,0.65,0.6
151,1951,0.6703225806451613,0.64,0.6,0.6,0.64,0.6
152,1952,0.37032258064516127,0.65,0.59,0.6,0.64,0.59
153,1953,0.5703225806451613,0.67,0.59,0.6,0.63,0.59
154,1954,0.7103225806451613,0.69,0.58,0.59,0.63,0.58
155,1955,0.8203225806451613,0.72,0.57,0.59,0.62,0.57
156,1956,-0.45967741935483875,0.74,0.56,0.58,0.62,0.57
157,1957,-0.11967741935483878,0.75,0.55,0.57,0.61,0.56
158,1958,0.7103225806451613,0.76,0.54,0.56,0.6,0.54
159,1959,1.2903225806451613,0.75,0.52,0.55,0.58,0.53
160,1960,1.2203225806451612,0.75,0.51,0.53,0.57,0.51
161,1961,1.370322580645161,0.74,0.49,0.52,0.56,0.5
162,1962,0.5903225806451613,0.71,0.48,0.5,0.54,0.48
163,1963,-0.029677419354838697,0.68,0.46,0.49,0.53,0.47
164,1964,1.0703225806451613,0.62,0.45,0.48,0.52,0.46
165,1965,0.21032258064516124,0.56,0.44,0.46,0.51,0.45
166,1966,0.5003225806451612,0.51,0.43,0.45,0.5,0.44
167,1967,0.5303225806451612,0.46,0.42,0.44,0.49,0.43
168,1968,0.4403225806451613,0.44,0.41,0.43,0.48,0.42
169,1969,-0.10967741935483877,0.43,0.4,0.42,0.47,0.41
170,1970,0.18032258064516127,0.44,0.39,0.41,0.46,0.4
171,1971,0.40032258064516124,0.47,0.39,0.41,0.46,0.4
172,1972,0.5903225806451613,0.5,0.39,0.41,0.46,0.4
173,1973,0.8803225806451613,0.55,0.4,0.41,0.46,0.41
174,1974,-0.13967741935483868,0.59,0.4,0.42,0.47,0.41
175,1975,1.0803225806451613,0.63,0.41,0.43,0.47,0.42
176,1976,0.17032258064516126,0.66,0.42,0.43,0.48,0.43
177,1977,0.8503225806451613,0.68,0.43,0.44,0.49,0.44
178,1978,1.3003225806451613,0.69,0.44,0.45,0.5,0.45
179,1979,1.1603225806451611,0.69,0.45,0.46,0.51,0.45
180,1980,-0.2696774193548387,0.69,0.46,0.47,0.52,0.47
181,1981,-0.039677419354838706,0.68,0.48,0.49,0.53,0.48
182,1982,0.9803225806451612,0.68,0.49,0.51,0.55,0.5
183,1983,0.8703225806451613,0.69,0.52,0.53,0.57,0.52
184,1984,0.30032258064516126,0.7,0.54,0.55,0.59,0.54
185,1985,0.6503225806451612,0.73,0.56,0.57,0.61,0.57
186,1986,0.10032258064516125,0.76,0.58,0.6,0.63,0.59
187,1987,0.8603225806451613,0.8,0.61,0.62,0.65,0.61
188,1988,0.7203225806451613,0.85,0.63,0.64,0.67,0.63
189,1989,1.4403225806451614,0.88,0.66,0.67,0.69,0.66
190,1990,1.7403225806451612,0.91,0.69,0.69,0.72,0.69
191,1991,0.8903225806451613,0.95,0.72,0.73,0.75,0.72
192,1992,1.1003225806451613,1.0,0.76,0.76,0.79,0.75
193,1993,0.4603225806451613,1.04,0.8,0.8,0.83,0.79
194,1994,1.9503225806451612,1.07,0.83,0.85,0.87,0.83
195,1995,0.7903225806451613,1.09,0.87,0.88,0.91,0.87
196,1996,0.6403225806451612,1.1,0.91,0.92,0.95,0.91
197,1997,1.2303225806451614,1.12,0.95,0.96,0.99,0.95
198,1998,2.040322580645161,1.14,0.98,0.99,1.02,0.98
199,1999,1.4203225806451614,1.17,1.01,1.02,1.06,1.02
200,2000,0.9703225806451612,1.2,1.04,1.06,1.1,1.05
201,2001,1.2803225806451612,1.23,1.08,1.09,1.14,1.09
202,2002,1.2303225806451614,1.26,1.11,1.13,1.18,1.12
203,2003,1.0503225806451613,1.29,1.14,1.16,1.21,1.16
204,2004,1.8003225806451613,1.29,1.17,1.19,1.24,1.19
205,2005,0.8503225806451613,1.28,1.2,1.22,1.27,1.22
206,2006,1.3403225806451613,1.26,1.23,1.25,1.29,1.25
207,2007,1.7403225806451612,1.25,1.26,1.27,1.32,1.27
208,2008,1.4203225806451614,1.26,1.29,1.3,1.34,1.3
209,2009,1.3603225806451613,1.28,1.32,1.33,1.36,1.33
210,2010,1.0303225806451612,1.31,1.35,1.36,1.38,1.35
211,2011,0.7703225806451612,1.34,1.39,1.39,1.4,1.38
212,2012,0.7203225806451613,1.39,1.42,1.43,1.43,1.42
213,2013,1.3003225806451613,1.43,1.46,1.47,1.45,1.46
214,2014,1.4803225806451614,1.48,1.51,1.5,1.48,1.5
215,2015,1.7703225806451612,1.53,1.55,1.54,1.52,1.54
216,2016,2.0203225806451615,1.59,1.59,1.58,1.55,1.58
217,2017,1.5003225806451612,1.65,1.63,1.62,1.59,1.62
218,2018,1.4903225806451612,1.71,1.67,1.66,1.63,1.67
219,2019,1.9703225806451612,1.77,1.71,1.7,1.66,1.71
220,2020,1.8303225806451613,1.83,1.75,1.74,1.7,1.76
221,2021,,,1.79,1.78,1.74,1.8
222,2022,,,1.83,1.81,1.78,1.85
223,2023,,,1.86,1.85,1.82,1.89
224,2024,,,1.9,1.89,1.86,1.93
225,2025,,,1.94,1.92,1.9,1.98
226,2026,,,1.97,1.95,1.94,2.02
227,2027,,,2.0,1.99,1.97,2.06
228,2028,,,2.03,2.02,2.01,2.1
229,2029,,,2.06,2.06,2.05,2.15
230,2030,,,2.09,2.09,2.08,2.19
231,2031,,,2.12,2.12,2.11,2.23
232,2032,,,2.14,2.15,2.14,2.28
233,2033,,,2.17,2.18,2.17,2.32
234,2034,,,2.19,2.21,2.21,2.37
235,2035,,,2.22,2.24,2.24,2.42
236,2036,,,2.24,2.27,2.27,2.47
237,2037,,,2.26,2.3,2.31,2.51
238,2038,,,2.28,2.33,2.35,2.56
239,2039,,,2.29,2.36,2.38,2.61
240,2040,,,2.3,2.38,2.42,2.67
241,2041,,,2.32,2.41,2.46,2.72
242,2042,,,2.33,2.44,2.5,2.77
243,2043,,,2.34,2.46,2.54,2.82
244,2044,,,2.35,2.49,2.57,2.87
245,2045,,,2.36,2.51,2.61,2.92
246,2046,,,2.37,2.53,2.65,2.97
247,2047,,,2.38,2.56,2.69,3.01
248,2048,,,2.38,2.58,2.73,3.06
249,2049,,,2.39,2.6,2.76,3.11
250,2050,,,2.4,2.62,2.8,3.15
251,2051,,,2.41,2.65,2.84,3.2
252,2052,,,2.43,2.67,2.88,3.25
253,2053,,,2.44,2.69,2.91,3.3
254,2054,,,2.45,2.71,2.95,3.35
255,2055,,,2.46,2.74,2.99,3.4
256,2056,,,2.47,2.76,3.02,3.46
257,2057,,,2.48,2.78,3.06,3.52
258,2058,,,2.49,2.81,3.1,3.57
259,2059,,,2.49,2.83,3.14,3.62
260,2060,,,2.5,2.85,3.18,3.67
261,2061,,,2.51,2.87,3.22,3.72
262,2062,,,2.51,2.9,3.26,3.78
263,2063,,,2.52,2.92,3.3,3.84
264,2064,,,2.52,2.94,3.35,3.89
265,2065,,,2.52,2.96,3.39,3.95
266,2066,,,2.52,2.98,3.43,4.01
267,2067,,,2.52,3.0,3.48,4.06
268,2068,,,2.52,3.02,3.52,4.12
269,2069,,,2.52,3.04,3.57,4.17
270,2070,,,2.52,3.06,3.61,4.22
271,2071,,,2.52,3.08,3.66,4.28
272,2072,,,2.52,3.11,3.71,4.33
273,2073,,,2.52,3.13,3.75,4.38
274,2074,,,2.52,3.16,3.8,4.44
275,2075,,,2.51,3.18,3.84,4.5
276,2076,,,2.51,3.2,3.88,4.56
277,2077,,,2.51,3.22,3.93,4.61
278,2078,,,2.51,3.24,3.97,4.67
279,2079,,,2.5,3.26,4.02,4.73
280,2080,,,2.5,3.27,4.06,4.79
281,2081,,,2.5,3.29,4.11,4.85
282,2082,,,2.49,3.31,4.15,4.91
283,2083,,,2.49,3.32,4.19,4.97
284,2084,,,2.48,3.33,4.23,5.03
285,2085,,,2.48,3.34,4.27,5.1
286,2086,,,2.47,3.35,4.31,5.16
287,2087,,,2.47,3.36,4.35,5.22
288,2088,,,2.46,3.37,4.4,5.29
289,2089,,,2.46,3.38,4.45,5.35
290,2090,,,2.46,3.39,4.49,5.41
291,2091,,,2.46,3.4,4.54,5.47
292,2092,,,2.46,3.41,4.59,5.53
293,2093,,,2.46,3.42,4.63,5.59
294,2094,,,2.46,3.43,4.68,5.64
295,2095,,,2.46,3.44,4.72,5.7
296,2096,,,2.46,3.45,4.77,5.76
297,2097,,,2.46,3.46,4.82,5.81
298,2098,,,2.46,3.47,4.86,5.87
299,2099,,,2.46,3.48,4.91,5.92
300,2100,,,2.46,3.49,4.96,5.99
