Gabon,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
113,1913,0.795,0.26,0.47,0.46,0.49,0.46
114,1914,0.615,0.3,0.48,0.47,0.5,0.47
115,1915,0.585,0.34,0.49,0.48,0.5,0.48
116,1916,0.535,0.37,0.49,0.49,0.51,0.48
117,1917,0.42500000000000004,0.4,0.5,0.49,0.51,0.49
118,1918,0.04500000000000004,0.41,0.5,0.5,0.52,0.49
119,1919,0.42500000000000004,0.4,0.51,0.5,0.52,0.5
120,1920,0.325,0.39,0.51,0.51,0.53,0.5
121,1921,0.505,0.37,0.52,0.51,0.53,0.51
122,1922,0.22500000000000003,0.36,0.52,0.52,0.54,0.52
123,1923,0.20500000000000002,0.35,0.53,0.52,0.54,0.52
124,1924,0.595,0.34,0.53,0.53,0.55,0.53
125,1925,-0.0050000000000000044,0.34,0.54,0.53,0.55,0.53
126,1926,0.43500000000000005,0.35,0.54,0.54,0.55,0.53
127,1927,0.585,0.35,0.54,0.54,0.56,0.54
128,1928,0.335,0.36,0.55,0.54,0.56,0.54
129,1929,0.14500000000000002,0.38,0.55,0.55,0.56,0.54
130,1930,0.23500000000000004,0.4,0.56,0.55,0.57,0.55
131,1931,0.615,0.42,0.57,0.56,0.57,0.56
132,1932,0.255,0.44,0.57,0.56,0.58,0.56
133,1933,0.445,0.46,0.58,0.57,0.59,0.57
134,1934,0.445,0.48,0.59,0.58,0.6,0.58
135,1935,0.495,0.51,0.59,0.59,0.6,0.58
136,1936,0.655,0.53,0.6,0.59,0.61,0.59
137,1937,0.735,0.56,0.61,0.6,0.62,0.6
138,1938,0.665,0.59,0.61,0.6,0.62,0.6
139,1939,0.41500000000000004,0.61,0.62,0.61,0.63,0.61
140,1940,0.585,0.63,0.62,0.62,0.64,0.61
141,1941,0.855,0.64,0.63,0.62,0.64,0.62
142,1942,0.635,0.65,0.64,0.63,0.65,0.62
143,1943,0.385,0.66,0.64,0.63,0.65,0.63
144,1944,0.855,0.65,0.65,0.64,0.66,0.64
145,1945,1.045,0.65,0.65,0.64,0.66,0.64
146,1946,0.275,0.64,0.65,0.65,0.66,0.64
147,1947,0.835,0.62,0.66,0.65,0.67,0.65
148,1948,0.605,0.59,0.66,0.65,0.67,0.65
149,1949,0.845,0.56,0.66,0.65,0.67,0.65
150,1950,0.495,0.53,0.66,0.66,0.68,0.66
151,1951,0.545,0.5,0.67,0.66,0.68,0.66
152,1952,0.42500000000000004,0.47,0.67,0.66,0.68,0.67
153,1953,0.405,0.45,0.68,0.67,0.68,0.67
154,1954,0.10500000000000004,0.43,0.68,0.67,0.69,0.67
155,1955,0.21500000000000002,0.41,0.69,0.68,0.69,0.68
156,1956,0.14500000000000002,0.4,0.69,0.68,0.69,0.68
157,1957,0.495,0.4,0.69,0.68,0.69,0.68
158,1958,0.405,0.4,0.69,0.68,0.69,0.68
159,1959,0.495,0.41,0.68,0.68,0.68,0.68
160,1960,0.615,0.42,0.68,0.67,0.68,0.67
161,1961,0.275,0.44,0.68,0.67,0.68,0.67
162,1962,0.445,0.46,0.68,0.67,0.67,0.67
163,1963,0.6950000000000001,0.48,0.67,0.67,0.67,0.67
164,1964,0.325,0.5,0.68,0.67,0.67,0.67
165,1965,0.375,0.52,0.68,0.67,0.68,0.67
166,1966,0.7050000000000001,0.53,0.68,0.67,0.68,0.67
167,1967,0.455,0.54,0.68,0.67,0.68,0.67
168,1968,0.455,0.55,0.67,0.67,0.68,0.67
169,1969,0.745,0.56,0.67,0.67,0.68,0.67
170,1970,0.7150000000000001,0.57,0.67,0.67,0.68,0.67
171,1971,0.445,0.59,0.68,0.68,0.68,0.67
172,1972,0.595,0.6,0.69,0.69,0.69,0.68
173,1973,1.005,0.62,0.7,0.7,0.7,0.69
174,1974,0.465,0.64,0.71,0.71,0.72,0.7
175,1975,0.48500000000000004,0.65,0.72,0.72,0.73,0.71
176,1976,0.275,0.66,0.73,0.73,0.74,0.72
177,1977,0.855,0.67,0.74,0.74,0.75,0.74
178,1978,0.675,0.67,0.75,0.75,0.76,0.75
179,1979,1.0150000000000001,0.69,0.76,0.76,0.77,0.76
180,1980,0.9550000000000001,0.7,0.77,0.77,0.79,0.77
181,1981,0.48500000000000004,0.72,0.79,0.78,0.8,0.78
182,1982,0.365,0.75,0.8,0.8,0.81,0.79
183,1983,0.875,0.77,0.81,0.81,0.83,0.81
184,1984,0.895,0.78,0.83,0.82,0.84,0.82
185,1985,0.545,0.79,0.84,0.84,0.86,0.84
186,1986,0.655,0.8,0.85,0.85,0.87,0.85
187,1987,1.195,0.81,0.87,0.86,0.88,0.86
188,1988,0.995,0.82,0.88,0.87,0.9,0.87
189,1989,0.805,0.84,0.89,0.89,0.91,0.89
190,1990,0.895,0.86,0.91,0.9,0.92,0.9
191,1991,0.915,0.88,0.93,0.92,0.94,0.92
192,1992,0.595,0.9,0.95,0.94,0.96,0.94
193,1993,0.825,0.92,0.97,0.97,0.98,0.96
194,1994,0.885,0.94,0.99,0.99,1.01,0.99
195,1995,1.2149999999999999,0.96,1.02,1.01,1.03,1.01
196,1996,0.775,0.99,1.04,1.03,1.05,1.03
197,1997,1.0150000000000001,1.03,1.06,1.05,1.07,1.05
198,1998,1.775,1.07,1.08,1.07,1.09,1.07
199,1999,1.0750000000000002,1.12,1.1,1.09,1.11,1.09
200,2000,0.9650000000000001,1.17,1.12,1.12,1.13,1.11
201,2001,0.9850000000000001,1.21,1.15,1.14,1.16,1.14
202,2002,1.295,1.25,1.17,1.17,1.18,1.16
203,2003,1.4649999999999999,1.28,1.2,1.2,1.21,1.19
204,2004,1.395,1.31,1.22,1.22,1.24,1.21
205,2005,1.475,1.33,1.25,1.25,1.26,1.24
206,2006,1.525,1.34,1.27,1.27,1.29,1.27
207,2007,1.4649999999999999,1.35,1.3,1.3,1.31,1.29
208,2008,1.335,1.35,1.32,1.32,1.33,1.32
209,2009,1.455,1.36,1.34,1.35,1.36,1.34
210,2010,1.585,1.36,1.37,1.37,1.38,1.36
211,2011,1.0350000000000001,1.37,1.39,1.39,1.4,1.39
212,2012,0.995,1.39,1.42,1.42,1.42,1.42
213,2013,1.135,1.42,1.45,1.45,1.45,1.44
214,2014,1.255,1.44,1.47,1.47,1.47,1.47
215,2015,1.355,1.47,1.5,1.5,1.5,1.5
216,2016,1.755,1.5,1.53,1.53,1.52,1.53
217,2017,1.545,1.53,1.56,1.55,1.54,1.56
218,2018,1.2349999999999999,1.56,1.58,1.58,1.57,1.59
219,2019,1.915,1.59,1.61,1.6,1.59,1.62
220,2020,1.835,1.63,1.63,1.63,1.61,1.65
221,2021,,,1.66,1.65,1.64,1.68
222,2022,,,1.68,1.68,1.67,1.71
223,2023,,,1.71,1.7,1.69,1.74
224,2024,,,1.73,1.73,1.72,1.77
225,2025,,,1.76,1.75,1.74,1.8
226,2026,,,1.78,1.78,1.77,1.83
227,2027,,,1.8,1.8,1.79,1.86
228,2028,,,1.82,1.82,1.82,1.89
229,2029,,,1.85,1.85,1.85,1.93
230,2030,,,1.87,1.87,1.87,1.96
231,2031,,,1.89,1.89,1.9,1.99
232,2032,,,1.9,1.92,1.93,2.02
233,2033,,,1.92,1.94,1.96,2.05
234,2034,,,1.94,1.96,1.99,2.09
235,2035,,,1.95,1.98,2.02,2.12
236,2036,,,1.97,2.0,2.05,2.15
237,2037,,,1.98,2.02,2.08,2.19
238,2038,,,2.0,2.05,2.11,2.22
239,2039,,,2.01,2.07,2.14,2.26
240,2040,,,2.02,2.09,2.17,2.3
241,2041,,,2.03,2.12,2.21,2.34
242,2042,,,2.05,2.14,2.24,2.38
243,2043,,,2.06,2.16,2.27,2.42
244,2044,,,2.07,2.19,2.3,2.46
245,2045,,,2.08,2.21,2.34,2.5
246,2046,,,2.09,2.23,2.38,2.54
247,2047,,,2.1,2.26,2.41,2.58
248,2048,,,2.1,2.28,2.44,2.61
249,2049,,,2.11,2.3,2.48,2.65
250,2050,,,2.12,2.33,2.51,2.7
251,2051,,,2.13,2.35,2.55,2.74
252,2052,,,2.14,2.38,2.58,2.78
253,2053,,,2.15,2.4,2.62,2.82
254,2054,,,2.15,2.42,2.66,2.87
255,2055,,,2.16,2.44,2.69,2.91
256,2056,,,2.17,2.47,2.73,2.95
257,2057,,,2.17,2.49,2.76,3.0
258,2058,,,2.18,2.51,2.8,3.04
259,2059,,,2.18,2.53,2.84,3.08
260,2060,,,2.19,2.55,2.87,3.12
261,2061,,,2.19,2.57,2.91,3.17
262,2062,,,2.19,2.59,2.95,3.22
263,2063,,,2.19,2.61,2.99,3.26
264,2064,,,2.19,2.63,3.03,3.31
265,2065,,,2.19,2.65,3.07,3.36
266,2066,,,2.19,2.66,3.1,3.4
267,2067,,,2.19,2.68,3.14,3.45
268,2068,,,2.19,2.7,3.18,3.49
269,2069,,,2.19,2.72,3.21,3.54
270,2070,,,2.19,2.73,3.25,3.59
271,2071,,,2.19,2.75,3.29,3.64
272,2072,,,2.19,2.76,3.33,3.68
273,2073,,,2.18,2.78,3.37,3.73
274,2074,,,2.18,2.8,3.41,3.78
275,2075,,,2.18,2.81,3.45,3.83
276,2076,,,2.18,2.82,3.49,3.87
277,2077,,,2.18,2.84,3.53,3.92
278,2078,,,2.18,2.85,3.56,3.97
279,2079,,,2.17,2.87,3.6,4.02
280,2080,,,2.17,2.88,3.64,4.07
281,2081,,,2.17,2.89,3.68,4.12
282,2082,,,2.17,2.9,3.72,4.17
283,2083,,,2.16,2.92,3.76,4.22
284,2084,,,2.16,2.93,3.8,4.27
285,2085,,,2.16,2.94,3.83,4.32
286,2086,,,2.15,2.95,3.87,4.37
287,2087,,,2.15,2.97,3.91,4.42
288,2088,,,2.14,2.98,3.95,4.47
289,2089,,,2.13,2.99,3.99,4.52
290,2090,,,2.13,3.0,4.03,4.57
291,2091,,,2.13,3.01,4.07,4.62
292,2092,,,2.12,3.02,4.11,4.67
293,2093,,,2.12,3.03,4.15,4.72
294,2094,,,2.11,3.04,4.19,4.76
295,2095,,,2.11,3.05,4.23,4.81
296,2096,,,2.1,3.06,4.27,4.86
297,2097,,,2.1,3.07,4.31,4.9
298,2098,,,2.09,3.08,4.35,4.95
299,2099,,,2.09,3.09,4.39,4.99
300,2100,,,2.08,3.1,4.43,5.05
