Mongolia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,0.10548387096774187,0.16,,,,
22,1822,-0.06451612903225817,0.12,,,,
23,1823,-0.5945161290322583,0.08,,,,
24,1824,0.5454838709677419,0.04,,,,
25,1825,0.06548387096774183,-0.01,,,,
26,1826,0.11548387096774188,-0.05,,,,
27,1827,0.7954838709677419,-0.09,,,,
28,1828,-0.2145161290322582,-0.13,,,,
29,1829,-0.28451612903225815,-0.17,,,,
30,1830,0.33548387096774185,-0.2,,,,
31,1831,-1.2345161290322582,-0.25,,,,
32,1832,-0.8645161290322583,-0.3,,,,
33,1833,-0.7445161290322582,-0.36,,,,
34,1834,0.05548387096774188,-0.41,,,,
35,1835,-0.40451612903225814,-0.43,,,,
36,1836,-0.19451612903225818,-0.43,,,,
37,1837,-0.5245161290322582,-0.39,,,,
38,1838,-0.4545161290322582,-0.33,,,,
39,1839,-1.1345161290322583,-0.27,,,,
40,1840,-0.4845161290322581,-0.2,,,,
41,1841,-1.5245161290322582,-0.14,,,,
42,1842,0.44548387096774184,-0.1,,,,
43,1843,0.5554838709677419,-0.05,,,,
44,1844,0.19548387096774184,-0.02,,,,
45,1845,-0.18451612903225817,0.01,,,,
46,1846,0.5854838709677419,0.03,,,,
47,1847,0.5154838709677418,0.04,,,,
48,1848,0.18548387096774183,0.04,,,,
49,1849,0.18548387096774183,0.04,,,,
50,1850,-0.4545161290322582,0.03,0.54,0.53,0.57,0.52
51,1851,-0.9345161290322581,0.02,0.55,0.53,0.57,0.52
52,1852,-0.17451612903225816,0.01,0.55,0.54,0.57,0.53
53,1853,-0.6745161290322581,-0.0,0.55,0.54,0.57,0.53
54,1854,0.28548387096774186,-0.02,0.55,0.54,0.57,0.53
55,1855,0.5754838709677419,-0.03,0.56,0.54,0.57,0.54
56,1856,0.16548387096774186,-0.04,0.56,0.54,0.57,0.54
57,1857,-0.3445161290322582,-0.04,0.56,0.55,0.57,0.54
58,1858,0.5954838709677419,-0.03,0.56,0.55,0.57,0.54
59,1859,0.7154838709677418,-0.01,0.57,0.55,0.58,0.55
60,1860,-1.2645161290322582,0.01,0.57,0.55,0.58,0.55
61,1861,-0.4845161290322581,0.03,0.57,0.55,0.58,0.55
62,1862,-1.1945161290322581,0.04,0.58,0.56,0.58,0.56
63,1863,0.7454838709677418,0.04,0.58,0.56,0.59,0.56
64,1864,-0.7945161290322582,0.02,0.59,0.57,0.59,0.57
65,1865,-0.08451612903225819,0.02,0.6,0.57,0.6,0.57
66,1866,0.5854838709677419,0.03,0.6,0.57,0.61,0.58
67,1867,1.1654838709677418,0.06,0.6,0.58,0.61,0.58
68,1868,0.24548387096774185,0.11,0.61,0.58,0.61,0.58
69,1869,0.21548387096774185,0.16,0.61,0.58,0.62,0.58
70,1870,-0.9245161290322581,0.2,0.61,0.58,0.62,0.58
71,1871,-0.08451612903225819,0.22,0.61,0.58,0.62,0.58
72,1872,-0.8645161290322583,0.22,0.61,0.58,0.61,0.58
73,1873,0.6854838709677419,0.22,0.6,0.57,0.61,0.57
74,1874,1.125483870967742,0.2,0.6,0.57,0.6,0.56
75,1875,0.5154838709677418,0.19,0.59,0.56,0.6,0.56
76,1876,0.37548387096774183,0.2,0.58,0.55,0.59,0.55
77,1877,0.07548387096774184,0.21,0.57,0.55,0.58,0.54
78,1878,0.18548387096774183,0.22,0.56,0.54,0.58,0.53
79,1879,0.03548387096774186,0.22,0.55,0.53,0.57,0.52
80,1880,-0.01451612903225813,0.2,0.54,0.52,0.56,0.51
81,1881,-0.1045161290322581,0.18,0.53,0.51,0.55,0.5
82,1882,0.46548387096774185,0.15,0.52,0.5,0.54,0.49
83,1883,0.02548387096774185,0.12,0.51,0.49,0.53,0.48
84,1884,0.07548387096774184,0.1,0.51,0.48,0.52,0.48
85,1885,0.26548387096774184,0.09,0.5,0.48,0.51,0.47
86,1886,0.4354838709677419,0.08,0.5,0.48,0.51,0.47
87,1887,0.18548387096774183,0.08,0.5,0.48,0.5,0.48
88,1888,-0.06451612903225817,0.09,0.5,0.48,0.5,0.48
89,1889,-0.3745161290322581,0.08,0.51,0.49,0.5,0.48
90,1890,-0.044516129032258156,0.08,0.51,0.49,0.51,0.48
91,1891,0.25548387096774183,0.07,0.51,0.49,0.51,0.49
92,1892,-0.7245161290322581,0.07,0.52,0.5,0.51,0.49
