Togo,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
134,1934,0.24000000000000005,0.31,0.46,0.46,0.47,0.47
135,1935,0.22000000000000006,0.34,0.47,0.46,0.47,0.48
136,1936,0.13000000000000006,0.37,0.47,0.47,0.48,0.48
137,1937,0.5800000000000001,0.4,0.48,0.48,0.49,0.49
138,1938,0.52,0.44,0.48,0.48,0.49,0.49
139,1939,0.15000000000000005,0.48,0.49,0.48,0.49,0.5
140,1940,0.67,0.51,0.49,0.49,0.5,0.5
141,1941,1.07,0.54,0.5,0.49,0.51,0.5
142,1942,0.7000000000000001,0.56,0.5,0.5,0.51,0.51
143,1943,0.26000000000000006,0.57,0.51,0.51,0.52,0.52
144,1944,0.7100000000000001,0.56,0.51,0.52,0.53,0.52
145,1945,0.66,0.55,0.52,0.52,0.54,0.53
146,1946,0.42000000000000004,0.53,0.53,0.53,0.54,0.54
147,1947,0.68,0.5,0.53,0.54,0.55,0.54
148,1948,0.23000000000000004,0.47,0.54,0.54,0.56,0.55
149,1949,0.6300000000000001,0.43,0.54,0.55,0.56,0.56
150,1950,0.26000000000000006,0.39,0.55,0.56,0.57,0.56
151,1951,0.53,0.34,0.56,0.56,0.58,0.57
152,1952,0.38000000000000006,0.31,0.57,0.57,0.58,0.58
153,1953,0.28,0.29,0.58,0.58,0.59,0.59
154,1954,0.050000000000000044,0.28,0.59,0.59,0.6,0.6
155,1955,0.020000000000000073,0.27,0.6,0.6,0.61,0.61
156,1956,0.06000000000000005,0.26,0.6,0.6,0.61,0.61
157,1957,0.25000000000000006,0.26,0.6,0.6,0.61,0.61
158,1958,0.4600000000000001,0.26,0.6,0.6,0.61,0.61
159,1959,0.48000000000000004,0.27,0.6,0.59,0.6,0.6
160,1960,0.39000000000000007,0.28,0.59,0.59,0.59,0.6
161,1961,0.21000000000000005,0.3,0.58,0.58,0.59,0.59
162,1962,0.19000000000000006,0.3,0.58,0.58,0.59,0.59
163,1963,0.44000000000000006,0.31,0.58,0.58,0.58,0.59
164,1964,0.12000000000000005,0.31,0.58,0.58,0.58,0.59
165,1965,0.22000000000000006,0.32,0.58,0.58,0.58,0.59
166,1966,0.48000000000000004,0.34,0.58,0.58,0.58,0.59
167,1967,0.13000000000000006,0.36,0.58,0.57,0.58,0.58
168,1968,0.31000000000000005,0.39,0.57,0.57,0.57,0.58
169,1969,0.6200000000000001,0.4,0.57,0.57,0.57,0.58
170,1970,0.6500000000000001,0.41,0.57,0.57,0.57,0.58
171,1971,0.21000000000000005,0.42,0.57,0.57,0.58,0.58
172,1972,0.54,0.42,0.58,0.58,0.59,0.59
173,1973,0.99,0.44,0.59,0.59,0.6,0.6
174,1974,0.33000000000000007,0.45,0.6,0.61,0.61,0.61
175,1975,0.20000000000000004,0.47,0.62,0.62,0.62,0.62
176,1976,0.020000000000000073,0.49,0.62,0.63,0.63,0.63
177,1977,0.6400000000000001,0.51,0.63,0.64,0.64,0.64
178,1978,0.39000000000000007,0.55,0.64,0.65,0.65,0.65
179,1979,0.74,0.58,0.65,0.66,0.66,0.66
180,1980,0.76,0.63,0.66,0.67,0.67,0.67
181,1981,0.75,0.68,0.67,0.68,0.69,0.68
182,1982,0.4600000000000001,0.72,0.69,0.69,0.7,0.7
183,1983,1.06,0.75,0.7,0.7,0.72,0.71
184,1984,0.8600000000000001,0.77,0.71,0.72,0.73,0.73
185,1985,0.6900000000000001,0.78,0.72,0.73,0.75,0.74
186,1986,0.6400000000000001,0.78,0.74,0.74,0.76,0.75
187,1987,1.4300000000000002,0.77,0.75,0.75,0.77,0.76
188,1988,0.9200000000000002,0.77,0.76,0.76,0.78,0.77
