Senegal,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
108,1908,0.1222727272727272,0.12,0.29,0.28,0.28,0.28
109,1909,0.002272727272727204,0.14,0.3,0.28,0.28,0.29
110,1910,0.18227272727272723,0.15,0.3,0.29,0.29,0.29
111,1911,0.14227272727272722,0.16,0.31,0.29,0.29,0.3
112,1912,0.3922727272727272,0.16,0.32,0.3,0.3,0.31
113,1913,0.5422727272727272,0.16,0.33,0.31,0.31,0.32
114,1914,0.3122727272727272,0.15,0.34,0.32,0.32,0.33
115,1915,0.30227272727272725,0.15,0.34,0.33,0.33,0.34
116,1916,-0.007727272727272805,0.15,0.35,0.34,0.34,0.35
117,1917,-0.29772727272727273,0.15,0.36,0.35,0.35,0.36
118,1918,-0.20772727272727276,0.15,0.37,0.36,0.36,0.37
119,1919,0.2522727272727272,0.15,0.38,0.37,0.37,0.37
120,1920,-0.08772727272727276,0.15,0.39,0.38,0.38,0.39
121,1921,0.20227272727272722,0.16,0.4,0.39,0.39,0.4
122,1922,0.2622727272727272,0.17,0.41,0.4,0.4,0.41
123,1923,0.4622727272727272,0.19,0.42,0.41,0.41,0.42
124,1924,0.1922727272727272,0.2,0.43,0.42,0.42,0.43
125,1925,0.29227272727272724,0.21,0.44,0.43,0.43,0.43
126,1926,0.6722727272727272,0.21,0.45,0.43,0.43,0.44
127,1927,0.1322727272727272,0.22,0.45,0.44,0.44,0.45
128,1928,0.04227272727272724,0.22,0.46,0.45,0.44,0.45
129,1929,-0.20772727272727276,0.22,0.46,0.45,0.45,0.46
130,1930,-0.09772727272727277,0.21,0.47,0.46,0.45,0.47
131,1931,0.6122727272727272,0.21,0.47,0.46,0.46,0.47
132,1932,0.3122727272727272,0.21,0.48,0.47,0.46,0.48
133,1933,0.35227272727272724,0.22,0.49,0.47,0.47,0.48
134,1934,0.08227272727272722,0.25,0.49,0.48,0.48,0.49
135,1935,0.23227272727272721,0.28,0.5,0.49,0.48,0.5
136,1936,0.2622727272727272,0.31,0.51,0.5,0.49,0.5
137,1937,0.30227272727272725,0.33,0.51,0.5,0.5,0.51
138,1938,0.35227272727272724,0.35,0.52,0.51,0.51,0.51
139,1939,0.2522727272727272,0.37,0.52,0.51,0.51,0.52
140,1940,0.4422727272727272,0.39,0.53,0.52,0.52,0.52
141,1941,0.7622727272727272,0.4,0.54,0.53,0.53,0.53
142,1942,0.47227272727272723,0.41,0.54,0.53,0.53,0.53
143,1943,0.1922727272727272,0.4,0.55,0.54,0.54,0.54
144,1944,0.6722727272727272,0.38,0.55,0.54,0.54,0.54
145,1945,0.6622727272727272,0.36,0.55,0.55,0.55,0.55
146,1946,0.23227272727272721,0.32,0.56,0.55,0.55,0.55
147,1947,0.3822727272727272,0.28,0.56,0.55,0.56,0.55
148,1948,-0.027727272727272767,0.25,0.56,0.56,0.56,0.56
149,1949,0.3222727272727272,0.21,0.56,0.56,0.56,0.56
150,1950,-0.007727272727272805,0.18,0.57,0.56,0.56,0.56
151,1951,0.1222727272727272,0.16,0.57,0.56,0.57,0.57
152,1952,-0.1377272727272728,0.15,0.58,0.57,0.57,0.57
153,1953,0.15227272727272723,0.15,0.58,0.57,0.57,0.57
154,1954,0.07227272727272721,0.16,0.59,0.58,0.57,0.58
155,1955,0.29227272727272724,0.18,0.59,0.58,0.58,0.58
156,1956,0.04227272727272724,0.21,0.6,0.58,0.58,0.59
157,1957,0.1222727272727272,0.25,0.6,0.59,0.58,0.59
158,1958,0.5922727272727273,0.28,0.6,0.58,0.58,0.59
159,1959,0.2622727272727272,0.31,0.6,0.58,0.57,0.59
160,1960,0.34227272727272723,0.33,0.59,0.58,0.57,0.58
161,1961,0.4022727272727272,0.34,0.59,0.58,0.56,0.58
162,1962,0.4922727272727272,0.34,0.59,0.57,0.56,0.58
163,1963,0.5522727272727272,0.35,0.58,0.57,0.56,0.58
164,1964,0.3822727272727272,0.37,0.58,0.57,0.56,0.57
165,1965,-0.047727272727272785,0.38,0.58,0.57,0.55,0.57
166,1966,0.5422727272727272,0.4,0.57,0.57,0.55,0.57
167,1967,-0.10772727272727278,0.42,0.57,0.57,0.55,0.57
168,1968,0.09227272727272723,0.43,0.57,0.57,0.55,0.56
169,1969,1.0322727272727272,0.43,0.57,0.57,0.55,0.56
170,1970,0.9022727272727272,0.43,0.57,0.57,0.56,0.56
171,1971,0.23227272727272721,0.45,0.57,0.57,0.56,0.57
172,1972,0.6322727272727272,0.49,0.58,0.58,0.58,0.58
173,1973,0.8622727272727272,0.54,0.6,0.6,0.59,0.59
174,1974,-0.10772727272727278,0.58,0.61,0.61,0.61,0.61
175,1975,0.15227272727272723,0.63,0.63,0.63,0.62,0.62
176,1976,0.07227272727272721,0.67,0.64,0.64,0.64,0.64
177,1977,0.9922727272727272,0.7,0.66,0.66,0.66,0.65
178,1978,0.6422727272727272,0.73,0.67,0.67,0.67,0.67
179,1979,1.0922727272727273,0.77,0.69,0.69,0.69,0.69
180,1980,1.082272727272727,0.81,0.71,0.71,0.71,0.7
181,1981,1.082272727272727,0.85,0.72,0.72,0.73,0.72
182,1982,0.4422727272727272,0.89,0.74,0.74,0.75,0.74
183,1983,1.542272727272727,0.92,0.76,0.76,0.77,0.76
184,1984,0.7922727272727272,0.94,0.78,0.78,0.79,0.78
185,1985,0.7122727272727272,0.95,0.79,0.79,0.8,0.79
186,1986,0.5822727272727273,0.96,0.81,0.81,0.82,0.81
187,1987,1.4522727272727272,0.97,0.82,0.82,0.83,0.82
188,1988,0.9822727272727272,0.99,0.84,0.84,0.84,0.83
189,1989,0.9322727272727273,1.02,0.85,0.85,0.86,0.85
190,1990,1.3222727272727273,1.05,0.87,0.87,0.88,0.87
191,1991,1.0122727272727272,1.1,0.89,0.89,0.89,0.89
192,1992,1.0322727272727272,1.14,0.91,0.91,0.92,0.91
193,1993,1.2022727272727272,1.18,0.94,0.93,0.94,0.93
194,1994,0.8322727272727273,1.2,0.96,0.96,0.96,0.96
195,1995,1.2022727272727272,1.23,0.99,0.98,0.99,0.98
196,1996,1.5522727272727272,1.25,1.01,1.01,1.01,1.0
197,1997,1.5322727272727272,1.27,1.04,1.03,1.04,1.03
198,1998,1.792272727272727,1.29,1.06,1.06,1.06,1.05
199,1999,0.7022727272727272,1.31,1.09,1.08,1.09,1.08
200,2000,1.0322727272727272,1.33,1.12,1.11,1.12,1.11
201,2001,1.522272727272727,1.34,1.15,1.14,1.15,1.14
202,2002,1.4822727272727274,1.34,1.18,1.18,1.18,1.17
203,2003,1.122272727272727,1.33,1.21,1.21,1.21,1.2
204,2004,1.2622727272727272,1.33,1.24,1.24,1.24,1.23
205,2005,1.5522727272727272,1.33,1.27,1.27,1.27,1.26
206,2006,1.2922727272727272,1.34,1.3,1.3,1.3,1.29
207,2007,1.4022727272727273,1.34,1.32,1.33,1.33,1.32
208,2008,1.3822727272727273,1.34,1.35,1.35,1.35,1.35
209,2009,0.9522727272727273,1.35,1.37,1.38,1.38,1.37
210,2010,1.772272727272727,1.36,1.39,1.4,1.4,1.4
211,2011,1.332272727272727,1.38,1.42,1.42,1.43,1.42
212,2012,1.0722727272727273,1.4,1.45,1.45,1.46,1.45
213,2013,1.392272727272727,1.44,1.48,1.48,1.48,1.48
214,2014,1.3022727272727272,1.48,1.51,1.51,1.51,1.51
215,2015,1.392272727272727,1.52,1.54,1.54,1.54,1.54
216,2016,1.8222727272727273,1.56,1.57,1.57,1.56,1.57
217,2017,1.852272727272727,1.6,1.6,1.59,1.59,1.6
218,2018,1.2722727272727272,1.65,1.63,1.62,1.62,1.63
219,2019,1.6322727272727273,1.7,1.66,1.65,1.64,1.66
220,2020,1.9722727272727272,1.75,1.69,1.68,1.67,1.69
221,2021,,,1.72,1.71,1.7,1.73
222,2022,,,1.75,1.74,1.72,1.76
223,2023,,,1.78,1.77,1.75,1.8
224,2024,,,1.81,1.8,1.77,1.83
225,2025,,,1.84,1.83,1.8,1.87
226,2026,,,1.87,1.86,1.82,1.91
227,2027,,,1.9,1.89,1.85,1.94
228,2028,,,1.92,1.92,1.88,1.98
229,2029,,,1.95,1.95,1.91,2.02
230,2030,,,1.98,1.98,1.94,2.06
231,2031,,,2.0,2.0,1.97,2.09
232,2032,,,2.03,2.03,2.01,2.13
233,2033,,,2.05,2.06,2.04,2.17
234,2034,,,2.07,2.08,2.07,2.21
235,2035,,,2.09,2.11,2.1,2.24
236,2036,,,2.11,2.14,2.14,2.28
237,2037,,,2.12,2.16,2.18,2.32
238,2038,,,2.14,2.19,2.21,2.36
239,2039,,,2.16,2.22,2.25,2.4
240,2040,,,2.17,2.24,2.29,2.45
241,2041,,,2.19,2.27,2.33,2.5
242,2042,,,2.2,2.3,2.36,2.54
243,2043,,,2.21,2.33,2.4,2.59
244,2044,,,2.22,2.35,2.44,2.64
245,2045,,,2.23,2.37,2.48,2.69
246,2046,,,2.24,2.4,2.52,2.74
247,2047,,,2.25,2.43,2.56,2.78
248,2048,,,2.26,2.46,2.6,2.83
249,2049,,,2.27,2.48,2.64,2.88
250,2050,,,2.28,2.51,2.68,2.93
251,2051,,,2.29,2.55,2.72,2.98
252,2052,,,2.29,2.57,2.76,3.03
253,2053,,,2.3,2.6,2.8,3.09
254,2054,,,2.3,2.63,2.84,3.14
255,2055,,,2.31,2.66,2.89,3.19
256,2056,,,2.32,2.69,2.93,3.24
257,2057,,,2.32,2.71,2.97,3.3
258,2058,,,2.33,2.74,3.01,3.35
259,2059,,,2.33,2.77,3.05,3.4
260,2060,,,2.33,2.79,3.08,3.45
261,2061,,,2.34,2.82,3.12,3.51
262,2062,,,2.34,2.84,3.16,3.56
263,2063,,,2.34,2.86,3.2,3.62
264,2064,,,2.35,2.88,3.24,3.68
265,2065,,,2.35,2.9,3.29,3.74
266,2066,,,2.35,2.92,3.33,3.8
267,2067,,,2.34,2.94,3.37,3.85
268,2068,,,2.34,2.95,3.41,3.91
269,2069,,,2.35,2.97,3.45,3.96
270,2070,,,2.34,2.99,3.49,4.02
271,2071,,,2.34,3.01,3.54,4.08
272,2072,,,2.34,3.03,3.58,4.13
273,2073,,,2.34,3.05,3.63,4.19
274,2074,,,2.34,3.07,3.67,4.26
275,2075,,,2.34,3.09,3.72,4.32
276,2076,,,2.34,3.1,3.76,4.38
277,2077,,,2.34,3.12,3.81,4.44
278,2078,,,2.33,3.14,3.85,4.49
279,2079,,,2.33,3.16,3.9,4.56
280,2080,,,2.33,3.18,3.95,4.61
281,2081,,,2.33,3.19,3.99,4.67
282,2082,,,2.33,3.21,4.03,4.73
283,2083,,,2.33,3.22,4.07,4.79
284,2084,,,2.33,3.24,4.12,4.85
285,2085,,,2.32,3.25,4.16,4.9
286,2086,,,2.32,3.27,4.21,4.96
287,2087,,,2.31,3.28,4.25,5.02
288,2088,,,2.3,3.3,4.3,5.07
289,2089,,,2.29,3.31,4.35,5.13
290,2090,,,2.28,3.32,4.39,5.19
291,2091,,,2.27,3.34,4.44,5.25
292,2092,,,2.26,3.35,4.49,5.3
293,2093,,,2.25,3.37,4.53,5.36
294,2094,,,2.24,3.38,4.58,5.41
295,2095,,,2.23,3.39,4.63,5.47
296,2096,,,2.22,3.41,4.67,5.52
297,2097,,,2.21,3.42,4.72,5.57
298,2098,,,2.19,3.43,4.76,5.62
299,2099,,,2.18,3.44,4.81,5.68
300,2100,,,2.17,3.46,4.86,5.74
