Cuba,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
85,1885,-0.08709677419354833,0.02,0.33,0.32,0.33,0.31
86,1886,-0.47709677419354835,-0.0,0.33,0.31,0.33,0.31
87,1887,-0.3270967741935483,-0.02,0.33,0.31,0.33,0.3
88,1888,0.012903225806451646,-0.04,0.32,0.31,0.32,0.3
89,1889,0.13290322580645164,-0.04,0.32,0.31,0.32,0.3
90,1890,-0.007096774193548372,-0.04,0.32,0.31,0.32,0.3
91,1891,0.12290322580645163,-0.02,0.32,0.31,0.33,0.3
92,1892,-0.21709677419354834,0.0,0.33,0.31,0.33,0.3
93,1893,-0.01709677419354838,0.04,0.33,0.32,0.34,0.31
94,1894,-0.06709677419354831,0.07,0.34,0.32,0.34,0.31
95,1895,-0.06709677419354831,0.09,0.34,0.33,0.35,0.32
96,1896,0.12290322580645163,0.1,0.34,0.33,0.35,0.32
97,1897,0.44290322580645164,0.11,0.35,0.33,0.35,0.32
98,1898,0.20290322580645165,0.12,0.35,0.33,0.35,0.32
99,1899,0.3529032258064516,0.13,0.34,0.33,0.35,0.32
100,1900,0.3529032258064516,0.14,0.34,0.33,0.35,0.32
101,1901,-0.24709677419354836,0.14,0.34,0.33,0.35,0.32
102,1902,0.13290322580645164,0.14,0.35,0.33,0.35,0.32
103,1903,0.10290322580645167,0.12,0.34,0.33,0.35,0.32
104,1904,-0.13709677419354838,0.11,0.34,0.33,0.35,0.32
105,1905,0.28290322580645166,0.1,0.34,0.33,0.35,0.32
106,1906,-0.047096774193548296,0.09,0.34,0.33,0.34,0.32
107,1907,0.19290322580645164,0.1,0.34,0.32,0.34,0.32
108,1908,0.15290322580645166,0.1,0.34,0.32,0.34,0.31
109,1909,-0.08709677419354833,0.11,0.34,0.32,0.34,0.31
110,1910,-0.5470967741935484,0.1,0.34,0.32,0.34,0.31
111,1911,0.2929032258064517,0.1,0.34,0.32,0.34,0.31
112,1912,0.39290322580645165,0.1,0.34,0.33,0.35,0.32
113,1913,0.002903225806451637,0.1,0.35,0.33,0.35,0.32
114,1914,0.07290322580645164,0.11,0.35,0.34,0.36,0.33
115,1915,0.20290322580645165,0.12,0.36,0.34,0.36,0.33
116,1916,-0.08709677419354833,0.13,0.36,0.35,0.37,0.34
117,1917,-0.33709677419354833,0.15,0.36,0.35,0.37,0.34
118,1918,0.06290322580645163,0.17,0.37,0.36,0.38,0.35
119,1919,0.32290322580645164,0.19,0.37,0.36,0.38,0.35
120,1920,0.18290322580645163,0.22,0.38,0.37,0.39,0.36
121,1921,0.3529032258064516,0.25,0.38,0.37,0.4,0.36
122,1922,0.28290322580645166,0.29,0.39,0.38,0.4,0.37
123,1923,0.26290322580645165,0.32,0.4,0.39,0.41,0.38
124,1924,0.49290322580645163,0.34,0.41,0.4,0.42,0.39
125,1925,0.46290322580645166,0.36,0.41,0.4,0.42,0.39
126,1926,0.41290322580645167,0.37,0.42,0.41,0.43,0.4
127,1927,0.46290322580645166,0.38,0.42,0.41,0.43,0.4
128,1928,0.25290322580645164,0.37,0.43,0.42,0.44,0.41
129,1929,0.45290322580645165,0.37,0.43,0.42,0.44,0.41
130,1930,0.3629032258064516,0.36,0.44,0.43,0.45,0.42
131,1931,0.26290322580645165,0.35,0.45,0.44,0.45,0.42
132,1932,0.47290322580645167,0.34,0.45,0.44,0.46,0.43
133,1933,0.39290322580645165,0.33,0.46,0.45,0.47,0.44
134,1934,0.15290322580645166,0.32,0.47,0.45,0.47,0.44
135,1935,0.10290322580645167,0.32,0.47,0.46,0.48,0.45
136,1936,0.33290322580645165,0.32,0.48,0.46,0.48,0.45
137,1937,0.49290322580645163,0.32,0.48,0.47,0.48,0.46
138,1938,0.25290322580645164,0.33,0.48,0.47,0.48,0.46
139,1939,0.3029032258064517,0.33,0.49,0.47,0.49,0.46
140,1940,0.09290322580645166,0.35,0.49,0.47,0.49,0.47
141,1941,0.5629032258064517,0.38,0.5,0.48,0.49,0.47
142,1942,0.5829032258064517,0.41,0.5,0.48,0.5,0.47
143,1943,0.19290322580645164,0.43,0.5,0.48,0.5,0.48
144,1944,0.34290322580645166,0.45,0.5,0.49,0.5,0.48
145,1945,0.32290322580645164,0.46,0.51,0.49,0.5,0.48
146,1946,0.7329032258064516,0.47,0.51,0.49,0.5,0.48
147,1947,0.7129032258064516,0.47,0.51,0.49,0.51,0.49
148,1948,0.9729032258064516,0.47,0.51,0.5,0.51,0.49
149,1949,0.5329032258064517,0.47,0.51,0.5,0.51,0.49
150,1950,-0.01709677419354838,0.47,0.52,0.5,0.51,0.49
151,1951,0.34290322580645166,0.47,0.52,0.51,0.52,0.5
152,1952,0.40290322580645166,0.46,0.52,0.51,0.52,0.5
153,1953,0.7529032258064516,0.46,0.53,0.51,0.52,0.5
154,1954,0.3029032258064517,0.45,0.53,0.51,0.52,0.5
155,1955,0.24290322580645163,0.46,0.52,0.51,0.52,0.5
156,1956,0.24290322580645163,0.48,0.52,0.51,0.52,0.5
157,1957,0.6729032258064517,0.49,0.52,0.5,0.51,0.5
158,1958,0.5329032258064517,0.51,0.51,0.5,0.51,0.49
159,1959,0.8929032258064517,0.52,0.5,0.49,0.5,0.49
160,1960,0.4829032258064517,0.53,0.5,0.49,0.5,0.48
161,1961,0.6629032258064517,0.53,0.49,0.48,0.49,0.48
162,1962,0.46290322580645166,0.53,0.49,0.48,0.49,0.47
163,1963,0.5329032258064517,0.52,0.48,0.47,0.48,0.47
164,1964,0.7929032258064517,0.5,0.48,0.47,0.48,0.46
165,1965,0.4829032258064517,0.49,0.48,0.47,0.48,0.46
166,1966,0.15290322580645166,0.48,0.47,0.47,0.48,0.46
167,1967,0.4829032258064517,0.48,0.47,0.46,0.47,0.46
168,1968,0.19290322580645164,0.49,0.47,0.46,0.47,0.46
169,1969,0.5429032258064517,0.5,0.47,0.46,0.47,0.46
170,1970,0.26290322580645165,0.51,0.48,0.47,0.48,0.46
171,1971,0.5229032258064517,0.52,0.48,0.47,0.48,0.47
172,1972,0.8329032258064517,0.54,0.49,0.48,0.49,0.47
173,1973,0.6429032258064517,0.56,0.5,0.49,0.5,0.48
174,1974,0.5629032258064517,0.58,0.51,0.5,0.51,0.49
175,1975,0.8429032258064517,0.6,0.52,0.51,0.52,0.5
176,1976,0.45290322580645165,0.62,0.53,0.52,0.53,0.51
177,1977,0.6129032258064516,0.63,0.54,0.53,0.54,0.52
178,1978,0.5529032258064517,0.63,0.55,0.53,0.55,0.53
179,1979,0.6329032258064516,0.64,0.55,0.54,0.56,0.54
180,1980,0.7329032258064516,0.64,0.56,0.55,0.57,0.55
181,1981,0.33290322580645165,0.66,0.57,0.56,0.58,0.56
182,1982,0.9629032258064516,0.67,0.58,0.58,0.59,0.57
183,1983,0.7629032258064516,0.7,0.6,0.59,0.61,0.59
184,1984,0.5029032258064516,0.74,0.61,0.61,0.62,0.6
185,1985,0.5729032258064517,0.77,0.63,0.62,0.64,0.62
186,1986,0.7929032258064517,0.8,0.64,0.64,0.65,0.63
187,1987,0.8829032258064516,0.84,0.66,0.66,0.67,0.65
188,1988,0.8529032258064517,0.87,0.68,0.67,0.69,0.67
189,1989,0.9229032258064517,0.91,0.7,0.69,0.71,0.69
190,1990,1.1629032258064518,0.94,0.72,0.72,0.73,0.71
191,1991,1.1729032258064516,0.98,0.74,0.74,0.76,0.73
192,1992,0.8629032258064517,1.01,0.77,0.77,0.78,0.76
193,1993,0.9329032258064516,1.03,0.8,0.8,0.81,0.79
194,1994,1.2629032258064516,1.03,0.83,0.83,0.84,0.82
195,1995,1.0629032258064517,1.03,0.86,0.85,0.86,0.84
196,1996,0.5929032258064517,1.03,0.88,0.88,0.89,0.87
197,1997,1.3729032258064517,1.03,0.91,0.9,0.92,0.89
198,1998,1.3529032258064517,1.04,0.93,0.93,0.94,0.92
199,1999,0.7429032258064516,1.04,0.96,0.95,0.96,0.94
200,2000,0.7429032258064516,1.04,0.98,0.98,0.99,0.97
201,2001,0.8729032258064516,1.04,1.01,1.0,1.02,0.99
202,2002,1.2729032258064517,1.04,1.04,1.03,1.05,1.02
203,2003,1.2729032258064517,1.03,1.06,1.06,1.07,1.05
204,2004,1.0529032258064517,1.03,1.09,1.08,1.1,1.08
205,2005,0.9529032258064516,1.03,1.12,1.11,1.12,1.1
206,2006,0.9929032258064516,1.04,1.14,1.13,1.15,1.13
207,2007,1.1429032258064518,1.05,1.16,1.16,1.17,1.15
208,2008,0.9929032258064516,1.06,1.18,1.18,1.19,1.18
209,2009,0.9829032258064516,1.09,1.21,1.2,1.21,1.2
210,2010,0.5729032258064517,1.12,1.23,1.23,1.24,1.22
211,2011,1.0729032258064517,1.16,1.25,1.25,1.26,1.25
212,2012,1.0129032258064516,1.2,1.28,1.28,1.28,1.28
213,2013,1.2929032258064517,1.26,1.3,1.3,1.3,1.3
214,2014,1.2629032258064516,1.32,1.33,1.33,1.33,1.33
215,2015,1.7529032258064516,1.39,1.36,1.36,1.35,1.36
216,2016,1.5129032258064516,1.46,1.38,1.38,1.37,1.38
217,2017,1.4429032258064516,1.52,1.4,1.4,1.39,1.41
218,2018,1.3429032258064515,1.59,1.43,1.43,1.42,1.44
219,2019,1.7129032258064516,1.66,1.45,1.45,1.44,1.46
220,2020,1.8429032258064517,1.73,1.47,1.48,1.46,1.49
221,2021,,,1.49,1.51,1.49,1.52
222,2022,,,1.51,1.54,1.51,1.55
223,2023,,,1.53,1.56,1.54,1.58
224,2024,,,1.55,1.59,1.56,1.6
225,2025,,,1.58,1.62,1.59,1.63
226,2026,,,1.6,1.64,1.61,1.66
227,2027,,,1.63,1.67,1.64,1.69
228,2028,,,1.65,1.7,1.67,1.73
229,2029,,,1.67,1.72,1.7,1.76
230,2030,,,1.69,1.75,1.73,1.79
231,2031,,,1.71,1.77,1.76,1.82
232,2032,,,1.74,1.79,1.78,1.85
233,2033,,,1.75,1.81,1.81,1.89
234,2034,,,1.77,1.83,1.84,1.92
235,2035,,,1.79,1.84,1.87,1.95
236,2036,,,1.81,1.86,1.89,1.99
237,2037,,,1.82,1.88,1.92,2.02
238,2038,,,1.83,1.9,1.95,2.06
239,2039,,,1.84,1.92,1.98,2.09
240,2040,,,1.85,1.94,2.01,2.13
241,2041,,,1.86,1.96,2.04,2.17
242,2042,,,1.87,1.98,2.07,2.21
243,2043,,,1.88,2.0,2.1,2.25
244,2044,,,1.88,2.01,2.13,2.28
245,2045,,,1.89,2.03,2.16,2.32
246,2046,,,1.89,2.05,2.19,2.35
247,2047,,,1.9,2.07,2.22,2.39
248,2048,,,1.91,2.09,2.24,2.42
249,2049,,,1.91,2.1,2.27,2.46
250,2050,,,1.92,2.12,2.3,2.5
251,2051,,,1.93,2.15,2.32,2.54
252,2052,,,1.94,2.16,2.35,2.57
253,2053,,,1.94,2.18,2.38,2.61
254,2054,,,1.95,2.2,2.41,2.65
255,2055,,,1.95,2.22,2.44,2.69
256,2056,,,1.95,2.24,2.46,2.73
257,2057,,,1.96,2.26,2.49,2.77
258,2058,,,1.96,2.28,2.52,2.81
259,2059,,,1.96,2.3,2.56,2.85
260,2060,,,1.96,2.32,2.59,2.88
261,2061,,,1.96,2.34,2.62,2.93
262,2062,,,1.96,2.36,2.66,2.97
263,2063,,,1.97,2.38,2.69,3.02
264,2064,,,1.97,2.39,2.72,3.06
265,2065,,,1.97,2.41,2.76,3.1
266,2066,,,1.97,2.42,2.79,3.14
267,2067,,,1.97,2.44,2.83,3.19
268,2068,,,1.97,2.45,2.86,3.23
269,2069,,,1.97,2.46,2.89,3.27
270,2070,,,1.97,2.47,2.93,3.32
271,2071,,,1.97,2.48,2.96,3.37
272,2072,,,1.98,2.5,2.99,3.41
273,2073,,,1.98,2.51,3.03,3.45
274,2074,,,1.98,2.53,3.06,3.5
275,2075,,,1.98,2.54,3.09,3.55
276,2076,,,1.98,2.55,3.12,3.59
277,2077,,,1.98,2.57,3.15,3.63
278,2078,,,1.97,2.58,3.18,3.68
279,2079,,,1.97,2.59,3.22,3.72
280,2080,,,1.97,2.61,3.25,3.76
281,2081,,,1.97,2.62,3.28,3.8
282,2082,,,1.96,2.64,3.32,3.84
283,2083,,,1.96,2.65,3.35,3.89
284,2084,,,1.96,2.66,3.38,3.93
285,2085,,,1.95,2.68,3.42,3.97
286,2086,,,1.95,2.69,3.45,4.01
287,2087,,,1.94,2.7,3.48,4.05
288,2088,,,1.93,2.71,3.52,4.1
289,2089,,,1.93,2.71,3.56,4.14
290,2090,,,1.93,2.72,3.59,4.18
291,2091,,,1.92,2.73,3.63,4.22
292,2092,,,1.92,2.73,3.66,4.27
293,2093,,,1.91,2.74,3.7,4.31
294,2094,,,1.91,2.74,3.73,4.35
295,2095,,,1.9,2.75,3.77,4.39
296,2096,,,1.9,2.75,3.8,4.43
297,2097,,,1.9,2.76,3.84,4.47
298,2098,,,1.89,2.76,3.87,4.51
299,2099,,,1.89,2.76,3.91,4.54
300,2100,,,1.88,2.77,3.95,4.59
