Saudi Arabia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,-1.2361290322580645,-1.23,,,,
10,1810,-1.2061290322580644,-1.17,,,,
11,1811,-1.3861290322580646,-1.11,,,,
12,1812,-1.0861290322580646,-1.05,,,,
13,1813,-0.8561290322580646,-0.99,,,,
14,1814,-0.5861290322580646,-0.93,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,-0.5061290322580645,-0.49,,,,
22,1822,-0.7661290322580645,-0.44,,,,
23,1823,-0.3761290322580645,-0.4,,,,
24,1824,0.21387096774193548,-0.37,,,,
25,1825,-0.3961290322580645,-0.36,,,,
26,1826,-0.2661290322580645,-0.37,,,,
27,1827,0.4638709677419355,-0.39,,,,
28,1828,-0.3761290322580645,-0.4,,,,
29,1829,-0.3761290322580645,-0.42,,,,
30,1830,0.01387096774193547,-0.44,,,,
31,1831,-0.6761290322580644,-0.49,,,,
32,1832,-1.2661290322580645,-0.55,,,,
33,1833,-0.43612903225806454,-0.6,,,,
34,1834,-0.5361290322580645,-0.65,,,,
35,1835,-0.9161290322580646,-0.69,,,,
36,1836,-0.6861290322580644,-0.71,,,,
37,1837,-0.9061290322580646,-0.72,,,,
38,1838,-0.9661290322580645,-0.71,,,,
39,1839,-0.8061290322580645,-0.68,,,,
40,1840,-0.7461290322580645,-0.65,,,,
41,1841,-0.6961290322580644,-0.6,,,,
42,1842,-0.32612903225806456,-0.55,,,,
43,1843,-0.3961290322580645,-0.49,,,,
44,1844,-0.6261290322580646,-0.44,,,,
45,1845,-0.46612903225806457,-0.39,,,,
46,1846,0.20387096774193547,-0.34,,,,
47,1847,-0.11612903225806448,-0.3,,,,
48,1848,-0.3661290322580645,-0.26,,,,
49,1849,-0.21612903225806457,-0.24,,,,
50,1850,-0.6661290322580646,-0.22,0.13,0.1,0.1,0.1
51,1851,0.05387096774193545,-0.21,0.13,0.1,0.11,0.1
52,1852,-0.18612903225806454,-0.2,0.13,0.11,0.11,0.1
53,1853,0.1038709677419355,-0.19,0.13,0.11,0.11,0.1
54,1854,-0.33612903225806456,-0.18,0.14,0.11,0.11,0.1
55,1855,-0.03612903225806452,-0.17,0.14,0.11,0.12,0.1
56,1856,-0.3661290322580645,-0.17,0.14,0.11,0.12,0.1
57,1857,-0.7361290322580645,-0.17,0.14,0.11,0.12,0.11
58,1858,0.13387096774193546,-0.17,0.14,0.11,0.12,0.11
59,1859,0.06387096774193546,-0.15,0.15,0.11,0.13,0.11
60,1860,0.15387096774193548,-0.12,0.15,0.12,0.13,0.11
61,1861,-0.5361290322580645,-0.07,0.15,0.12,0.13,0.11
62,1862,-0.8061290322580645,-0.03,0.15,0.12,0.13,0.11
63,1863,-0.45612903225806456,0.02,0.15,0.12,0.13,0.11
64,1864,0.32387096774193547,0.05,0.15,0.11,0.13,0.11
65,1865,0.4038709677419355,0.08,0.15,0.11,0.12,0.11
66,1866,0.22387096774193546,0.1,0.15,0.11,0.12,0.11
67,1867,0.37387096774193546,0.12,0.15,0.11,0.12,0.11
68,1868,0.12387096774193546,0.14,0.15,0.11,0.12,0.11
69,1869,0.49387096774193545,0.15,0.15,0.11,0.12,0.11
70,1870,0.13387096774193546,0.15,0.15,0.11,0.12,0.11
71,1871,-0.2661290322580645,0.15,0.15,0.11,0.12,0.11
72,1872,-0.06612903225806455,0.16,0.15,0.12,0.13,0.11
73,1873,0.30387096774193545,0.17,0.15,0.12,0.13,0.12
74,1874,0.05387096774193545,0.18,0.15,0.12,0.14,0.12
75,1875,-0.5061290322580645,0.18,0.15,0.12,0.14,0.12
76,1876,0.22387096774193546,0.19,0.15,0.12,0.14,0.12
77,1877,0.7338709677419355,0.18,0.15,0.12,0.14,0.12
78,1878,0.7638709677419355,0.18,0.15,0.12,0.14,0.11
79,1879,0.3438709677419355,0.17,0.15,0.11,0.14,0.11
80,1880,-0.04612903225806453,0.15,0.14,0.11,0.13,0.1
81,1881,0.5838709677419355,0.13,0.14,0.1,0.13,0.1
82,1882,-0.29612903225806453,0.11,0.13,0.09,0.12,0.09
83,1883,0.023870967741935478,0.08,0.13,0.09,0.12,0.09
84,1884,-0.2761290322580645,0.05,0.12,0.09,0.12,0.08
85,1885,0.023870967741935478,0.04,0.12,0.09,0.12,0.08
86,1886,-0.24612903225806448,0.03,0.12,0.09,0.12,0.08
87,1887,-0.15612903225806452,0.03,0.12,0.09,0.12,0.08
88,1888,0.3338709677419355,0.03,0.12,0.08,0.12,0.08
89,1889,0.4138709677419355,0.04,0.11,0.08,0.11,0.07
