Singapore,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
100,1900,0.5817241379310344,0.23,0.5,0.51,0.53,0.49
101,1901,0.14172413793103444,0.23,0.51,0.51,0.54,0.5
102,1902,0.08172413793103439,0.23,0.51,0.52,0.54,0.5
103,1903,0.25172413793103443,0.21,0.51,0.52,0.54,0.5
104,1904,-0.09827586206896555,0.19,0.52,0.52,0.55,0.51
105,1905,0.5617241379310345,0.17,0.52,0.52,0.55,0.51
106,1906,0.17172413793103442,0.17,0.52,0.53,0.55,0.51
107,1907,0.1617241379310344,0.16,0.52,0.53,0.55,0.51
108,1908,0.08172413793103439,0.17,0.52,0.53,0.55,0.51
109,1909,0.1617241379310344,0.18,0.52,0.53,0.55,0.51
110,1910,-0.018275862068965587,0.18,0.53,0.53,0.55,0.52
111,1911,0.18172413793103442,0.18,0.53,0.53,0.56,0.52
112,1912,0.3417241379310344,0.17,0.53,0.54,0.56,0.52
113,1913,0.07172413793103438,0.17,0.54,0.54,0.57,0.53
114,1914,0.44172413793103443,0.17,0.54,0.55,0.57,0.53
115,1915,0.4917241379310344,0.17,0.55,0.55,0.58,0.54
116,1916,0.10172413793103441,0.16,0.55,0.56,0.58,0.54
117,1917,-0.2682758620689656,0.16,0.56,0.56,0.59,0.55
118,1918,-0.2582758620689656,0.15,0.56,0.57,0.59,0.55
119,1919,0.39172413793103444,0.13,0.57,0.57,0.6,0.56
120,1920,0.24172413793103442,0.12,0.57,0.58,0.6,0.56
121,1921,0.02172413793103445,0.12,0.58,0.58,0.61,0.57
122,1922,0.051724137931034475,0.12,0.59,0.59,0.62,0.58
123,1923,0.06172413793103437,0.13,0.59,0.6,0.62,0.58
124,1924,0.13172413793103444,0.15,0.6,0.6,0.63,0.59
125,1925,-0.038275862068965605,0.17,0.6,0.6,0.63,0.59
126,1926,0.3617241379310344,0.19,0.61,0.61,0.63,0.6
127,1927,0.17172413793103442,0.21,0.61,0.61,0.64,0.6
128,1928,0.2817241379310344,0.22,0.62,0.62,0.64,0.6
129,1929,0.18172413793103442,0.23,0.62,0.62,0.65,0.61
130,1930,0.4217241379310344,0.24,0.63,0.63,0.65,0.61
131,1931,0.5917241379310344,0.26,0.63,0.63,0.66,0.62
132,1932,0.24172413793103442,0.27,0.64,0.64,0.66,0.63
133,1933,0.11172413793103442,0.28,0.64,0.64,0.67,0.63
134,1934,-0.018275862068965587,0.3,0.65,0.65,0.67,0.64
135,1935,0.26172413793103444,0.32,0.65,0.65,0.68,0.64
136,1936,0.31172413793103443,0.34,0.66,0.66,0.68,0.65
137,1937,0.44172413793103443,0.36,0.67,0.66,0.69,0.65
138,1938,0.3717241379310344,0.38,0.67,0.67,0.69,0.66
139,1939,0.31172413793103443,0.4,0.68,0.67,0.7,0.66
140,1940,0.5617241379310345,0.43,0.68,0.68,0.7,0.67
141,1941,0.9717241379310344,0.46,0.69,0.68,0.7,0.67
142,1942,0.6717241379310345,0.48,0.69,0.69,0.71,0.68
143,1943,0.26172413793103444,0.5,0.7,0.69,0.71,0.68
144,1944,0.4617241379310344,0.51,0.7,0.7,0.72,0.69
145,1945,0.3717241379310344,0.52,0.7,0.7,0.72,0.69
146,1946,0.6217241379310344,0.52,0.71,0.71,0.73,0.7
147,1947,0.6817241379310344,0.53,0.71,0.71,0.73,0.7
148,1948,0.5517241379310345,0.53,0.72,0.72,0.74,0.7
149,1949,0.5117241379310344,0.53,0.72,0.72,0.74,0.71
150,1950,0.33172413793103445,0.53,0.72,0.72,0.74,0.71
151,1951,0.6017241379310344,0.53,0.72,0.73,0.74,0.71
152,1952,0.6517241379310345,0.53,0.73,0.73,0.75,0.72
153,1953,0.6817241379310344,0.53,0.73,0.73,0.75,0.72
154,1954,0.3617241379310344,0.54,0.74,0.74,0.76,0.73
155,1955,0.41172413793103446,0.54,0.74,0.74,0.76,0.73
156,1956,0.3017241379310344,0.55,0.74,0.74,0.76,0.73
157,1957,0.5917241379310344,0.55,0.74,0.74,0.76,0.73
158,1958,0.9117241379310344,0.55,0.73,0.74,0.75,0.73
159,1959,0.6217241379310344,0.55,0.73,0.73,0.75,0.72
160,1960,0.6217241379310344,0.56,0.72,0.73,0.74,0.72
161,1961,0.5317241379310345,0.57,0.72,0.72,0.74,0.71
162,1962,0.39172413793103444,0.58,0.71,0.72,0.73,0.71
163,1963,0.6217241379310344,0.59,0.71,0.72,0.73,0.71
164,1964,0.5317241379310345,0.6,0.71,0.72,0.73,0.71
165,1965,0.4917241379310344,0.6,0.71,0.72,0.73,0.71
166,1966,0.7717241379310344,0.61,0.71,0.72,0.73,0.7
167,1967,0.5217241379310344,0.62,0.71,0.71,0.73,0.7
168,1968,0.6117241379310344,0.63,0.71,0.71,0.73,0.7
169,1969,0.9617241379310344,0.63,0.71,0.71,0.73,0.7
170,1970,0.7317241379310344,0.63,0.71,0.72,0.73,0.7
171,1971,0.4917241379310344,0.64,0.72,0.72,0.74,0.71
172,1972,0.7617241379310344,0.65,0.73,0.73,0.75,0.72
173,1973,0.7217241379310344,0.66,0.74,0.75,0.76,0.73
174,1974,0.38172413793103444,0.68,0.75,0.76,0.78,0.74
175,1975,0.44172413793103443,0.69,0.77,0.77,0.79,0.76
176,1976,0.5117241379310344,0.71,0.78,0.78,0.8,0.77
177,1977,0.8217241379310345,0.73,0.79,0.79,0.81,0.78
178,1978,0.8317241379310344,0.75,0.8,0.8,0.82,0.79
179,1979,0.8817241379310344,0.78,0.81,0.82,0.83,0.8
180,1980,0.8817241379310344,0.8,0.82,0.83,0.85,0.81
181,1981,0.9117241379310344,0.82,0.83,0.84,0.86,0.82
182,1982,0.7917241379310345,0.84,0.84,0.85,0.87,0.83
183,1983,1.2317241379310344,0.85,0.86,0.86,0.88,0.84
184,1984,0.38172413793103444,0.86,0.87,0.87,0.89,0.85
185,1985,0.7117241379310344,0.87,0.88,0.88,0.9,0.86
186,1986,0.7717241379310344,0.87,0.89,0.89,0.91,0.87
187,1987,1.0517241379310345,0.87,0.9,0.9,0.92,0.88
188,1988,0.9917241379310344,0.88,0.91,0.91,0.93,0.89
189,1989,0.7017241379310344,0.89,0.92,0.92,0.94,0.91
190,1990,1.0617241379310345,0.9,0.93,0.94,0.95,0.92
191,1991,0.9117241379310344,0.92,0.95,0.96,0.97,0.94
192,1992,0.8517241379310344,0.93,0.97,0.97,0.98,0.95
193,1993,0.8517241379310344,0.95,0.99,0.99,1.0,0.97
194,1994,1.0117241379310344,0.97,1.01,1.01,1.02,0.99
195,1995,0.9117241379310344,0.98,1.03,1.03,1.04,1.01
196,1996,0.8917241379310344,1.01,1.05,1.05,1.06,1.03
197,1997,1.4517241379310344,1.03,1.07,1.07,1.08,1.05
198,1998,1.7117241379310344,1.06,1.09,1.09,1.1,1.07
199,1999,0.9717241379310344,1.09,1.11,1.11,1.12,1.09
200,2000,1.0317241379310345,1.12,1.13,1.13,1.15,1.12
201,2001,1.1017241379310345,1.14,1.16,1.16,1.17,1.14
202,2002,1.3117241379310345,1.16,1.19,1.19,1.2,1.17
203,2003,1.2117241379310344,1.18,1.21,1.21,1.23,1.2
204,2004,1.2317241379310344,1.19,1.24,1.24,1.25,1.22
205,2005,1.3517241379310345,1.2,1.26,1.26,1.28,1.25
206,2006,1.2717241379310344,1.21,1.29,1.28,1.3,1.27
207,2007,1.0217241379310344,1.23,1.31,1.31,1.32,1.3
208,2008,0.9517241379310344,1.25,1.33,1.33,1.34,1.32
209,2009,1.3017241379310345,1.27,1.35,1.35,1.36,1.34
210,2010,1.4917241379310344,1.29,1.37,1.37,1.38,1.37
211,2011,1.1517241379310343,1.32,1.39,1.39,1.4,1.39
212,2012,1.1617241379310346,1.36,1.42,1.42,1.42,1.41
213,2013,1.3517241379310345,1.41,1.44,1.44,1.44,1.44
214,2014,1.4117241379310346,1.46,1.46,1.46,1.46,1.46
215,2015,1.7017241379310346,1.51,1.49,1.49,1.48,1.49
216,2016,2.0017241379310344,1.56,1.51,1.51,1.5,1.51
217,2017,1.4917241379310344,1.62,1.53,1.53,1.52,1.54
218,2018,1.4017241379310343,1.67,1.55,1.55,1.54,1.56
219,2019,1.9117241379310346,1.72,1.57,1.57,1.56,1.59
220,2020,1.7517241379310344,1.78,1.59,1.6,1.58,1.61
221,2021,,,1.61,1.62,1.6,1.64
222,2022,,,1.63,1.64,1.63,1.66
223,2023,,,1.65,1.66,1.65,1.69
224,2024,,,1.67,1.69,1.67,1.72
225,2025,,,1.69,1.71,1.7,1.74
226,2026,,,1.71,1.73,1.72,1.77
227,2027,,,1.73,1.75,1.75,1.8
228,2028,,,1.75,1.77,1.77,1.83
229,2029,,,1.76,1.8,1.8,1.86
230,2030,,,1.78,1.82,1.82,1.89
231,2031,,,1.8,1.84,1.85,1.92
232,2032,,,1.82,1.86,1.87,1.95
233,2033,,,1.84,1.88,1.9,1.98
234,2034,,,1.85,1.9,1.92,2.01
235,2035,,,1.87,1.92,1.94,2.04
236,2036,,,1.88,1.94,1.97,2.07
237,2037,,,1.89,1.96,2.0,2.1
238,2038,,,1.91,1.98,2.02,2.13
239,2039,,,1.92,2.01,2.05,2.16
240,2040,,,1.93,2.03,2.08,2.2
241,2041,,,1.95,2.05,2.1,2.23
242,2042,,,1.96,2.07,2.13,2.27
243,2043,,,1.97,2.09,2.16,2.3
244,2044,,,1.98,2.12,2.18,2.34
245,2045,,,1.98,2.13,2.21,2.37
246,2046,,,1.99,2.16,2.24,2.41
247,2047,,,2.0,2.18,2.27,2.45
248,2048,,,2.01,2.2,2.3,2.48
249,2049,,,2.02,2.22,2.33,2.52
250,2050,,,2.03,2.24,2.36,2.56
251,2051,,,2.03,2.26,2.39,2.6
252,2052,,,2.04,2.28,2.42,2.64
253,2053,,,2.05,2.3,2.45,2.68
254,2054,,,2.05,2.32,2.48,2.72
255,2055,,,2.06,2.34,2.51,2.76
256,2056,,,2.06,2.36,2.54,2.81
257,2057,,,2.07,2.38,2.57,2.85
258,2058,,,2.07,2.4,2.6,2.89
259,2059,,,2.08,2.42,2.63,2.93
260,2060,,,2.08,2.44,2.66,2.97
261,2061,,,2.08,2.46,2.69,3.01
262,2062,,,2.09,2.48,2.72,3.06
263,2063,,,2.09,2.49,2.75,3.1
264,2064,,,2.09,2.51,2.78,3.14
265,2065,,,2.09,2.53,2.81,3.19
266,2066,,,2.09,2.54,2.84,3.23
267,2067,,,2.08,2.56,2.87,3.28
268,2068,,,2.08,2.58,2.9,3.32
269,2069,,,2.08,2.59,2.93,3.37
270,2070,,,2.08,2.6,2.96,3.41
271,2071,,,2.08,2.62,2.99,3.46
272,2072,,,2.08,2.64,3.03,3.5
273,2073,,,2.08,2.65,3.06,3.55
274,2074,,,2.08,2.67,3.1,3.6
275,2075,,,2.08,2.68,3.13,3.64
276,2076,,,2.07,2.69,3.17,3.69
277,2077,,,2.07,2.71,3.2,3.74
278,2078,,,2.07,2.72,3.23,3.78
279,2079,,,2.07,2.73,3.27,3.83
280,2080,,,2.06,2.74,3.31,3.87
281,2081,,,2.06,2.75,3.34,3.92
282,2082,,,2.06,2.76,3.37,3.96
283,2083,,,2.06,2.77,3.41,4.0
284,2084,,,2.05,2.78,3.44,4.05
285,2085,,,2.05,2.79,3.48,4.09
286,2086,,,2.04,2.8,3.51,4.13
287,2087,,,2.04,2.81,3.54,4.17
288,2088,,,2.04,2.82,3.58,4.21
289,2089,,,2.04,2.83,3.61,4.25
290,2090,,,2.04,2.84,3.65,4.29
291,2091,,,2.03,2.85,3.68,4.33
292,2092,,,2.03,2.86,3.71,4.38
293,2093,,,2.03,2.87,3.75,4.41
294,2094,,,2.03,2.88,3.78,4.45
295,2095,,,2.02,2.89,3.81,4.49
296,2096,,,2.02,2.9,3.84,4.53
297,2097,,,2.02,2.91,3.88,4.57
298,2098,,,2.02,2.92,3.91,4.6
299,2099,,,2.02,2.93,3.94,4.64
300,2100,,,2.02,2.94,3.98,4.68
