Croatia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.646774193548387,0.73,,,,
1,1801,1.0367741935483872,0.64,,,,
2,1802,0.9267741935483871,0.56,,,,
3,1803,-0.21322580645161282,0.48,,,,
4,1804,0.22677419354838713,0.39,,,,
5,1805,-1.1432258064516128,0.31,,,,
6,1806,0.6167741935483871,0.22,,,,
7,1807,0.7267741935483871,0.14,,,,
8,1808,-0.983225806451613,0.05,,,,
9,1809,-0.1632258064516129,-0.03,,,,
10,1810,0.2867741935483871,-0.09,,,,
11,1811,0.9367741935483871,-0.13,,,,
12,1812,-0.7832258064516128,-0.15,,,,
13,1813,-0.4332258064516129,-0.16,,,,
14,1814,-0.733225806451613,-0.16,,,,
15,1815,-0.37322580645161285,-0.14,,,,
16,1816,-0.9432258064516129,-0.11,,,,
17,1817,-0.013225806451612865,-0.07,,,,
18,1818,0.26677419354838716,-0.02,,,,
19,1819,0.3967741935483871,0.04,,,,
20,1820,0.09677419354838712,0.1,,,,
21,1821,0.08677419354838711,0.16,,,,
22,1822,1.3167741935483872,0.2,,,,
23,1823,-0.023225806451612874,0.22,,,,
24,1824,0.6067741935483871,0.22,,,,
25,1825,0.3967741935483871,0.19,,,,
26,1826,0.19677419354838713,0.16,,,,
27,1827,0.24677419354838714,0.13,,,,
28,1828,0.2867741935483871,0.09,,,,
29,1829,-1.2032258064516128,0.04,,,,
30,1830,-0.11322580645161284,-0.02,,,,
31,1831,0.13677419354838713,-0.08,,,,
32,1832,-0.5032258064516129,-0.14,,,,
33,1833,-0.15322580645161288,-0.19,,,,
34,1834,0.9267741935483871,-0.23,,,,
35,1835,-0.6132258064516128,-0.25,,,,
36,1836,-0.003225806451612856,-0.25,,,,
37,1837,-0.8632258064516128,-0.25,,,,
38,1838,-0.9532258064516129,-0.25,,,,
39,1839,0.0767741935483871,-0.25,,,,
40,1840,-0.753225806451613,-0.24,,,,
41,1841,0.8167741935483872,-0.22,,,,
42,1842,-0.37322580645161285,-0.2,,,,
43,1843,0.10677419354838713,-0.18,,,,
44,1844,-0.35322580645161283,-0.16,,,,
45,1845,-0.2832258064516129,-0.14,,,,
46,1846,1.0467741935483872,-0.14,,,,
47,1847,-0.4232258064516129,-0.14,,,,
48,1848,0.30677419354838714,-0.15,,,,
49,1849,-0.1832258064516129,-0.16,,,,
50,1850,-0.5332258064516129,-0.17,0.61,0.6,0.67,0.57
51,1851,-0.4332258064516129,-0.19,0.61,0.6,0.66,0.57
52,1852,0.16677419354838713,-0.2,0.61,0.6,0.66,0.57
53,1853,-0.21322580645161282,-0.2,0.61,0.6,0.65,0.57
54,1854,-0.36322580645161284,-0.19,0.61,0.6,0.65,0.57
55,1855,-0.3432258064516128,-0.17,0.61,0.6,0.65,0.58
56,1856,-0.20322580645161292,-0.13,0.61,0.6,0.64,0.58
57,1857,-0.11322580645161284,-0.09,0.62,0.6,0.64,0.58
58,1858,-0.8532258064516128,-0.04,0.62,0.6,0.64,0.58
59,1859,0.5067741935483872,0.01,0.62,0.61,0.64,0.59
60,1860,-0.36322580645161284,0.06,0.62,0.61,0.63,0.59
61,1861,0.20677419354838714,0.11,0.62,0.61,0.63,0.59
62,1862,0.6367741935483872,0.16,0.62,0.61,0.63,0.6
63,1863,1.196774193548387,0.2,0.63,0.61,0.63,0.6
64,1864,-1.093225806451613,0.23,0.63,0.61,0.63,0.6
65,1865,0.24677419354838714,0.25,0.63,0.62,0.63,0.6
66,1866,0.4767741935483871,0.26,0.63,0.62,0.63,0.6
67,1867,0.31677419354838715,0.25,0.63,0.61,0.63,0.6
68,1868,0.8767741935483871,0.23,0.63,0.61,0.63,0.6
69,1869,0.3267741935483871,0.2,0.63,0.61,0.64,0.6
70,1870,-0.6732258064516129,0.17,0.63,0.61,0.64,0.6
71,1871,-0.8032258064516128,0.13,0.63,0.61,0.64,0.6
72,1872,1.2267741935483871,0.1,0.63,0.61,0.65,0.6
73,1873,0.7267741935483871,0.07,0.63,0.62,0.65,0.6
74,1874,-0.23322580645161284,0.03,0.63,0.62,0.65,0.6
75,1875,-0.8032258064516128,0.01,0.62,0.61,0.65,0.59
76,1876,-0.023225806451612874,-0.02,0.62,0.61,0.65,0.59
77,1877,0.18677419354838712,-0.03,0.61,0.6,0.64,0.58
78,1878,0.15677419354838712,-0.03,0.6,0.59,0.63,0.57
79,1879,-0.38322580645161286,-0.03,0.58,0.58,0.62,0.56
80,1880,0.17677419354838714,-0.04,0.57,0.57,0.61,0.55
81,1881,-0.5232258064516129,-0.06,0.55,0.55,0.6,0.54
82,1882,0.7767741935483872,-0.08,0.54,0.54,0.59,0.52
83,1883,-0.39322580645161287,-0.1,0.52,0.52,0.57,0.51
84,1884,-0.23322580645161284,-0.12,0.5,0.51,0.56,0.49
85,1885,0.3367741935483871,-0.15,0.49,0.5,0.54,0.48
86,1886,0.3367741935483871,-0.17,0.48,0.49,0.53,0.47
87,1887,-0.38322580645161286,-0.19,0.47,0.48,0.52,0.47
88,1888,-0.7032258064516129,-0.2,0.46,0.47,0.51,0.46
89,1889,-0.4432258064516129,-0.21,0.46,0.46,0.51,0.45
90,1890,-0.22322580645161283,-0.22,0.45,0.46,0.5,0.45
91,1891,-0.5632258064516129,-0.21,0.45,0.46,0.5,0.45
92,1892,-0.003225806451612856,-0.19,0.46,0.46,0.51,0.45
93,1893,-0.47322580645161283,-0.15,0.46,0.46,0.51,0.45
94,1894,0.12677419354838712,-0.12,0.47,0.47,0.52,0.46
95,1895,-0.3132258064516129,-0.07,0.48,0.47,0.52,0.47
96,1896,-0.3432258064516128,-0.03,0.48,0.48,0.52,0.47
97,1897,0.21677419354838712,0.01,0.48,0.48,0.52,0.47
98,1898,0.9267741935483871,0.04,0.48,0.48,0.52,0.47
99,1899,0.04677419354838713,0.07,0.48,0.48,0.52,0.47
100,1900,0.7867741935483872,0.08,0.48,0.48,0.52,0.47
101,1901,-0.2932258064516129,0.08,0.48,0.48,0.52,0.46
102,1902,-0.20322580645161292,0.08,0.47,0.47,0.51,0.46
103,1903,0.24677419354838714,0.07,0.46,0.47,0.51,0.45
104,1904,0.5267741935483872,0.06,0.45,0.46,0.5,0.44
105,1905,-0.14322580645161287,0.05,0.45,0.45,0.49,0.44
106,1906,-0.14322580645161287,0.03,0.44,0.45,0.48,0.43
107,1907,-0.013225806451612865,0.01,0.44,0.45,0.48,0.43
108,1908,-0.5232258064516129,-0.0,0.44,0.45,0.48,0.43
109,1909,-0.1832258064516129,-0.0,0.44,0.45,0.48,0.43
110,1910,0.4567741935483871,0.0,0.45,0.46,0.49,0.44
111,1911,0.5467741935483872,0.01,0.46,0.47,0.5,0.45
112,1912,-0.36322580645161284,0.02,0.47,0.49,0.51,0.46
113,1913,-0.003225806451612856,0.05,0.49,0.5,0.53,0.48
114,1914,-0.47322580645161283,0.07,0.5,0.51,0.54,0.49
115,1915,0.06677419354838715,0.1,0.51,0.53,0.56,0.51
116,1916,0.9867741935483871,0.12,0.53,0.54,0.57,0.52
117,1917,-0.08322580645161287,0.14,0.54,0.56,0.59,0.53
118,1918,0.17677419354838714,0.16,0.56,0.57,0.61,0.55
119,1919,-0.1732258064516129,0.19,0.58,0.59,0.63,0.57
120,1920,0.6967741935483871,0.24,0.59,0.6,0.64,0.58
121,1921,0.38677419354838716,0.28,0.6,0.61,0.65,0.59
122,1922,-0.24322580645161285,0.32,0.6,0.61,0.66,0.59
123,1923,0.8267741935483871,0.34,0.6,0.61,0.66,0.59
124,1924,-0.21322580645161282,0.36,0.6,0.61,0.66,0.59
125,1925,0.2767741935483871,0.36,0.6,0.61,0.66,0.58
126,1926,0.8267741935483871,0.36,0.6,0.61,0.66,0.58
127,1927,0.9867741935483871,0.36,0.59,0.61,0.66,0.58
128,1928,0.6567741935483871,0.37,0.59,0.61,0.65,0.58
129,1929,-0.5032258064516129,0.38,0.59,0.61,0.65,0.58
130,1930,0.9667741935483871,0.39,0.59,0.61,0.65,0.57
131,1931,0.026774193548387115,0.41,0.59,0.61,0.64,0.57
132,1932,-0.023225806451612874,0.41,0.59,0.6,0.64,0.57
133,1933,-0.6532258064516129,0.39,0.58,0.6,0.63,0.57
134,1934,1.156774193548387,0.37,0.58,0.6,0.63,0.57
135,1935,0.3267741935483871,0.34,0.58,0.6,0.63,0.57
136,1936,0.8367741935483871,0.33,0.58,0.6,0.63,0.57
137,1937,0.7867741935483872,0.33,0.59,0.61,0.64,0.57
138,1938,0.13677419354838713,0.35,0.6,0.61,0.64,0.58
139,1939,0.4767741935483871,0.38,0.6,0.62,0.65,0.59
140,1940,-1.3132258064516127,0.41,0.61,0.63,0.66,0.59
141,1941,-0.6832258064516129,0.44,0.62,0.63,0.67,0.6
142,1942,-0.11322580645161284,0.47,0.63,0.64,0.68,0.6
143,1943,0.9567741935483871,0.5,0.63,0.64,0.68,0.61
144,1944,0.026774193548387115,0.54,0.63,0.64,0.68,0.61
145,1945,0.7667741935483872,0.59,0.63,0.64,0.68,0.61
146,1946,1.0667741935483872,0.65,0.63,0.63,0.68,0.61
147,1947,0.9067741935483872,0.69,0.62,0.63,0.67,0.6
148,1948,0.7067741935483871,0.72,0.62,0.62,0.67,0.6
149,1949,0.7767741935483872,0.72,0.61,0.62,0.66,0.59
150,1950,1.406774193548387,0.7,0.61,0.61,0.65,0.59
151,1951,1.4367741935483873,0.68,0.6,0.6,0.64,0.58
152,1952,0.7967741935483872,0.66,0.59,0.6,0.64,0.57
153,1953,0.43677419354838715,0.64,0.58,0.59,0.63,0.57
154,1954,-0.35322580645161283,0.62,0.57,0.58,0.62,0.56
155,1955,0.18677419354838712,0.59,0.56,0.57,0.61,0.55
156,1956,-0.7032258064516129,0.54,0.55,0.56,0.59,0.53
157,1957,0.6367741935483872,0.48,0.53,0.54,0.58,0.52
158,1958,0.8767741935483871,0.43,0.51,0.52,0.56,0.5
159,1959,0.5967741935483871,0.4,0.5,0.51,0.55,0.49
160,1960,0.8267741935483871,0.39,0.48,0.49,0.54,0.47
161,1961,1.1467741935483873,0.39,0.46,0.48,0.52,0.46
162,1962,-0.25322580645161286,0.4,0.45,0.46,0.51,0.44
163,1963,-0.03322580645161288,0.4,0.43,0.45,0.5,0.43
164,1964,-0.003225806451612856,0.38,0.42,0.44,0.49,0.42
165,1965,-0.13322580645161286,0.35,0.41,0.43,0.48,0.41
166,1966,0.8867741935483872,0.32,0.39,0.42,0.46,0.39
167,1967,0.6667741935483871,0.31,0.38,0.4,0.45,0.38
168,1968,0.5067741935483872,0.31,0.37,0.39,0.44,0.37
169,1969,-0.023225806451612874,0.33,0.36,0.38,0.42,0.36
170,1970,0.21677419354838712,0.35,0.35,0.37,0.42,0.35
171,1971,0.2867741935483871,0.36,0.35,0.37,0.42,0.35
172,1972,0.38677419354838716,0.37,0.35,0.37,0.42,0.35
173,1973,0.15677419354838712,0.36,0.35,0.37,0.43,0.36
174,1974,0.6767741935483871,0.35,0.36,0.38,0.44,0.37
175,1975,0.8767741935483871,0.35,0.38,0.39,0.45,0.38
176,1976,-0.08322580645161287,0.36,0.39,0.4,0.46,0.39
177,1977,0.8467741935483871,0.37,0.4,0.41,0.47,0.4
178,1978,-0.35322580645161283,0.38,0.41,0.42,0.48,0.41
179,1979,0.6667741935483871,0.38,0.42,0.44,0.5,0.42
180,1980,-0.4332258064516129,0.37,0.44,0.46,0.52,0.44
181,1981,0.43677419354838715,0.37,0.47,0.48,0.54,0.47
182,1982,0.8367741935483871,0.39,0.49,0.51,0.57,0.5
183,1983,0.8467741935483871,0.41,0.52,0.54,0.6,0.53
184,1984,0.06677419354838715,0.45,0.56,0.57,0.63,0.56
185,1985,-0.003225806451612856,0.51,0.59,0.61,0.66,0.6
186,1986,0.25677419354838715,0.56,0.62,0.64,0.69,0.63
187,1987,0.2867741935483871,0.62,0.65,0.67,0.72,0.66
188,1988,0.8967741935483872,0.67,0.68,0.7,0.75,0.69
189,1989,0.9967741935483871,0.72,0.72,0.74,0.78,0.73
