Djibouti,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
135,1935,0.3011111111111111,0.21,0.59,0.58,0.59,0.56
136,1936,0.09111111111111111,0.23,0.6,0.58,0.6,0.57
137,1937,0.011111111111111127,0.25,0.61,0.59,0.6,0.57
138,1938,0.09111111111111111,0.27,0.61,0.6,0.61,0.58
139,1939,0.24111111111111114,0.29,0.62,0.6,0.61,0.58
140,1940,0.40111111111111114,0.31,0.62,0.6,0.62,0.59
141,1941,0.7811111111111112,0.33,0.63,0.61,0.62,0.59
142,1942,0.5811111111111111,0.34,0.63,0.62,0.63,0.6
143,1943,0.24111111111111114,0.36,0.64,0.62,0.63,0.61
144,1944,0.5611111111111111,0.36,0.64,0.63,0.64,0.61
145,1945,0.5111111111111112,0.36,0.65,0.64,0.64,0.62
146,1946,0.12111111111111113,0.35,0.66,0.64,0.65,0.63
147,1947,0.5111111111111112,0.33,0.66,0.65,0.66,0.63
148,1948,0.36111111111111116,0.3,0.67,0.66,0.66,0.64
149,1949,0.3111111111111111,0.26,0.68,0.66,0.67,0.65
150,1950,-0.1088888888888889,0.23,0.68,0.67,0.67,0.65
151,1951,0.24111111111111114,0.2,0.69,0.67,0.68,0.66
152,1952,0.07111111111111112,0.18,0.69,0.68,0.68,0.66
153,1953,0.28111111111111114,0.16,0.7,0.68,0.69,0.67
154,1954,0.3011111111111111,0.15,0.7,0.69,0.69,0.67
155,1955,-0.1088888888888889,0.14,0.71,0.69,0.69,0.68
156,1956,-0.1688888888888889,0.14,0.71,0.69,0.69,0.68
157,1957,-0.14888888888888888,0.13,0.7,0.69,0.69,0.67
158,1958,0.5611111111111111,0.13,0.7,0.68,0.68,0.67
159,1959,0.14111111111111113,0.12,0.69,0.68,0.68,0.66
160,1960,0.22111111111111112,0.1,0.68,0.67,0.67,0.65
161,1961,0.28111111111111114,0.1,0.67,0.66,0.66,0.64
162,1962,0.07111111111111112,0.09,0.67,0.65,0.65,0.64
163,1963,0.39111111111111113,0.09,0.66,0.65,0.65,0.63
164,1964,-0.09888888888888889,0.1,0.65,0.64,0.64,0.62
165,1965,-0.23888888888888885,0.1,0.65,0.64,0.64,0.62
166,1966,0.12111111111111113,0.11,0.65,0.63,0.63,0.62
167,1967,-0.18888888888888886,0.12,0.64,0.63,0.63,0.61
168,1968,-0.2288888888888889,0.14,0.64,0.63,0.63,0.61
169,1969,0.39111111111111113,0.15,0.64,0.63,0.63,0.61
170,1970,0.23111111111111113,0.18,0.64,0.63,0.63,0.61
171,1971,-0.008888888888888863,0.22,0.65,0.64,0.64,0.62
172,1972,0.6611111111111111,0.26,0.66,0.65,0.65,0.63
