Kyrgyzstan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
96,1896,0.49645161290322576,0.1,0.35,0.3,0.31,0.3
97,1897,-0.1535483870967742,0.09,0.36,0.31,0.32,0.3
98,1898,-0.8635483870967742,0.09,0.36,0.31,0.32,0.3
99,1899,1.0364516129032257,0.07,0.35,0.31,0.32,0.3
100,1900,-0.03354838709677421,0.04,0.34,0.3,0.32,0.3
101,1901,-0.023548387096774204,0.02,0.34,0.3,0.31,0.29
102,1902,0.5364516129032257,0.01,0.33,0.29,0.31,0.29
103,1903,-0.9235483870967742,0.01,0.32,0.29,0.3,0.28
104,1904,0.2164516129032258,0.03,0.31,0.28,0.29,0.27
105,1905,-0.6535483870967742,0.05,0.3,0.27,0.28,0.26
106,1906,0.22645161290322574,0.09,0.29,0.26,0.27,0.25
107,1907,-0.3935483870967742,0.13,0.28,0.25,0.26,0.24
108,1908,0.01645161290322572,0.18,0.28,0.24,0.25,0.24
109,1909,0.6864516129032258,0.24,0.28,0.24,0.25,0.24
110,1910,0.11645161290322575,0.31,0.28,0.25,0.25,0.24
111,1911,0.28645161290322574,0.36,0.29,0.25,0.26,0.25
112,1912,0.7864516129032257,0.4,0.3,0.26,0.26,0.26
113,1913,0.2764516129032258,0.43,0.31,0.27,0.27,0.27
114,1914,1.4264516129032256,0.43,0.32,0.29,0.29,0.29
115,1915,1.7364516129032257,0.43,0.34,0.3,0.3,0.3
116,1916,0.28645161290322574,0.42,0.35,0.31,0.31,0.31
117,1917,0.9464516129032258,0.41,0.37,0.33,0.32,0.33
118,1918,0.08645161290322578,0.4,0.38,0.34,0.34,0.34
119,1919,0.1564516129032258,0.39,0.39,0.35,0.35,0.36
120,1920,-1.1335483870967742,0.37,0.41,0.37,0.37,0.37
121,1921,-0.3635483870967743,0.33,0.42,0.38,0.39,0.38
122,1922,0.8764516129032258,0.28,0.44,0.4,0.4,0.4
123,1923,0.07645161290322577,0.23,0.45,0.41,0.42,0.41
124,1924,0.2764516129032258,0.19,0.46,0.42,0.43,0.42
125,1925,0.5364516129032257,0.15,0.47,0.43,0.44,0.43
126,1926,0.6064516129032258,0.12,0.48,0.44,0.45,0.43
127,1927,0.5364516129032257,0.08,0.48,0.44,0.46,0.44
128,1928,-0.20354838709677425,0.03,0.48,0.45,0.46,0.44
129,1929,-0.6035483870967742,-0.03,0.49,0.45,0.47,0.45
130,1930,-0.45354838709677425,-0.09,0.49,0.46,0.48,0.45
131,1931,-0.23354838709677428,-0.13,0.5,0.46,0.48,0.46
132,1932,0.006451612903225712,-0.15,0.5,0.47,0.49,0.46
133,1933,0.31645161290322577,-0.15,0.51,0.48,0.5,0.47
134,1934,-1.1235483870967742,-0.11,0.52,0.49,0.51,0.48
135,1935,-0.7035483870967743,-0.06,0.52,0.5,0.52,0.48
136,1936,-0.32354838709677425,0.01,0.53,0.5,0.53,0.49
137,1937,-0.7135483870967743,0.06,0.54,0.51,0.53,0.5
138,1938,0.38645161290322577,0.11,0.54,0.51,0.53,0.5
139,1939,0.6364516129032258,0.16,0.55,0.52,0.54,0.51
140,1940,1.1064516129032258,0.21,0.55,0.53,0.54,0.51
141,1941,1.6864516129032259,0.26,0.56,0.53,0.55,0.52
142,1942,0.6164516129032258,0.31,0.56,0.54,0.55,0.52
143,1943,0.01645161290322572,0.33,0.57,0.54,0.56,0.53
144,1944,0.49645161290322576,0.33,0.57,0.54,0.56,0.53
145,1945,-0.2635483870967742,0.31,0.57,0.54,0.56,0.53
146,1946,0.5864516129032258,0.27,0.57,0.54,0.56,0.53
147,1947,0.8964516129032258,0.22,0.57,0.54,0.55,0.53
148,1948,0.20645161290322578,0.19,0.57,0.54,0.55,0.53
149,1949,-0.6135483870967742,0.17,0.57,0.54,0.55,0.53
150,1950,-0.34354838709677427,0.17,0.56,0.54,0.55,0.53
151,1951,-0.05354838709677423,0.17,0.56,0.54,0.55,0.53
152,1952,0.29645161290322575,0.17,0.56,0.54,0.54,0.53
153,1953,0.30645161290322576,0.18,0.56,0.53,0.54,0.52
154,1954,-0.4835483870967743,0.2,0.55,0.53,0.53,0.52
155,1955,0.7664516129032257,0.23,0.54,0.52,0.52,0.51
156,1956,0.8564516129032258,0.28,0.53,0.5,0.51,0.5
157,1957,-0.3735483870967742,0.33,0.51,0.49,0.49,0.48
158,1958,0.5564516129032258,0.38,0.5,0.47,0.47,0.47
159,1959,0.3464516129032258,0.43,0.48,0.46,0.46,0.45
160,1960,0.056451612903225756,0.46,0.46,0.44,0.44,0.43
161,1961,0.6564516129032257,0.48,0.45,0.43,0.42,0.42
162,1962,0.6464516129032257,0.5,0.44,0.41,0.41,0.41
163,1963,1.4164516129032259,0.52,0.42,0.4,0.4,0.39
164,1964,-0.1435483870967742,0.54,0.41,0.39,0.39,0.38
165,1965,0.9264516129032258,0.57,0.4,0.38,0.38,0.37
166,1966,0.7164516129032258,0.59,0.39,0.37,0.37,0.36
167,1967,0.3264516129032258,0.61,0.38,0.37,0.36,0.36
168,1968,0.5964516129032258,0.61,0.38,0.37,0.36,0.35
169,1969,0.06645161290322577,0.62,0.39,0.37,0.37,0.36
170,1970,0.9064516129032258,0.63,0.4,0.38,0.38,0.37
171,1971,1.3564516129032258,0.65,0.41,0.4,0.4,0.38
172,1972,-0.34354838709677427,0.69,0.43,0.42,0.42,0.4
173,1973,1.2864516129032257,0.74,0.46,0.44,0.44,0.42
174,1974,0.13645161290322577,0.78,0.48,0.46,0.47,0.45
175,1975,0.5164516129032257,0.83,0.5,0.48,0.49,0.47
176,1976,0.5464516129032257,0.87,0.52,0.5,0.51,0.49
177,1977,1.2664516129032257,0.89,0.54,0.52,0.53,0.51
178,1978,1.1364516129032256,0.91,0.56,0.54,0.54,0.52
179,1979,1.1264516129032258,0.92,0.58,0.55,0.56,0.54
180,1980,1.7164516129032257,0.94,0.6,0.57,0.58,0.56
181,1981,1.1064516129032258,0.95,0.62,0.6,0.6,0.59
182,1982,0.6164516129032258,0.96,0.65,0.62,0.63,0.61
183,1983,1.3064516129032258,0.97,0.67,0.65,0.66,0.64
184,1984,0.19645161290322577,0.96,0.7,0.67,0.68,0.66
185,1985,0.8664516129032258,0.95,0.72,0.69,0.7,0.68
186,1986,0.7764516129032257,0.92,0.74,0.71,0.73,0.71
187,1987,0.8864516129032258,0.9,0.76,0.74,0.75,0.73
188,1988,1.3464516129032258,0.89,0.78,0.76,0.77,0.75
189,1989,0.31645161290322577,0.89,0.81,0.78,0.79,0.77
190,1990,1.5764516129032258,0.91,0.84,0.81,0.82,0.8
191,1991,0.9464516129032258,0.95,0.88,0.85,0.85,0.84
192,1992,0.8264516129032258,1.0,0.92,0.89,0.89,0.88
193,1993,0.31645161290322577,1.07,0.96,0.93,0.94,0.92
194,1994,0.9164516129032257,1.13,1.01,0.98,0.99,0.97
195,1995,1.1264516129032258,1.2,1.06,1.02,1.03,1.01
196,1996,0.49645161290322576,1.27,1.1,1.06,1.07,1.06
197,1997,2.0064516129032257,1.35,1.14,1.11,1.11,1.1
198,1998,1.5864516129032258,1.44,1.19,1.15,1.16,1.14
199,1999,1.6664516129032259,1.53,1.23,1.2,1.2,1.19
200,2000,1.7464516129032257,1.62,1.28,1.25,1.25,1.24
201,2001,1.9464516129032257,1.7,1.33,1.3,1.3,1.29
202,2002,1.9664516129032257,1.77,1.38,1.36,1.36,1.35
203,2003,1.226451612903226,1.82,1.43,1.41,1.41,1.4
204,2004,2.226451612903226,1.85,1.48,1.46,1.46,1.45
205,2005,1.7264516129032257,1.85,1.53,1.51,1.51,1.5
206,2006,2.2064516129032254,1.85,1.57,1.55,1.56,1.54
207,2007,2.2964516129032257,1.84,1.61,1.6,1.6,1.59
208,2008,1.8664516129032258,1.83,1.65,1.64,1.64,1.63
209,2009,1.6164516129032258,1.83,1.69,1.68,1.68,1.67
210,2010,1.9864516129032257,1.83,1.73,1.72,1.72,1.72
211,2011,1.5864516129032258,1.83,1.76,1.75,1.76,1.76
212,2012,0.9064516129032258,1.82,1.8,1.79,1.8,1.8
213,2013,2.126451612903226,1.82,1.84,1.83,1.84,1.84
214,2014,0.9664516129032258,1.81,1.88,1.88,1.88,1.88
215,2015,2.176451612903226,1.8,1.92,1.92,1.92,1.92
216,2016,2.436451612903226,1.8,1.95,1.96,1.95,1.96
217,2017,1.6964516129032257,1.79,1.98,2.0,1.99,2.0
218,2018,1.5464516129032257,1.79,2.02,2.04,2.03,2.04
219,2019,2.166451612903226,1.79,2.06,2.08,2.07,2.08
220,2020,1.5664516129032258,1.79,2.09,2.12,2.11,2.13
221,2021,,,2.13,2.16,2.15,2.17
222,2022,,,2.17,2.2,2.2,2.22
223,2023,,,2.2,2.24,2.24,2.26
224,2024,,,2.24,2.28,2.28,2.31
225,2025,,,2.28,2.32,2.32,2.36
226,2026,,,2.31,2.35,2.36,2.41
227,2027,,,2.35,2.38,2.4,2.46
228,2028,,,2.38,2.42,2.44,2.51
229,2029,,,2.42,2.45,2.48,2.57
230,2030,,,2.45,2.48,2.52,2.62
231,2031,,,2.48,2.51,2.56,2.67
232,2032,,,2.51,2.53,2.6,2.72
233,2033,,,2.54,2.56,2.64,2.77
234,2034,,,2.56,2.59,2.67,2.82
235,2035,,,2.58,2.61,2.71,2.87
236,2036,,,2.61,2.64,2.75,2.92
237,2037,,,2.63,2.68,2.79,2.97
238,2038,,,2.65,2.71,2.83,3.02
239,2039,,,2.67,2.74,2.87,3.07
240,2040,,,2.69,2.78,2.91,3.13
241,2041,,,2.71,2.81,2.95,3.2
242,2042,,,2.73,2.85,2.99,3.26
243,2043,,,2.74,2.89,3.03,3.32
244,2044,,,2.76,2.92,3.07,3.39
245,2045,,,2.78,2.96,3.12,3.45
246,2046,,,2.79,2.99,3.17,3.52
247,2047,,,2.81,3.03,3.22,3.58
248,2048,,,2.82,3.07,3.26,3.65
249,2049,,,2.84,3.1,3.3,3.72
250,2050,,,2.85,3.13,3.35,3.79
251,2051,,,2.87,3.17,3.4,3.86
252,2052,,,2.89,3.2,3.45,3.93
253,2053,,,2.9,3.23,3.5,4.0
254,2054,,,2.91,3.26,3.55,4.07
255,2055,,,2.92,3.3,3.6,4.13
256,2056,,,2.93,3.33,3.65,4.2
257,2057,,,2.93,3.36,3.7,4.27
258,2058,,,2.94,3.39,3.75,4.34
259,2059,,,2.94,3.42,3.8,4.41
260,2060,,,2.94,3.45,3.85,4.47
261,2061,,,2.94,3.49,3.9,4.54
262,2062,,,2.94,3.52,3.96,4.61
263,2063,,,2.94,3.55,4.01,4.69
264,2064,,,2.93,3.58,4.07,4.76
265,2065,,,2.93,3.6,4.13,4.83
266,2066,,,2.92,3.63,4.19,4.91
267,2067,,,2.91,3.66,4.24,4.98
268,2068,,,2.9,3.69,4.3,5.05
269,2069,,,2.9,3.71,4.35,5.12
270,2070,,,2.9,3.73,4.4,5.19
271,2071,,,2.89,3.75,4.46,5.26
272,2072,,,2.89,3.77,4.52,5.33
273,2073,,,2.89,3.79,4.58,5.41
274,2074,,,2.89,3.8,4.64,5.48
275,2075,,,2.89,3.82,4.69,5.55
276,2076,,,2.89,3.82,4.76,5.63
277,2077,,,2.89,3.84,4.81,5.7
278,2078,,,2.88,3.86,4.87,5.78
279,2079,,,2.88,3.87,4.93,5.86
280,2080,,,2.88,3.89,4.99,5.93
281,2081,,,2.87,3.9,5.04,6.0
282,2082,,,2.87,3.91,5.09,6.08
283,2083,,,2.87,3.93,5.15,6.16
284,2084,,,2.86,3.94,5.21,6.24
285,2085,,,2.86,3.96,5.27,6.31
286,2086,,,2.85,3.98,5.32,6.39
287,2087,,,2.84,4.0,5.38,6.47
288,2088,,,2.83,4.02,5.45,6.54
289,2089,,,2.82,4.03,5.5,6.62
290,2090,,,2.81,4.05,5.56,6.7
291,2091,,,2.8,4.07,5.62,6.78
292,2092,,,2.79,4.08,5.67,6.87
293,2093,,,2.79,4.1,5.73,6.94
294,2094,,,2.78,4.11,5.78,7.02
295,2095,,,2.77,4.13,5.84,7.1
296,2096,,,2.76,4.14,5.9,7.18
297,2097,,,2.75,4.16,5.95,7.25
298,2098,,,2.74,4.17,6.01,7.33
299,2099,,,2.73,4.18,6.06,7.4
300,2100,,,2.73,4.2,6.12,7.49
