Japan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,-0.5196774193548386,-0.37,,,,
21,1821,,,,,,
22,1822,-0.3896774193548387,-0.37,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,-0.24967741935483867,-0.36,,,,
26,1826,,,,,,
27,1827,0.6103225806451613,-0.36,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,-0.5296774193548386,-0.34,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,-0.2896774193548387,-0.41,,,,
40,1840,-0.1696774193548387,-0.38,,,,
41,1841,-0.8896774193548387,-0.35,,,,
42,1842,-0.5096774193548388,-0.32,,,,
43,1843,-0.12967741935483867,-0.28,,,,
44,1844,-0.45967741935483875,-0.23,,,,
45,1845,-0.33967741935483864,-0.19,,,,
46,1846,-0.13967741935483868,-0.15,,,,
47,1847,0.13032258064516133,-0.11,,,,
48,1848,0.40032258064516135,-0.08,,,,
49,1849,0.25032258064516133,-0.04,,,,
50,1850,0.040322580645161366,-0.02,0.36,0.33,0.35,0.32
51,1851,-0.12967741935483867,-0.0,0.36,0.33,0.36,0.33
52,1852,-0.4196774193548387,0.0,0.37,0.34,0.36,0.34
53,1853,0.040322580645161366,-0.01,0.37,0.34,0.37,0.34
54,1854,-0.019677419354838688,-0.03,0.38,0.35,0.38,0.35
55,1855,0.24032258064516132,-0.06,0.38,0.35,0.38,0.35
56,1856,-0.12967741935483867,-0.09,0.39,0.36,0.39,0.36
57,1857,-0.17967741935483872,-0.1,0.4,0.36,0.4,0.37
58,1858,0.1603225806451613,-0.11,0.4,0.37,0.4,0.37
59,1859,0.00032258064516133,-0.11,0.41,0.38,0.41,0.38
60,1860,-0.4196774193548387,-0.11,0.41,0.38,0.42,0.39
61,1861,-0.45967741935483875,-0.11,0.42,0.39,0.42,0.39
62,1862,-0.47967741935483876,-0.11,0.43,0.39,0.43,0.4
63,1863,0.3303225806451613,-0.1,0.43,0.4,0.44,0.41
64,1864,-0.1596774193548387,-0.09,0.44,0.41,0.45,0.42
65,1865,0.2103225806451613,-0.07,0.45,0.42,0.46,0.43
66,1866,-0.46967741935483875,-0.06,0.46,0.43,0.47,0.44
67,1867,0.2703225806451613,-0.04,0.47,0.44,0.48,0.44
68,1868,0.11032258064516132,-0.02,0.48,0.44,0.49,0.45
69,1869,-0.08967741935483864,-0.01,0.48,0.45,0.49,0.46
70,1870,0.14032258064516134,0.01,0.49,0.45,0.5,0.46
71,1871,-0.08967741935483864,0.03,0.49,0.46,0.5,0.46
72,1872,-0.12967741935483867,0.06,0.49,0.46,0.5,0.46
73,1873,-0.24967741935483867,0.08,0.49,0.46,0.5,0.46
74,1874,0.07032258064516128,0.1,0.49,0.45,0.5,0.46
75,1875,0.17032258064516131,0.12,0.48,0.45,0.5,0.45
76,1876,0.4203225806451613,0.12,0.48,0.44,0.49,0.45
77,1877,0.5103225806451613,0.12,0.47,0.43,0.48,0.44
78,1878,0.05032258064516126,0.1,0.45,0.42,0.47,0.42
79,1879,0.4603225806451613,0.08,0.44,0.41,0.46,0.41
80,1880,0.20032258064516134,0.05,0.42,0.39,0.45,0.4
81,1881,-0.08967741935483864,0.02,0.4,0.38,0.43,0.38
82,1882,-0.029677419354838697,-0.01,0.39,0.36,0.42,0.36
83,1883,-0.3896774193548387,-0.06,0.37,0.35,0.4,0.35
84,1884,-1.1696774193548387,-0.1,0.36,0.34,0.39,0.34
85,1885,-0.6396774193548387,-0.13,0.35,0.33,0.38,0.33
86,1886,0.2703225806451613,-0.15,0.34,0.32,0.37,0.32
87,1887,0.00032258064516133,-0.16,0.33,0.32,0.37,0.31
88,1888,-0.07967741935483863,-0.16,0.33,0.32,0.36,0.31
89,1889,-0.6796774193548387,-0.15,0.33,0.31,0.36,0.31
90,1890,1.1203225806451613,-0.14,0.33,0.32,0.36,0.31
91,1891,0.1503225806451613,-0.13,0.33,0.32,0.37,0.31
92,1892,-0.1696774193548387,-0.12,0.34,0.32,0.37,0.32
93,1893,-0.4996774193548388,-0.11,0.35,0.33,0.38,0.33
94,1894,0.7403225806451613,-0.1,0.36,0.34,0.39,0.34
95,1895,-0.1496774193548387,-0.09,0.37,0.35,0.4,0.35
