Netherlands,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.1322580645161291,0.17,,,,
1,1801,0.6222580645161291,0.13,,,,
2,1802,0.14225806451612907,0.08,,,,
3,1803,-0.547741935483871,0.03,,,,
4,1804,-0.08774193548387094,-0.02,,,,
5,1805,-1.147741935483871,-0.07,,,,
6,1806,0.7522580645161291,-0.12,,,,
7,1807,0.15225806451612908,-0.17,,,,
8,1808,-0.4577419354838709,-0.22,,,,
9,1809,-0.2477419354838709,-0.27,,,,
10,1810,-0.3877419354838709,-0.3,,,,
11,1811,1.072258064516129,-0.31,,,,
12,1812,-1.0277419354838708,-0.31,,,,
13,1813,-0.18774193548387097,-0.3,,,,
14,1814,-1.217741935483871,-0.29,,,,
15,1815,-0.27774193548387094,-0.26,,,,
16,1816,-1.2777419354838708,-0.23,,,,
17,1817,-0.14774193548387093,-0.18,,,,
18,1818,0.46225806451612905,-0.12,,,,
19,1819,0.5022580645161291,-0.05,,,,
20,1820,-0.937741935483871,0.03,,,,
21,1821,0.2222580645161291,0.11,,,,
22,1822,1.112258064516129,0.18,,,,
23,1823,-0.6077419354838709,0.22,,,,
24,1824,0.46225806451612905,0.24,,,,
25,1825,0.6922580645161291,0.25,,,,
26,1826,0.7622580645161291,0.25,,,,
27,1827,-0.03774193548387089,0.25,,,,
28,1828,0.582258064516129,0.25,,,,
29,1829,-1.7377419354838708,0.23,,,,
30,1830,-0.6077419354838709,0.2,,,,
31,1831,0.7722580645161291,0.15,,,,
32,1832,-0.2577419354838709,0.09,,,,
33,1833,0.12225806451612908,0.03,,,,
34,1834,1.4422580645161291,-0.02,,,,
35,1835,0.0722580645161291,-0.05,,,,
36,1836,0.012258064516129097,-0.07,,,,
37,1837,-0.4977419354838709,-0.1,,,,
38,1838,-1.3377419354838709,-0.13,,,,
39,1839,-0.06774193548387092,-0.16,,,,
40,1840,-0.6477419354838709,-0.2,,,,
41,1841,0.2822580645161291,-0.22,,,,
42,1842,0.10225806451612907,-0.23,,,,
43,1843,0.17225806451612907,-0.23,,,,
44,1844,-0.8177419354838709,-0.21,,,,
45,1845,-0.997741935483871,-0.2,,,,
46,1846,1.262258064516129,-0.19,,,,
47,1847,-0.40774193548387094,-0.19,,,,
48,1848,0.0722580645161291,-0.2,,,,
49,1849,-0.1077419354838709,-0.2,,,,
50,1850,-0.41774193548387095,-0.2,0.71,0.73,0.73,0.69
51,1851,-0.26774193548387093,-0.17,0.7,0.72,0.72,0.68
52,1852,0.7322580645161291,-0.15,0.7,0.71,0.71,0.68
53,1853,-1.0077419354838708,-0.12,0.7,0.71,0.7,0.67
54,1854,-0.007741935483870921,-0.1,0.69,0.7,0.7,0.67
55,1855,-1.597741935483871,-0.07,0.69,0.69,0.69,0.66
56,1856,-0.11774193548387091,-0.04,0.68,0.69,0.68,0.66
57,1857,0.8822580645161291,-0.0,0.68,0.68,0.67,0.65
58,1858,-0.3477419354838709,0.04,0.67,0.68,0.66,0.65
59,1859,0.9222580645161291,0.07,0.67,0.67,0.65,0.65
60,1860,-0.997741935483871,0.12,0.67,0.66,0.65,0.64
61,1861,0.11225806451612907,0.16,0.66,0.66,0.64,0.64
62,1862,0.572258064516129,0.19,0.66,0.65,0.63,0.64
63,1863,0.802258064516129,0.2,0.66,0.65,0.63,0.63
64,1864,-1.147741935483871,0.2,0.66,0.65,0.62,0.63
65,1865,0.4022580645161291,0.19,0.66,0.65,0.62,0.63
66,1866,0.5422580645161291,0.19,0.65,0.65,0.62,0.63
67,1867,-0.14774193548387093,0.18,0.65,0.64,0.62,0.63
68,1868,1.382258064516129,0.18,0.65,0.64,0.62,0.63
69,1869,0.0822580645161291,0.18,0.65,0.64,0.62,0.62
70,1870,-0.707741935483871,0.16,0.64,0.64,0.61,0.62
71,1871,-0.977741935483871,0.15,0.64,0.63,0.61,0.62
72,1872,1.142258064516129,0.14,0.64,0.63,0.61,0.61
73,1873,0.3722580645161291,0.12,0.63,0.62,0.6,0.61
74,1874,0.14225806451612907,0.11,0.62,0.62,0.6,0.6
75,1875,-0.09774193548387089,0.1,0.61,0.61,0.59,0.59
76,1876,0.17225806451612907,0.1,0.6,0.6,0.58,0.58
77,1877,0.1922580645161291,0.1,0.59,0.59,0.57,0.57
78,1878,0.3822580645161291,0.1,0.57,0.57,0.55,0.55
79,1879,-1.437741935483871,0.09,0.56,0.56,0.54,0.54
80,1880,0.4422580645161291,0.05,0.54,0.54,0.53,0.52
81,1881,-0.6177419354838709,-0.0,0.53,0.53,0.52,0.5
82,1882,0.3722580645161291,-0.06,0.51,0.51,0.5,0.49
83,1883,0.0722580645161291,-0.11,0.5,0.5,0.49,0.47
84,1884,0.792258064516129,-0.16,0.48,0.48,0.48,0.46
85,1885,-0.3577419354838709,-0.21,0.47,0.47,0.47,0.45
86,1886,-0.08774193548387094,-0.24,0.46,0.46,0.46,0.44
87,1887,-0.8777419354838709,-0.26,0.46,0.46,0.46,0.43
88,1888,-1.0777419354838709,-0.28,0.45,0.45,0.46,0.43
89,1889,-0.3577419354838709,-0.29,0.45,0.45,0.46,0.43
90,1890,-0.5877419354838709,-0.29,0.46,0.45,0.46,0.43
91,1891,-0.44774193548387087,-0.28,0.46,0.46,0.46,0.44
92,1892,-0.537741935483871,-0.24,0.46,0.46,0.47,0.44
93,1893,0.3022580645161291,-0.18,0.47,0.47,0.48,0.45
94,1894,0.29225806451612907,-0.11,0.48,0.48,0.48,0.45
95,1895,-0.5177419354838709,-0.05,0.48,0.48,0.48,0.46
96,1896,-0.03774193548387089,0.01,0.49,0.49,0.49,0.47
97,1897,0.14225806451612907,0.05,0.49,0.49,0.49,0.47
