Ivory Coast,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,-0.1777777777777777,-0.16,,,,
50,1850,-0.1877777777777777,-0.16,0.17,0.18,0.18,0.19
51,1851,-0.08777777777777773,-0.15,0.17,0.18,0.18,0.18
52,1852,,,0.17,0.17,0.17,0.18
53,1853,,,0.17,0.17,0.17,0.18
54,1854,,,0.17,0.17,0.17,0.18
55,1855,,,0.17,0.17,0.17,0.17
56,1856,,,0.17,0.16,0.16,0.17
57,1857,-0.37777777777777777,-0.13,0.17,0.16,0.16,0.17
58,1858,-0.07777777777777772,-0.13,0.17,0.16,0.16,0.17
59,1859,0.34222222222222226,-0.13,0.17,0.16,0.16,0.17
60,1860,-0.33777777777777773,-0.12,0.17,0.16,0.16,0.17
61,1861,,,0.17,0.15,0.16,0.16
62,1862,,,0.16,0.15,0.15,0.16
63,1863,,,0.16,0.15,0.15,0.16
64,1864,,,0.16,0.15,0.15,0.16
65,1865,0.12222222222222223,-0.11,0.16,0.15,0.15,0.16
66,1866,,,0.16,0.14,0.15,0.16
67,1867,,,0.16,0.14,0.15,0.16
68,1868,,,0.16,0.15,0.15,0.16
69,1869,,,0.16,0.15,0.16,0.16
70,1870,,,0.16,0.16,0.17,0.17
71,1871,,,0.17,0.16,0.17,0.17
72,1872,,,0.17,0.17,0.18,0.18
73,1873,,,0.18,0.17,0.18,0.18
74,1874,-0.14777777777777779,-0.06,0.18,0.17,0.19,0.18
75,1875,-0.46777777777777774,-0.05,0.18,0.18,0.19,0.18
76,1876,-0.4077777777777778,-0.04,0.18,0.18,0.19,0.18
77,1877,0.15222222222222226,-0.03,0.18,0.18,0.18,0.18
78,1878,0.28222222222222226,-0.01,0.17,0.17,0.18,0.18
79,1879,-0.20777777777777773,0.02,0.17,0.17,0.17,0.17
80,1880,0.3122222222222223,0.04,0.16,0.16,0.17,0.17
81,1881,0.45222222222222225,0.07,0.16,0.16,0.16,0.16
82,1882,0.10222222222222227,0.09,0.16,0.16,0.16,0.16
83,1883,0.32222222222222224,0.12,0.16,0.15,0.16,0.16
84,1884,,,0.16,0.15,0.15,0.16
85,1885,-0.24777777777777776,0.1,0.16,0.15,0.15,0.16
86,1886,0.27222222222222225,0.09,0.16,0.15,0.15,0.16
87,1887,-0.11777777777777776,0.08,0.16,0.15,0.15,0.16
88,1888,0.09222222222222226,0.07,0.16,0.15,0.15,0.16
89,1889,0.14222222222222225,0.07,0.16,0.15,0.15,0.16
90,1890,-0.3177777777777777,0.07,0.16,0.16,0.16,0.16
91,1891,0.062222222222222234,0.08,0.17,0.16,0.16,0.17
92,1892,0.15222222222222226,0.08,0.18,0.17,0.17,0.18
93,1893,0.27222222222222225,0.08,0.19,0.18,0.18,0.19
94,1894,0.10222222222222227,0.09,0.2,0.19,0.19,0.2
95,1895,0.37222222222222223,0.1,0.21,0.2,0.2,0.21
96,1896,-0.09777777777777774,0.1,0.22,0.21,0.21,0.21
97,1897,-0.007777777777777717,0.08,0.22,0.22,0.22,0.22
98,1898,-0.12777777777777777,0.06,0.23,0.22,0.22,0.22
99,1899,0.5522222222222223,0.03,0.23,0.22,0.22,0.23
100,1900,0.13222222222222224,0.0,0.23,0.23,0.23,0.23
101,1901,0.26222222222222225,-0.02,0.24,0.23,0.23,0.23
102,1902,-0.05777777777777776,-0.04,0.24,0.23,0.24,0.24
103,1903,-0.4077777777777778,-0.06,0.25,0.24,0.24,0.24
104,1904,-0.7177777777777778,-0.07,0.25,0.24,0.25,0.25
105,1905,-0.21777777777777774,-0.08,0.26,0.25,0.25,0.25
106,1906,0.062222222222222234,-0.08,0.26,0.25,0.26,0.25
107,1907,-0.24777777777777776,-0.08,0.26,0.26,0.26,0.26
