Comoros,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
113,1913,0.21499999999999997,0.22,0.71,0.7,0.72,0.69
114,1914,0.385,0.23,0.72,0.71,0.72,0.7
115,1915,0.415,0.25,0.72,0.71,0.73,0.71
116,1916,0.20500000000000002,0.27,0.73,0.72,0.74,0.71
117,1917,0.185,0.3,0.73,0.72,0.74,0.72
118,1918,0.15499999999999997,0.32,0.74,0.73,0.74,0.72
119,1919,0.565,0.34,0.74,0.73,0.75,0.72
120,1920,0.22499999999999998,0.36,0.75,0.74,0.75,0.73
121,1921,0.305,0.39,0.75,0.74,0.76,0.73
122,1922,0.365,0.42,0.76,0.75,0.76,0.74
123,1923,0.565,0.45,0.76,0.75,0.77,0.74
124,1924,0.515,0.47,0.76,0.76,0.77,0.75
125,1925,0.625,0.48,0.77,0.76,0.77,0.75
126,1926,0.735,0.49,0.77,0.76,0.77,0.75
127,1927,0.315,0.49,0.77,0.76,0.78,0.76
128,1928,0.505,0.48,0.78,0.77,0.78,0.76
129,1929,0.515,0.47,0.78,0.77,0.78,0.76
130,1930,0.22499999999999998,0.45,0.78,0.77,0.79,0.77
131,1931,0.655,0.44,0.79,0.78,0.8,0.77
132,1932,0.405,0.44,0.79,0.79,0.8,0.78
133,1933,0.315,0.44,0.8,0.79,0.81,0.78
134,1934,0.345,0.46,0.81,0.8,0.81,0.79
135,1935,0.385,0.48,0.81,0.8,0.82,0.8
136,1936,0.625,0.5,0.82,0.81,0.83,0.8
137,1937,0.385,0.52,0.83,0.81,0.83,0.81
138,1938,0.765,0.53,0.83,0.82,0.84,0.81
139,1939,0.475,0.53,0.83,0.82,0.84,0.82
140,1940,0.725,0.53,0.84,0.83,0.85,0.82
141,1941,0.815,0.52,0.84,0.83,0.85,0.83
142,1942,0.5549999999999999,0.51,0.85,0.84,0.86,0.83
143,1943,0.03500000000000003,0.5,0.86,0.84,0.86,0.84
144,1944,0.365,0.49,0.86,0.85,0.87,0.84
145,1945,0.325,0.47,0.86,0.85,0.87,0.85
146,1946,0.515,0.46,0.87,0.86,0.87,0.85
147,1947,0.385,0.46,0.87,0.86,0.88,0.85
148,1948,0.675,0.48,0.87,0.86,0.88,0.86
149,1949,0.525,0.51,0.88,0.87,0.88,0.86
150,1950,0.285,0.53,0.88,0.87,0.88,0.86
151,1951,0.45499999999999996,0.54,0.88,0.87,0.89,0.87
152,1952,0.745,0.55,0.89,0.88,0.89,0.87
153,1953,0.785,0.56,0.89,0.88,0.89,0.87
154,1954,0.705,0.57,0.89,0.89,0.89,0.88
155,1955,0.44499999999999995,0.58,0.9,0.89,0.89,0.88
156,1956,0.22499999999999998,0.59,0.9,0.89,0.89,0.88
157,1957,0.595,0.58,0.9,0.89,0.89,0.88
158,1958,0.915,0.57,0.9,0.89,0.89,0.88
159,1959,0.525,0.54,0.9,0.89,0.88,0.88
160,1960,0.435,0.52,0.9,0.88,0.88,0.88
161,1961,0.9550000000000001,0.51,0.89,0.88,0.88,0.87
162,1962,0.575,0.51,0.89,0.88,0.88,0.87
163,1963,0.285,0.51,0.89,0.88,0.88,0.87
164,1964,0.235,0.51,0.9,0.89,0.88,0.88
165,1965,0.185,0.51,0.9,0.89,0.88,0.88
166,1966,0.735,0.51,0.9,0.89,0.88,0.88
167,1967,0.715,0.52,0.9,0.89,0.88,0.88
168,1968,0.21499999999999997,0.54,0.9,0.89,0.89,0.88
169,1969,0.935,0.56,0.9,0.9,0.89,0.89
170,1970,0.705,0.58,0.9,0.9,0.9,0.89
171,1971,0.235,0.6,0.91,0.9,0.9,0.89
172,1972,0.685,0.62,0.91,0.91,0.91,0.9
173,1973,0.765,0.65,0.92,0.92,0.92,0.91
174,1974,0.375,0.68,0.93,0.93,0.93,0.92
175,1975,0.595,0.71,0.94,0.94,0.94,0.92
176,1976,0.595,0.74,0.95,0.94,0.95,0.93
177,1977,1.145,0.78,0.96,0.95,0.96,0.94
178,1978,0.875,0.82,0.97,0.96,0.97,0.95
179,1979,0.895,0.85,0.97,0.97,0.98,0.96
180,1980,0.905,0.88,0.98,0.97,0.99,0.96
181,1981,0.8049999999999999,0.89,0.99,0.98,1.0,0.97
182,1982,1.155,0.91,1.0,0.99,1.01,0.98
183,1983,1.205,0.92,1.01,1.0,1.02,0.99
184,1984,0.5449999999999999,0.94,1.02,1.01,1.03,1.0
185,1985,0.575,0.95,1.03,1.02,1.04,1.01
186,1986,0.7949999999999999,0.96,1.04,1.03,1.04,1.02
187,1987,1.305,0.97,1.05,1.04,1.05,1.03
188,1988,1.275,0.99,1.06,1.05,1.06,1.04
189,1989,0.695,1.01,1.07,1.06,1.08,1.06
190,1990,1.065,1.04,1.09,1.08,1.09,1.07
191,1991,1.105,1.08,1.1,1.1,1.11,1.09
192,1992,1.135,1.11,1.12,1.11,1.12,1.11
193,1993,0.975,1.14,1.14,1.13,1.14,1.13
194,1994,1.205,1.17,1.16,1.15,1.16,1.15
195,1995,1.2650000000000001,1.2,1.18,1.17,1.18,1.17
196,1996,1.035,1.23,1.2,1.19,1.2,1.19
197,1997,1.415,1.27,1.22,1.21,1.22,1.2
198,1998,1.725,1.3,1.24,1.23,1.24,1.22
199,1999,1.165,1.34,1.26,1.25,1.26,1.24
200,2000,1.1949999999999998,1.37,1.28,1.28,1.28,1.27
201,2001,1.415,1.39,1.3,1.3,1.31,1.29
202,2002,1.545,1.41,1.32,1.32,1.33,1.31
203,2003,1.525,1.42,1.34,1.34,1.35,1.33
204,2004,1.335,1.43,1.37,1.37,1.37,1.36
205,2005,1.605,1.44,1.39,1.39,1.39,1.38
206,2006,1.385,1.45,1.41,1.41,1.41,1.4
207,2007,1.5350000000000001,1.45,1.43,1.43,1.43,1.42
208,2008,1.135,1.44,1.44,1.44,1.45,1.44
209,2009,1.5150000000000001,1.44,1.46,1.46,1.47,1.46
210,2010,1.715,1.44,1.48,1.48,1.49,1.48
211,2011,1.415,1.44,1.5,1.5,1.5,1.5
212,2012,1.295,1.46,1.52,1.52,1.52,1.52
213,2013,1.325,1.49,1.54,1.54,1.54,1.54
214,2014,1.345,1.53,1.57,1.57,1.56,1.57
215,2015,1.655,1.56,1.59,1.59,1.58,1.59
216,2016,1.525,1.6,1.61,1.61,1.6,1.61
217,2017,1.635,1.64,1.63,1.63,1.62,1.64
218,2018,1.525,1.69,1.65,1.65,1.65,1.66
219,2019,1.955,1.73,1.67,1.67,1.67,1.68
220,2020,1.865,1.78,1.69,1.69,1.69,1.7
221,2021,,,1.71,1.71,1.71,1.73
222,2022,,,1.73,1.73,1.73,1.75
223,2023,,,1.75,1.76,1.75,1.78
224,2024,,,1.77,1.78,1.77,1.8
225,2025,,,1.79,1.8,1.79,1.83
226,2026,,,1.81,1.82,1.82,1.85
227,2027,,,1.83,1.84,1.84,1.88
228,2028,,,1.85,1.86,1.86,1.91
229,2029,,,1.86,1.88,1.89,1.93
230,2030,,,1.88,1.9,1.91,1.96
231,2031,,,1.9,1.93,1.94,1.99
232,2032,,,1.91,1.94,1.96,2.01
233,2033,,,1.93,1.96,1.98,2.04
234,2034,,,1.94,1.98,2.01,2.07
235,2035,,,1.96,2.0,2.03,2.1
236,2036,,,1.97,2.02,2.06,2.13
237,2037,,,1.98,2.04,2.08,2.16
238,2038,,,1.99,2.06,2.11,2.19
239,2039,,,2.01,2.08,2.14,2.22
240,2040,,,2.02,2.1,2.16,2.26
241,2041,,,2.03,2.12,2.19,2.29
242,2042,,,2.04,2.14,2.22,2.32
243,2043,,,2.05,2.16,2.24,2.36
244,2044,,,2.06,2.18,2.27,2.39
245,2045,,,2.06,2.2,2.3,2.42
246,2046,,,2.07,2.21,2.33,2.46
247,2047,,,2.08,2.24,2.35,2.49
248,2048,,,2.09,2.25,2.38,2.52
249,2049,,,2.09,2.27,2.4,2.56
250,2050,,,2.1,2.29,2.43,2.59
251,2051,,,2.11,2.31,2.45,2.62
252,2052,,,2.11,2.33,2.48,2.66
253,2053,,,2.12,2.35,2.51,2.7
254,2054,,,2.12,2.37,2.54,2.74
255,2055,,,2.13,2.38,2.57,2.77
256,2056,,,2.13,2.4,2.6,2.81
257,2057,,,2.13,2.42,2.62,2.85
258,2058,,,2.14,2.43,2.65,2.89
259,2059,,,2.14,2.45,2.68,2.93
260,2060,,,2.14,2.47,2.71,2.97
261,2061,,,2.14,2.48,2.74,3.01
262,2062,,,2.14,2.5,2.77,3.05
263,2063,,,2.15,2.51,2.81,3.09
264,2064,,,2.15,2.53,2.84,3.13
265,2065,,,2.15,2.54,2.87,3.17
266,2066,,,2.15,2.56,2.9,3.21
267,2067,,,2.15,2.57,2.93,3.25
268,2068,,,2.15,2.59,2.96,3.29
269,2069,,,2.15,2.6,2.99,3.33
270,2070,,,2.15,2.62,3.02,3.37
271,2071,,,2.15,2.63,3.05,3.41
272,2072,,,2.15,2.65,3.08,3.45
273,2073,,,2.15,2.66,3.11,3.49
274,2074,,,2.15,2.68,3.14,3.53
275,2075,,,2.15,2.69,3.17,3.57
276,2076,,,2.15,2.7,3.21,3.61
277,2077,,,2.15,2.72,3.24,3.65
278,2078,,,2.15,2.73,3.27,3.69
279,2079,,,2.14,2.74,3.3,3.74
280,2080,,,2.14,2.76,3.33,3.78
281,2081,,,2.14,2.77,3.37,3.82
282,2082,,,2.14,2.78,3.4,3.87
283,2083,,,2.13,2.79,3.43,3.91
284,2084,,,2.13,2.8,3.46,3.95
285,2085,,,2.13,2.81,3.5,3.99
286,2086,,,2.12,2.82,3.53,4.03
287,2087,,,2.12,2.83,3.56,4.07
288,2088,,,2.12,2.84,3.6,4.12
289,2089,,,2.11,2.84,3.63,4.16
290,2090,,,2.11,2.85,3.66,4.2
291,2091,,,2.11,2.86,3.69,4.24
292,2092,,,2.11,2.87,3.73,4.28
293,2093,,,2.1,2.87,3.76,4.32
294,2094,,,2.1,2.88,3.79,4.36
295,2095,,,2.1,2.89,3.82,4.4
296,2096,,,2.1,2.9,3.85,4.43
297,2097,,,2.09,2.9,3.88,4.47
298,2098,,,2.09,2.91,3.91,4.51
299,2099,,,2.09,2.91,3.94,4.54
300,2100,,,2.09,2.92,3.98,4.59
