Angola,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
105,1905,0.08652173913043476,0.09,0.33,0.34,0.34,0.33
106,1906,-0.19347826086956527,0.09,0.33,0.34,0.34,0.33
107,1907,-0.2734782608695652,0.09,0.33,0.34,0.34,0.33
108,1908,-0.1234782608695652,0.11,0.33,0.34,0.34,0.33
109,1909,0.17652173913043473,0.14,0.33,0.34,0.35,0.33
110,1910,0.13652173913043475,0.19,0.34,0.34,0.35,0.34
111,1911,-0.15347826086956523,0.24,0.34,0.35,0.36,0.34
112,1912,0.6365217391304347,0.29,0.35,0.36,0.37,0.35
113,1913,0.5465217391304348,0.34,0.36,0.37,0.37,0.36
114,1914,0.5265217391304348,0.39,0.37,0.37,0.38,0.37
115,1915,0.5665217391304347,0.43,0.37,0.38,0.39,0.37
116,1916,0.7565217391304347,0.47,0.38,0.39,0.4,0.38
117,1917,0.49652173913043474,0.5,0.39,0.39,0.4,0.39
118,1918,-0.2334782608695653,0.51,0.39,0.4,0.41,0.39
119,1919,0.11652173913043473,0.52,0.4,0.41,0.41,0.4
120,1920,0.5965217391304347,0.52,0.41,0.41,0.42,0.41
121,1921,0.7465217391304347,0.52,0.41,0.42,0.43,0.41
122,1922,0.6765217391304348,0.52,0.42,0.43,0.44,0.42
123,1923,0.4165217391304348,0.51,0.43,0.44,0.44,0.43
124,1924,0.5965217391304347,0.51,0.44,0.44,0.45,0.44
125,1925,0.11652173913043473,0.51,0.44,0.45,0.46,0.44
126,1926,0.5265217391304348,0.5,0.45,0.46,0.46,0.45
127,1927,0.5965217391304347,0.48,0.45,0.46,0.47,0.45
128,1928,0.7565217391304347,0.46,0.46,0.46,0.47,0.46
129,1929,0.5065217391304347,0.44,0.47,0.47,0.48,0.46
130,1930,0.19652173913043475,0.42,0.47,0.47,0.48,0.47
131,1931,0.6365217391304347,0.39,0.48,0.48,0.49,0.48
132,1932,0.21652173913043474,0.37,0.48,0.49,0.49,0.48
133,1933,0.33652173913043476,0.36,0.49,0.49,0.5,0.49
134,1934,0.40652173913043477,0.34,0.5,0.5,0.51,0.5
135,1935,0.20652173913043476,0.34,0.5,0.51,0.51,0.5
136,1936,0.056521739130434734,0.34,0.51,0.51,0.52,0.51
137,1937,0.25652173913043474,0.35,0.51,0.52,0.53,0.51
138,1938,0.3465217391304347,0.36,0.52,0.52,0.53,0.52
139,1939,0.15652173913043477,0.38,0.52,0.53,0.54,0.52
140,1940,0.40652173913043477,0.41,0.53,0.53,0.54,0.53
141,1941,0.9565217391304348,0.43,0.54,0.54,0.55,0.54
142,1942,0.5265217391304348,0.46,0.54,0.55,0.55,0.54
143,1943,0.3465217391304347,0.48,0.55,0.55,0.56,0.55
144,1944,0.6865217391304348,0.49,0.55,0.56,0.57,0.55
145,1945,0.5165217391304348,0.5,0.56,0.56,0.57,0.56
146,1946,0.6765217391304348,0.5,0.56,0.57,0.57,0.56
147,1947,0.6665217391304348,0.49,0.56,0.57,0.58,0.56
148,1948,0.49652173913043474,0.47,0.56,0.57,0.58,0.56
149,1949,0.44652173913043475,0.45,0.57,0.57,0.58,0.57
150,1950,0.10652173913043472,0.43,0.57,0.58,0.59,0.57
151,1951,0.46652173913043476,0.41,0.57,0.58,0.59,0.57
152,1952,0.6865217391304348,0.4,0.58,0.59,0.59,0.58
153,1953,0.26652173913043475,0.39,0.58,0.59,0.6,0.58
154,1954,0.11652173913043473,0.39,0.59,0.6,0.6,0.59
155,1955,0.13652173913043475,0.4,0.59,0.6,0.61,0.6
156,1956,0.056521739130434734,0.4,0.6,0.6,0.61,0.6
157,1957,0.5165217391304348,0.4,0.6,0.6,0.61,0.6
158,1958,0.5965217391304347,0.41,0.59,0.6,0.61,0.6
159,1959,0.6565217391304348,0.41,0.59,0.6,0.61,0.59
160,1960,0.5165217391304348,0.42,0.59,0.59,0.6,0.59
161,1961,0.5565217391304348,0.43,0.58,0.59,0.6,0.59
162,1962,0.45652173913043476,0.45,0.58,0.59,0.59,0.59
163,1963,0.3465217391304347,0.46,0.58,0.59,0.59,0.59
164,1964,0.30652173913043473,0.46,0.58,0.59,0.59,0.59
165,1965,0.32652173913043475,0.45,0.58,0.59,0.6,0.59
166,1966,0.6165217391304347,0.45,0.58,0.59,0.6,0.59
167,1967,0.36652173913043473,0.45,0.58,0.59,0.6,0.59
168,1968,0.31652173913043474,0.44,0.58,0.59,0.6,0.59
169,1969,0.6265217391304347,0.44,0.58,0.59,0.6,0.59
170,1970,0.6065217391304347,0.44,0.58,0.59,0.6,0.59
171,1971,0.31652173913043474,0.45,0.58,0.6,0.6,0.59
172,1972,0.39652173913043476,0.46,0.59,0.61,0.61,0.6
173,1973,0.9565217391304348,0.47,0.61,0.62,0.63,0.61
174,1974,0.20652173913043476,0.49,0.62,0.63,0.64,0.62
175,1975,0.37652173913043474,0.51,0.63,0.65,0.66,0.64
176,1976,0.14652173913043476,0.53,0.65,0.66,0.67,0.65
177,1977,0.6565217391304348,0.56,0.66,0.67,0.68,0.66
178,1978,0.38652173913043475,0.6,0.67,0.69,0.7,0.68
179,1979,0.7365217391304347,0.64,0.69,0.7,0.71,0.69
180,1980,0.7765217391304348,0.68,0.7,0.71,0.73,0.7
181,1981,0.6965217391304348,0.73,0.72,0.73,0.74,0.72
182,1982,0.5865217391304347,0.79,0.73,0.75,0.76,0.74
183,1983,1.0965217391304347,0.83,0.75,0.76,0.78,0.76
184,1984,1.1465217391304348,0.88,0.77,0.78,0.8,0.78
185,1985,0.7965217391304347,0.92,0.79,0.8,0.83,0.8
186,1986,0.7965217391304347,0.95,0.81,0.82,0.85,0.82
187,1987,1.4565217391304348,0.98,0.83,0.84,0.87,0.83
188,1988,1.0065217391304349,1.01,0.85,0.86,0.89,0.85
189,1989,0.9565217391304348,1.03,0.88,0.88,0.91,0.88
190,1990,1.2265217391304348,1.05,0.9,0.91,0.93,0.9
191,1991,0.9165217391304348,1.08,0.93,0.93,0.96,0.93
192,1992,1.0965217391304347,1.1,0.96,0.96,0.99,0.96
193,1993,1.0965217391304347,1.12,0.99,0.99,1.01,0.99
194,1994,0.9365217391304348,1.14,1.02,1.02,1.04,1.02
195,1995,1.4765217391304348,1.16,1.05,1.05,1.07,1.05
196,1996,1.1065217391304347,1.19,1.08,1.08,1.1,1.08
197,1997,1.0165217391304346,1.22,1.11,1.11,1.13,1.1
198,1998,1.8365217391304347,1.25,1.13,1.13,1.15,1.13
199,1999,1.1865217391304348,1.28,1.16,1.16,1.18,1.16
200,2000,1.1865217391304348,1.31,1.19,1.19,1.2,1.19
201,2001,1.3665217391304347,1.34,1.22,1.22,1.23,1.22
202,2002,1.4465217391304348,1.36,1.25,1.25,1.26,1.25
203,2003,1.6165217391304347,1.38,1.28,1.28,1.29,1.28
204,2004,1.2065217391304348,1.39,1.31,1.31,1.32,1.31
205,2005,1.7365217391304348,1.4,1.34,1.34,1.35,1.34
206,2006,1.2165217391304348,1.4,1.37,1.37,1.38,1.37
207,2007,1.6665217391304348,1.41,1.39,1.4,1.41,1.39
208,2008,1.2865217391304347,1.42,1.42,1.43,1.43,1.42
209,2009,1.3865217391304347,1.43,1.45,1.45,1.46,1.45
210,2010,1.6165217391304347,1.45,1.48,1.48,1.48,1.47
211,2011,0.8365217391304347,1.47,1.5,1.5,1.51,1.5
212,2012,0.8465217391304347,1.51,1.54,1.53,1.54,1.53
213,2013,1.4965217391304348,1.55,1.57,1.56,1.57,1.56
214,2014,1.2765217391304347,1.58,1.6,1.6,1.6,1.6
215,2015,1.7465217391304348,1.62,1.64,1.63,1.63,1.63
216,2016,1.9265217391304348,1.66,1.67,1.66,1.66,1.67
217,2017,1.4065217391304348,1.7,1.7,1.69,1.69,1.7
218,2018,1.8465217391304347,1.74,1.73,1.73,1.72,1.73
219,2019,2.176521739130435,1.78,1.76,1.76,1.75,1.77
220,2020,1.6765217391304348,1.82,1.79,1.79,1.78,1.81
221,2021,,,1.82,1.82,1.81,1.85
222,2022,,,1.85,1.86,1.84,1.89
223,2023,,,1.88,1.89,1.87,1.92
224,2024,,,1.91,1.92,1.9,1.96
225,2025,,,1.94,1.95,1.93,2.0
226,2026,,,1.97,1.99,1.96,2.04
227,2027,,,2.0,2.02,2.0,2.08
228,2028,,,2.03,2.05,2.03,2.12
229,2029,,,2.06,2.08,2.07,2.16
230,2030,,,2.08,2.11,2.1,2.2
231,2031,,,2.11,2.13,2.14,2.24
232,2032,,,2.13,2.16,2.18,2.27
233,2033,,,2.15,2.18,2.21,2.31
234,2034,,,2.17,2.21,2.25,2.35
235,2035,,,2.19,2.23,2.28,2.39
236,2036,,,2.21,2.26,2.32,2.43
237,2037,,,2.22,2.28,2.35,2.46
238,2038,,,2.24,2.31,2.39,2.5
239,2039,,,2.25,2.34,2.43,2.55
240,2040,,,2.27,2.37,2.46,2.59
241,2041,,,2.28,2.4,2.5,2.64
242,2042,,,2.29,2.43,2.54,2.69
243,2043,,,2.3,2.46,2.58,2.73
244,2044,,,2.31,2.49,2.62,2.78
245,2045,,,2.31,2.52,2.65,2.83
246,2046,,,2.32,2.55,2.7,2.88
247,2047,,,2.33,2.58,2.74,2.93
248,2048,,,2.33,2.61,2.78,2.98
249,2049,,,2.34,2.64,2.82,3.02
250,2050,,,2.35,2.66,2.86,3.07
251,2051,,,2.35,2.7,2.9,3.12
252,2052,,,2.36,2.72,2.95,3.18
253,2053,,,2.37,2.75,2.99,3.23
254,2054,,,2.37,2.77,3.04,3.28
255,2055,,,2.38,2.8,3.08,3.33
256,2056,,,2.39,2.83,3.12,3.38
257,2057,,,2.39,2.85,3.17,3.43
258,2058,,,2.4,2.88,3.21,3.48
259,2059,,,2.4,2.9,3.26,3.53
260,2060,,,2.4,2.93,3.3,3.58
261,2061,,,2.4,2.95,3.35,3.63
262,2062,,,2.4,2.98,3.39,3.69
263,2063,,,2.4,3.0,3.44,3.75
264,2064,,,2.4,3.02,3.48,3.8
265,2065,,,2.4,3.05,3.53,3.86
266,2066,,,2.4,3.07,3.57,3.92
267,2067,,,2.39,3.09,3.62,3.98
268,2068,,,2.39,3.11,3.66,4.03
269,2069,,,2.39,3.13,3.7,4.09
270,2070,,,2.39,3.15,3.74,4.15
271,2071,,,2.38,3.17,3.79,4.21
272,2072,,,2.38,3.19,3.83,4.27
273,2073,,,2.38,3.21,3.88,4.33
274,2074,,,2.38,3.23,3.92,4.39
275,2075,,,2.38,3.25,3.97,4.45
276,2076,,,2.38,3.26,4.01,4.51
277,2077,,,2.38,3.28,4.06,4.57
278,2078,,,2.38,3.3,4.1,4.63
279,2079,,,2.38,3.32,4.14,4.7
280,2080,,,2.37,3.33,4.19,4.76
281,2081,,,2.37,3.35,4.23,4.82
282,2082,,,2.37,3.37,4.27,4.88
283,2083,,,2.36,3.38,4.32,4.95
284,2084,,,2.36,3.4,4.37,5.01
285,2085,,,2.36,3.42,4.41,5.08
286,2086,,,2.35,3.43,4.46,5.14
287,2087,,,2.35,3.45,4.51,5.21
288,2088,,,2.35,3.46,4.56,5.27
289,2089,,,2.34,3.48,4.61,5.34
290,2090,,,2.34,3.49,4.65,5.41
291,2091,,,2.34,3.5,4.7,5.47
292,2092,,,2.33,3.51,4.75,5.54
293,2093,,,2.33,3.53,4.79,5.6
294,2094,,,2.32,3.54,4.84,5.67
295,2095,,,2.32,3.55,4.88,5.73
296,2096,,,2.32,3.56,4.93,5.8
297,2097,,,2.31,3.57,4.98,5.86
298,2098,,,2.31,3.58,5.02,5.92
299,2099,,,2.31,3.59,5.07,5.98
300,2100,,,2.31,3.6,5.12,6.06
