Bosnia and Herzegovina,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
96,1896,-0.29096774193548397,-0.01,0.41,0.42,0.47,0.41
97,1897,0.11903225806451606,0.03,0.41,0.42,0.47,0.41
98,1898,0.909032258064516,0.05,0.41,0.41,0.46,0.4
99,1899,0.019032258064516028,0.07,0.41,0.41,0.46,0.4
100,1900,0.769032258064516,0.08,0.4,0.41,0.46,0.39
101,1901,-0.3409677419354839,0.08,0.4,0.4,0.45,0.39
102,1902,-0.020967741935483952,0.08,0.39,0.4,0.45,0.38
103,1903,0.269032258064516,0.07,0.38,0.39,0.44,0.37
104,1904,0.42903225806451606,0.06,0.37,0.38,0.43,0.36
105,1905,-0.2109677419354839,0.04,0.36,0.37,0.42,0.35
106,1906,-0.190967741935484,0.02,0.36,0.37,0.41,0.35
107,1907,0.009032258064516074,0.0,0.36,0.37,0.41,0.35
108,1908,-0.4609677419354839,-0.01,0.36,0.37,0.41,0.35
109,1909,-0.10096774193548397,-0.01,0.36,0.38,0.41,0.36
110,1910,0.47903225806451605,-0.01,0.37,0.39,0.42,0.37
111,1911,0.30903225806451606,0.0,0.39,0.4,0.44,0.38
112,1912,-0.3509677419354839,0.02,0.4,0.42,0.45,0.4
113,1913,-0.0009677419354839345,0.04,0.42,0.44,0.47,0.42
114,1914,-0.5409677419354839,0.07,0.44,0.45,0.49,0.43
115,1915,0.08903225806451603,0.09,0.45,0.47,0.5,0.45
116,1916,1.079032258064516,0.11,0.47,0.48,0.52,0.46
117,1917,0.049032258064516054,0.12,0.48,0.5,0.54,0.48
118,1918,0.23903225806451606,0.15,0.5,0.51,0.56,0.5
119,1919,-0.15096774193548396,0.18,0.51,0.53,0.58,0.51
120,1920,0.5890322580645161,0.23,0.53,0.54,0.59,0.52
121,1921,0.10903225806451605,0.27,0.54,0.55,0.61,0.53
122,1922,-0.29096774193548397,0.31,0.54,0.55,0.61,0.53
123,1923,0.9990322580645161,0.34,0.54,0.55,0.61,0.53
124,1924,-0.27096774193548395,0.36,0.53,0.55,0.61,0.53
125,1925,0.30903225806451606,0.36,0.53,0.54,0.61,0.52
126,1926,0.8190322580645161,0.37,0.52,0.54,0.6,0.52
