Russia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.4016129032258064,0.28,,,,
1,1801,0.5183870967741936,0.18,,,,
2,1802,0.19838709677419358,0.08,,,,
3,1803,-0.18161290322580642,-0.02,,,,
4,1804,-0.07161290322580638,-0.12,,,,
5,1805,-0.02161290322580639,-0.22,,,,
6,1806,0.3083870967741936,-0.31,,,,
7,1807,0.01838709677419359,-0.4,,,,
8,1808,-0.5816129032258064,-0.5,,,,
9,1809,-1.6816129032258065,-0.59,,,,
10,1810,-1.7116129032258063,-0.67,,,,
11,1811,-1.1016129032258064,-0.74,,,,
12,1812,-1.1016129032258064,-0.79,,,,
13,1813,-0.4216129032258064,-0.83,,,,
14,1814,-0.9916129032258065,-0.83,,,,
15,1815,-0.8516129032258064,-0.8,,,,
16,1816,-0.9616129032258065,-0.74,,,,
17,1817,-1.2416129032258065,-0.65,,,,
18,1818,0.2283870967741936,-0.55,,,,
19,1819,-1.1316129032258064,-0.46,,,,
20,1820,-0.47161290322580646,-0.37,,,,
21,1821,-0.02161290322580639,-0.29,,,,
22,1822,0.1583870967741936,-0.22,,,,
23,1823,-0.32161290322580643,-0.16,,,,
24,1824,0.2683870967741936,-0.12,,,,
25,1825,0.0983870967741936,-0.11,,,,
26,1826,0.4583870967741936,-0.1,,,,
27,1827,0.6683870967741936,-0.11,,,,
28,1828,-0.5716129032258064,-0.12,,,,
29,1829,-0.5816129032258064,-0.15,,,,
30,1830,0.2183870967741936,-0.19,,,,
31,1831,-0.7016129032258065,-0.23,,,,
32,1832,-0.7816129032258066,-0.27,,,,
33,1833,-0.21161290322580645,-0.32,,,,
34,1834,0.2083870967741936,-0.36,,,,
35,1835,-0.6316129032258064,-0.38,,,,
36,1836,-0.02161290322580639,-0.38,,,,
37,1837,-0.8316129032258064,-0.36,,,,
38,1838,-0.32161290322580643,-0.35,,,,
39,1839,-0.48161290322580635,-0.32,,,,
40,1840,-0.5316129032258063,-0.29,,,,
41,1841,-0.7216129032258065,-0.25,,,,
42,1842,-0.14161290322580639,-0.21,,,,
43,1843,0.7183870967741937,-0.17,,,,
44,1844,-0.35161290322580635,-0.12,,,,
45,1845,-0.3016129032258064,-0.07,,,,
46,1846,0.2883870967741936,-0.03,,,,
47,1847,0.048387096774193616,0.01,,,,
48,1848,0.3483870967741936,0.04,,,,
49,1849,0.3783870967741936,0.06,,,,
50,1850,-0.3816129032258064,0.06,0.31,0.29,0.32,0.27
51,1851,0.36838709677419357,0.06,0.31,0.28,0.31,0.26
52,1852,-0.05161290322580642,0.06,0.3,0.27,0.3,0.26
53,1853,-0.24161290322580636,0.04,0.29,0.27,0.29,0.25
54,1854,0.3483870967741936,0.02,0.28,0.26,0.28,0.24
55,1855,0.2183870967741936,-0.02,0.27,0.25,0.27,0.23
56,1856,-0.1616129032258064,-0.04,0.27,0.24,0.27,0.22
57,1857,-0.5716129032258064,-0.06,0.26,0.24,0.26,0.22
58,1858,0.2883870967741936,-0.07,0.25,0.23,0.25,0.21
59,1859,0.6583870967741936,-0.06,0.25,0.22,0.24,0.2
60,1860,-0.7516129032258065,-0.05,0.24,0.21,0.23,0.2
61,1861,-0.45161290322580644,-0.03,0.23,0.21,0.23,0.19
62,1862,-1.1316129032258064,-0.01,0.23,0.2,0.22,0.18
63,1863,0.5183870967741936,-0.0,0.23,0.2,0.22,0.18
64,1864,-0.14161290322580639,-0.0,0.23,0.2,0.22,0.18
65,1865,-0.05161290322580642,-0.0,0.23,0.2,0.22,0.18
66,1866,0.6083870967741936,0.0,0.23,0.2,0.22,0.18
67,1867,0.3883870967741936,0.01,0.22,0.21,0.22,0.18
68,1868,0.1283870967741936,0.02,0.22,0.21,0.22,0.18
69,1869,0.5783870967741935,0.03,0.22,0.2,0.22,0.18
70,1870,-0.5416129032258064,0.04,0.21,0.2,0.22,0.18
71,1871,-0.46161290322580645,0.04,0.21,0.2,0.22,0.17
72,1872,-0.5616129032258064,0.03,0.2,0.19,0.21,0.17
73,1873,0.0883870967741936,0.02,0.2,0.19,0.21,0.16
74,1874,0.8783870967741936,0.02,0.19,0.18,0.2,0.15
75,1875,-0.34161290322580645,0.01,0.18,0.17,0.19,0.14
76,1876,-0.13161290322580638,0.02,0.17,0.16,0.18,0.13
77,1877,0.1783870967741936,0.03,0.16,0.15,0.16,0.12
78,1878,0.7383870967741937,0.03,0.14,0.13,0.14,0.1
79,1879,-0.13161290322580638,0.03,0.12,0.11,0.12,0.08
80,1880,0.1183870967741936,0.03,0.1,0.1,0.1,0.06
81,1881,-0.1016129032258064,0.01,0.09,0.08,0.09,0.04
82,1882,0.16838709677419358,-0.01,0.07,0.06,0.07,0.03
83,1883,0.1183870967741936,-0.03,0.05,0.05,0.05,0.01
84,1884,-0.21161290322580645,-0.04,0.04,0.03,0.03,-0.0
85,1885,-0.6316129032258064,-0.06,0.03,0.02,0.02,-0.01
86,1886,-0.1016129032258064,-0.07,0.02,0.01,0.01,-0.03
87,1887,0.2183870967741936,-0.07,0.0,-0.01,-0.01,-0.04
88,1888,-0.32161290322580643,-0.05,-0.0,-0.02,-0.02,-0.05
89,1889,0.03838709677419361,-0.03,-0.01,-0.02,-0.02,-0.05
90,1890,-0.12161290322580642,-0.0,-0.01,-0.02,-0.02,-0.05
91,1891,-0.11161290322580641,0.03,-0.0,-0.02,-0.01,-0.04
92,1892,-0.32161290322580643,0.08,0.01,-0.0,0.01,-0.03
93,1893,0.4183870967741936,0.12,0.03,0.01,0.03,-0.01
94,1894,0.7383870967741937,0.16,0.04,0.03,0.05,0.0
95,1895,-0.20161290322580644,0.2,0.05,0.04,0.06,0.02
96,1896,0.2683870967741936,0.23,0.06,0.05,0.07,0.03
97,1897,0.5583870967741936,0.27,0.06,0.05,0.08,0.03
98,1898,0.0283870967741936,0.31,0.06,0.05,0.07,0.03
99,1899,0.6783870967741936,0.35,0.05,0.04,0.07,0.03
100,1900,0.1483870967741936,0.37,0.05,0.04,0.06,0.02
101,1901,0.6383870967741936,0.37,0.04,0.03,0.06,0.02
102,1902,-0.9516129032258065,0.37,0.03,0.03,0.05,0.01
103,1903,0.7083870967741936,0.36,0.02,0.02,0.04,0.0
104,1904,0.6383870967741936,0.35,0.01,0.0,0.03,-0.01
105,1905,0.36838709677419357,0.33,-0.01,-0.01,0.01,-0.03
106,1906,0.9183870967741936,0.3,-0.02,-0.02,-0.0,-0.04
107,1907,0.07838709677419359,0.28,-0.03,-0.04,-0.02,-0.05
108,1908,-0.001612903225806428,0.25,-0.04,-0.04,-0.02,-0.06
109,1909,0.10838709677419359,0.21,-0.04,-0.04,-0.03,-0.06
110,1910,0.2383870967741936,0.18,-0.04,-0.04,-0.03,-0.06
111,1911,0.2283870967741936,0.14,-0.03,-0.03,-0.02,-0.05
112,1912,-0.8616129032258064,0.11,-0.01,-0.02,-0.0,-0.04
113,1913,0.2383870967741936,0.1,0.01,0.01,0.02,-0.02
114,1914,0.6683870967741936,0.11,0.03,0.03,0.04,-0.0
115,1915,-0.48161290322580635,0.13,0.05,0.05,0.06,0.02
116,1916,-0.23161290322580635,0.16,0.07,0.07,0.08,0.04
117,1917,0.3583870967741936,0.19,0.1,0.1,0.11,0.06
118,1918,0.1483870967741936,0.23,0.12,0.12,0.13,0.09
119,1919,-0.23161290322580635,0.28,0.14,0.14,0.15,0.11
120,1920,0.6883870967741936,0.32,0.17,0.17,0.18,0.13
121,1921,0.9683870967741937,0.35,0.19,0.19,0.2,0.16
122,1922,0.16838709677419358,0.36,0.21,0.21,0.22,0.18
123,1923,0.3983870967741936,0.38,0.23,0.23,0.24,0.2
124,1924,0.6783870967741936,0.38,0.24,0.25,0.25,0.21
125,1925,0.8083870967741935,0.38,0.25,0.26,0.27,0.22
126,1926,0.5583870967741936,0.38,0.26,0.27,0.28,0.23
127,1927,0.2683870967741936,0.38,0.27,0.28,0.29,0.24
128,1928,0.1283870967741936,0.39,0.28,0.29,0.3,0.25
