Barbados,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
98,1898,0.11741935483870969,0.09,0.46,0.45,0.45,0.45
99,1899,0.07741935483870971,0.11,0.45,0.45,0.45,0.44
100,1900,0.21741935483870967,0.13,0.45,0.44,0.45,0.44
101,1901,0.34741935483870967,0.14,0.45,0.44,0.44,0.44
102,1902,0.32741935483870965,0.13,0.45,0.44,0.44,0.44
103,1903,0.32741935483870965,0.11,0.45,0.44,0.44,0.44
104,1904,-0.14258064516129032,0.09,0.45,0.44,0.44,0.44
105,1905,0.1374193548387097,0.06,0.45,0.44,0.44,0.44
106,1906,0.02741935483870972,0.02,0.44,0.44,0.44,0.43
107,1907,-0.05258064516129035,-0.02,0.44,0.44,0.44,0.43
108,1908,-0.05258064516129035,-0.05,0.44,0.44,0.44,0.43
109,1909,-0.16258064516129034,-0.08,0.44,0.44,0.44,0.43
110,1910,-0.2525806451612903,-0.11,0.44,0.44,0.45,0.44
111,1911,-0.1225806451612903,-0.13,0.45,0.45,0.45,0.44
112,1912,-0.1225806451612903,-0.15,0.46,0.46,0.46,0.45
113,1913,-0.5025806451612903,-0.16,0.47,0.47,0.47,0.46
114,1914,-0.022580645161290325,-0.17,0.48,0.48,0.48,0.47
115,1915,0.22741935483870968,-0.18,0.49,0.49,0.49,0.48
116,1916,-0.17258064516129035,-0.18,0.5,0.5,0.5,0.49
117,1917,-0.5025806451612903,-0.17,0.51,0.51,0.51,0.5
118,1918,-0.32258064516129026,-0.17,0.51,0.52,0.51,0.51
119,1919,0.11741935483870969,-0.16,0.52,0.52,0.52,0.52
120,1920,-0.2525806451612903,-0.14,0.53,0.53,0.53,0.53
121,1921,-0.21258064516129027,-0.12,0.54,0.54,0.54,0.54
122,1922,-0.2425806451612903,-0.09,0.55,0.55,0.55,0.55
123,1923,-0.16258064516129034,-0.05,0.56,0.56,0.55,0.55
124,1924,0.1974193548387097,-0.01,0.56,0.56,0.56,0.56
125,1925,-0.16258064516129034,0.03,0.56,0.57,0.56,0.56
126,1926,0.34741935483870967,0.07,0.57,0.57,0.56,0.56
127,1927,0.1774193548387097,0.11,0.57,0.57,0.56,0.57
128,1928,0.1974193548387097,0.13,0.57,0.57,0.57,0.57
129,1929,0.04741935483870968,0.15,0.57,0.57,0.57,0.57
130,1930,0.2074193548387097,0.16,0.57,0.57,0.57,0.57
131,1931,0.5774193548387097,0.16,0.58,0.58,0.57,0.58
132,1932,0.3574193548387097,0.16,0.58,0.58,0.57,0.58
133,1933,0.007419354838709702,0.16,0.58,0.58,0.58,0.58
134,1934,0.0674193548387097,0.16,0.58,0.58,0.58,0.58
135,1935,-0.07258064516129026,0.17,0.58,0.58,0.58,0.58
136,1936,0.07741935483870971,0.19,0.59,0.58,0.58,0.58
137,1937,0.2974193548387097,0.2,0.59,0.58,0.58,0.58
138,1938,-0.002580645161290307,0.21,0.59,0.59,0.58,0.58
139,1939,0.14741935483870972,0.22,0.59,0.59,0.59,0.59
140,1940,0.6274193548387097,0.23,0.59,0.59,0.59,0.59
141,1941,0.7674193548387097,0.24,0.6,0.59,0.59,0.59
142,1942,0.5874193548387097,0.25,0.6,0.59,0.59,0.59
143,1943,0.1274193548387097,0.26,0.6,0.6,0.59,0.59
144,1944,0.2074193548387097,0.26,0.6,0.6,0.6,0.6
145,1945,0.04741935483870968,0.26,0.6,0.6,0.6,0.6
146,1946,0.1274193548387097,0.26,0.61,0.6,0.6,0.6
147,1947,0.4074193548387097,0.26,0.61,0.61,0.6,0.6
148,1948,0.32741935483870965,0.27,0.61,0.61,0.61,0.61
149,1949,0.11741935483870969,0.28,0.62,0.61,0.61,0.61
150,1950,-0.022580645161290325,0.3,0.62,0.61,0.61,0.61
151,1951,0.3774193548387097,0.31,0.62,0.62,0.61,0.62
152,1952,0.6774193548387097,0.34,0.62,0.62,0.61,0.62
153,1953,0.5474193548387097,0.37,0.63,0.62,0.61,0.62
154,1954,0.2674193548387097,0.4,0.63,0.62,0.62,0.62
155,1955,0.33741935483870966,0.43,0.63,0.62,0.61,0.62
156,1956,0.2674193548387097,0.46,0.63,0.62,0.61,0.62
157,1957,0.32741935483870965,0.48,0.62,0.62,0.61,0.62
158,1958,0.8574193548387097,0.5,0.62,0.61,0.6,0.61
159,1959,0.5974193548387097,0.5,0.61,0.61,0.6,0.61
160,1960,0.6374193548387097,0.5,0.6,0.6,0.59,0.6
161,1961,0.5674193548387096,0.5,0.6,0.59,0.58,0.59
162,1962,0.5774193548387097,0.5,0.59,0.59,0.58,0.59
163,1963,0.6774193548387097,0.5,0.58,0.58,0.57,0.58
164,1964,0.3674193548387097,0.49,0.58,0.58,0.57,0.58
165,1965,0.34741935483870967,0.48,0.58,0.58,0.57,0.58
166,1966,0.4474193548387097,0.47,0.57,0.58,0.57,0.58
167,1967,0.1974193548387097,0.46,0.57,0.58,0.57,0.57
168,1968,0.2474193548387097,0.45,0.57,0.58,0.57,0.58
169,1969,0.8074193548387096,0.44,0.58,0.58,0.57,0.58
170,1970,0.6674193548387097,0.43,0.58,0.59,0.58,0.59
171,1971,0.2774193548387097,0.44,0.59,0.6,0.59,0.59
172,1972,0.5174193548387097,0.45,0.61,0.61,0.6,0.61
173,1973,0.6574193548387097,0.48,0.62,0.62,0.62,0.62
174,1974,0.2974193548387097,0.51,0.63,0.64,0.63,0.63
175,1975,0.1774193548387097,0.54,0.65,0.65,0.64,0.64
176,1976,0.1274193548387097,0.57,0.66,0.66,0.65,0.66
177,1977,0.6374193548387097,0.59,0.67,0.67,0.66,0.67
178,1978,0.7474193548387097,0.62,0.68,0.69,0.68,0.68
179,1979,0.6574193548387097,0.64,0.69,0.7,0.69,0.69
180,1980,0.9874193548387097,0.66,0.71,0.71,0.7,0.7
181,1981,1.0074193548387096,0.68,0.72,0.72,0.71,0.72
182,1982,0.6874193548387098,0.7,0.73,0.73,0.73,0.73
183,1983,0.8574193548387097,0.71,0.75,0.74,0.74,0.74
184,1984,0.4574193548387097,0.72,0.76,0.75,0.75,0.75
185,1985,0.3574193548387097,0.72,0.77,0.77,0.77,0.77
186,1986,0.4574193548387097,0.72,0.78,0.78,0.78,0.78
187,1987,1.1774193548387097,0.72,0.79,0.79,0.79,0.79
188,1988,0.8674193548387097,0.73,0.81,0.8,0.8,0.8
189,1989,0.6274193548387097,0.75,0.82,0.81,0.81,0.81
190,1990,0.7774193548387097,0.78,0.84,0.83,0.83,0.83
191,1991,0.7774193548387097,0.83,0.85,0.84,0.85,0.85
192,1992,0.6774193548387097,0.87,0.87,0.86,0.87,0.87
193,1993,0.9374193548387098,0.92,0.9,0.88,0.89,0.89
194,1994,0.8574193548387097,0.95,0.92,0.9,0.91,0.91
195,1995,1.2174193548387096,0.98,0.94,0.92,0.93,0.93
196,1996,0.9574193548387098,1.01,0.96,0.94,0.95,0.95
197,1997,1.2474193548387098,1.04,0.98,0.96,0.97,0.97
198,1998,1.6274193548387097,1.07,1.0,0.98,0.99,0.99
199,1999,1.0774193548387097,1.1,1.02,1.01,1.01,1.01
200,2000,0.8674193548387097,1.13,1.04,1.03,1.04,1.03
201,2001,1.1574193548387097,1.15,1.06,1.05,1.06,1.05
202,2002,1.0874193548387097,1.16,1.09,1.08,1.08,1.08
203,2003,1.2574193548387096,1.16,1.11,1.11,1.11,1.1
204,2004,1.0374193548387098,1.17,1.13,1.13,1.13,1.13
205,2005,1.4774193548387098,1.18,1.16,1.15,1.16,1.15
206,2006,1.3074193548387099,1.19,1.18,1.18,1.18,1.18
207,2007,1.1974193548387095,1.2,1.2,1.2,1.21,1.2
208,2008,0.8374193548387097,1.21,1.23,1.22,1.23,1.22
209,2009,1.1274193548387097,1.22,1.25,1.24,1.25,1.24
210,2010,1.6974193548387095,1.23,1.27,1.26,1.27,1.26
211,2011,1.1874193548387098,1.25,1.29,1.28,1.29,1.28
212,2012,1.1774193548387097,1.26,1.31,1.3,1.31,1.3
213,2013,1.1874193548387098,1.29,1.33,1.32,1.33,1.32
214,2014,1.1374193548387097,1.33,1.35,1.35,1.35,1.35
215,2015,1.4574193548387098,1.36,1.37,1.37,1.37,1.37
216,2016,1.61741935483871,1.39,1.39,1.39,1.39,1.39
217,2017,1.4174193548387097,1.43,1.41,1.41,1.41,1.41
218,2018,1.1274193548387097,1.47,1.43,1.43,1.42,1.44
219,2019,1.5374193548387098,1.5,1.44,1.45,1.44,1.46
220,2020,1.6774193548387095,1.54,1.46,1.47,1.45,1.48
221,2021,,,1.48,1.5,1.47,1.5
222,2022,,,1.5,1.52,1.48,1.53
223,2023,,,1.52,1.54,1.5,1.55
224,2024,,,1.54,1.56,1.52,1.58
225,2025,,,1.56,1.58,1.53,1.61
226,2026,,,1.58,1.6,1.55,1.63
227,2027,,,1.6,1.63,1.57,1.66
228,2028,,,1.62,1.65,1.6,1.68
229,2029,,,1.65,1.67,1.62,1.71
230,2030,,,1.66,1.69,1.64,1.74
231,2031,,,1.68,1.71,1.66,1.76
232,2032,,,1.7,1.72,1.69,1.79
233,2033,,,1.72,1.74,1.71,1.81
234,2034,,,1.73,1.76,1.73,1.83
235,2035,,,1.74,1.77,1.76,1.86
236,2036,,,1.76,1.79,1.78,1.88
237,2037,,,1.77,1.8,1.8,1.91
238,2038,,,1.78,1.82,1.83,1.93
239,2039,,,1.79,1.84,1.85,1.96
240,2040,,,1.8,1.85,1.87,1.99
241,2041,,,1.81,1.87,1.9,2.02
242,2042,,,1.82,1.88,1.93,2.05
243,2043,,,1.83,1.9,1.95,2.08
244,2044,,,1.84,1.91,1.97,2.11
245,2045,,,1.85,1.93,2.0,2.14
246,2046,,,1.86,1.95,2.02,2.17
247,2047,,,1.86,1.97,2.05,2.2
248,2048,,,1.87,1.98,2.07,2.23
249,2049,,,1.87,2.0,2.1,2.26
250,2050,,,1.88,2.02,2.12,2.29
251,2051,,,1.88,2.04,2.15,2.33
252,2052,,,1.88,2.06,2.18,2.36
253,2053,,,1.89,2.08,2.2,2.39
254,2054,,,1.89,2.1,2.23,2.42
255,2055,,,1.89,2.12,2.26,2.45
256,2056,,,1.89,2.13,2.28,2.49
257,2057,,,1.89,2.15,2.31,2.52
258,2058,,,1.89,2.17,2.33,2.56
259,2059,,,1.89,2.19,2.35,2.59
260,2060,,,1.89,2.2,2.38,2.62
261,2061,,,1.89,2.22,2.4,2.65
262,2062,,,1.89,2.23,2.43,2.69
263,2063,,,1.9,2.24,2.45,2.72
264,2064,,,1.9,2.26,2.48,2.75
265,2065,,,1.9,2.27,2.5,2.78
266,2066,,,1.9,2.28,2.52,2.82
267,2067,,,1.89,2.29,2.55,2.85
268,2068,,,1.89,2.3,2.57,2.88
269,2069,,,1.89,2.31,2.59,2.92
270,2070,,,1.89,2.32,2.61,2.95
271,2071,,,1.89,2.33,2.64,2.99
272,2072,,,1.89,2.34,2.66,3.02
273,2073,,,1.89,2.35,2.69,3.05
274,2074,,,1.89,2.36,2.71,3.09
275,2075,,,1.89,2.37,2.74,3.12
276,2076,,,1.88,2.38,2.77,3.16
277,2077,,,1.88,2.39,2.8,3.2
278,2078,,,1.88,2.4,2.82,3.23
279,2079,,,1.88,2.41,2.85,3.27
280,2080,,,1.87,2.42,2.88,3.31
281,2081,,,1.87,2.43,2.91,3.34
282,2082,,,1.87,2.44,2.94,3.38
283,2083,,,1.87,2.45,2.96,3.41
284,2084,,,1.87,2.47,2.99,3.45
285,2085,,,1.86,2.48,3.02,3.48
286,2086,,,1.86,2.49,3.05,3.52
287,2087,,,1.86,2.5,3.08,3.55
288,2088,,,1.85,2.51,3.11,3.58
289,2089,,,1.85,2.52,3.14,3.62
290,2090,,,1.85,2.52,3.17,3.65
291,2091,,,1.84,2.53,3.2,3.69
292,2092,,,1.84,2.54,3.23,3.72
293,2093,,,1.83,2.55,3.25,3.76
294,2094,,,1.83,2.55,3.28,3.79
295,2095,,,1.82,2.56,3.31,3.83
296,2096,,,1.82,2.57,3.33,3.86
297,2097,,,1.81,2.57,3.36,3.89
298,2098,,,1.81,2.57,3.39,3.92
299,2099,,,1.81,2.58,3.42,3.95
300,2100,,,1.8,2.58,3.45,3.99
