Samoa,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
137,1937,0.5828571428571429,0.4,0.7,0.7,0.72,0.69
138,1938,0.45285714285714285,0.43,0.7,0.71,0.72,0.69
139,1939,0.24285714285714283,0.46,0.71,0.71,0.72,0.69
140,1940,0.6428571428571428,0.49,0.71,0.71,0.72,0.7
141,1941,0.8728571428571428,0.52,0.71,0.71,0.72,0.7
142,1942,0.5328571428571428,0.55,0.71,0.72,0.73,0.7
143,1943,0.46285714285714286,0.57,0.72,0.72,0.73,0.7
144,1944,0.4828571428571428,0.59,0.72,0.72,0.73,0.7
145,1945,0.5728571428571428,0.6,0.72,0.72,0.73,0.71
146,1946,0.7628571428571428,0.6,0.72,0.72,0.73,0.71
147,1947,0.9128571428571428,0.6,0.73,0.73,0.73,0.71
148,1948,0.5328571428571428,0.6,0.73,0.73,0.73,0.71
149,1949,0.6828571428571428,0.61,0.73,0.73,0.73,0.71
150,1950,0.43285714285714283,0.6,0.73,0.73,0.73,0.71
151,1951,0.4728571428571428,0.59,0.73,0.73,0.74,0.72
152,1952,0.7528571428571429,0.57,0.73,0.73,0.74,0.72
153,1953,0.6628571428571428,0.56,0.73,0.74,0.74,0.72
154,1954,0.5928571428571429,0.56,0.74,0.74,0.74,0.72
155,1955,0.43285714285714283,0.57,0.74,0.74,0.74,0.72
156,1956,0.31285714285714283,0.58,0.74,0.74,0.74,0.72
157,1957,0.5028571428571428,0.58,0.74,0.74,0.74,0.72
158,1958,0.6728571428571428,0.58,0.73,0.74,0.74,0.72
159,1959,0.7228571428571429,0.58,0.73,0.73,0.73,0.72
160,1960,0.7128571428571429,0.57,0.73,0.73,0.73,0.71
161,1961,0.6128571428571428,0.55,0.73,0.73,0.73,0.71
162,1962,0.5028571428571428,0.52,0.72,0.73,0.73,0.71
163,1963,0.7128571428571429,0.49,0.72,0.73,0.73,0.71
164,1964,0.4928571428571428,0.47,0.72,0.73,0.73,0.71
165,1965,0.19285714285714284,0.45,0.73,0.73,0.73,0.71
166,1966,0.20285714285714285,0.43,0.73,0.73,0.73,0.71
167,1967,0.13285714285714284,0.43,0.73,0.73,0.74,0.72
168,1968,0.31285714285714283,0.43,0.73,0.74,0.74,0.72
169,1969,0.7428571428571429,0.44,0.74,0.74,0.74,0.72
170,1970,0.6128571428571428,0.46,0.74,0.75,0.75,0.73
171,1971,0.2228571428571428,0.49,0.75,0.76,0.76,0.73
172,1972,0.5728571428571428,0.52,0.76,0.77,0.77,0.75
173,1973,0.9328571428571428,0.55,0.77,0.78,0.79,0.76
174,1974,0.5028571428571428,0.58,0.79,0.79,0.8,0.77
175,1975,0.6128571428571428,0.6,0.8,0.81,0.82,0.78
176,1976,0.4828571428571428,0.63,0.81,0.82,0.83,0.8
177,1977,0.6428571428571428,0.65,0.82,0.83,0.84,0.81
178,1978,0.6028571428571429,0.68,0.83,0.84,0.85,0.82
179,1979,0.7928571428571428,0.7,0.84,0.85,0.86,0.82
180,1980,0.8828571428571428,0.72,0.85,0.86,0.87,0.83
181,1981,0.6728571428571428,0.74,0.86,0.87,0.88,0.84
182,1982,0.8328571428571429,0.77,0.87,0.88,0.89,0.85
183,1983,0.8228571428571428,0.79,0.88,0.89,0.89,0.86
184,1984,0.6828571428571428,0.81,0.89,0.89,0.9,0.87
185,1985,0.8028571428571428,0.83,0.9,0.9,0.91,0.88
186,1986,0.8528571428571428,0.86,0.91,0.91,0.92,0.89
187,1987,0.8428571428571427,0.88,0.92,0.92,0.93,0.9
188,1988,0.9928571428571429,0.91,0.93,0.93,0.94,0.91
189,1989,0.6228571428571428,0.93,0.94,0.95,0.95,0.92
190,1990,1.092857142857143,0.96,0.95,0.96,0.96,0.94
191,1991,1.1728571428571428,0.98,0.97,0.97,0.98,0.95
192,1992,1.072857142857143,1.0,0.98,0.99,0.99,0.97
193,1993,0.8328571428571429,1.02,1.0,1.01,1.01,0.99
194,1994,0.9928571428571429,1.04,1.02,1.03,1.03,1.0
195,1995,1.2528571428571427,1.05,1.04,1.05,1.05,1.02
196,1996,0.9928571428571429,1.07,1.06,1.06,1.06,1.04
197,1997,0.9228571428571428,1.09,1.07,1.08,1.08,1.06
198,1998,1.302857142857143,1.11,1.09,1.1,1.1,1.08
199,1999,1.002857142857143,1.14,1.11,1.12,1.11,1.09
200,2000,1.0828571428571427,1.16,1.12,1.13,1.13,1.11
201,2001,1.2428571428571429,1.18,1.14,1.15,1.14,1.13
202,2002,1.4528571428571428,1.2,1.16,1.17,1.16,1.15
203,2003,1.1928571428571428,1.21,1.18,1.19,1.18,1.16
204,2004,1.2128571428571429,1.22,1.2,1.2,1.2,1.18
205,2005,1.282857142857143,1.22,1.22,1.22,1.22,1.2
206,2006,1.1628571428571428,1.22,1.23,1.24,1.24,1.22
207,2007,1.4928571428571429,1.22,1.25,1.26,1.25,1.24
208,2008,1.002857142857143,1.22,1.27,1.27,1.27,1.26
209,2009,1.0628571428571427,1.22,1.28,1.29,1.29,1.27
210,2010,1.512857142857143,1.23,1.3,1.3,1.3,1.29
