The Gambia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
135,1935,0.20249999999999996,0.42,0.71,0.71,0.71,0.71
136,1936,0.6325,0.42,0.72,0.72,0.72,0.72
137,1937,0.6325,0.41,0.72,0.72,0.72,0.72
138,1938,0.45249999999999996,0.41,0.73,0.73,0.73,0.73
139,1939,0.09249999999999997,0.42,0.73,0.74,0.74,0.73
140,1940,0.46249999999999997,0.42,0.74,0.74,0.74,0.74
141,1941,0.7324999999999999,0.42,0.74,0.75,0.75,0.74
142,1942,0.31249999999999994,0.4,0.75,0.75,0.76,0.75
143,1943,0.09249999999999997,0.38,0.75,0.76,0.76,0.75
144,1944,0.5525,0.35,0.75,0.76,0.76,0.75
145,1945,0.7224999999999999,0.33,0.76,0.76,0.77,0.76
146,1946,0.18249999999999997,0.29,0.76,0.76,0.77,0.76
147,1947,0.22249999999999998,0.26,0.76,0.77,0.77,0.76
148,1948,0.13249999999999995,0.22,0.76,0.77,0.77,0.76
149,1949,0.23249999999999996,0.19,0.76,0.77,0.77,0.76
150,1950,0.13249999999999995,0.16,0.76,0.76,0.77,0.76
151,1951,0.04249999999999998,0.14,0.76,0.76,0.76,0.76
152,1952,-0.027500000000000024,0.13,0.76,0.76,0.76,0.76
153,1953,0.09249999999999997,0.13,0.76,0.76,0.76,0.76
154,1954,0.12249999999999997,0.13,0.75,0.75,0.75,0.75
155,1955,0.31249999999999994,0.14,0.75,0.75,0.75,0.75
156,1956,0.052499999999999936,0.16,0.75,0.75,0.75,0.75
157,1957,-0.017500000000000016,0.19,0.75,0.74,0.74,0.74
158,1958,0.5225,0.22,0.74,0.74,0.74,0.74
159,1959,0.07249999999999995,0.24,0.74,0.74,0.74,0.74
160,1960,0.20249999999999996,0.26,0.73,0.73,0.73,0.73
161,1961,0.37249999999999994,0.26,0.73,0.73,0.73,0.73
162,1962,0.4225,0.26,0.72,0.73,0.73,0.72
163,1963,0.46249999999999997,0.26,0.72,0.72,0.72,0.72
164,1964,0.32249999999999995,0.27,0.72,0.72,0.72,0.72
165,1965,-0.14750000000000002,0.28,0.71,0.72,0.72,0.71
166,1966,0.4725,0.3,0.71,0.72,0.71,0.71
167,1967,-0.17750000000000005,0.32,0.71,0.72,0.71,0.71
168,1968,-0.1375,0.33,0.71,0.72,0.71,0.71
169,1969,0.9724999999999999,0.34,0.71,0.72,0.72,0.71
170,1970,0.7925,0.35,0.71,0.73,0.72,0.71
171,1971,0.15249999999999997,0.37,0.72,0.74,0.73,0.72
172,1972,0.5325,0.4,0.73,0.75,0.74,0.73
173,1973,0.8525,0.44,0.74,0.76,0.75,0.74
174,1974,-0.027500000000000024,0.49,0.75,0.77,0.76,0.75
175,1975,0.14249999999999996,0.53,0.76,0.78,0.77,0.77
176,1976,0.09249999999999997,0.57,0.77,0.79,0.79,0.78
177,1977,0.9324999999999999,0.61,0.79,0.8,0.8,0.79
178,1978,0.5825,0.66,0.8,0.82,0.81,0.8
179,1979,1.0525,0.71,0.81,0.83,0.83,0.82
180,1980,0.9424999999999999,0.76,0.83,0.84,0.84,0.83
181,1981,0.9724999999999999,0.8,0.84,0.86,0.86,0.84
182,1982,0.49249999999999994,0.84,0.86,0.87,0.87,0.86
183,1983,1.4825,0.86,0.87,0.89,0.89,0.88
184,1984,0.7725,0.89,0.88,0.9,0.91,0.89
185,1985,0.5025,0.9,0.9,0.92,0.92,0.9
186,1986,0.6425,0.92,0.91,0.93,0.94,0.92
187,1987,1.4325,0.93,0.93,0.94,0.95,0.93
188,1988,1.0225,0.95,0.94,0.96,0.97,0.94
189,1989,0.8925000000000001,0.98,0.95,0.97,0.98,0.96
190,1990,1.2825,1.01,0.97,0.99,1.0,0.98
191,1991,0.9524999999999999,1.05,0.99,1.01,1.02,0.99
192,1992,1.0225,1.09,1.01,1.03,1.04,1.01
193,1993,1.0425,1.12,1.03,1.05,1.06,1.04
194,1994,0.9024999999999999,1.15,1.06,1.07,1.08,1.06
195,1995,1.1025,1.17,1.08,1.1,1.1,1.08
196,1996,1.3625,1.2,1.1,1.12,1.13,1.1
197,1997,1.5425,1.23,1.12,1.14,1.15,1.12
198,1998,1.7125,1.26,1.15,1.16,1.17,1.15
199,1999,0.8325,1.3,1.17,1.18,1.19,1.17
200,2000,0.9724999999999999,1.32,1.2,1.21,1.21,1.19
201,2001,1.5825,1.34,1.22,1.23,1.23,1.22
202,2002,1.4925,1.34,1.25,1.26,1.25,1.24
203,2003,1.1724999999999999,1.34,1.27,1.28,1.28,1.27
204,2004,1.2525,1.35,1.3,1.31,1.3,1.3
205,2005,1.6825,1.37,1.32,1.33,1.33,1.32
206,2006,1.2825,1.38,1.35,1.36,1.35,1.35
207,2007,1.4025,1.38,1.37,1.38,1.37,1.37
208,2008,1.4925,1.39,1.39,1.4,1.39,1.39
209,2009,0.9624999999999999,1.39,1.41,1.42,1.42,1.41
210,2010,1.8625,1.4,1.44,1.44,1.44,1.43
211,2011,1.2725,1.42,1.46,1.46,1.46,1.46
212,2012,1.3125,1.44,1.49,1.48,1.49,1.48
213,2013,1.4425000000000001,1.47,1.51,1.5,1.51,1.51
214,2014,1.4325,1.5,1.54,1.53,1.54,1.53
215,2015,1.3125,1.54,1.57,1.56,1.56,1.56
216,2016,1.8225,1.58,1.59,1.58,1.59,1.59
