Antarctica,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
108,1908,0.6116666666666666,0.17,0.04,0.01,0.05,0.0
109,1909,-0.038333333333333386,0.18,0.04,0.02,0.06,0.01
110,1910,0.6016666666666666,0.19,0.05,0.03,0.07,0.02
111,1911,0.4916666666666666,0.21,0.07,0.04,0.08,0.03
112,1912,-0.34833333333333344,0.22,0.08,0.05,0.09,0.05
113,1913,0.2216666666666666,0.23,0.09,0.06,0.11,0.06
114,1914,0.5516666666666666,0.24,0.1,0.07,0.12,0.07
115,1915,-0.20833333333333343,0.25,0.11,0.08,0.13,0.08
116,1916,-0.15833333333333338,0.25,0.12,0.09,0.14,0.09
117,1917,0.4816666666666666,0.25,0.13,0.1,0.14,0.1
118,1918,0.34166666666666656,0.26,0.14,0.11,0.15,0.11
119,1919,0.7116666666666667,0.26,0.14,0.11,0.15,0.11
120,1920,0.15166666666666662,0.27,0.15,0.12,0.16,0.12
121,1921,0.3216666666666666,0.27,0.15,0.12,0.16,0.12
122,1922,0.24166666666666659,0.25,0.16,0.12,0.16,0.13
123,1923,0.3216666666666666,0.22,0.16,0.12,0.16,0.13
124,1924,0.11166666666666658,0.18,0.16,0.12,0.16,0.13
125,1925,0.1816666666666666,0.14,0.16,0.12,0.16,0.13
126,1926,0.5516666666666666,0.12,0.16,0.12,0.16,0.13
127,1927,0.0716666666666666,0.11,0.16,0.12,0.16,0.13
128,1928,-0.4583333333333334,0.1,0.16,0.12,0.16,0.13
129,1929,-0.34833333333333344,0.1,0.16,0.12,0.16,0.13
130,1930,-0.33833333333333343,0.11,0.16,0.12,0.17,0.14
131,1931,0.4216666666666666,0.12,0.17,0.13,0.17,0.14
132,1932,0.3116666666666666,0.14,0.17,0.13,0.18,0.15
133,1933,0.021666666666666612,0.18,0.18,0.14,0.18,0.15
134,1934,0.3816666666666666,0.22,0.18,0.15,0.19,0.16
135,1935,-0.07833333333333342,0.27,0.19,0.15,0.2,0.17
136,1936,0.5916666666666666,0.31,0.2,0.16,0.21,0.18
137,1937,0.7916666666666665,0.34,0.21,0.17,0.22,0.19
138,1938,0.2616666666666666,0.36,0.22,0.18,0.23,0.2
139,1939,0.17166666666666658,0.38,0.23,0.19,0.24,0.21
140,1940,0.5016666666666666,0.4,0.24,0.2,0.25,0.21
141,1941,0.4816666666666666,0.42,0.25,0.21,0.26,0.22
142,1942,0.16166666666666657,0.42,0.26,0.22,0.27,0.23
143,1943,1.0716666666666665,0.42,0.27,0.23,0.27,0.24
144,1944,0.3616666666666666,0.4,0.27,0.24,0.28,0.25
145,1945,-0.018333333333333424,0.39,0.28,0.25,0.29,0.25
146,1946,0.9116666666666666,0.38,0.29,0.26,0.3,0.26
147,1947,0.8816666666666666,0.36,0.3,0.27,0.31,0.27
148,1948,0.12166666666666659,0.33,0.31,0.27,0.32,0.28
149,1949,-0.6783333333333335,0.32,0.31,0.28,0.32,0.29
150,1950,0.2116666666666666,0.31,0.32,0.29,0.33,0.29
151,1951,0.2316666666666666,0.31,0.33,0.3,0.34,0.3
152,1952,0.5016666666666666,0.3,0.34,0.3,0.35,0.31
153,1953,-0.11833333333333346,0.28,0.34,0.31,0.35,0.32
154,1954,-0.07833333333333342,0.26,0.35,0.32,0.36,0.33
155,1955,0.9416666666666667,0.24,0.36,0.33,0.37,0.34
156,1956,0.7616666666666666,0.23,0.37,0.34,0.38,0.34
157,1957,0.8516666666666666,0.21,0.37,0.34,0.38,0.35
158,1958,-0.19833333333333342,0.2,0.37,0.34,0.38,0.35
159,1959,0.0716666666666666,0.19,0.37,0.34,0.38,0.35
160,1960,-0.5083333333333333,0.19,0.37,0.34,0.38,0.35
161,1961,0.7916666666666665,0.19,0.37,0.34,0.38,0.35
162,1962,-0.38833333333333336,0.19,0.37,0.34,0.37,0.34
163,1963,0.1816666666666666,0.2,0.37,0.33,0.37,0.34
164,1964,-0.15833333333333338,0.23,0.37,0.33,0.37,0.34
165,1965,0.2516666666666666,0.28,0.36,0.33,0.37,0.34
166,1966,0.4816666666666666,0.35,0.36,0.33,0.37,0.34
167,1967,0.7316666666666666,0.42,0.36,0.33,0.37,0.34
168,1968,0.3816666666666666,0.49,0.37,0.33,0.37,0.34
169,1969,0.08166666666666661,0.55,0.37,0.34,0.37,0.35
170,1970,0.7916666666666665,0.59,0.37,0.35,0.38,0.35
171,1971,0.9416666666666667,0.61,0.38,0.36,0.39,0.36
172,1972,0.9916666666666667,0.63,0.4,0.37,0.4,0.37
173,1973,0.7516666666666666,0.63,0.41,0.38,0.42,0.39
174,1974,0.8516666666666666,0.64,0.43,0.4,0.44,0.41
175,1975,0.5316666666666666,0.64,0.44,0.42,0.46,0.42
176,1976,0.1316666666666666,0.64,0.46,0.43,0.47,0.44
177,1977,0.6216666666666666,0.64,0.47,0.45,0.49,0.45
178,1978,0.4916666666666666,0.64,0.48,0.46,0.5,0.46
179,1979,0.2316666666666666,0.64,0.5,0.48,0.52,0.48
180,1980,1.4616666666666667,0.65,0.51,0.49,0.53,0.49
181,1981,1.1716666666666666,0.67,0.53,0.51,0.54,0.51
182,1982,0.0716666666666666,0.7,0.54,0.52,0.56,0.52
183,1983,0.6816666666666666,0.75,0.56,0.54,0.57,0.54
184,1984,1.1916666666666667,0.79,0.57,0.55,0.58,0.55
185,1985,0.4316666666666666,0.83,0.59,0.57,0.6,0.57
186,1986,0.7816666666666666,0.85,0.6,0.58,0.61,0.58
187,1987,0.8716666666666666,0.86,0.62,0.59,0.62,0.6
188,1988,1.3816666666666666,0.85,0.64,0.61,0.64,0.61
189,1989,0.8916666666666666,0.85,0.65,0.63,0.65,0.63
190,1990,0.9216666666666666,0.84,0.67,0.65,0.67,0.65
191,1991,1.8616666666666666,0.83,0.7,0.67,0.68,0.67
192,1992,0.9616666666666667,0.82,0.72,0.69,0.71,0.7
193,1993,0.3216666666666666,0.81,0.74,0.72,0.73,0.72
194,1994,0.3216666666666666,0.79,0.77,0.74,0.75,0.74
195,1995,0.8716666666666666,0.78,0.79,0.77,0.78,0.77
196,1996,1.7316666666666667,0.78,0.82,0.79,0.8,0.79
197,1997,0.6116666666666666,0.8,0.84,0.81,0.82,0.82
198,1998,0.7516666666666666,0.82,0.87,0.84,0.85,0.84
199,1999,0.3916666666666666,0.86,0.89,0.86,0.87,0.87
200,2000,1.1316666666666666,0.9,0.92,0.89,0.9,0.89
201,2001,0.9016666666666666,0.94,0.94,0.91,0.92,0.92
202,2002,1.5016666666666667,0.99,0.97,0.94,0.95,0.95
203,2003,1.0216666666666665,1.04,1.0,0.97,0.98,0.97
204,2004,0.7516666666666666,1.09,1.02,1.0,1.01,1.0
205,2005,1.2016666666666667,1.13,1.05,1.02,1.03,1.02
206,2006,0.8816666666666666,1.16,1.07,1.05,1.06,1.05
207,2007,1.8516666666666666,1.18,1.1,1.07,1.09,1.08
208,2008,1.2316666666666667,1.19,1.12,1.1,1.11,1.11
209,2009,1.7516666666666667,1.19,1.15,1.13,1.14,1.14
210,2010,0.9516666666666667,1.2,1.18,1.16,1.17,1.17
211,2011,1.5616666666666668,1.2,1.21,1.2,1.21,1.2
212,2012,0.8516666666666666,1.21,1.24,1.23,1.24,1.24
213,2013,1.3016666666666665,1.24,1.27,1.27,1.27,1.27
214,2014,1.0216666666666665,1.26,1.3,1.31,1.3,1.31
215,2015,0.2116666666666666,1.29,1.34,1.35,1.34,1.34
216,2016,1.0316666666666665,1.32,1.36,1.38,1.37,1.37
217,2017,1.0616666666666665,1.34,1.39,1.41,1.4,1.41
218,2018,1.5616666666666668,1.37,1.42,1.44,1.43,1.44
219,2019,1.6416666666666666,1.4,1.45,1.48,1.46,1.47
220,2020,1.6216666666666666,1.44,1.48,1.51,1.49,1.5
221,2021,,,1.51,1.54,1.53,1.53
222,2022,,,1.54,1.58,1.56,1.56
223,2023,,,1.57,1.61,1.6,1.6
224,2024,,,1.6,1.64,1.63,1.63
225,2025,,,1.63,1.67,1.66,1.67
226,2026,,,1.66,1.69,1.7,1.7
227,2027,,,1.69,1.72,1.73,1.73
228,2028,,,1.71,1.74,1.76,1.77
229,2029,,,1.74,1.77,1.8,1.8
230,2030,,,1.76,1.79,1.83,1.84
231,2031,,,1.79,1.81,1.87,1.87
232,2032,,,1.81,1.84,1.9,1.91
233,2033,,,1.83,1.86,1.94,1.95
234,2034,,,1.85,1.88,1.97,1.99
235,2035,,,1.87,1.9,2.01,2.03
236,2036,,,1.88,1.93,2.05,2.08
237,2037,,,1.9,1.95,2.08,2.12
238,2038,,,1.91,1.98,2.12,2.16
239,2039,,,1.93,2.0,2.15,2.21
240,2040,,,1.94,2.03,2.18,2.26
241,2041,,,1.95,2.06,2.22,2.31
242,2042,,,1.97,2.08,2.25,2.36
243,2043,,,1.98,2.11,2.28,2.41
244,2044,,,2.0,2.14,2.31,2.46
245,2045,,,2.01,2.17,2.35,2.52
246,2046,,,2.03,2.2,2.38,2.57
247,2047,,,2.04,2.23,2.41,2.63
248,2048,,,2.05,2.26,2.44,2.69
249,2049,,,2.05,2.29,2.48,2.74
250,2050,,,2.06,2.31,2.52,2.8
251,2051,,,2.07,2.35,2.56,2.86
252,2052,,,2.07,2.37,2.6,2.92
253,2053,,,2.08,2.4,2.65,2.98
254,2054,,,2.09,2.43,2.69,3.04
255,2055,,,2.09,2.46,2.74,3.09
256,2056,,,2.1,2.49,2.79,3.15
257,2057,,,2.11,2.52,2.84,3.21
258,2058,,,2.12,2.54,2.89,3.26
259,2059,,,2.12,2.57,2.94,3.31
260,2060,,,2.13,2.59,3.0,3.36
261,2061,,,2.14,2.62,3.05,3.41
262,2062,,,2.14,2.64,3.1,3.47
263,2063,,,2.15,2.67,3.15,3.52
264,2064,,,2.16,2.69,3.2,3.58
265,2065,,,2.17,2.72,3.25,3.63
266,2066,,,2.18,2.74,3.29,3.69
267,2067,,,2.18,2.76,3.34,3.75
268,2068,,,2.19,2.79,3.38,3.8
269,2069,,,2.2,2.81,3.42,3.87
270,2070,,,2.2,2.83,3.46,3.93
271,2071,,,2.2,2.85,3.5,3.99
272,2072,,,2.21,2.88,3.55,4.06
273,2073,,,2.21,2.9,3.59,4.12
274,2074,,,2.21,2.93,3.63,4.19
275,2075,,,2.21,2.95,3.67,4.26
276,2076,,,2.21,2.97,3.71,4.32
277,2077,,,2.21,2.99,3.75,4.39
278,2078,,,2.21,3.01,3.8,4.45
279,2079,,,2.2,3.03,3.84,4.52
280,2080,,,2.2,3.04,3.89,4.59
281,2081,,,2.2,3.06,3.94,4.65
282,2082,,,2.19,3.08,3.99,4.72
283,2083,,,2.19,3.1,4.04,4.79
284,2084,,,2.18,3.12,4.09,4.85
285,2085,,,2.18,3.14,4.14,4.92
286,2086,,,2.18,3.16,4.19,4.99
287,2087,,,2.18,3.17,4.24,5.06
288,2088,,,2.17,3.19,4.29,5.13
289,2089,,,2.18,3.2,4.34,5.2
290,2090,,,2.18,3.21,4.39,5.27
291,2091,,,2.18,3.23,4.43,5.34
292,2092,,,2.18,3.24,4.48,5.41
293,2093,,,2.18,3.25,4.53,5.47
294,2094,,,2.18,3.26,4.57,5.54
295,2095,,,2.18,3.27,4.61,5.61
296,2096,,,2.18,3.28,4.66,5.68
297,2097,,,2.18,3.29,4.7,5.74
298,2098,,,2.18,3.3,4.75,5.8
299,2099,,,2.18,3.31,4.79,5.87
300,2100,,,2.19,3.32,4.84,5.94
