Palestine,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
89,1889,0.1567741935483871,-0.16,0.16,0.13,0.19,0.14
90,1890,-0.06322580645161291,-0.17,0.16,0.13,0.19,0.14
91,1891,-0.0532258064516129,-0.18,0.16,0.13,0.19,0.14
92,1892,0.2467741935483871,-0.19,0.17,0.13,0.2,0.14
93,1893,-0.4832258064516129,-0.19,0.17,0.14,0.2,0.15
94,1894,-0.8332258064516129,-0.19,0.18,0.15,0.21,0.16
95,1895,-0.40322580645161293,-0.19,0.19,0.16,0.21,0.17
96,1896,-0.10322580645161289,-0.18,0.2,0.16,0.21,0.17
97,1897,-0.7432258064516131,-0.17,0.2,0.17,0.21,0.17
98,1898,-0.20322580645161287,-0.17,0.2,0.16,0.21,0.17
99,1899,0.02677419354838706,-0.17,0.19,0.15,0.2,0.16
100,1900,0.3367741935483871,-0.17,0.18,0.15,0.19,0.15
101,1901,0.7967741935483871,-0.17,0.17,0.14,0.18,0.14
102,1902,0.4667741935483871,-0.17,0.16,0.13,0.17,0.14
103,1903,-0.3832258064516129,-0.19,0.15,0.12,0.16,0.13
104,1904,-0.3932258064516129,-0.22,0.15,0.11,0.15,0.12
105,1905,-0.45322580645161287,-0.26,0.14,0.1,0.14,0.11
106,1906,-0.08322580645161293,-0.32,0.13,0.09,0.14,0.1
107,1907,-0.7432258064516131,-0.38,0.12,0.09,0.13,0.09
108,1908,-0.603225806451613,-0.42,0.11,0.08,0.12,0.09
109,1909,0.4867741935483871,-0.43,0.11,0.08,0.12,0.08
110,1910,-0.5232258064516129,-0.42,0.11,0.08,0.12,0.08
111,1911,-0.883225806451613,-0.39,0.11,0.08,0.12,0.08
112,1912,-0.2332258064516129,-0.35,0.11,0.09,0.13,0.09
113,1913,-0.8132258064516129,-0.32,0.12,0.1,0.14,0.1
114,1914,-0.5632258064516129,-0.29,0.14,0.11,0.15,0.12
115,1915,0.1567741935483871,-0.25,0.15,0.12,0.17,0.13
116,1916,0.34677419354838707,-0.21,0.16,0.14,0.18,0.14
117,1917,0.0667741935483871,-0.15,0.17,0.15,0.19,0.15
118,1918,-0.29322580645161295,-0.09,0.19,0.16,0.2,0.17
119,1919,0.11677419354838708,-0.03,0.2,0.17,0.21,0.18
120,1920,-0.5032258064516129,0.02,0.21,0.18,0.23,0.19
121,1921,-0.603225806451613,0.06,0.22,0.2,0.24,0.2
122,1922,0.34677419354838707,0.09,0.23,0.21,0.25,0.21
123,1923,0.40677419354838706,0.13,0.24,0.21,0.26,0.22
124,1924,0.2167741935483871,0.17,0.25,0.22,0.26,0.23
125,1925,0.1867741935483871,0.22,0.25,0.23,0.27,0.23
126,1926,0.1267741935483871,0.26,0.26,0.23,0.27,0.24
127,1927,0.4367741935483871,0.29,0.26,0.23,0.28,0.24
128,1928,0.6567741935483871,0.31,0.26,0.23,0.28,0.24
129,1929,0.16677419354838707,0.32,0.26,0.23,0.28,0.24
130,1930,0.606774193548387,0.35,0.26,0.24,0.28,0.24
131,1931,0.28677419354838707,0.37,0.27,0.24,0.28,0.25
132,1932,0.17677419354838708,0.4,0.27,0.24,0.28,0.25
133,1933,-0.31322580645161296,0.41,0.27,0.24,0.29,0.25
134,1934,0.3567741935483871,0.43,0.28,0.25,0.29,0.26
135,1935,0.8067741935483871,0.44,0.28,0.25,0.29,0.26
136,1936,0.6667741935483871,0.44,0.29,0.26,0.29,0.26
137,1937,0.846774193548387,0.45,0.29,0.26,0.3,0.27
138,1938,-0.04322580645161289,0.44,0.29,0.26,0.3,0.27
139,1939,0.646774193548387,0.43,0.3,0.27,0.3,0.27
140,1940,0.4567741935483871,0.4,0.3,0.27,0.3,0.28
141,1941,0.7867741935483871,0.36,0.31,0.27,0.3,0.28
142,1942,0.3267741935483871,0.32,0.31,0.27,0.3,0.28
143,1943,-0.0532258064516129,0.27,0.31,0.28,0.3,0.28
144,1944,0.11677419354838708,0.24,0.31,0.28,0.3,0.29
145,1945,-0.30322580645161296,0.23,0.31,0.28,0.3,0.29
146,1946,0.40677419354838706,0.22,0.31,0.28,0.3,0.29
147,1947,1.086774193548387,0.23,0.31,0.28,0.3,0.28
148,1948,-0.3932258064516129,0.25,0.31,0.27,0.3,0.28
149,1949,-0.633225806451613,0.28,0.31,0.27,0.3,0.28
150,1950,0.2167741935483871,0.31,0.31,0.27,0.3,0.28
151,1951,0.7567741935483872,0.35,0.31,0.27,0.3,0.28
152,1952,0.8067741935483871,0.38,0.31,0.27,0.31,0.28
153,1953,-0.20322580645161287,0.42,0.31,0.28,0.31,0.28
154,1954,0.516774193548387,0.45,0.31,0.27,0.31,0.28
155,1955,1.086774193548387,0.49,0.31,0.27,0.31,0.28
156,1956,0.3267741935483871,0.52,0.3,0.27,0.3,0.27
157,1957,0.3567741935483871,0.54,0.3,0.26,0.3,0.27
158,1958,0.7967741935483871,0.55,0.29,0.25,0.29,0.26
159,1959,-0.27322580645161293,0.56,0.28,0.24,0.28,0.25
160,1960,1.2667741935483872,0.56,0.27,0.23,0.27,0.24
161,1961,0.0667741935483871,0.55,0.26,0.23,0.26,0.24
162,1962,1.206774193548387,0.54,0.25,0.22,0.26,0.23
163,1963,1.0367741935483872,0.53,0.24,0.21,0.25,0.22
164,1964,-0.2632258064516129,0.51,0.23,0.2,0.24,0.21
165,1965,0.39677419354838706,0.48,0.22,0.19,0.23,0.2
166,1966,0.9867741935483871,0.44,0.21,0.19,0.22,0.19
167,1967,-0.5932258064516129,0.39,0.2,0.18,0.21,0.19
168,1968,0.2967741935483871,0.33,0.19,0.17,0.2,0.18
169,1969,0.5867741935483871,0.27,0.18,0.16,0.2,0.17
170,1970,0.3767741935483871,0.21,0.18,0.16,0.19,0.17
171,1971,-0.08322580645161293,0.17,0.18,0.16,0.19,0.17
172,1972,-0.22322580645161288,0.15,0.18,0.16,0.2,0.17
173,1973,0.09677419354838707,0.14,0.18,0.17,0.2,0.18
174,1974,0.016774193548387106,0.14,0.19,0.17,0.21,0.18
175,1975,-0.0532258064516129,0.14,0.2,0.18,0.21,0.19
176,1976,-0.1132258064516129,0.14,0.2,0.19,0.22,0.2
177,1977,0.2467741935483871,0.14,0.21,0.2,0.23,0.2
178,1978,0.4667741935483871,0.14,0.22,0.21,0.23,0.21
179,1979,0.9067741935483871,0.15,0.23,0.22,0.25,0.22
180,1980,0.27677419354838706,0.17,0.25,0.23,0.26,0.24
181,1981,0.34677419354838707,0.19,0.27,0.25,0.28,0.26
182,1982,-0.40322580645161293,0.2,0.29,0.28,0.3,0.28
183,1983,-0.5232258064516129,0.21,0.31,0.3,0.33,0.3
184,1984,-0.02322580645161293,0.21,0.34,0.33,0.35,0.33
185,1985,0.5067741935483872,0.21,0.36,0.35,0.38,0.35
186,1986,0.28677419354838707,0.22,0.39,0.38,0.41,0.38
187,1987,0.2467741935483871,0.24,0.42,0.41,0.44,0.41
188,1988,0.3267741935483871,0.28,0.45,0.44,0.47,0.44
189,1989,0.23677419354838708,0.33,0.48,0.47,0.5,0.47
190,1990,0.4567741935483871,0.38,0.51,0.5,0.53,0.5
191,1991,0.3867741935483871,0.42,0.55,0.54,0.57,0.54
192,1992,-0.723225806451613,0.47,0.58,0.57,0.6,0.57
193,1993,0.2967741935483871,0.52,0.62,0.61,0.64,0.61
194,1994,0.876774193548387,0.58,0.66,0.65,0.68,0.65
195,1995,0.3567741935483871,0.64,0.7,0.69,0.72,0.69
196,1996,0.886774193548387,0.7,0.74,0.72,0.76,0.72
197,1997,0.08677419354838706,0.74,0.77,0.76,0.79,0.76
198,1998,1.326774193548387,0.79,0.81,0.79,0.83,0.79
199,1999,1.2367741935483871,0.82,0.84,0.83,0.86,0.83
200,2000,0.5967741935483871,0.84,0.88,0.87,0.9,0.87
201,2001,1.2967741935483872,0.86,0.92,0.9,0.94,0.91
202,2002,0.9867741935483871,0.88,0.96,0.94,0.98,0.95
203,2003,0.7967741935483871,0.9,1.0,0.98,1.01,0.98
204,2004,0.7267741935483871,0.91,1.04,1.02,1.05,1.02
205,2005,0.7067741935483871,0.92,1.07,1.05,1.09,1.06
206,2006,0.646774193548387,0.94,1.11,1.09,1.12,1.09
207,2007,0.9967741935483871,0.96,1.14,1.12,1.15,1.13
208,2008,1.2467741935483871,1.0,1.17,1.16,1.18,1.16
209,2009,1.136774193548387,1.05,1.2,1.19,1.22,1.19
210,2010,2.696774193548387,1.11,1.24,1.23,1.25,1.23
211,2011,0.5467741935483871,1.18,1.27,1.26,1.28,1.26
212,2012,1.386774193548387,1.26,1.3,1.3,1.31,1.29
213,2013,1.196774193548387,1.33,1.33,1.33,1.34,1.33
214,2014,1.426774193548387,1.4,1.37,1.37,1.37,1.37
215,2015,1.386774193548387,1.47,1.4,1.41,1.4,1.4
216,2016,1.806774193548387,1.54,1.43,1.45,1.42,1.44
217,2017,1.446774193548387,1.62,1.46,1.48,1.45,1.48
218,2018,2.1267741935483873,1.69,1.5,1.51,1.48,1.51
219,2019,1.456774193548387,1.76,1.53,1.54,1.5,1.55
220,2020,1.866774193548387,1.84,1.56,1.58,1.53,1.58
221,2021,,,1.59,1.61,1.57,1.62
222,2022,,,1.62,1.64,1.6,1.66
223,2023,,,1.65,1.66,1.63,1.7
224,2024,,,1.68,1.69,1.66,1.74
225,2025,,,1.71,1.72,1.69,1.78
226,2026,,,1.74,1.74,1.72,1.82
227,2027,,,1.77,1.77,1.76,1.86
228,2028,,,1.8,1.79,1.79,1.9
229,2029,,,1.83,1.82,1.83,1.93
230,2030,,,1.85,1.84,1.86,1.97
231,2031,,,1.87,1.86,1.89,2.0
232,2032,,,1.89,1.89,1.93,2.04
233,2033,,,1.9,1.91,1.96,2.07
234,2034,,,1.92,1.93,1.99,2.11
235,2035,,,1.93,1.95,2.02,2.15
236,2036,,,1.95,1.98,2.05,2.18
237,2037,,,1.96,2.01,2.08,2.23
238,2038,,,1.98,2.04,2.11,2.27
239,2039,,,2.0,2.06,2.15,2.31
240,2040,,,2.02,2.09,2.18,2.36
241,2041,,,2.03,2.12,2.22,2.4
242,2042,,,2.05,2.15,2.26,2.45
243,2043,,,2.07,2.18,2.29,2.49
244,2044,,,2.08,2.2,2.32,2.54
245,2045,,,2.09,2.22,2.36,2.59
246,2046,,,2.11,2.25,2.4,2.64
247,2047,,,2.12,2.28,2.44,2.69
248,2048,,,2.14,2.3,2.48,2.74
249,2049,,,2.15,2.32,2.52,2.79
250,2050,,,2.16,2.35,2.56,2.84
251,2051,,,2.17,2.38,2.59,2.89
252,2052,,,2.17,2.4,2.63,2.94
253,2053,,,2.18,2.42,2.67,2.99
254,2054,,,2.19,2.44,2.7,3.04
255,2055,,,2.19,2.46,2.74,3.08
256,2056,,,2.19,2.48,2.77,3.13
257,2057,,,2.19,2.5,2.81,3.19
258,2058,,,2.19,2.52,2.84,3.24
259,2059,,,2.19,2.54,2.88,3.29
260,2060,,,2.19,2.56,2.92,3.33
261,2061,,,2.19,2.59,2.95,3.39
262,2062,,,2.18,2.61,2.99,3.44
263,2063,,,2.18,2.63,3.02,3.5
264,2064,,,2.18,2.65,3.06,3.55
265,2065,,,2.18,2.67,3.11,3.6
266,2066,,,2.18,2.69,3.15,3.66
267,2067,,,2.18,2.71,3.19,3.71
268,2068,,,2.17,2.73,3.23,3.76
269,2069,,,2.17,2.75,3.27,3.81
270,2070,,,2.17,2.76,3.3,3.86
271,2071,,,2.16,2.78,3.34,3.91
272,2072,,,2.16,2.8,3.38,3.96
273,2073,,,2.16,2.81,3.42,4.02
274,2074,,,2.15,2.83,3.46,4.07
275,2075,,,2.15,2.85,3.5,4.12
276,2076,,,2.15,2.86,3.55,4.18
277,2077,,,2.14,2.87,3.59,4.23
278,2078,,,2.14,2.89,3.63,4.29
279,2079,,,2.13,2.9,3.67,4.35
280,2080,,,2.13,2.91,3.72,4.41
281,2081,,,2.12,2.93,3.76,4.46
282,2082,,,2.12,2.94,3.8,4.52
283,2083,,,2.12,2.96,3.84,4.58
284,2084,,,2.11,2.97,3.88,4.65
285,2085,,,2.1,2.99,3.93,4.71
286,2086,,,2.1,3.0,3.97,4.77
287,2087,,,2.09,3.02,4.02,4.83
288,2088,,,2.08,3.03,4.07,4.9
289,2089,,,2.08,3.04,4.12,4.96
290,2090,,,2.07,3.05,4.16,5.02
291,2091,,,2.07,3.06,4.2,5.08
292,2092,,,2.06,3.07,4.25,5.14
293,2093,,,2.06,3.08,4.3,5.2
294,2094,,,2.05,3.09,4.34,5.26
295,2095,,,2.04,3.1,4.38,5.32
296,2096,,,2.04,3.11,4.43,5.38
297,2097,,,2.03,3.12,4.47,5.44
298,2098,,,2.03,3.12,4.51,5.49
299,2099,,,2.02,3.13,4.56,5.55
300,2100,,,2.01,3.14,4.6,5.61
