Estonia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
63,1863,1.74,0.11,0.64,0.68,0.71,0.65
64,1864,-0.39,0.08,0.64,0.68,0.71,0.65
65,1865,-0.39,0.06,0.64,0.68,0.71,0.65
66,1866,0.55,0.04,0.64,0.68,0.71,0.64
67,1867,-1.9600000000000002,0.04,0.63,0.68,0.71,0.64
68,1868,0.61,0.05,0.62,0.67,0.7,0.63
69,1869,0.8700000000000001,0.04,0.61,0.66,0.69,0.62
70,1870,-0.7,0.04,0.6,0.65,0.69,0.61
71,1871,-1.61,0.03,0.59,0.64,0.68,0.6
72,1872,1.55,0.02,0.58,0.63,0.67,0.59
73,1873,0.95,0.02,0.57,0.62,0.66,0.58
74,1874,0.7000000000000001,0.02,0.56,0.61,0.65,0.56
75,1875,-1.8,0.03,0.55,0.6,0.63,0.55
76,1876,-0.72,0.04,0.53,0.58,0.61,0.53
77,1877,-0.6099999999999999,0.06,0.51,0.57,0.59,0.52
78,1878,1.22,0.08,0.5,0.55,0.57,0.5
79,1879,-0.039999999999999925,0.1,0.48,0.53,0.55,0.49
80,1880,0.10000000000000003,0.12,0.47,0.52,0.54,0.48
81,1881,-1.18,0.14,0.45,0.5,0.52,0.46
82,1882,1.31,0.18,0.44,0.49,0.51,0.45
83,1883,0.39,0.23,0.43,0.48,0.5,0.44
84,1884,0.42000000000000004,0.27,0.41,0.47,0.48,0.43
85,1885,0.29000000000000004,0.28,0.4,0.45,0.47,0.42
86,1886,0.42000000000000004,0.28,0.39,0.44,0.46,0.41
87,1887,0.77,0.28,0.38,0.43,0.45,0.4
88,1888,-1.6900000000000002,0.28,0.37,0.42,0.44,0.39
89,1889,0.26,0.29,0.36,0.41,0.45,0.38
90,1890,1.2000000000000002,0.3,0.36,0.41,0.45,0.38
91,1891,0.5800000000000001,0.31,0.36,0.42,0.46,0.38
92,1892,-0.74,0.32,0.36,0.42,0.47,0.39
93,1893,-1.27,0.33,0.37,0.42,0.48,0.39
94,1894,1.17,0.33,0.37,0.43,0.48,0.39
95,1895,-0.010000000000000009,0.34,0.37,0.43,0.49,0.39
96,1896,0.95,0.34,0.37,0.43,0.49,0.39
97,1897,0.92,0.35,0.36,0.43,0.49,0.39
98,1898,0.88,0.37,0.36,0.43,0.49,0.38
99,1899,-0.09999999999999998,0.39,0.36,0.43,0.49,0.38
100,1900,-0.17999999999999994,0.41,0.36,0.43,0.49,0.38
101,1901,0.8300000000000001,0.41,0.36,0.43,0.49,0.38
102,1902,-1.41,0.39,0.35,0.42,0.48,0.37
103,1903,1.4,0.38,0.34,0.41,0.47,0.36
104,1904,-0.24,0.37,0.32,0.4,0.46,0.35
105,1905,0.8200000000000001,0.38,0.31,0.39,0.44,0.33
106,1906,1.37,0.41,0.3,0.37,0.43,0.32
107,1907,-0.55,0.45,0.29,0.36,0.42,0.31
108,1908,0.020000000000000018,0.48,0.28,0.36,0.41,0.31
109,1909,-0.039999999999999925,0.48,0.28,0.36,0.41,0.3
110,1910,1.71,0.47,0.29,0.36,0.41,0.31
111,1911,0.72,0.45,0.3,0.37,0.42,0.32
112,1912,-0.04999999999999993,0.43,0.31,0.39,0.43,0.34
113,1913,1.31,0.43,0.33,0.41,0.45,0.35
114,1914,1.3599999999999999,0.43,0.35,0.43,0.46,0.38
115,1915,-1.18,0.43,0.37,0.45,0.48,0.4
116,1916,0.43000000000000005,0.43,0.39,0.48,0.51,0.42
117,1917,-0.45999999999999996,0.41,0.42,0.5,0.53,0.45
118,1918,0.55,0.39,0.45,0.54,0.57,0.48
119,1919,-0.17999999999999994,0.38,0.49,0.57,0.6,0.51
120,1920,1.71,0.37,0.52,0.6,0.63,0.55
121,1921,0.79,0.36,0.55,0.63,0.66,0.57
122,1922,-0.26,0.38,0.58,0.66,0.68,0.6
123,1923,-0.10999999999999999,0.4,0.6,0.68,0.7,0.62
124,1924,0.65,0.43,0.61,0.69,0.72,0.63
125,1925,1.34,0.46,0.62,0.7,0.73,0.64
126,1926,-0.030000000000000027,0.5,0.63,0.71,0.73,0.64
127,1927,0.35000000000000003,0.55,0.63,0.71,0.74,0.65
128,1928,0.36,0.61,0.63,0.7,0.73,0.64
129,1929,-0.08999999999999997,0.7,0.63,0.7,0.72,0.64
130,1930,1.9000000000000001,0.8,0.62,0.69,0.71,0.63
131,1931,-0.19999999999999996,0.91,0.61,0.68,0.7,0.62
132,1932,1.4,1.01,0.6,0.67,0.68,0.61
133,1933,0.16000000000000003,1.1,0.59,0.65,0.66,0.59
134,1934,2.6500000000000004,1.18,0.57,0.64,0.64,0.58
135,1935,1.1099999999999999,1.24,0.56,0.63,0.63,0.57
136,1936,1.92,1.28,0.55,0.62,0.62,0.56
137,1937,1.68,1.3,0.55,0.61,0.61,0.55
138,1938,2.42,1.29,0.55,0.61,0.61,0.55
139,1939,1.34,1.26,0.55,0.61,0.61,0.56
140,1940,-0.9299999999999999,1.22,0.56,0.62,0.62,0.56
141,1941,-1.8499999999999999,1.18,0.56,0.63,0.62,0.57
142,1942,-1.6199999999999999,1.13,0.57,0.63,0.63,0.58
143,1943,1.98,1.06,0.57,0.64,0.64,0.58
144,1944,1.4300000000000002,1.0,0.58,0.65,0.65,0.59
145,1945,0.48000000000000004,0.95,0.58,0.65,0.66,0.6
146,1946,0.5800000000000001,0.91,0.59,0.66,0.67,0.6
147,1947,-0.10999999999999999,0.88,0.59,0.66,0.67,0.6
148,1948,1.4,0.86,0.59,0.66,0.67,0.61
149,1949,2.45,0.82,0.6,0.66,0.67,0.61
150,1950,0.9,0.76,0.6,0.67,0.67,0.61
151,1951,0.7000000000000001,0.71,0.6,0.67,0.67,0.61
152,1952,0.050000000000000044,0.68,0.6,0.67,0.67,0.61
153,1953,1.29,0.67,0.6,0.67,0.66,0.61
154,1954,0.66,0.67,0.6,0.67,0.66,0.61
155,1955,-0.06999999999999995,0.65,0.6,0.67,0.66,0.61
156,1956,-0.8699999999999999,0.62,0.6,0.67,0.66,0.61
157,1957,1.32,0.58,0.59,0.66,0.66,0.61
158,1958,-0.05999999999999994,0.54,0.59,0.66,0.65,0.61
159,1959,1.58,0.51,0.59,0.65,0.64,0.6
160,1960,0.49000000000000005,0.49,0.58,0.65,0.64,0.6
161,1961,2.19,0.47,0.58,0.64,0.63,0.59
162,1962,0.31000000000000005,0.45,0.57,0.64,0.63,0.59
163,1963,-0.21999999999999997,0.42,0.57,0.64,0.63,0.59
164,1964,0.71,0.4,0.56,0.63,0.62,0.58
165,1965,0.010000000000000009,0.39,0.56,0.63,0.62,0.58
166,1966,-0.38,0.39,0.56,0.62,0.63,0.58
167,1967,0.98,0.42,0.56,0.62,0.62,0.58
168,1968,0.19,0.47,0.56,0.61,0.62,0.57
169,1969,-0.69,0.52,0.55,0.61,0.62,0.57
170,1970,-0.13,0.56,0.55,0.6,0.62,0.57
171,1971,0.97,0.58,0.55,0.6,0.62,0.57
172,1972,1.54,0.58,0.55,0.6,0.63,0.57
173,1973,1.05,0.58,0.55,0.6,0.64,0.57
174,1974,1.91,0.6,0.56,0.61,0.65,0.58
175,1975,2.45,0.63,0.57,0.62,0.66,0.59
176,1976,-0.6299999999999999,0.68,0.58,0.63,0.68,0.6
177,1977,0.33,0.71,0.59,0.65,0.7,0.62
178,1978,-0.5800000000000001,0.72,0.61,0.67,0.73,0.64
179,1979,0.4,0.7,0.63,0.69,0.75,0.66
180,1980,0.08000000000000002,0.66,0.66,0.73,0.79,0.69
181,1981,0.8300000000000001,0.66,0.69,0.76,0.82,0.72
182,1982,1.12,0.71,0.72,0.8,0.86,0.76
183,1983,1.85,0.82,0.75,0.84,0.9,0.79
184,1984,1.42,0.96,0.79,0.88,0.94,0.83
185,1985,-0.78,1.1,0.83,0.92,0.97,0.87
186,1986,0.5800000000000001,1.21,0.88,0.96,1.01,0.92
187,1987,-1.0,1.29,0.92,1.01,1.06,0.96
188,1988,1.3900000000000001,1.34,0.97,1.06,1.1,1.01
189,1989,2.91,1.36,1.02,1.11,1.15,1.06
190,1990,2.39,1.38,1.08,1.17,1.2,1.12
191,1991,1.94,1.41,1.14,1.23,1.25,1.17
192,1992,2.13,1.46,1.19,1.28,1.31,1.23
193,1993,0.8400000000000001,1.52,1.25,1.34,1.36,1.29
194,1994,0.91,1.56,1.31,1.4,1.41,1.34
195,1995,1.85,1.58,1.36,1.45,1.46,1.39
196,1996,0.26,1.57,1.42,1.5,1.52,1.45
197,1997,1.44,1.56,1.48,1.56,1.57,1.5
198,1998,1.05,1.56,1.53,1.62,1.63,1.56
199,1999,2.13,1.58,1.59,1.67,1.68,1.62
200,2000,2.7,1.63,1.66,1.73,1.74,1.68
201,2001,1.67,1.7,1.72,1.79,1.8,1.74
202,2002,1.83,1.78,1.78,1.85,1.86,1.8
203,2003,1.33,1.84,1.84,1.91,1.91,1.85
204,2004,1.62,1.88,1.89,1.96,1.96,1.9
205,2005,1.68,1.9,1.94,2.01,2.0,1.96
206,2006,2.17,1.91,1.99,2.05,2.05,2.0
207,2007,2.4699999999999998,1.94,2.04,2.1,2.09,2.05
208,2008,2.91,1.97,2.1,2.15,2.13,2.1
209,2009,1.68,2.02,2.15,2.19,2.18,2.15
210,2010,0.6900000000000001,2.08,2.2,2.23,2.22,2.2
211,2011,2.51,2.13,2.25,2.28,2.26,2.25
212,2012,1.13,2.21,2.31,2.32,2.3,2.31
213,2013,2.27,2.3,2.37,2.37,2.35,2.36
214,2014,2.5599999999999996,2.39,2.42,2.41,2.39,2.41
215,2015,3.08,2.49,2.48,2.45,2.44,2.47
216,2016,2.1500000000000004,2.59,2.53,2.48,2.48,2.51
217,2017,1.98,2.69,2.57,2.52,2.53,2.56
218,2018,2.66,2.79,2.61,2.55,2.58,2.61
219,2019,2.9800000000000004,2.9,2.65,2.59,2.63,2.66
220,2020,3.91,3.01,2.69,2.62,2.68,2.7
221,2021,,,2.73,2.66,2.72,2.75
222,2022,,,2.76,2.69,2.77,2.8
223,2023,,,2.78,2.73,2.81,2.85
224,2024,,,2.8,2.77,2.85,2.89
225,2025,,,2.82,2.81,2.9,2.94
226,2026,,,2.83,2.85,2.94,2.99
227,2027,,,2.85,2.89,2.99,3.04
228,2028,,,2.86,2.94,3.04,3.09
229,2029,,,2.87,2.98,3.09,3.14
230,2030,,,2.89,3.03,3.13,3.2
231,2031,,,2.91,3.07,3.18,3.25
232,2032,,,2.93,3.11,3.22,3.3
233,2033,,,2.95,3.15,3.26,3.35
234,2034,,,2.98,3.19,3.3,3.4
235,2035,,,3.0,3.23,3.34,3.46
236,2036,,,3.03,3.27,3.39,3.51
237,2037,,,3.05,3.3,3.43,3.56
238,2038,,,3.07,3.34,3.47,3.61
239,2039,,,3.1,3.37,3.51,3.66
240,2040,,,3.12,3.4,3.56,3.71
241,2041,,,3.14,3.43,3.6,3.76
242,2042,,,3.16,3.46,3.65,3.81
243,2043,,,3.18,3.49,3.69,3.85
244,2044,,,3.19,3.51,3.73,3.9
245,2045,,,3.2,3.53,3.78,3.95
246,2046,,,3.21,3.56,3.83,4.0
247,2047,,,3.22,3.58,3.88,4.06
248,2048,,,3.22,3.6,3.92,4.11
249,2049,,,3.22,3.62,3.97,4.17
250,2050,,,3.22,3.64,4.02,4.23
251,2051,,,3.23,3.68,4.07,4.29
252,2052,,,3.23,3.7,4.11,4.35
253,2053,,,3.23,3.73,4.16,4.42
254,2054,,,3.23,3.76,4.2,4.48
255,2055,,,3.24,3.79,4.24,4.53
256,2056,,,3.24,3.82,4.28,4.6
257,2057,,,3.24,3.84,4.32,4.67
258,2058,,,3.25,3.87,4.36,4.73
259,2059,,,3.25,3.89,4.4,4.79
260,2060,,,3.26,3.91,4.44,4.85
261,2061,,,3.26,3.94,4.48,4.91
262,2062,,,3.27,3.96,4.53,4.97
263,2063,,,3.28,3.98,4.57,5.03
264,2064,,,3.29,4.01,4.61,5.08
265,2065,,,3.3,4.02,4.65,5.13
266,2066,,,3.31,4.03,4.7,5.18
267,2067,,,3.33,4.05,4.74,5.23
268,2068,,,3.34,4.06,4.78,5.28
269,2069,,,3.35,4.07,4.83,5.33
270,2070,,,3.35,4.09,4.88,5.39
271,2071,,,3.35,4.11,4.93,5.45
272,2072,,,3.34,4.14,4.98,5.5
273,2073,,,3.34,4.16,5.02,5.56
274,2074,,,3.33,4.19,5.07,5.62
275,2075,,,3.32,4.21,5.11,5.68
276,2076,,,3.3,4.23,5.16,5.74
277,2077,,,3.29,4.25,5.2,5.8
278,2078,,,3.27,4.28,5.24,5.87
279,2079,,,3.25,4.3,5.29,5.94
280,2080,,,3.23,4.31,5.34,6.01
281,2081,,,3.21,4.33,5.39,6.09
282,2082,,,3.19,4.36,5.43,6.16
283,2083,,,3.17,4.37,5.48,6.24
284,2084,,,3.16,4.39,5.53,6.31
285,2085,,,3.16,4.41,5.57,6.38
286,2086,,,3.15,4.42,5.62,6.45
287,2087,,,3.15,4.44,5.68,6.51
288,2088,,,3.16,4.45,5.73,6.58
289,2089,,,3.16,4.47,5.79,6.64
290,2090,,,3.17,4.48,5.85,6.71
291,2091,,,3.18,4.51,5.9,6.77
292,2092,,,3.19,4.52,5.96,6.84
293,2093,,,3.2,4.54,6.01,6.9
294,2094,,,3.21,4.56,6.07,6.96
295,2095,,,3.23,4.58,6.12,7.02
296,2096,,,3.24,4.59,6.17,7.08
297,2097,,,3.25,4.61,6.23,7.14
298,2098,,,3.26,4.62,6.28,7.2
299,2099,,,3.27,4.64,6.33,7.25
300,2100,,,3.28,4.66,6.39,7.33
