Slovenia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
45,1845,-0.3141935483870968,-0.13,,,,
46,1846,1.1258064516129034,-0.13,,,,
47,1847,-0.37419354838709673,-0.14,,,,
48,1848,0.24580645161290324,-0.16,,,,
49,1849,-0.11419354838709678,-0.18,,,,
50,1850,-0.5341935483870968,-0.2,,,,
51,1851,-0.5841935483870968,-0.21,,,,
52,1852,0.17580645161290323,-0.23,,,,
53,1853,-0.3341935483870968,-0.23,,,,
54,1854,-0.38419354838709674,-0.22,,,,
55,1855,-0.4841935483870967,-0.2,,,,
56,1856,-0.18419354838709678,-0.15,,,,
57,1857,-0.024193548387096753,-0.1,,,,
58,1858,-0.8241935483870967,-0.04,,,,
59,1859,0.5358064516129033,0.02,,,,
60,1860,-0.6341935483870967,0.08,,,,
61,1861,0.2558064516129033,0.14,,,,
62,1862,0.7058064516129032,0.2,,,,
63,1863,1.2558064516129033,0.24,,,,
64,1864,-1.0941935483870968,0.28,,,,
65,1865,0.37580645161290327,0.3,,,,
66,1866,0.5258064516129033,0.31,,,,
67,1867,0.34580645161290324,0.3,,,,
68,1868,0.9958064516129033,0.28,,,,
69,1869,0.33580645161290323,0.25,,,,
70,1870,-0.6741935483870968,0.21,,,,
71,1871,-0.8141935483870967,0.16,,,,
72,1872,1.285806451612903,0.12,,,,
73,1873,0.7358064516129033,0.08,,,,
74,1874,-0.1941935483870968,0.04,,,,
75,1875,-0.7341935483870968,0.01,,,,
76,1876,-0.08419354838709675,-0.02,,,,
77,1877,0.23580645161290326,-0.03,,,,
78,1878,0.08580645161290323,-0.04,,,,
79,1879,-0.4541935483870968,-0.04,,,,
80,1880,0.18580645161290324,-0.05,,,,
81,1881,-0.4641935483870968,-0.07,,,,
82,1882,0.7058064516129032,-0.09,,,,
83,1883,-0.40419354838709676,-0.11,,,,
84,1884,-0.14419354838709675,-0.14,,,,
85,1885,0.27580645161290324,-0.17,,,,
86,1886,0.30580645161290326,-0.19,,,,
87,1887,-0.5241935483870968,-0.21,,,,
88,1888,-0.6541935483870968,-0.23,,,,
89,1889,-0.40419354838709676,-0.24,,,,
90,1890,-0.3641935483870967,-0.24,,,,
91,1891,-0.5741935483870968,-0.23,,,,
92,1892,-0.1941935483870968,-0.2,,,,
93,1893,-0.25419354838709673,-0.16,,,,
94,1894,0.11580645161290323,-0.11,,,,
95,1895,-0.3641935483870967,-0.07,,,,
96,1896,-0.3441935483870967,-0.02,,,,
97,1897,0.34580645161290324,0.02,,,,
98,1898,0.9958064516129033,0.05,,,,
99,1899,0.14580645161290323,0.07,,,,
100,1900,0.8458064516129032,0.08,,,,
101,1901,-0.3541935483870967,0.08,,,,
102,1902,-0.25419354838709673,0.08,,,,
103,1903,0.16580645161290325,0.07,,,,
104,1904,0.5758064516129032,0.05,,,,
105,1905,-0.2041935483870968,0.03,,,,
106,1906,-0.12419354838709673,0.01,,,,
107,1907,-0.04419354838709677,-0.01,,,,
108,1908,-0.4641935483870968,-0.01,,,,
109,1909,-0.26419354838709674,-0.01,,,,
110,1910,0.34580645161290324,-0.0,,,,
111,1911,0.6458064516129032,0.01,,,,
112,1912,-0.3141935483870968,0.02,,,,
113,1913,0.015806451612903227,0.05,,,,
114,1914,-0.3241935483870968,0.09,,,,
115,1915,0.05580645161290326,0.12,,,,
116,1916,0.8658064516129033,0.15,,,,
117,1917,-0.14419354838709675,0.18,,,,
118,1918,0.18580645161290324,0.2,,,,
119,1919,-0.1941935483870968,0.23,,,,
120,1920,0.8658064516129033,0.27,,,,
121,1921,0.6758064516129032,0.3,,,,
122,1922,-0.12419354838709673,0.33,,,,
123,1923,0.6958064516129032,0.36,,,,
124,1924,-0.024193548387096753,0.37,,,,
125,1925,0.16580645161290325,0.36,,,,
126,1926,0.7658064516129033,0.36,,,,
127,1927,0.8158064516129032,0.35,,,,
128,1928,0.5958064516129032,0.34,,,,
129,1929,-0.37419354838709673,0.35,,,,
130,1930,0.8758064516129033,0.36,,,,
131,1931,-0.04419354838709677,0.37,,,,
132,1932,0.06580645161290322,0.37,,,,
133,1933,-0.5741935483870968,0.35,,,,
134,1934,1.0958064516129031,0.33,,,,
135,1935,0.29580645161290325,0.31,,,,
136,1936,0.7958064516129033,0.3,,,,
137,1937,0.6658064516129032,0.31,,,,
138,1938,0.18580645161290324,0.33,,,,
139,1939,0.33580645161290323,0.36,,,,
140,1940,-1.1641935483870967,0.4,,,,
141,1941,-0.7541935483870968,0.43,,,,
142,1942,0.05580645161290326,0.46,,,,
143,1943,0.9358064516129032,0.5,,,,
144,1944,0.005806451612903218,0.54,,,,
145,1945,0.8058064516129033,0.59,,,,
146,1946,0.9758064516129032,0.65,,,,
147,1947,0.8458064516129032,0.69,,,,
148,1948,0.7958064516129033,0.7,,,,
149,1949,0.9958064516129033,0.69,,,,
150,1950,1.3158064516129033,0.67,,,,
151,1951,1.285806451612903,0.65,,,,
152,1952,0.46580645161290324,0.63,,,,
153,1953,0.48580645161290326,0.62,,,,
154,1954,-0.29419354838709677,0.6,,,,
155,1955,0.05580645161290326,0.56,,,,
156,1956,-0.6641935483870968,0.51,,,,
157,1957,0.6958064516129032,0.46,,,,
158,1958,0.8358064516129032,0.41,,,,
159,1959,0.7558064516129033,0.39,,,,
160,1960,0.6958064516129032,0.39,,,,
161,1961,1.1658064516129032,0.4,,,,
162,1962,-0.4841935483870967,0.41,,,,
163,1963,-0.08419354838709675,0.41,,,,
164,1964,0.17580645161290323,0.39,,,,
165,1965,-0.2241935483870967,0.36,,,,
166,1966,0.9358064516129032,0.32,,,,
167,1967,0.8058064516129033,0.31,,,,
168,1968,0.4358064516129032,0.31,,,,
169,1969,0.005806451612903218,0.33,,,,
170,1970,0.16580645161290325,0.35,,,,
171,1971,0.30580645161290326,0.37,,,,
172,1972,0.22580645161290325,0.37,,,,
173,1973,0.13580645161290325,0.36,,,,
174,1974,0.7758064516129033,0.36,,,,
175,1975,0.9658064516129032,0.36,,,,
176,1976,0.07580645161290323,0.37,,,,
177,1977,0.8958064516129033,0.38,,,,
178,1978,-0.3441935483870967,0.39,,,,
179,1979,0.5358064516129033,0.39,,,,
180,1980,-0.37419354838709673,0.38,,,,
181,1981,0.4358064516129032,0.38,,,,
182,1982,0.8658064516129033,0.39,,,,
183,1983,0.8958064516129033,0.41,,,,
184,1984,0.005806451612903218,0.45,,,,
185,1985,-0.024193548387096753,0.51,,,,
186,1986,0.18580645161290324,0.57,,,,
187,1987,0.2558064516129033,0.63,,,,
188,1988,0.9558064516129032,0.69,,,,
189,1989,1.055806451612903,0.75,,,,
190,1990,1.2258064516129032,0.8,,,,
191,1991,0.2558064516129033,0.85,,,,
192,1992,1.495806451612903,0.92,,,,
193,1993,0.8858064516129033,0.99,,,,
194,1994,2.0658064516129033,1.07,,,,
195,1995,0.8558064516129033,1.14,,,,
196,1996,-0.024193548387096753,1.19,,,,
197,1997,0.9358064516129032,1.24,,,,
198,1998,1.2158064516129032,1.27,,,,
199,1999,1.2658064516129033,1.3,,,,
200,2000,2.265806451612903,1.34,,,,
201,2001,1.5058064516129033,1.38,,,,
202,2002,2.015806451612903,1.43,,,,
203,2003,1.6558064516129032,1.48,,,,
204,2004,0.8658064516129033,1.53,,,,
205,2005,0.47580645161290325,1.56,1.68,1.71,1.75,1.67
206,2006,1.3858064516129032,1.59,1.71,1.73,1.77,1.7
207,2007,2.1058064516129034,1.62,1.75,1.76,1.8,1.74
208,2008,1.8858064516129032,1.65,1.78,1.79,1.82,1.77
209,2009,1.8358064516129033,1.7,1.81,1.82,1.85,1.81
210,2010,0.7558064516129033,1.75,1.85,1.85,1.87,1.85
211,2011,1.8158064516129033,1.82,1.88,1.88,1.9,1.89
212,2012,1.9458064516129032,1.89,1.91,1.91,1.93,1.92
213,2013,1.5958064516129031,1.96,1.95,1.94,1.95,1.96
214,2014,2.635806451612903,2.03,1.98,1.97,1.98,2.0
215,2015,2.2758064516129033,2.1,2.03,2.02,2.0,2.04
216,2016,1.8958064516129034,2.17,2.07,2.07,2.04,2.08
217,2017,1.9558064516129035,2.24,2.12,2.12,2.07,2.12
218,2018,2.5458064516129033,2.31,2.18,2.17,2.12,2.17
219,2019,2.595806451612903,2.38,2.23,2.22,2.16,2.22
220,2020,2.245806451612903,2.44,2.28,2.27,2.21,2.26
221,2021,,,2.33,2.33,2.26,2.31
222,2022,,,2.37,2.38,2.3,2.35
223,2023,,,2.41,2.43,2.35,2.39
224,2024,,,2.44,2.48,2.39,2.43
225,2025,,,2.47,2.52,2.44,2.48
226,2026,,,2.49,2.55,2.49,2.52
227,2027,,,2.5,2.59,2.53,2.58
228,2028,,,2.52,2.63,2.58,2.63
229,2029,,,2.53,2.67,2.62,2.68
230,2030,,,2.54,2.71,2.67,2.73
231,2031,,,2.56,2.75,2.71,2.79
232,2032,,,2.58,2.79,2.76,2.84
233,2033,,,2.6,2.83,2.8,2.9
234,2034,,,2.63,2.87,2.85,2.96
235,2035,,,2.66,2.9,2.89,3.02
236,2036,,,2.69,2.93,2.94,3.08
237,2037,,,2.73,2.96,2.97,3.14
238,2038,,,2.76,2.98,3.01,3.2
239,2039,,,2.8,3.0,3.05,3.26
240,2040,,,2.84,3.03,3.08,3.32
241,2041,,,2.87,3.05,3.12,3.37
242,2042,,,2.89,3.07,3.17,3.43
243,2043,,,2.92,3.09,3.22,3.48
244,2044,,,2.94,3.12,3.27,3.54
245,2045,,,2.95,3.16,3.33,3.59
246,2046,,,2.97,3.19,3.39,3.65
247,2047,,,2.98,3.23,3.45,3.7
248,2048,,,2.99,3.27,3.51,3.76
249,2049,,,3.0,3.31,3.58,3.82
250,2050,,,3.0,3.34,3.64,3.89
251,2051,,,3.01,3.37,3.69,3.95
252,2052,,,3.01,3.4,3.74,4.02
253,2053,,,3.02,3.43,3.78,4.09
254,2054,,,3.03,3.45,3.81,4.15
255,2055,,,3.03,3.47,3.85,4.22
256,2056,,,3.04,3.49,3.89,4.28
257,2057,,,3.05,3.52,3.93,4.34
258,2058,,,3.06,3.54,3.98,4.41
259,2059,,,3.07,3.56,4.03,4.47
260,2060,,,3.08,3.59,4.07,4.53
261,2061,,,3.09,3.62,4.12,4.59
262,2062,,,3.1,3.64,4.17,4.66
263,2063,,,3.12,3.67,4.21,4.73
264,2064,,,3.13,3.69,4.26,4.81
265,2065,,,3.13,3.71,4.31,4.88
266,2066,,,3.13,3.73,4.36,4.96
267,2067,,,3.13,3.75,4.41,5.04
268,2068,,,3.13,3.77,4.45,5.12
269,2069,,,3.13,3.78,4.5,5.2
270,2070,,,3.13,3.8,4.55,5.28
271,2071,,,3.13,3.82,4.6,5.35
272,2072,,,3.13,3.84,4.66,5.43
273,2073,,,3.13,3.86,4.72,5.5
274,2074,,,3.12,3.88,4.78,5.57
275,2075,,,3.12,3.91,4.84,5.64
276,2076,,,3.12,3.93,4.89,5.72
277,2077,,,3.12,3.95,4.94,5.79
278,2078,,,3.12,3.98,5.0,5.86
279,2079,,,3.12,4.0,5.05,5.94
280,2080,,,3.12,4.02,5.1,6.01
281,2081,,,3.12,4.05,5.15,6.09
282,2082,,,3.11,4.08,5.2,6.17
283,2083,,,3.11,4.1,5.25,6.26
284,2084,,,3.11,4.13,5.3,6.35
285,2085,,,3.11,4.14,5.35,6.43
286,2086,,,3.11,4.16,5.41,6.52
287,2087,,,3.1,4.17,5.47,6.61
288,2088,,,3.1,4.19,5.53,6.7
289,2089,,,3.1,4.2,5.59,6.79
290,2090,,,3.1,4.22,5.66,6.89
291,2091,,,3.09,4.24,5.72,6.98
292,2092,,,3.09,4.25,5.79,7.07
293,2093,,,3.09,4.26,5.86,7.17
294,2094,,,3.1,4.28,5.93,7.26
295,2095,,,3.1,4.29,6.0,7.36
296,2096,,,3.1,4.31,6.08,7.46
297,2097,,,3.11,4.32,6.15,7.55
298,2098,,,3.11,4.34,6.22,7.65
299,2099,,,3.11,4.36,6.29,7.74
300,2100,,,3.12,4.37,6.36,7.84
