Nigeria,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
191,1991,0.821875,0.88,,,,
192,1992,0.441875,0.89,,,,
193,1993,0.911875,0.9,,,,
194,1994,0.641875,0.91,,,,
195,1995,0.971875,0.94,,,,
196,1996,1.001875,0.96,,,,
197,1997,0.971875,0.99,,,,
198,1998,1.451875,1.04,,,,
199,1999,1.181875,1.09,,,,
200,2000,0.791875,1.15,,,,
201,2001,0.881875,1.2,,,,
202,2002,1.2818749999999999,1.24,,,,
203,2003,1.3518750000000002,1.28,,,,
204,2004,1.291875,1.32,,,,
205,2005,1.621875,1.36,1.2,1.23,1.24,1.21
206,2006,1.5518750000000001,1.4,1.23,1.26,1.27,1.24
207,2007,1.441875,1.42,1.26,1.29,1.3,1.27
208,2008,1.191875,1.43,1.29,1.31,1.32,1.31
209,2009,1.651875,1.42,1.32,1.34,1.35,1.34
210,2010,1.681875,1.42,1.35,1.37,1.38,1.36
211,2011,1.301875,1.42,1.38,1.39,1.4,1.39
212,2012,1.151875,1.41,1.41,1.42,1.43,1.42
213,2013,1.391875,1.42,1.44,1.45,1.46,1.45
214,2014,1.3118750000000001,1.42,1.47,1.47,1.48,1.48
215,2015,1.411875,1.43,1.5,1.49,1.5,1.5
216,2016,1.631875,1.44,1.53,1.52,1.52,1.53
217,2017,1.451875,1.45,1.56,1.54,1.53,1.55
218,2018,1.3118750000000001,1.46,1.6,1.57,1.54,1.57
219,2019,1.531875,1.47,1.63,1.59,1.56,1.6
220,2020,1.531875,1.48,1.66,1.62,1.58,1.62
221,2021,,,1.7,1.64,1.6,1.65
222,2022,,,1.74,1.67,1.64,1.68
223,2023,,,1.78,1.7,1.67,1.72
224,2024,,,1.82,1.74,1.69,1.75
225,2025,,,1.85,1.77,1.72,1.79
226,2026,,,1.89,1.8,1.75,1.82
227,2027,,,1.92,1.83,1.78,1.86
228,2028,,,1.96,1.86,1.82,1.89
229,2029,,,1.99,1.88,1.86,1.92
230,2030,,,2.02,1.91,1.89,1.95
231,2031,,,2.06,1.94,1.93,1.99
232,2032,,,2.08,1.97,1.96,2.02
233,2033,,,2.11,2.0,1.99,2.06
234,2034,,,2.14,2.03,2.02,2.1
235,2035,,,2.16,2.06,2.05,2.14
236,2036,,,2.17,2.09,2.09,2.17
237,2037,,,2.19,2.12,2.13,2.22
238,2038,,,2.21,2.14,2.16,2.26
239,2039,,,2.22,2.17,2.2,2.31
240,2040,,,2.23,2.2,2.23,2.36
241,2041,,,2.24,2.24,2.26,2.41
242,2042,,,2.25,2.27,2.3,2.46
243,2043,,,2.27,2.3,2.34,2.51
244,2044,,,2.28,2.34,2.37,2.56
245,2045,,,2.29,2.37,2.41,2.61
