Qatar,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
165,1965,0.3767741935483871,0.27,,,,
166,1966,0.5567741935483871,0.27,,,,
167,1967,-0.13322580645161292,0.28,,,,
168,1968,0.006774193548387097,0.28,,,,
169,1969,0.7967741935483871,0.29,,,,
170,1970,0.5767741935483871,0.3,,,,
171,1971,0.17677419354838708,0.33,,,,
172,1972,-0.16322580645161294,0.37,,,,
173,1973,0.6067741935483871,0.41,,,,
174,1974,0.3467741935483871,0.46,,,,
175,1975,0.1567741935483871,0.5,,,,
176,1976,0.20677419354838708,0.53,,,,
177,1977,1.0067741935483872,0.54,,,,
178,1978,0.6567741935483871,0.55,,,,
179,1979,1.156774193548387,0.56,,,,
180,1980,0.9967741935483871,0.59,,,,
181,1981,1.0167741935483872,0.61,,,,
182,1982,-0.19322580645161286,0.63,,,,
183,1983,-0.12322580645161291,0.63,,,,
184,1984,0.2667741935483871,0.63,,,,
185,1985,0.5467741935483871,0.61,,,,
186,1986,0.6567741935483871,0.58,,,,
187,1987,0.886774193548387,0.57,,,,
188,1988,0.876774193548387,0.57,,,,
189,1989,0.2267741935483871,0.58,,,,
190,1990,0.9067741935483871,0.61,,,,
191,1991,0.2467741935483871,0.66,,,,
192,1992,-0.3432258064516129,0.71,,,,
193,1993,0.4667741935483871,0.76,,,,
194,1994,0.9267741935483871,0.83,,,,
195,1995,0.4967741935483871,0.9,,,,
196,1996,0.9767741935483871,0.98,,,,
197,1997,0.4767741935483871,1.06,,,,
198,1998,1.786774193548387,1.15,,,,
199,1999,1.906774193548387,1.23,,,,
200,2000,1.356774193548387,1.31,,,,
201,2001,1.616774193548387,1.38,,,,
202,2002,1.566774193548387,1.44,,,,
203,2003,1.686774193548387,1.49,,,,
204,2004,1.506774193548387,1.52,,,,
205,2005,1.426774193548387,1.55,1.58,1.55,1.57,1.53
206,2006,1.546774193548387,1.56,1.61,1.59,1.61,1.57
207,2007,1.536774193548387,1.57,1.64,1.62,1.64,1.61
208,2008,1.2567741935483872,1.59,1.67,1.66,1.67,1.65
209,2009,1.506774193548387,1.62,1.7,1.69,1.71,1.69
210,2010,2.3567741935483872,1.66,1.74,1.73,1.74,1.72
211,2011,1.4867741935483871,1.7,1.77,1.76,1.77,1.76
212,2012,1.756774193548387,1.76,1.8,1.8,1.81,1.8
213,2013,1.446774193548387,1.82,1.83,1.83,1.84,1.84
214,2014,1.816774193548387,1.87,1.86,1.86,1.87,1.87
215,2015,2.2067741935483873,1.93,1.89,1.9,1.9,1.91
216,2016,1.806774193548387,1.98,1.93,1.94,1.93,1.95
217,2017,2.156774193548387,2.04,1.97,1.98,1.97,1.99
218,2018,2.466774193548387,2.1,2.01,2.02,2.0,2.03
219,2019,2.1667741935483873,2.16,2.05,2.07,2.03,2.08
220,2020,1.9767741935483871,2.22,2.1,2.11,2.07,2.12
221,2021,,,2.14,2.16,2.1,2.17
222,2022,,,2.19,2.2,2.14,2.22
223,2023,,,2.23,2.24,2.17,2.27
224,2024,,,2.28,2.28,2.21,2.32
225,2025,,,2.32,2.31,2.24,2.38
226,2026,,,2.36,2.35,2.28,2.43
227,2027,,,2.4,2.38,2.32,2.48
228,2028,,,2.44,2.41,2.37,2.53
229,2029,,,2.47,2.44,2.41,2.57
230,2030,,,2.5,2.46,2.46,2.62
231,2031,,,2.54,2.49,2.5,2.67
232,2032,,,2.57,2.52,2.55,2.71
233,2033,,,2.6,2.55,2.59,2.75
234,2034,,,2.63,2.59,2.63,2.8
235,2035,,,2.65,2.62,2.68,2.84
236,2036,,,2.68,2.66,2.72,2.89
237,2037,,,2.7,2.69,2.76,2.93
238,2038,,,2.72,2.73,2.8,2.99
239,2039,,,2.75,2.76,2.84,3.04
240,2040,,,2.77,2.8,2.88,3.1
241,2041,,,2.79,2.83,2.92,3.16
242,2042,,,2.81,2.87,2.96,3.21
243,2043,,,2.82,2.9,3.0,3.27
244,2044,,,2.84,2.94,3.05,3.33
245,2045,,,2.86,2.98,3.1,3.39
246,2046,,,2.87,3.02,3.15,3.46
247,2047,,,2.88,3.06,3.2,3.52
248,2048,,,2.89,3.1,3.25,3.58
249,2049,,,2.91,3.14,3.31,3.64
250,2050,,,2.92,3.18,3.36,3.7
251,2051,,,2.93,3.22,3.41,3.75
252,2052,,,2.93,3.25,3.46,3.81
253,2053,,,2.94,3.28,3.51,3.88
254,2054,,,2.95,3.31,3.56,3.94
255,2055,,,2.95,3.33,3.61,4.0
256,2056,,,2.96,3.35,3.66,4.07
257,2057,,,2.97,3.38,3.71,4.13
258,2058,,,2.98,3.4,3.75,4.2
259,2059,,,2.99,3.42,3.8,4.27
260,2060,,,2.99,3.45,3.85,4.33
261,2061,,,2.99,3.47,3.89,4.4
262,2062,,,2.99,3.5,3.94,4.47
263,2063,,,2.99,3.52,3.99,4.53
264,2064,,,2.99,3.55,4.03,4.6
265,2065,,,2.98,3.58,4.08,4.67
266,2066,,,2.98,3.61,4.12,4.74
267,2067,,,2.97,3.63,4.17,4.81
268,2068,,,2.97,3.66,4.22,4.88
269,2069,,,2.96,3.68,4.27,4.95
270,2070,,,2.96,3.7,4.32,5.02
271,2071,,,2.96,3.72,4.38,5.09
272,2072,,,2.96,3.74,4.43,5.16
273,2073,,,2.95,3.75,4.48,5.22
274,2074,,,2.95,3.77,4.53,5.29
275,2075,,,2.95,3.78,4.58,5.36
276,2076,,,2.95,3.79,4.64,5.43
277,2077,,,2.95,3.81,4.7,5.5
278,2078,,,2.95,3.83,4.76,5.57
279,2079,,,2.95,3.85,4.81,5.64
280,2080,,,2.95,3.88,4.87,5.71
281,2081,,,2.95,3.9,4.93,5.79
282,2082,,,2.95,3.92,4.98,5.87
283,2083,,,2.95,3.94,5.04,5.95
284,2084,,,2.95,3.96,5.1,6.03
285,2085,,,2.95,3.98,5.16,6.11
286,2086,,,2.95,4.0,5.22,6.19
287,2087,,,2.94,4.01,5.28,6.28
288,2088,,,2.93,4.03,5.34,6.36
289,2089,,,2.92,4.04,5.39,6.44
290,2090,,,2.91,4.06,5.44,6.52
291,2091,,,2.9,4.07,5.5,6.6
292,2092,,,2.89,4.07,5.55,6.68
293,2093,,,2.88,4.08,5.61,6.76
294,2094,,,2.87,4.09,5.66,6.84
295,2095,,,2.86,4.1,5.72,6.92
296,2096,,,2.85,4.11,5.77,7.0
297,2097,,,2.84,4.12,5.83,7.08
298,2098,,,2.83,4.13,5.88,7.15
299,2099,,,2.82,4.13,5.94,7.23
300,2100,,,2.81,4.14,5.99,7.31
