Mozambique,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
135,1935,-0.12884615384615405,0.32,,,,
136,1936,0.10115384615384598,0.34,,,,
137,1937,0.361153846153846,0.35,,,,
138,1938,0.451153846153846,0.36,,,,
139,1939,0.061153846153846,0.37,,,,
140,1940,0.511153846153846,0.39,,,,
141,1941,0.8611538461538459,0.41,,,,
142,1942,0.671153846153846,0.43,,,,
143,1943,0.301153846153846,0.45,,,,
144,1944,0.551153846153846,0.47,,,,
145,1945,0.08115384615384602,0.48,,,,
146,1946,0.39115384615384596,0.48,,,,
147,1947,0.551153846153846,0.48,,,,
148,1948,0.601153846153846,0.48,,,,
149,1949,0.721153846153846,0.48,,,,
150,1950,0.291153846153846,0.49,,,,
151,1951,0.39115384615384596,0.5,,,,
152,1952,0.631153846153846,0.52,,,,
153,1953,0.481153846153846,0.53,,,,
154,1954,0.631153846153846,0.54,,,,
155,1955,0.361153846153846,0.55,,,,
156,1956,0.281153846153846,0.55,,,,
157,1957,0.871153846153846,0.55,,,,
158,1958,0.741153846153846,0.54,,,,
159,1959,0.671153846153846,0.53,,,,
160,1960,0.39115384615384596,0.52,,,,
161,1961,0.761153846153846,0.51,,,,
162,1962,0.561153846153846,0.51,,,,
163,1963,0.15115384615384597,0.51,,,,
164,1964,0.291153846153846,0.5,,,,
165,1965,0.07115384615384601,0.5,,,,
166,1966,0.731153846153846,0.5,,,,
167,1967,0.601153846153846,0.5,,,,
168,1968,0.261153846153846,0.5,,,,
169,1969,0.8411538461538459,0.51,,,,
170,1970,0.791153846153846,0.53,,,,
171,1971,0.39115384615384596,0.55,,,,
172,1972,0.481153846153846,0.56,,,,
173,1973,0.701153846153846,0.58,,,,
174,1974,0.34115384615384603,0.59,,,,
175,1975,0.421153846153846,0.6,,,,
176,1976,0.491153846153846,0.61,,,,
177,1977,1.001153846153846,0.63,,,,
178,1978,0.771153846153846,0.64,,,,
179,1979,0.741153846153846,0.66,,,,
180,1980,0.721153846153846,0.69,,,,
181,1981,0.351153846153846,0.72,,,,
182,1982,0.661153846153846,0.75,,,,
183,1983,1.431153846153846,0.77,,,,
184,1984,0.771153846153846,0.8,,,,
185,1985,0.601153846153846,0.83,,,,
186,1986,0.691153846153846,0.87,,,,
187,1987,1.391153846153846,0.91,,,,
188,1988,1.071153846153846,0.95,,,,
189,1989,0.811153846153846,0.98,,,,
190,1990,1.131153846153846,1.02,,,,
191,1991,0.991153846153846,1.05,,,,
192,1992,1.691153846153846,1.08,,,,
193,1993,1.0811538461538461,1.1,,,,
194,1994,0.871153846153846,1.11,,,,
195,1995,1.381153846153846,1.13,,,,
196,1996,1.0511538461538459,1.14,,,,
197,1997,1.111153846153846,1.16,,,,
198,1998,1.611153846153846,1.18,,,,
199,1999,0.951153846153846,1.2,,,,
200,2000,0.961153846153846,1.21,,,,
201,2001,1.2611538461538458,1.23,,,,
202,2002,1.391153846153846,1.24,,,,
203,2003,1.361153846153846,1.25,,,,
204,2004,1.1011538461538461,1.27,,,,
205,2005,1.8011538461538459,1.28,1.19,1.19,1.21,1.18
206,2006,1.3011538461538459,1.3,1.22,1.22,1.24,1.21
207,2007,1.271153846153846,1.31,1.25,1.25,1.28,1.25
208,2008,1.091153846153846,1.32,1.28,1.29,1.31,1.28
209,2009,1.221153846153846,1.33,1.32,1.32,1.34,1.31
210,2010,1.571153846153846,1.35,1.35,1.36,1.37,1.35
211,2011,1.381153846153846,1.37,1.38,1.39,1.4,1.38
212,2012,1.3311538461538461,1.4,1.41,1.42,1.43,1.42
213,2013,1.141153846153846,1.43,1.45,1.46,1.46,1.45
214,2014,1.341153846153846,1.46,1.48,1.49,1.49,1.49
215,2015,1.751153846153846,1.49,1.52,1.52,1.52,1.53
216,2016,1.8311538461538461,1.53,1.56,1.56,1.54,1.56
217,2017,1.371153846153846,1.56,1.59,1.59,1.57,1.6
218,2018,1.431153846153846,1.59,1.63,1.62,1.6,1.63
219,2019,1.821153846153846,1.63,1.67,1.65,1.62,1.67
220,2020,1.611153846153846,1.66,1.71,1.68,1.65,1.71
221,2021,,,1.75,1.71,1.68,1.74
222,2022,,,1.79,1.74,1.71,1.78
223,2023,,,1.82,1.77,1.74,1.81
224,2024,,,1.86,1.8,1.77,1.84
225,2025,,,1.89,1.83,1.8,1.88
226,2026,,,1.92,1.86,1.84,1.91
227,2027,,,1.94,1.9,1.87,1.95
228,2028,,,1.97,1.93,1.9,1.99
229,2029,,,1.99,1.96,1.93,2.03
230,2030,,,2.01,1.99,1.96,2.07
231,2031,,,2.03,2.02,2.0,2.11
232,2032,,,2.06,2.05,2.03,2.15
233,2033,,,2.08,2.09,2.07,2.19
234,2034,,,2.1,2.12,2.1,2.24
235,2035,,,2.12,2.15,2.14,2.28
236,2036,,,2.14,2.18,2.18,2.33
237,2037,,,2.17,2.21,2.23,2.38
238,2038,,,2.19,2.24,2.27,2.43
239,2039,,,2.21,2.27,2.31,2.48
240,2040,,,2.22,2.31,2.35,2.52
241,2041,,,2.24,2.34,2.39,2.57
242,2042,,,2.25,2.37,2.43,2.61
243,2043,,,2.26,2.4,2.46,2.66
244,2044,,,2.27,2.43,2.5,2.7
245,2045,,,2.29,2.47,2.53,2.75
246,2046,,,2.3,2.5,2.57,2.8
247,2047,,,2.31,2.54,2.61,2.85
248,2048,,,2.32,2.58,2.65,2.9
249,2049,,,2.32,2.61,2.69,2.95
250,2050,,,2.32,2.65,2.73,3.0
251,2051,,,2.32,2.68,2.77,3.05
252,2052,,,2.33,2.72,2.81,3.11
253,2053,,,2.33,2.75,2.85,3.17
254,2054,,,2.33,2.78,2.9,3.23
255,2055,,,2.33,2.81,2.95,3.29
256,2056,,,2.33,2.84,3.0,3.36
257,2057,,,2.33,2.86,3.05,3.42
258,2058,,,2.33,2.88,3.09,3.48
259,2059,,,2.34,2.9,3.14,3.54
260,2060,,,2.35,2.92,3.18,3.6
261,2061,,,2.36,2.94,3.23,3.66
262,2062,,,2.37,2.95,3.28,3.73
263,2063,,,2.38,2.97,3.33,3.79
264,2064,,,2.39,2.98,3.38,3.85
265,2065,,,2.39,3.0,3.42,3.92
266,2066,,,2.4,3.02,3.47,3.98
267,2067,,,2.4,3.04,3.51,4.04
268,2068,,,2.4,3.07,3.56,4.11
269,2069,,,2.4,3.09,3.61,4.17
270,2070,,,2.4,3.11,3.66,4.23
271,2071,,,2.4,3.14,3.71,4.29
272,2072,,,2.4,3.16,3.75,4.36
273,2073,,,2.4,3.18,3.8,4.42
274,2074,,,2.41,3.2,3.84,4.48
275,2075,,,2.41,3.22,3.89,4.54
276,2076,,,2.41,3.24,3.93,4.6
277,2077,,,2.41,3.26,3.98,4.67
278,2078,,,2.41,3.28,4.02,4.74
279,2079,,,2.41,3.3,4.07,4.81
280,2080,,,2.42,3.31,4.11,4.88
281,2081,,,2.41,3.33,4.16,4.95
282,2082,,,2.41,3.35,4.21,5.03
283,2083,,,2.4,3.37,4.26,5.11
284,2084,,,2.39,3.39,4.31,5.18
285,2085,,,2.38,3.41,4.36,5.26
286,2086,,,2.37,3.43,4.4,5.33
287,2087,,,2.36,3.44,4.45,5.4
288,2088,,,2.35,3.46,4.5,5.47
289,2089,,,2.35,3.47,4.55,5.54
290,2090,,,2.34,3.48,4.59,5.61
291,2091,,,2.33,3.5,4.64,5.67
292,2092,,,2.33,3.51,4.69,5.74
293,2093,,,2.32,3.52,4.74,5.81
294,2094,,,2.32,3.53,4.79,5.88
295,2095,,,2.32,3.55,4.84,5.95
296,2096,,,2.31,3.56,4.89,6.02
297,2097,,,2.31,3.57,4.94,6.09
298,2098,,,2.3,3.58,4.99,6.16
299,2099,,,2.3,3.59,5.05,6.23
300,2100,,,2.3,3.61,5.1,6.3
