French Polynesia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
149,1949,0.6233333333333333,0.55,,,,
150,1950,0.25333333333333335,0.53,,,,
151,1951,0.5333333333333333,0.5,,,,
152,1952,0.7033333333333334,0.48,,,,
153,1953,0.4033333333333333,0.46,,,,
154,1954,0.44333333333333336,0.44,,,,
155,1955,0.10333333333333333,0.42,,,,
156,1956,-0.15666666666666662,0.4,,,,
157,1957,0.37333333333333335,0.39,,,,
158,1958,0.37333333333333335,0.37,,,,
159,1959,0.5733333333333334,0.36,,,,
160,1960,0.33333333333333337,0.36,,,,
161,1961,0.33333333333333337,0.35,,,,
162,1962,0.2633333333333333,0.35,,,,
163,1963,0.37333333333333335,0.35,,,,
164,1964,0.33333333333333337,0.35,,,,
165,1965,0.30333333333333334,0.36,,,,
166,1966,0.5033333333333334,0.37,,,,
167,1967,0.21333333333333335,0.38,,,,
168,1968,0.053333333333333344,0.39,,,,
169,1969,0.8633333333333333,0.39,,,,
170,1970,0.7233333333333334,0.4,,,,
171,1971,0.06333333333333335,0.41,,,,
172,1972,0.6433333333333333,0.42,,,,
173,1973,1.1033333333333335,0.44,,,,
174,1974,0.2733333333333333,0.46,,,,
175,1975,0.41333333333333333,0.48,,,,
176,1976,0.33333333333333337,0.49,,,,
177,1977,0.6233333333333333,0.51,,,,
178,1978,0.5533333333333333,0.53,,,,
179,1979,0.5033333333333334,0.56,,,,
180,1980,0.8633333333333333,0.59,,,,
181,1981,0.5733333333333334,0.63,,,,
182,1982,0.5833333333333334,0.67,,,,
183,1983,0.6733333333333333,0.71,,,,
184,1984,0.7433333333333334,0.75,,,,
185,1985,0.6733333333333333,0.79,,,,
186,1986,0.8433333333333333,0.83,,,,
187,1987,0.9733333333333334,0.87,,,,
188,1988,1.0233333333333334,0.91,,,,
189,1989,0.8033333333333333,0.95,,,,
190,1990,1.1233333333333333,0.98,,,,
191,1991,1.0433333333333334,1.01,,,,
192,1992,1.1333333333333333,1.03,,,,
193,1993,1.0633333333333335,1.05,,,,
194,1994,1.0833333333333335,1.07,,,,
195,1995,1.0933333333333333,1.09,,,,
196,1996,0.9333333333333333,1.11,,,,
197,1997,0.7133333333333334,1.13,,,,
198,1998,1.3333333333333335,1.15,,,,
199,1999,1.2433333333333334,1.18,,,,
200,2000,1.0833333333333335,1.2,,,,
201,2001,1.1033333333333335,1.23,,,,
202,2002,1.5533333333333335,1.26,,,,
203,2003,1.3633333333333333,1.28,,,,
204,2004,1.2733333333333334,1.31,,,,
205,2005,1.3233333333333333,1.33,1.22,1.24,1.23,1.23
206,2006,1.4133333333333333,1.34,1.24,1.26,1.25,1.25
207,2007,1.3633333333333333,1.34,1.27,1.28,1.28,1.27
208,2008,1.1333333333333333,1.34,1.29,1.3,1.3,1.29
209,2009,1.6133333333333333,1.34,1.31,1.32,1.32,1.31
210,2010,1.5633333333333332,1.34,1.33,1.34,1.34,1.34
211,2011,1.0433333333333334,1.35,1.36,1.36,1.36,1.36
212,2012,1.3833333333333333,1.36,1.38,1.38,1.38,1.38
213,2013,1.1633333333333333,1.38,1.4,1.4,1.4,1.4
214,2014,1.3233333333333333,1.39,1.42,1.42,1.42,1.42
215,2015,1.2633333333333332,1.4,1.44,1.43,1.44,1.44
216,2016,1.6733333333333333,1.42,1.46,1.45,1.45,1.45
217,2017,1.5233333333333334,1.43,1.48,1.47,1.47,1.47
218,2018,1.2833333333333332,1.45,1.5,1.48,1.49,1.49
219,2019,1.5033333333333334,1.46,1.52,1.5,1.5,1.51
220,2020,1.5433333333333334,1.48,1.53,1.52,1.52,1.53
221,2021,,,1.55,1.54,1.54,1.55
222,2022,,,1.57,1.56,1.55,1.58
223,2023,,,1.58,1.58,1.58,1.6
224,2024,,,1.6,1.6,1.6,1.61
225,2025,,,1.61,1.62,1.63,1.63
226,2026,,,1.63,1.64,1.65,1.65
227,2027,,,1.64,1.66,1.67,1.67
228,2028,,,1.66,1.68,1.69,1.69
229,2029,,,1.67,1.7,1.72,1.71
230,2030,,,1.69,1.72,1.74,1.74
231,2031,,,1.7,1.74,1.76,1.76
232,2032,,,1.72,1.76,1.78,1.79
233,2033,,,1.73,1.78,1.8,1.81
234,2034,,,1.75,1.8,1.81,1.84
235,2035,,,1.76,1.82,1.83,1.87
236,2036,,,1.77,1.84,1.84,1.9
237,2037,,,1.78,1.86,1.86,1.93
238,2038,,,1.79,1.87,1.88,1.96
239,2039,,,1.8,1.89,1.9,1.99
240,2040,,,1.8,1.91,1.93,2.02
241,2041,,,1.81,1.92,1.95,2.05
242,2042,,,1.81,1.94,1.98,2.08
243,2043,,,1.82,1.96,2.0,2.11
244,2044,,,1.82,1.97,2.03,2.14
245,2045,,,1.83,1.99,2.05,2.17
246,2046,,,1.84,2.01,2.08,2.2
247,2047,,,1.84,2.03,2.1,2.23
248,2048,,,1.85,2.05,2.13,2.27
249,2049,,,1.86,2.07,2.15,2.3
250,2050,,,1.87,2.09,2.18,2.33
251,2051,,,1.87,2.11,2.2,2.36
252,2052,,,1.88,2.13,2.23,2.39
253,2053,,,1.89,2.14,2.25,2.43
254,2054,,,1.89,2.16,2.28,2.46
255,2055,,,1.9,2.18,2.3,2.5
256,2056,,,1.9,2.19,2.33,2.53
257,2057,,,1.91,2.2,2.35,2.57
258,2058,,,1.91,2.22,2.38,2.61
259,2059,,,1.92,2.23,2.4,2.64
260,2060,,,1.92,2.24,2.43,2.68
261,2061,,,1.92,2.25,2.45,2.72
262,2062,,,1.92,2.27,2.47,2.75
263,2063,,,1.92,2.29,2.5,2.78
264,2064,,,1.92,2.3,2.52,2.81
265,2065,,,1.91,2.32,2.54,2.85
266,2066,,,1.91,2.33,2.57,2.88
267,2067,,,1.92,2.35,2.59,2.91
268,2068,,,1.92,2.36,2.62,2.94
269,2069,,,1.92,2.38,2.64,2.98
270,2070,,,1.93,2.39,2.66,3.01
271,2071,,,1.93,2.4,2.69,3.04
272,2072,,,1.93,2.41,2.71,3.08
273,2073,,,1.93,2.41,2.74,3.12
274,2074,,,1.93,2.41,2.76,3.15
275,2075,,,1.93,2.42,2.79,3.19
276,2076,,,1.93,2.43,2.82,3.23
277,2077,,,1.93,2.44,2.85,3.26
278,2078,,,1.93,2.45,2.88,3.3
279,2079,,,1.93,2.46,2.91,3.34
280,2080,,,1.93,2.47,2.95,3.37
281,2081,,,1.93,2.48,2.98,3.41
282,2082,,,1.93,2.49,3.01,3.45
283,2083,,,1.93,2.5,3.04,3.48
284,2084,,,1.93,2.51,3.07,3.51
285,2085,,,1.93,2.53,3.1,3.55
286,2086,,,1.93,2.54,3.12,3.58
287,2087,,,1.93,2.56,3.15,3.62
288,2088,,,1.93,2.57,3.18,3.66
289,2089,,,1.93,2.58,3.2,3.7
290,2090,,,1.92,2.59,3.23,3.74
291,2091,,,1.92,2.59,3.26,3.78
292,2092,,,1.92,2.6,3.29,3.82
293,2093,,,1.91,2.6,3.31,3.85
294,2094,,,1.91,2.61,3.34,3.89
295,2095,,,1.9,2.62,3.36,3.93
296,2096,,,1.9,2.62,3.39,3.96
297,2097,,,1.9,2.63,3.42,4.0
298,2098,,,1.89,2.63,3.44,4.03
299,2099,,,1.89,2.64,3.47,4.07
300,2100,,,1.88,2.64,3.49,4.11
