Mali,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
224,2024,,,1.88,1.86,1.83,1.9
225,2025,,,1.93,1.9,1.87,1.96
226,2026,,,1.97,1.94,1.9,2.01
227,2027,,,2.01,1.98,1.94,2.06
228,2028,,,2.05,2.01,1.99,2.1
229,2029,,,2.08,2.05,2.03,2.15
230,2030,,,2.12,2.08,2.07,2.19
231,2031,,,2.15,2.12,2.12,2.24
232,2032,,,2.18,2.15,2.16,2.29
233,2033,,,2.21,2.19,2.2,2.34
234,2034,,,2.24,2.23,2.25,2.39
235,2035,,,2.26,2.26,2.3,2.44
236,2036,,,2.28,2.29,2.35,2.5
237,2037,,,2.3,2.33,2.4,2.55
238,2038,,,2.31,2.36,2.45,2.61
239,2039,,,2.33,2.39,2.5,2.68
240,2040,,,2.34,2.43,2.55,2.74
241,2041,,,2.36,2.47,2.59,2.81
242,2042,,,2.38,2.51,2.64,2.87
243,2043,,,2.39,2.55,2.69,2.94
244,2044,,,2.41,2.59,2.74,3.01
245,2045,,,2.43,2.63,2.79,3.07
246,2046,,,2.45,2.67,2.84,3.14
247,2047,,,2.46,2.71,2.89,3.2
248,2048,,,2.48,2.76,2.95,3.27
249,2049,,,2.49,2.8,3.0,3.33
250,2050,,,2.51,2.84,3.06,3.39
251,2051,,,2.52,2.88,3.12,3.45
252,2052,,,2.53,2.92,3.17,3.51
253,2053,,,2.54,2.96,3.23,3.58
254,2054,,,2.54,3.0,3.28,3.65
255,2055,,,2.55,3.05,3.34,3.72
256,2056,,,2.56,3.08,3.4,3.8
257,2057,,,2.56,3.12,3.46,3.88
258,2058,,,2.57,3.16,3.51,3.96
259,2059,,,2.57,3.19,3.56,4.03
260,2060,,,2.58,3.22,3.61,4.11
261,2061,,,2.58,3.24,3.67,4.19
262,2062,,,2.59,3.27,3.73,4.27
263,2063,,,2.59,3.29,3.79,4.35
264,2064,,,2.59,3.31,3.84,4.43
265,2065,,,2.59,3.33,3.9,4.51
266,2066,,,2.59,3.35,3.96,4.59
267,2067,,,2.59,3.38,4.01,4.67
268,2068,,,2.59,3.4,4.07,4.75
269,2069,,,2.58,3.43,4.13,4.83
270,2070,,,2.58,3.46,4.2,4.91
271,2071,,,2.58,3.48,4.26,4.99
272,2072,,,2.59,3.51,4.33,5.07
273,2073,,,2.59,3.53,4.38,5.15
274,2074,,,2.59,3.56,4.44,5.24
275,2075,,,2.59,3.58,4.5,5.32
276,2076,,,2.59,3.6,4.56,5.4
277,2077,,,2.59,3.63,4.62,5.49
278,2078,,,2.6,3.65,4.67,5.58
279,2079,,,2.6,3.67,4.73,5.67
280,2080,,,2.6,3.69,4.79,5.76
281,2081,,,2.6,3.71,4.84,5.85
282,2082,,,2.6,3.72,4.9,5.94
283,2083,,,2.6,3.74,4.97,6.03
284,2084,,,2.59,3.76,5.03,6.12
285,2085,,,2.59,3.78,5.1,6.21
286,2086,,,2.58,3.8,5.16,6.29
287,2087,,,2.58,3.82,5.22,6.38
288,2088,,,2.56,3.84,5.29,6.46
289,2089,,,2.55,3.87,5.35,6.55
290,2090,,,2.53,3.89,5.42,6.64
291,2091,,,2.51,3.91,5.49,6.72
292,2092,,,2.5,3.94,5.56,6.81
293,2093,,,2.49,3.96,5.63,6.9
294,2094,,,2.48,3.98,5.7,6.99
295,2095,,,2.47,4.01,5.78,7.08
296,2096,,,2.46,4.03,5.85,7.17
297,2097,,,2.46,4.05,5.93,7.26
298,2098,,,2.45,4.08,6.0,7.35
299,2099,,,2.44,4.1,6.08,7.43
300,2100,,,2.43,4.12,6.16,7.52
