Tajikistan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
125,1925,0.4900000000000001,0.06,,,,
126,1926,0.3500000000000001,0.03,,,,
127,1927,0.2900000000000001,-0.0,,,,
128,1928,-0.20999999999999996,-0.04,,,,
129,1929,-0.6099999999999999,-0.07,,,,
130,1930,-0.52,-0.11,,,,
131,1931,-0.15999999999999992,-0.13,,,,
132,1932,-0.019999999999999907,-0.14,,,,
133,1933,0.19000000000000006,-0.12,,,,
134,1934,-0.95,-0.08,,,,
135,1935,-0.6099999999999999,-0.02,,,,
136,1936,0.13000000000000006,0.05,,,,
137,1937,-0.4099999999999999,0.11,,,,
138,1938,0.2400000000000001,0.17,,,,
139,1939,0.4600000000000001,0.23,,,,
140,1940,1.08,0.29,,,,
141,1941,1.73,0.35,,,,
142,1942,0.7100000000000001,0.39,,,,
143,1943,0.030000000000000027,0.42,,,,
144,1944,0.7000000000000001,0.42,,,,
145,1945,-0.2599999999999999,0.42,,,,
146,1946,0.8600000000000001,0.41,,,,
147,1947,1.1600000000000001,0.39,,,,
148,1948,0.26000000000000006,0.37,,,,
149,1949,-0.5699999999999998,0.37,,,,
150,1950,-0.44999999999999996,0.37,,,,
151,1951,0.3000000000000001,0.38,,,,
152,1952,0.6600000000000001,0.39,,,,
153,1953,0.5900000000000001,0.4,,,,
154,1954,-0.21999999999999997,0.41,,,,
155,1955,0.9400000000000001,0.44,,,,
156,1956,1.19,0.46,,,,
157,1957,-0.5699999999999998,0.49,,,,
158,1958,0.68,0.51,,,,
159,1959,0.6600000000000001,0.52,,,,
160,1960,0.25000000000000006,0.52,,,,
161,1961,0.6300000000000001,0.51,,,,
162,1962,0.4000000000000001,0.5,,,,
163,1963,1.33,0.5,,,,
164,1964,-0.2599999999999999,0.5,,,,
165,1965,0.3600000000000001,0.51,,,,
166,1966,0.8400000000000001,0.53,,,,
167,1967,0.25000000000000006,0.53,,,,
168,1968,0.4900000000000001,0.53,,,,
169,1969,0.08000000000000007,0.54,,,,
170,1970,1.27,0.55,,,,
171,1971,1.62,0.57,,,,
172,1972,-0.43999999999999995,0.62,,,,
173,1973,1.11,0.66,,,,
174,1974,0.15000000000000008,0.71,,,,
175,1975,0.20000000000000007,0.74,,,,
176,1976,0.43000000000000005,0.77,,,,
177,1977,1.2600000000000002,0.79,,,,
178,1978,0.9400000000000001,0.81,,,,
179,1979,1.1500000000000001,0.82,,,,
180,1980,1.46,0.84,,,,
181,1981,1.02,0.87,,,,
182,1982,0.3800000000000001,0.88,,,,
183,1983,1.04,0.89,,,,
184,1984,0.4800000000000001,0.87,,,,
185,1985,1.08,0.84,,,,
186,1986,0.6100000000000001,0.8,,,,
187,1987,0.8300000000000001,0.77,,,,
188,1988,1.46,0.75,,,,
189,1989,0.06000000000000005,0.74,,,,
190,1990,1.3800000000000001,0.74,,,,
191,1991,0.45000000000000007,0.77,,,,
192,1992,0.3600000000000001,0.81,,,,
193,1993,0.3000000000000001,0.86,,,,
194,1994,0.8600000000000001,0.92,,,,
195,1995,0.8900000000000001,0.99,,,,
196,1996,0.3500000000000001,1.08,,,,
197,1997,1.46,1.17,,,,
198,1998,1.42,1.27,,,,
199,1999,1.52,1.37,,,,
200,2000,1.6800000000000002,1.47,,,,
201,2001,2.13,1.55,,,,
202,2002,1.76,1.62,,,,
203,2003,1.27,1.67,,,,
204,2004,2.1900000000000004,1.7,,,,
205,2005,1.4900000000000002,1.71,1.38,1.36,1.39,1.36
206,2006,2.0700000000000003,1.7,1.41,1.4,1.42,1.4
207,2007,1.9200000000000002,1.69,1.45,1.44,1.46,1.44
208,2008,1.59,1.67,1.49,1.48,1.49,1.48
209,2009,1.4000000000000001,1.66,1.52,1.52,1.53,1.52
210,2010,1.87,1.66,1.56,1.55,1.56,1.56
211,2011,1.61,1.67,1.6,1.59,1.6,1.6
212,2012,0.7200000000000001,1.67,1.63,1.63,1.64,1.64
213,2013,1.82,1.66,1.67,1.67,1.67,1.68
214,2014,1.01,1.66,1.71,1.71,1.71,1.72
215,2015,1.84,1.65,1.75,1.75,1.75,1.76
216,2016,2.45,1.65,1.8,1.8,1.79,1.81
217,2017,1.6700000000000002,1.64,1.84,1.85,1.84,1.85
218,2018,1.9500000000000002,1.64,1.89,1.9,1.88,1.9
219,2019,1.6500000000000001,1.64,1.93,1.95,1.92,1.94
220,2020,1.2000000000000002,1.64,1.98,2.0,1.97,1.99
221,2021,,,2.02,2.05,2.01,2.04
222,2022,,,2.07,2.1,2.06,2.09
223,2023,,,2.11,2.15,2.11,2.14
224,2024,,,2.16,2.19,2.16,2.19
225,2025,,,2.2,2.24,2.21,2.24
226,2026,,,2.25,2.28,2.26,2.3
227,2027,,,2.29,2.32,2.31,2.36
228,2028,,,2.33,2.35,2.36,2.42
229,2029,,,2.36,2.37,2.41,2.47
230,2030,,,2.4,2.4,2.45,2.53
231,2031,,,2.43,2.43,2.5,2.59
232,2032,,,2.46,2.45,2.54,2.64
233,2033,,,2.49,2.49,2.58,2.7
234,2034,,,2.52,2.52,2.62,2.75
235,2035,,,2.54,2.56,2.66,2.81
236,2036,,,2.56,2.59,2.71,2.86
237,2037,,,2.58,2.63,2.75,2.92
238,2038,,,2.6,2.67,2.8,2.98
239,2039,,,2.62,2.71,2.85,3.05
240,2040,,,2.64,2.76,2.9,3.11
241,2041,,,2.67,2.8,2.95,3.18
242,2042,,,2.69,2.84,3.0,3.25
243,2043,,,2.72,2.89,3.06,3.32
244,2044,,,2.74,2.93,3.12,3.4
245,2045,,,2.77,2.98,3.17,3.49
246,2046,,,2.79,3.02,3.22,3.57
247,2047,,,2.81,3.07,3.28,3.66
248,2048,,,2.83,3.12,3.33,3.73
249,2049,,,2.85,3.16,3.38,3.81
250,2050,,,2.87,3.21,3.44,3.88
251,2051,,,2.89,3.25,3.49,3.96
252,2052,,,2.9,3.29,3.54,4.03
253,2053,,,2.92,3.33,3.6,4.11
254,2054,,,2.93,3.37,3.65,4.19
255,2055,,,2.94,3.4,3.71,4.26
256,2056,,,2.96,3.43,3.78,4.33
257,2057,,,2.97,3.46,3.84,4.41
258,2058,,,2.98,3.49,3.9,4.49
259,2059,,,2.98,3.52,3.95,4.57
260,2060,,,2.99,3.56,4.01,4.65
261,2061,,,2.99,3.59,4.06,4.73
262,2062,,,2.98,3.63,4.12,4.82
263,2063,,,2.98,3.66,4.18,4.9
264,2064,,,2.97,3.7,4.24,4.99
265,2065,,,2.97,3.73,4.31,5.07
266,2066,,,2.96,3.76,4.37,5.15
267,2067,,,2.96,3.79,4.43,5.24
268,2068,,,2.96,3.83,4.5,5.32
269,2069,,,2.96,3.86,4.57,5.41
270,2070,,,2.96,3.88,4.64,5.49
271,2071,,,2.96,3.9,4.71,5.58
272,2072,,,2.97,3.92,4.78,5.66
273,2073,,,2.97,3.93,4.84,5.75
274,2074,,,2.98,3.95,4.91,5.84
275,2075,,,2.98,3.96,4.97,5.93
276,2076,,,2.99,3.98,5.03,6.01
277,2077,,,2.99,4.0,5.09,6.11
278,2078,,,2.99,4.02,5.15,6.2
279,2079,,,2.99,4.04,5.21,6.29
280,2080,,,2.99,4.06,5.28,6.38
281,2081,,,2.99,4.08,5.35,6.48
282,2082,,,2.99,4.1,5.42,6.58
283,2083,,,2.99,4.12,5.49,6.68
284,2084,,,2.98,4.14,5.56,6.77
285,2085,,,2.98,4.16,5.63,6.87
286,2086,,,2.96,4.18,5.7,6.97
287,2087,,,2.95,4.2,5.77,7.07
288,2088,,,2.94,4.22,5.84,7.17
289,2089,,,2.93,4.24,5.9,7.27
290,2090,,,2.92,4.26,5.97,7.37
291,2091,,,2.9,4.28,6.02,7.47
292,2092,,,2.89,4.3,6.09,7.57
293,2093,,,2.89,4.31,6.15,7.67
294,2094,,,2.88,4.33,6.22,7.78
295,2095,,,2.87,4.36,6.29,7.88
296,2096,,,2.86,4.38,6.36,7.99
297,2097,,,2.85,4.4,6.43,8.09
298,2098,,,2.84,4.42,6.5,8.19
299,2099,,,2.83,4.44,6.57,8.3
300,2100,,,2.83,4.46,6.64,8.4
