Lebanon,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
106,1906,-0.18645161290322582,-0.3,,,,
107,1907,-0.7164516129032259,-0.34,,,,
108,1908,-0.5664516129032258,-0.37,,,,
109,1909,0.4935483870967742,-0.37,,,,
110,1910,-0.4464516129032258,-0.36,,,,
111,1911,-1.026451612903226,-0.33,,,,
112,1912,-0.20645161290322583,-0.29,,,,
113,1913,-0.7664516129032259,-0.26,,,,
114,1914,-0.5564516129032258,-0.23,,,,
115,1915,0.22354838709677421,-0.2,,,,
116,1916,0.4135483870967742,-0.16,,,,
117,1917,0.2535483870967742,-0.11,,,,
118,1918,-0.22645161290322585,-0.06,,,,
119,1919,0.1535483870967742,-0.01,,,,
120,1920,-0.6764516129032259,0.05,,,,
121,1921,-0.5964516129032258,0.09,,,,
122,1922,0.3135483870967742,0.12,,,,
123,1923,0.43354838709677423,0.15,,,,
124,1924,0.1835483870967742,0.18,,,,
125,1925,0.1335483870967742,0.21,,,,
126,1926,0.2135483870967742,0.24,,,,
127,1927,0.4535483870967742,0.27,,,,
128,1928,0.6035483870967742,0.3,,,,
129,1929,0.1335483870967742,0.32,,,,
130,1930,0.6535483870967742,0.34,,,,
131,1931,0.3135483870967742,0.36,,,,
132,1932,0.1635483870967742,0.37,,,,
133,1933,-0.3964516129032258,0.39,,,,
134,1934,0.3135483870967742,0.39,,,,
135,1935,0.7735483870967742,0.4,,,,
136,1936,0.5235483870967742,0.39,,,,
137,1937,0.8035483870967741,0.39,,,,
138,1938,-0.036451612903225794,0.38,,,,
139,1939,0.5635483870967742,0.37,,,,
140,1940,0.43354838709677423,0.36,,,,
141,1941,0.7235483870967743,0.33,,,,
142,1942,0.2935483870967742,0.3,,,,
143,1943,-0.05645161290322581,0.27,,,,
144,1944,0.1635483870967742,0.25,,,,
145,1945,-0.1564516129032258,0.23,,,,
146,1946,0.43354838709677423,0.23,,,,
147,1947,1.1735483870967742,0.23,,,,
148,1948,-0.3164516129032258,0.24,,,,
149,1949,-0.5664516129032258,0.25,,,,
150,1950,0.1535483870967742,0.27,,,,
151,1951,0.6335483870967742,0.3,,,,
152,1952,0.7435483870967742,0.32,,,,
153,1953,-0.34645161290322585,0.35,,,,
154,1954,0.5335483870967742,0.38,,,,
155,1955,1.1235483870967742,0.42,,,,
156,1956,0.1535483870967742,0.45,,,,
157,1957,0.3235483870967742,0.47,,,,
158,1958,0.7435483870967742,0.49,,,,
159,1959,-0.2764516129032258,0.49,,,,
160,1960,1.2335483870967743,0.48,,,,
161,1961,0.1835483870967742,0.48,,,,
162,1962,1.2035483870967743,0.47,,,,
163,1963,0.9135483870967742,0.46,,,,
164,1964,-0.2864516129032258,0.44,,,,
165,1965,0.2735483870967742,0.42,,,,
166,1966,1.023548387096774,0.39,,,,
167,1967,-0.6364516129032258,0.34,,,,
168,1968,0.2935483870967742,0.29,,,,
169,1969,0.5135483870967742,0.24,,,,
170,1970,0.4935483870967742,0.2,,,,
171,1971,-0.036451612903225794,0.17,,,,
172,1972,-0.38645161290322577,0.16,,,,
173,1973,0.07354838709677419,0.15,,,,
174,1974,0.06354838709677418,0.15,,,,
175,1975,-0.026451612903225785,0.14,,,,
176,1976,-0.21645161290322584,0.13,,,,
177,1977,0.2335483870967742,0.12,,,,
178,1978,0.4935483870967742,0.13,,,,
179,1979,0.8535483870967742,0.14,,,,
180,1980,0.1535483870967742,0.16,,,,
181,1981,0.4635483870967742,0.18,,,,
182,1982,-0.4164516129032258,0.19,,,,
183,1983,-0.4464516129032258,0.21,,,,
184,1984,-0.006451612903225823,0.22,,,,
185,1985,0.5035483870967742,0.22,,,,
186,1986,0.3635483870967742,0.23,,,,
187,1987,0.1635483870967742,0.25,,,,
188,1988,0.2135483870967742,0.28,,,,
189,1989,0.3535483870967742,0.32,,,,
190,1990,0.43354838709677423,0.37,,,,
191,1991,0.3535483870967742,0.42,,,,
192,1992,-0.8164516129032258,0.48,,,,
193,1993,0.2035483870967742,0.53,,,,
194,1994,0.9535483870967743,0.59,,,,
195,1995,0.4035483870967742,0.64,,,,
196,1996,0.8535483870967742,0.69,,,,
197,1997,0.013548387096774195,0.74,,,,
198,1998,1.3235483870967741,0.77,,,,
199,1999,1.2535483870967743,0.81,,,,
200,2000,0.6435483870967742,0.83,,,,
201,2001,1.3535483870967742,0.86,,,,
202,2002,0.9535483870967743,0.89,,,,
203,2003,0.8335483870967741,0.91,,,,
204,2004,0.7135483870967743,0.93,,,,
205,2005,0.7035483870967743,0.94,1.04,1.02,1.07,1.04
206,2006,0.6335483870967742,0.96,1.08,1.06,1.11,1.07
207,2007,1.0535483870967741,0.98,1.12,1.1,1.14,1.11
208,2008,1.2535483870967743,1.02,1.16,1.14,1.18,1.15
209,2009,1.1535483870967742,1.07,1.19,1.18,1.21,1.19
210,2010,2.623548387096774,1.12,1.23,1.22,1.25,1.22
211,2011,0.5335483870967742,1.19,1.27,1.26,1.28,1.26
212,2012,1.3235483870967741,1.26,1.31,1.3,1.31,1.3
213,2013,1.2035483870967743,1.33,1.34,1.34,1.35,1.34
214,2014,1.513548387096774,1.4,1.38,1.38,1.38,1.38
215,2015,1.3235483870967741,1.47,1.41,1.42,1.41,1.41
216,2016,1.733548387096774,1.54,1.45,1.46,1.43,1.45
217,2017,1.4435483870967742,1.62,1.49,1.5,1.46,1.49
218,2018,2.1835483870967742,1.69,1.53,1.55,1.5,1.54
219,2019,1.523548387096774,1.76,1.57,1.59,1.53,1.59
220,2020,1.8535483870967742,1.83,1.62,1.64,1.57,1.63
221,2021,,,1.66,1.68,1.6,1.68
222,2022,,,1.71,1.71,1.64,1.72
223,2023,,,1.74,1.74,1.67,1.77
224,2024,,,1.78,1.78,1.71,1.81
225,2025,,,1.82,1.81,1.75,1.85
226,2026,,,1.85,1.84,1.79,1.9
227,2027,,,1.89,1.86,1.83,1.94
228,2028,,,1.91,1.89,1.87,1.98
229,2029,,,1.94,1.91,1.91,2.02
230,2030,,,1.96,1.93,1.95,2.06
231,2031,,,1.98,1.96,1.99,2.09
232,2032,,,2.0,1.98,2.03,2.13
233,2033,,,2.02,2.01,2.07,2.17
234,2034,,,2.04,2.04,2.1,2.21
235,2035,,,2.05,2.08,2.14,2.25
236,2036,,,2.07,2.1,2.17,2.29
237,2037,,,2.09,2.13,2.21,2.34
238,2038,,,2.11,2.16,2.24,2.38
239,2039,,,2.13,2.19,2.27,2.43
240,2040,,,2.15,2.22,2.31,2.48
241,2041,,,2.18,2.26,2.34,2.54
242,2042,,,2.2,2.29,2.38,2.59
243,2043,,,2.22,2.32,2.42,2.65
244,2044,,,2.24,2.36,2.47,2.71
245,2045,,,2.27,2.39,2.52,2.77
246,2046,,,2.29,2.42,2.57,2.82
247,2047,,,2.31,2.46,2.62,2.88
248,2048,,,2.32,2.5,2.67,2.94
249,2049,,,2.34,2.53,2.72,3.0
250,2050,,,2.35,2.57,2.77,3.05
251,2051,,,2.36,2.6,2.82,3.11
252,2052,,,2.36,2.63,2.87,3.16
253,2053,,,2.37,2.65,2.9,3.22
254,2054,,,2.37,2.67,2.94,3.28
255,2055,,,2.38,2.7,2.97,3.33
256,2056,,,2.38,2.72,3.01,3.39
257,2057,,,2.39,2.74,3.05,3.45
258,2058,,,2.39,2.76,3.09,3.5
259,2059,,,2.4,2.77,3.13,3.56
260,2060,,,2.4,2.79,3.17,3.62
261,2061,,,2.4,2.81,3.21,3.68
262,2062,,,2.4,2.83,3.25,3.74
263,2063,,,2.4,2.85,3.29,3.8
264,2064,,,2.4,2.88,3.34,3.87
265,2065,,,2.4,2.9,3.39,3.93
266,2066,,,2.4,2.93,3.44,3.99
267,2067,,,2.4,2.95,3.48,4.06
268,2068,,,2.4,2.97,3.53,4.12
269,2069,,,2.4,3.0,3.58,4.18
270,2070,,,2.4,3.02,3.62,4.24
271,2071,,,2.4,3.04,3.67,4.3
272,2072,,,2.4,3.06,3.71,4.36
273,2073,,,2.4,3.08,3.75,4.42
274,2074,,,2.4,3.1,3.79,4.48
275,2075,,,2.4,3.11,3.84,4.54
276,2076,,,2.4,3.13,3.88,4.6
277,2077,,,2.39,3.15,3.93,4.67
278,2078,,,2.39,3.17,3.98,4.73
279,2079,,,2.39,3.19,4.03,4.81
280,2080,,,2.39,3.21,4.08,4.88
281,2081,,,2.39,3.22,4.13,4.96
282,2082,,,2.39,3.24,4.18,5.03
283,2083,,,2.39,3.26,4.23,5.11
284,2084,,,2.38,3.27,4.29,5.19
285,2085,,,2.38,3.29,4.34,5.26
286,2086,,,2.37,3.31,4.4,5.34
287,2087,,,2.36,3.32,4.45,5.41
288,2088,,,2.36,3.34,4.51,5.48
289,2089,,,2.35,3.36,4.56,5.56
290,2090,,,2.34,3.37,4.61,5.64
291,2091,,,2.33,3.39,4.66,5.71
292,2092,,,2.32,3.4,4.71,5.79
293,2093,,,2.31,3.41,4.76,5.87
294,2094,,,2.3,3.42,4.82,5.95
295,2095,,,2.3,3.43,4.87,6.04
296,2096,,,2.29,3.44,4.92,6.12
297,2097,,,2.29,3.45,4.97,6.2
298,2098,,,2.28,3.46,5.03,6.29
299,2099,,,2.28,3.47,5.08,6.37
300,2100,,,2.28,3.48,5.13,6.45
