Madagascar,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
143,1943,0.12923076923076926,0.52,,,,
144,1944,0.47923076923076924,0.51,,,,
145,1945,0.42923076923076925,0.5,,,,
146,1946,0.5192307692307693,0.49,,,,
147,1947,0.4492307692307692,0.48,,,,
148,1948,0.6592307692307693,0.49,,,,
149,1949,0.6792307692307693,0.51,,,,
150,1950,0.18923076923076926,0.52,,,,
151,1951,0.41923076923076924,0.52,,,,
152,1952,0.5692307692307692,0.53,,,,
153,1953,0.5792307692307692,0.53,,,,
154,1954,0.7292307692307692,0.53,,,,
155,1955,0.4592307692307692,0.53,,,,
156,1956,0.38923076923076927,0.54,,,,
157,1957,0.5792307692307692,0.54,,,,
158,1958,0.6692307692307693,0.52,,,,
159,1959,0.5192307692307693,0.5,,,,
160,1960,0.42923076923076925,0.48,,,,
161,1961,1.1592307692307693,0.47,,,,
162,1962,0.5592307692307692,0.47,,,,
163,1963,0.28923076923076924,0.47,,,,
164,1964,0.23923076923076925,0.48,,,,
165,1965,0.08923076923076922,0.49,,,,
166,1966,0.6892307692307693,0.5,,,,
167,1967,0.9592307692307693,0.51,,,,
168,1968,0.2692307692307693,0.53,,,,
169,1969,1.1092307692307692,0.54,,,,
170,1970,0.7592307692307693,0.56,,,,
171,1971,0.34923076923076923,0.58,,,,
172,1972,0.6192307692307693,0.59,,,,
173,1973,0.6192307692307693,0.62,,,,
174,1974,0.31923076923076926,0.66,,,,
175,1975,0.37923076923076926,0.7,,,,
176,1976,0.6692307692307693,0.73,,,,
177,1977,1.0992307692307692,0.77,,,,
178,1978,1.189230769230769,0.81,,,,
179,1979,0.9292307692307693,0.85,,,,
180,1980,0.9192307692307693,0.87,,,,
181,1981,0.8292307692307692,0.89,,,,
182,1982,0.8792307692307693,0.9,,,,
183,1983,1.1492307692307693,0.91,,,,
184,1984,0.5892307692307692,0.91,,,,
185,1985,0.7792307692307693,0.92,,,,
186,1986,0.6692307692307693,0.93,,,,
187,1987,1.3192307692307692,0.94,,,,
188,1988,1.209230769230769,0.96,,,,
189,1989,0.8492307692307692,0.99,,,,
190,1990,0.8992307692307693,1.02,,,,
191,1991,1.1292307692307693,1.06,,,,
192,1992,1.0692307692307692,1.09,,,,
193,1993,1.0892307692307692,1.13,,,,
194,1994,1.1192307692307693,1.16,,,,
195,1995,1.2392307692307694,1.19,,,,
196,1996,1.1192307692307693,1.23,,,,
197,1997,1.3892307692307693,1.27,,,,
198,1998,1.5792307692307692,1.3,,,,
199,1999,1.2192307692307693,1.34,,,,
200,2000,1.1992307692307693,1.37,,,,
201,2001,1.439230769230769,1.4,,,,
202,2002,1.4692307692307693,1.42,,,,
203,2003,1.5292307692307694,1.44,,,,
204,2004,1.3592307692307692,1.46,,,,
205,2005,1.5092307692307694,1.48,1.33,1.33,1.34,1.33
206,2006,1.6792307692307693,1.5,1.36,1.36,1.37,1.36
207,2007,1.5792307692307692,1.51,1.39,1.39,1.4,1.39
208,2008,1.2292307692307691,1.5,1.42,1.42,1.43,1.42
209,2009,1.5492307692307694,1.49,1.45,1.45,1.46,1.45
210,2010,1.7392307692307694,1.48,1.48,1.48,1.49,1.48
211,2011,1.5892307692307692,1.48,1.51,1.51,1.51,1.5
212,2012,1.2992307692307694,1.48,1.53,1.54,1.54,1.53
213,2013,1.209230769230769,1.51,1.56,1.57,1.57,1.56
214,2014,1.3492307692307692,1.54,1.59,1.6,1.6,1.59
215,2015,1.5492307692307694,1.56,1.62,1.62,1.62,1.62
216,2016,1.4792307692307691,1.59,1.65,1.65,1.64,1.65
217,2017,1.7692307692307692,1.62,1.68,1.68,1.67,1.68
218,2018,1.5492307692307694,1.65,1.71,1.7,1.69,1.71
219,2019,2.019230769230769,1.68,1.74,1.73,1.71,1.74
220,2020,1.6892307692307693,1.72,1.77,1.76,1.73,1.77
221,2021,,,1.8,1.79,1.76,1.8
222,2022,,,1.83,1.82,1.79,1.84
223,2023,,,1.86,1.84,1.82,1.87
224,2024,,,1.89,1.87,1.85,1.9
225,2025,,,1.92,1.9,1.88,1.93
226,2026,,,1.94,1.93,1.9,1.96
227,2027,,,1.97,1.96,1.93,1.99
228,2028,,,1.99,1.99,1.95,2.02
229,2029,,,2.01,2.02,1.98,2.06
230,2030,,,2.03,2.05,2.01,2.09
231,2031,,,2.05,2.08,2.04,2.12
232,2032,,,2.07,2.11,2.07,2.16
233,2033,,,2.09,2.14,2.1,2.2
234,2034,,,2.11,2.16,2.13,2.24
235,2035,,,2.13,2.19,2.16,2.28
236,2036,,,2.15,2.21,2.2,2.33
237,2037,,,2.17,2.24,2.24,2.37
238,2038,,,2.19,2.26,2.28,2.42
239,2039,,,2.21,2.29,2.32,2.46
240,2040,,,2.23,2.31,2.36,2.51
241,2041,,,2.24,2.34,2.4,2.55
242,2042,,,2.26,2.37,2.44,2.6
243,2043,,,2.27,2.39,2.48,2.64
244,2044,,,2.28,2.42,2.51,2.69
245,2045,,,2.29,2.45,2.55,2.73
246,2046,,,2.3,2.47,2.58,2.77
247,2047,,,2.31,2.5,2.62,2.82
248,2048,,,2.32,2.53,2.66,2.86
249,2049,,,2.32,2.56,2.69,2.9
250,2050,,,2.33,2.59,2.72,2.95
251,2051,,,2.33,2.62,2.76,2.99
252,2052,,,2.34,2.65,2.79,3.04
253,2053,,,2.34,2.68,2.82,3.09
254,2054,,,2.35,2.7,2.86,3.14
255,2055,,,2.35,2.73,2.9,3.2
256,2056,,,2.36,2.75,2.94,3.25
257,2057,,,2.36,2.77,2.98,3.31
258,2058,,,2.37,2.8,3.01,3.36
259,2059,,,2.37,2.82,3.05,3.42
260,2060,,,2.38,2.83,3.09,3.47
261,2061,,,2.39,2.85,3.13,3.53
262,2062,,,2.4,2.87,3.17,3.58
263,2063,,,2.4,2.89,3.22,3.64
264,2064,,,2.41,2.9,3.26,3.69
265,2065,,,2.41,2.92,3.3,3.75
266,2066,,,2.42,2.94,3.34,3.8
267,2067,,,2.42,2.96,3.38,3.85
268,2068,,,2.42,2.98,3.41,3.91
269,2069,,,2.42,3.0,3.46,3.96
270,2070,,,2.42,3.02,3.5,4.02
271,2071,,,2.42,3.03,3.54,4.07
272,2072,,,2.42,3.05,3.59,4.13
273,2073,,,2.42,3.07,3.63,4.18
274,2074,,,2.42,3.09,3.67,4.24
275,2075,,,2.42,3.1,3.71,4.3
276,2076,,,2.42,3.12,3.75,4.36
277,2077,,,2.42,3.14,3.79,4.42
278,2078,,,2.42,3.15,3.84,4.48
279,2079,,,2.42,3.17,3.88,4.54
280,2080,,,2.42,3.18,3.92,4.61
281,2081,,,2.43,3.2,3.96,4.67
282,2082,,,2.43,3.21,4.01,4.74
283,2083,,,2.42,3.22,4.06,4.8
284,2084,,,2.42,3.24,4.1,4.87
285,2085,,,2.42,3.26,4.15,4.93
286,2086,,,2.41,3.27,4.19,4.99
287,2087,,,2.41,3.29,4.24,5.05
288,2088,,,2.4,3.3,4.28,5.11
289,2089,,,2.4,3.31,4.32,5.16
290,2090,,,2.39,3.33,4.37,5.22
291,2091,,,2.38,3.34,4.41,5.28
292,2092,,,2.38,3.35,4.45,5.35
293,2093,,,2.37,3.36,4.49,5.41
294,2094,,,2.37,3.37,4.54,5.47
295,2095,,,2.36,3.38,4.58,5.53
296,2096,,,2.35,3.39,4.62,5.59
297,2097,,,2.35,3.4,4.67,5.65
298,2098,,,2.34,3.4,4.71,5.71
299,2099,,,2.34,3.41,4.75,5.77
300,2100,,,2.33,3.42,4.8,5.83
