Brunei,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,-0.1449999999999999,-0.16,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,-0.345,-0.29,,,,
51,1851,-0.15499999999999992,-0.28,,,,
52,1852,-0.2549999999999999,-0.27,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,-0.18499999999999994,-0.23,,,,
56,1856,-0.2849999999999999,-0.21,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,-0.17499999999999993,-0.15,,,,
61,1861,-0.32499999999999996,-0.14,,,,
62,1862,,,,,,
63,1863,-0.10499999999999998,-0.08,,,,
64,1864,-0.22499999999999998,-0.05,,,,
65,1865,,,,,,
66,1866,0.10500000000000004,0.01,,,,
67,1867,0.22500000000000003,0.03,,,,
68,1868,0.36500000000000005,0.07,,,,
69,1869,0.3350000000000001,0.08,,,,
70,1870,0.025000000000000022,0.09,,,,
71,1871,-0.15499999999999992,0.1,,,,
72,1872,0.04500000000000004,0.08,,,,
73,1873,0.07500000000000007,0.06,,,,
74,1874,0.22500000000000003,0.04,,,,
75,1875,-0.12499999999999989,0.03,,,,
76,1876,-0.09499999999999997,0.02,,,,
77,1877,0.43500000000000005,0.01,,,,
78,1878,0.7050000000000001,-0.0,,,,
79,1879,0.0050000000000000044,-0.01,,,,
80,1880,-0.11499999999999999,-0.03,,,,
81,1881,-0.19499999999999995,-0.05,,,,
82,1882,0.16500000000000004,-0.07,,,,
83,1883,0.03500000000000003,-0.1,,,,
84,1884,-0.44499999999999995,-0.11,,,,
85,1885,0.03500000000000003,-0.12,,,,
86,1886,-0.355,-0.13,,,,
87,1887,-0.6049999999999999,-0.15,,,,
88,1888,0.20500000000000007,-0.17,,,,
89,1889,0.855,-0.19,,,,
90,1890,-0.20499999999999996,-0.2,,,,
91,1891,0.32500000000000007,-0.18,,,,
92,1892,-0.4049999999999999,-0.17,,,,
93,1893,-0.42499999999999993,-0.14,,,,
94,1894,-0.2849999999999999,-0.11,,,,
95,1895,-0.18499999999999994,-0.08,,,,
96,1896,0.21500000000000008,-0.04,,,,
97,1897,0.42500000000000004,0.01,,,,
98,1898,0.05500000000000005,0.06,,,,
99,1899,-0.12499999999999989,0.11,,,,
100,1900,0.5050000000000001,0.14,,,,
101,1901,0.22500000000000003,0.16,,,,
102,1902,0.16500000000000004,0.16,,,,
103,1903,0.25500000000000006,0.14,,,,
104,1904,-0.22499999999999998,0.13,,,,
105,1905,0.525,0.11,,,,
106,1906,0.25500000000000006,0.1,,,,
107,1907,-0.06499999999999995,0.08,,,,
108,1908,-0.235,0.07,,,,
109,1909,-0.004999999999999893,0.07,,,,
110,1910,0.025000000000000022,0.06,,,,
111,1911,0.17500000000000004,0.06,,,,
112,1912,0.21500000000000008,0.04,,,,
113,1913,-0.12499999999999989,0.03,,,,
114,1914,0.32500000000000007,0.03,,,,
115,1915,0.23500000000000004,0.03,,,,
116,1916,-0.43499999999999994,0.02,,,,
117,1917,-0.2749999999999999,0.01,,,,
118,1918,-0.21499999999999997,-0.01,,,,
119,1919,0.30500000000000005,-0.02,,,,
120,1920,0.07500000000000007,-0.03,,,,
121,1921,-0.05499999999999994,-0.02,,,,
122,1922,-0.04499999999999993,0.01,,,,
123,1923,-0.08499999999999996,0.04,,,,
124,1924,0.0050000000000000044,0.08,,,,
125,1925,-0.20499999999999996,0.11,,,,
126,1926,0.3550000000000001,0.15,,,,
127,1927,0.3350000000000001,0.18,,,,
128,1928,0.18500000000000005,0.22,,,,
129,1929,0.26500000000000007,0.24,,,,
130,1930,0.3350000000000001,0.25,,,,
131,1931,0.5750000000000001,0.26,,,,
132,1932,0.25500000000000006,0.26,,,,
133,1933,0.26500000000000007,0.25,,,,
