Peru,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
128,1928,0.4987096774193549,0.3,,,,
129,1929,-0.06129032258064504,0.31,,,,
130,1930,0.34870967741935494,0.32,,,,
131,1931,0.4687096774193549,0.33,,,,
132,1932,0.42870967741935495,0.34,,,,
133,1933,0.1187096774193549,0.36,,,,
134,1934,0.07870967741935486,0.38,,,,
135,1935,0.2487096774193549,0.41,,,,
136,1936,0.4687096774193549,0.44,,,,
137,1937,0.4987096774193549,0.47,,,,
138,1938,0.2387096774193549,0.5,,,,
139,1939,0.818709677419355,0.52,,,,
140,1940,0.8887096774193549,0.54,,,,
141,1941,1.098709677419355,0.56,,,,
142,1942,0.558709677419355,0.58,,,,
143,1943,0.5887096774193549,0.59,,,,
144,1944,0.6287096774193549,0.59,,,,
145,1945,0.5887096774193549,0.58,,,,
146,1946,0.568709677419355,0.57,,,,
147,1947,0.5087096774193549,0.55,,,,
148,1948,0.568709677419355,0.53,,,,
149,1949,0.41870967741935494,0.51,,,,
150,1950,0.1287096774193549,0.51,,,,
151,1951,0.5987096774193549,0.51,,,,
152,1952,0.558709677419355,0.52,,,,
153,1953,0.7787096774193549,0.53,,,,
154,1954,0.3287096774193549,0.54,,,,
155,1955,0.2387096774193549,0.55,,,,
156,1956,0.06870967741935496,0.56,,,,
157,1957,0.8887096774193549,0.57,,,,
158,1958,0.9887096774193549,0.58,,,,
159,1959,0.798709677419355,0.59,,,,
160,1960,0.5087096774193549,0.6,,,,
161,1961,0.6287096774193549,0.61,,,,
162,1962,0.4787096774193549,0.62,,,,
163,1963,0.6687096774193549,0.63,,,,
164,1964,0.4787096774193549,0.63,,,,
165,1965,0.7687096774193549,0.62,,,,
166,1966,0.7287096774193549,0.62,,,,
167,1967,0.4787096774193549,0.63,,,,
168,1968,0.4487096774193549,0.63,,,,
169,1969,1.098709677419355,0.63,,,,
170,1970,0.6287096774193549,0.63,,,,
171,1971,0.27870967741935493,0.64,,,,
172,1972,0.9887096774193549,0.65,,,,
173,1973,0.808709677419355,0.67,,,,
174,1974,0.4687096774193549,0.68,,,,
175,1975,0.3787096774193549,0.7,,,,
176,1976,0.578709677419355,0.72,,,,
177,1977,0.8787096774193549,0.74,,,,
178,1978,0.7387096774193549,0.75,,,,
179,1979,0.9087096774193549,0.77,,,,
180,1980,1.008709677419355,0.78,,,,
181,1981,0.7087096774193549,0.8,,,,
182,1982,0.9787096774193549,0.81,,,,
183,1983,1.918709677419355,0.83,,,,
184,1984,0.7887096774193549,0.85,,,,
185,1985,0.6187096774193549,0.87,,,,
186,1986,0.688709677419355,0.89,,,,
187,1987,1.4287096774193548,0.91,,,,
188,1988,0.9087096774193549,0.93,,,,
189,1989,0.6287096774193549,0.96,,,,
190,1990,0.8887096774193549,1.0,,,,
191,1991,1.108709677419355,1.03,,,,
192,1992,1.4787096774193549,1.06,,,,
193,1993,1.128709677419355,1.08,,,,
194,1994,1.1587096774193548,1.09,,,,
195,1995,1.358709677419355,1.09,,,,
196,1996,0.7687096774193549,1.1,,,,
197,1997,1.558709677419355,1.1,,,,
198,1998,1.778709677419355,1.1,,,,
199,1999,0.6587096774193549,1.1,,,,
200,2000,0.8787096774193549,1.09,,,,
201,2001,0.8687096774193549,1.08,,,,
202,2002,1.2187096774193549,1.07,,,,
203,2003,1.2087096774193549,1.06,,,,
204,2004,1.098709677419355,1.07,,,,
205,2005,1.078709677419355,1.08,1.06,1.06,1.07,1.04
206,2006,1.168709677419355,1.1,1.1,1.1,1.11,1.08
207,2007,0.808709677419355,1.12,1.13,1.13,1.14,1.11
208,2008,0.9187096774193549,1.15,1.17,1.17,1.17,1.15
209,2009,1.238709677419355,1.18,1.2,1.2,1.21,1.19
210,2010,1.358709677419355,1.21,1.24,1.24,1.24,1.23
211,2011,1.098709677419355,1.25,1.27,1.27,1.28,1.27
212,2012,1.288709677419355,1.29,1.31,1.31,1.32,1.31
213,2013,1.128709677419355,1.33,1.34,1.34,1.35,1.34
214,2014,1.308709677419355,1.37,1.38,1.38,1.38,1.38
215,2015,1.758709677419355,1.41,1.41,1.41,1.42,1.42
216,2016,1.858709677419355,1.46,1.45,1.45,1.45,1.46
217,2017,1.4487096774193549,1.51,1.49,1.49,1.48,1.5
218,2018,1.1587096774193548,1.55,1.53,1.52,1.51,1.55
219,2019,1.418709677419355,1.6,1.57,1.56,1.54,1.59
220,2020,1.8887096774193548,1.64,1.61,1.6,1.57,1.63
221,2021,,,1.65,1.64,1.61,1.67
222,2022,,,1.68,1.68,1.65,1.72
223,2023,,,1.72,1.72,1.68,1.76
224,2024,,,1.75,1.75,1.71,1.81
225,2025,,,1.79,1.79,1.74,1.85
226,2026,,,1.82,1.82,1.78,1.9
227,2027,,,1.85,1.86,1.81,1.94
228,2028,,,1.88,1.89,1.85,1.98
229,2029,,,1.9,1.92,1.89,2.03
230,2030,,,1.93,1.95,1.94,2.07
231,2031,,,1.95,1.98,1.98,2.12
232,2032,,,1.98,2.01,2.02,2.17
233,2033,,,2.01,2.05,2.06,2.22
234,2034,,,2.04,2.08,2.09,2.27
235,2035,,,2.06,2.11,2.13,2.31
236,2036,,,2.09,2.15,2.17,2.36
237,2037,,,2.12,2.18,2.21,2.41
238,2038,,,2.14,2.21,2.25,2.47
239,2039,,,2.16,2.24,2.29,2.53
240,2040,,,2.18,2.27,2.33,2.58
241,2041,,,2.2,2.3,2.37,2.64
242,2042,,,2.22,2.34,2.41,2.69
243,2043,,,2.24,2.37,2.46,2.74
244,2044,,,2.26,2.41,2.51,2.8
245,2045,,,2.28,2.44,2.56,2.85
246,2046,,,2.29,2.47,2.61,2.91
247,2047,,,2.3,2.51,2.67,2.96
248,2048,,,2.31,2.55,2.72,3.01
249,2049,,,2.31,2.58,2.77,3.06
250,2050,,,2.32,2.62,2.82,3.12
251,2051,,,2.33,2.65,2.86,3.17
252,2052,,,2.34,2.68,2.91,3.23
253,2053,,,2.35,2.72,2.96,3.29
254,2054,,,2.36,2.75,3.0,3.35
255,2055,,,2.37,2.78,3.05,3.41
256,2056,,,2.38,2.81,3.1,3.47
257,2057,,,2.38,2.84,3.14,3.54
258,2058,,,2.4,2.86,3.19,3.61
259,2059,,,2.41,2.89,3.24,3.68
260,2060,,,2.42,2.91,3.29,3.74
261,2061,,,2.43,2.93,3.34,3.81
262,2062,,,2.44,2.96,3.39,3.88
263,2063,,,2.44,2.98,3.45,3.95
264,2064,,,2.45,3.0,3.5,4.02
265,2065,,,2.45,3.02,3.55,4.09
266,2066,,,2.45,3.04,3.6,4.16
267,2067,,,2.45,3.06,3.64,4.24
268,2068,,,2.45,3.08,3.69,4.31
269,2069,,,2.45,3.11,3.74,4.38
270,2070,,,2.45,3.13,3.8,4.44
271,2071,,,2.45,3.15,3.85,4.51
272,2072,,,2.45,3.17,3.9,4.58
273,2073,,,2.44,3.18,3.95,4.65
274,2074,,,2.44,3.2,4.0,4.72
275,2075,,,2.44,3.22,4.05,4.79
276,2076,,,2.44,3.25,4.1,4.86
277,2077,,,2.44,3.27,4.15,4.93
278,2078,,,2.44,3.29,4.21,5.01
279,2079,,,2.44,3.31,4.26,5.08
280,2080,,,2.44,3.33,4.31,5.16
281,2081,,,2.44,3.36,4.36,5.23
282,2082,,,2.44,3.38,4.42,5.31
283,2083,,,2.43,3.4,4.48,5.39
284,2084,,,2.43,3.42,4.53,5.46
285,2085,,,2.42,3.44,4.59,5.54
286,2086,,,2.42,3.46,4.65,5.61
287,2087,,,2.41,3.48,4.71,5.68
288,2088,,,2.4,3.5,4.76,5.75
289,2089,,,2.39,3.51,4.82,5.83
290,2090,,,2.38,3.53,4.88,5.9
291,2091,,,2.37,3.54,4.93,5.97
292,2092,,,2.37,3.56,4.99,6.04
293,2093,,,2.38,3.57,5.05,6.12
294,2094,,,2.38,3.58,5.1,6.19
295,2095,,,2.38,3.6,5.16,6.26
296,2096,,,2.38,3.61,5.22,6.33
297,2097,,,2.39,3.63,5.28,6.4
298,2098,,,2.39,3.64,5.33,6.47
299,2099,,,2.39,3.66,5.39,6.54
300,2100,,,2.4,3.67,5.45,6.61
