Belgium,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,0.2725806451612904,0.25,,,,
1,1801,0.6025806451612904,0.19,,,,
2,1802,0.18258064516129038,0.14,,,,
3,1803,-0.5174193548387096,0.08,,,,
4,1804,-0.0174193548387096,0.02,,,,
5,1805,-1.2474193548387098,-0.04,,,,
6,1806,0.8825806451612904,-0.1,,,,
7,1807,0.17258064516129037,-0.16,,,,
8,1808,-0.5474193548387096,-0.22,,,,
9,1809,-0.22741935483870968,-0.27,,,,
10,1810,-0.35741935483870957,-0.31,,,,
11,1811,1.1525806451612903,-0.32,,,,
12,1812,-0.9474193548387096,-0.33,,,,
13,1813,-0.31741935483870964,-0.33,,,,
14,1814,-1.0974193548387094,-0.32,,,,
15,1815,-0.2874193548387096,-0.3,,,,
16,1816,-1.4174193548387097,-0.26,,,,
17,1817,-0.23741935483870957,-0.22,,,,
18,1818,0.3925806451612904,-0.16,,,,
19,1819,0.5025806451612904,-0.09,,,,
20,1820,-0.9274193548387096,-0.01,,,,
21,1821,0.17258064516129037,0.06,,,,
22,1822,1.1025806451612903,0.13,,,,
23,1823,-0.5474193548387096,0.17,,,,
24,1824,0.31258064516129036,0.19,,,,
25,1825,0.7125806451612904,0.2,,,,
26,1826,0.5925806451612904,0.19,,,,
27,1827,-0.12741935483870964,0.19,,,,
28,1828,0.6525806451612903,0.19,,,,
29,1829,-1.6574193548387095,0.18,,,,
30,1830,-0.6174193548387096,0.15,,,,
31,1831,0.8025806451612904,0.11,,,,
32,1832,-0.33741935483870966,0.06,,,,
33,1833,0.06258064516129036,0.01,,,,
34,1834,1.4625806451612902,-0.04,,,,
35,1835,0.02258064516129038,-0.07,,,,
36,1836,0.14258064516129038,-0.09,,,,
37,1837,-0.5074193548387096,-0.12,,,,
38,1838,-1.1874193548387098,-0.15,,,,
39,1839,0.10258064516129037,-0.18,,,,
40,1840,-0.6874193548387096,-0.21,,,,
41,1841,0.2725806451612904,-0.23,,,,
42,1842,-0.1574193548387096,-0.24,,,,
43,1843,0.10258064516129037,-0.24,,,,
44,1844,-0.7774193548387097,-0.23,,,,
45,1845,-1.0274193548387096,-0.22,,,,
46,1846,1.1825806451612904,-0.21,,,,
47,1847,-0.42741935483870963,-0.21,,,,
48,1848,0.11258064516129038,-0.22,,,,
49,1849,-0.007419354838709646,-0.21,,,,
50,1850,-0.5174193548387096,-0.2,,,,
51,1851,-0.34741935483870967,-0.17,,,,
52,1852,0.7925806451612905,-0.14,,,,
53,1853,-0.9674193548387097,-0.12,,,,
54,1854,-0.007419354838709646,-0.09,,,,
55,1855,-1.4474193548387095,-0.06,,,,
56,1856,0.0425806451612904,-0.03,,,,
57,1857,0.8225806451612904,0.01,,,,
58,1858,-0.4074193548387096,0.06,,,,
59,1859,0.9425806451612904,0.1,,,,
60,1860,-1.0574193548387094,0.15,,,,
61,1861,0.05258064516129035,0.2,,,,
62,1862,0.7325806451612904,0.23,,,,
63,1863,0.7425806451612904,0.24,,,,
64,1864,-1.1174193548387095,0.24,,,,
65,1865,0.5725806451612904,0.23,,,,
66,1866,0.5725806451612904,0.23,,,,
67,1867,-0.06741935483870964,0.22,,,,
68,1868,1.3225806451612905,0.21,,,,
69,1869,0.10258064516129037,0.19,,,,
70,1870,-0.6974193548387096,0.18,,,,
71,1871,-1.0174193548387098,0.15,,,,
72,1872,1.0925806451612905,0.13,,,,
73,1873,0.26258064516129037,0.11,,,,
74,1874,0.012580645161290371,0.08,,,,
75,1875,-0.1374193548387096,0.07,,,,
76,1876,0.2825806451612904,0.07,,,,
77,1877,0.24258064516129038,0.07,,,,
78,1878,0.18258064516129038,0.07,,,,
79,1879,-1.4074193548387095,0.06,,,,
80,1880,0.42258064516129035,0.02,,,,
81,1881,-0.4074193548387096,-0.03,,,,
82,1882,0.23258064516129037,-0.09,,,,
83,1883,0.012580645161290371,-0.16,,,,
84,1884,0.6725806451612903,-0.22,,,,
85,1885,-0.3674193548387096,-0.27,,,,
86,1886,0.012580645161290371,-0.31,,,,
87,1887,-1.0074193548387096,-0.33,,,,
88,1888,-1.0874193548387097,-0.35,,,,
89,1889,-0.6874193548387096,-0.36,,,,
90,1890,-0.8074193548387095,-0.36,,,,
91,1891,-0.5674193548387096,-0.34,,,,
92,1892,-0.46741935483870967,-0.29,,,,
93,1893,0.4625806451612904,-0.23,,,,
94,1894,0.24258064516129038,-0.16,,,,
95,1895,-0.4974193548387096,-0.09,,,,
96,1896,-0.24741935483870958,-0.02,,,,
97,1897,0.24258064516129038,0.03,,,,
98,1898,0.6625806451612903,0.07,,,,
99,1899,0.42258064516129035,0.1,,,,
100,1900,0.4825806451612904,0.11,,,,
101,1901,-0.20741935483870966,0.11,,,,
102,1902,-0.4774193548387097,0.1,,,,
103,1903,0.31258064516129036,0.09,,,,
104,1904,0.30258064516129035,0.08,,,,
105,1905,-0.0774193548387096,0.09,,,,
106,1906,0.2925806451612904,0.1,,,,
107,1907,-0.1374193548387096,0.12,,,,
108,1908,-0.3674193548387096,0.15,,,,
109,1909,-0.5974193548387097,0.18,,,,
110,1910,0.4025806451612904,0.19,,,,
111,1911,1.0525806451612905,0.2,,,,
112,1912,0.2825806451612904,0.21,,,,
113,1913,0.6825806451612904,0.22,,,,
114,1914,0.5425806451612903,0.24,,,,
115,1915,0.09258064516129039,0.25,,,,
116,1916,0.37258064516129036,0.25,,,,
117,1917,-0.6974193548387096,0.23,,,,
118,1918,0.4925806451612904,0.2,,,,
119,1919,-0.5974193548387097,0.17,,,,
120,1920,0.6225806451612903,0.15,,,,
121,1921,1.2325806451612904,0.15,,,,
122,1922,-0.6174193548387096,0.15,,,,
123,1923,0.06258064516129036,0.16,,,,
124,1924,-0.20741935483870966,0.17,,,,
125,1925,0.09258064516129039,0.18,,,,
126,1926,0.6825806451612904,0.19,,,,
127,1927,0.10258064516129037,0.21,,,,
128,1928,0.5625806451612904,0.24,,,,
129,1929,-0.2774193548387096,0.27,,,,
130,1930,0.8525806451612904,0.31,,,,
131,1931,-0.20741935483870966,0.35,,,,
132,1932,0.3325806451612904,0.38,,,,
133,1933,0.0425806451612904,0.39,,,,
134,1934,1.2125806451612904,0.38,,,,
135,1935,0.5625806451612904,0.37,,,,
136,1936,0.4025806451612904,0.36,,,,
137,1937,0.6925806451612904,0.35,,,,
138,1938,0.6325806451612903,0.36,,,,
139,1939,0.4925806451612904,0.37,,,,
140,1940,-0.7774193548387097,0.39,,,,
141,1941,-0.33741935483870966,0.41,,,,
142,1942,-0.35741935483870957,0.43,,,,
143,1943,0.9325806451612904,0.44,,,,
144,1944,0.2725806451612904,0.47,,,,
145,1945,1.0725806451612905,0.49,,,,
146,1946,0.21258064516129038,0.52,,,,
147,1947,0.8725806451612904,0.54,,,,
148,1948,0.9825806451612904,0.56,,,,
149,1949,1.2025806451612904,0.55,,,,
150,1950,0.5325806451612904,0.53,,,,
151,1951,0.6025806451612904,0.51,,,,
152,1952,0.13258064516129037,0.49,,,,
153,1953,0.7625806451612904,0.48,,,,
154,1954,-0.057419354838709635,0.47,,,,
155,1955,-0.1374193548387096,0.45,,,,
156,1956,-0.7674193548387097,0.42,,,,
157,1957,0.8425806451612904,0.38,,,,
158,1958,0.42258064516129035,0.35,,,,
159,1959,1.3825806451612905,0.34,,,,
160,1960,0.6825806451612904,0.35,,,,
161,1961,1.1825806451612904,0.36,,,,
162,1962,-0.7374193548387097,0.37,,,,
163,1963,-0.9874193548387097,0.38,,,,
164,1964,0.3425806451612904,0.37,,,,
165,1965,-0.19741935483870965,0.35,,,,
166,1966,0.7125806451612904,0.32,,,,
167,1967,0.7825806451612904,0.32,,,,
168,1968,0.14258064516129038,0.33,,,,
169,1969,0.31258064516129036,0.37,,,,
170,1970,0.23258064516129037,0.42,,,,
171,1971,0.5525806451612904,0.46,,,,
172,1972,0.06258064516129036,0.48,,,,
173,1973,0.5125806451612904,0.47,,,,
174,1974,0.8225806451612904,0.47,,,,
175,1975,0.8625806451612904,0.47,,,,
176,1976,1.0825806451612903,0.48,,,,
177,1977,0.6925806451612904,0.49,,,,
178,1978,0.012580645161290371,0.5,,,,
179,1979,-0.18741935483870964,0.48,,,,
180,1980,0.05258064516129035,0.46,,,,
181,1981,0.38258064516129037,0.44,,,,
182,1982,1.0925806451612905,0.45,,,,
183,1983,1.0625806451612902,0.47,,,,
184,1984,0.42258064516129035,0.52,,,,
185,1985,-0.42741935483870963,0.59,,,,
186,1986,0.02258064516129038,0.66,,,,
187,1987,-0.17741935483870963,0.73,,,,
188,1988,1.1825806451612904,0.79,,,,
189,1989,1.6525806451612906,0.84,,,,
190,1990,1.6325806451612905,0.9,,,,
191,1991,0.4825806451612904,0.97,,,,
192,1992,1.2525806451612904,1.05,,,,
193,1993,0.6425806451612903,1.13,,,,
194,1994,1.7525806451612902,1.2,,,,
195,1995,1.4325806451612904,1.26,,,,
196,1996,-0.3674193548387096,1.3,,,,
197,1997,1.2325806451612904,1.33,,,,
198,1998,1.1225806451612903,1.36,,,,
199,1999,1.7225806451612904,1.4,,,,
200,2000,1.8025806451612905,1.43,,,,
201,2001,1.3025806451612905,1.46,,,,
202,2002,1.7825806451612904,1.48,,,,
203,2003,1.6425806451612903,1.5,,,,
204,2004,1.1125806451612905,1.5,,,,
205,2005,1.4125806451612903,1.5,1.56,1.58,1.58,1.54
206,2006,1.8425806451612905,1.49,1.58,1.59,1.6,1.56
207,2007,1.8925806451612903,1.48,1.6,1.6,1.61,1.58
208,2008,1.2525806451612904,1.48,1.62,1.62,1.63,1.6
209,2009,1.3325806451612903,1.5,1.64,1.63,1.65,1.63
210,2010,0.07258064516129037,1.52,1.66,1.65,1.67,1.65
211,2011,2.0625806451612902,1.55,1.68,1.67,1.68,1.68
212,2012,1.1325806451612905,1.62,1.7,1.69,1.7,1.7
213,2013,0.6225806451612903,1.69,1.72,1.71,1.72,1.73
214,2014,2.3725806451612903,1.76,1.75,1.73,1.74,1.76
215,2015,1.7625806451612904,1.83,1.78,1.77,1.77,1.8
216,2016,1.5225806451612902,1.91,1.82,1.82,1.8,1.83
217,2017,1.8125806451612902,1.98,1.86,1.86,1.84,1.87
218,2018,2.38258064516129,2.06,1.89,1.9,1.88,1.91
219,2019,2.0925806451612905,2.15,1.93,1.95,1.91,1.94
220,2020,2.6225806451612903,2.23,1.97,1.99,1.95,1.98
221,2021,,,2.01,2.04,1.99,2.01
222,2022,,,2.04,2.09,2.02,2.04
223,2023,,,2.07,2.13,2.05,2.07
224,2024,,,2.1,2.16,2.09,2.1
225,2025,,,2.12,2.19,2.12,2.14
226,2026,,,2.14,2.22,2.15,2.17
227,2027,,,2.16,2.24,2.19,2.21
228,2028,,,2.17,2.27,2.22,2.24
229,2029,,,2.19,2.3,2.26,2.28
230,2030,,,2.21,2.33,2.29,2.33
231,2031,,,2.22,2.36,2.33,2.37
232,2032,,,2.24,2.38,2.36,2.42
233,2033,,,2.27,2.4,2.4,2.47
234,2034,,,2.29,2.42,2.43,2.52
235,2035,,,2.31,2.45,2.46,2.57
236,2036,,,2.33,2.47,2.49,2.62
237,2037,,,2.35,2.49,2.52,2.67
238,2038,,,2.38,2.5,2.55,2.72
239,2039,,,2.4,2.52,2.58,2.77
240,2040,,,2.43,2.53,2.61,2.82
241,2041,,,2.45,2.54,2.64,2.86
242,2042,,,2.47,2.55,2.68,2.9
243,2043,,,2.49,2.57,2.72,2.95
244,2044,,,2.5,2.59,2.76,2.99
245,2045,,,2.51,2.62,2.81,3.04
246,2046,,,2.52,2.65,2.86,3.08
247,2047,,,2.53,2.68,2.91,3.12
248,2048,,,2.54,2.71,2.96,3.16
249,2049,,,2.54,2.74,3.01,3.2
250,2050,,,2.54,2.77,3.06,3.25
251,2051,,,2.54,2.8,3.1,3.3
252,2052,,,2.54,2.83,3.14,3.35
253,2053,,,2.54,2.86,3.17,3.4
254,2054,,,2.54,2.88,3.21,3.45
255,2055,,,2.54,2.9,3.25,3.5
256,2056,,,2.54,2.93,3.28,3.55
257,2057,,,2.54,2.95,3.32,3.6
258,2058,,,2.54,2.98,3.36,3.65
259,2059,,,2.55,3.0,3.39,3.71
260,2060,,,2.55,3.02,3.43,3.77
261,2061,,,2.56,3.05,3.46,3.83
262,2062,,,2.57,3.07,3.5,3.89
263,2063,,,2.58,3.09,3.53,3.94
264,2064,,,2.59,3.11,3.56,4.0
265,2065,,,2.6,3.13,3.59,4.06
266,2066,,,2.61,3.15,3.62,4.12
267,2067,,,2.62,3.16,3.65,4.18
268,2068,,,2.62,3.17,3.68,4.24
269,2069,,,2.63,3.18,3.71,4.3
270,2070,,,2.63,3.19,3.75,4.35
271,2071,,,2.64,3.2,3.79,4.41
272,2072,,,2.64,3.22,3.84,4.46
273,2073,,,2.63,3.23,3.88,4.52
274,2074,,,2.63,3.24,3.93,4.59
275,2075,,,2.63,3.25,3.97,4.65
276,2076,,,2.63,3.26,4.02,4.72
277,2077,,,2.63,3.28,4.07,4.79
278,2078,,,2.63,3.3,4.11,4.85
279,2079,,,2.63,3.32,4.16,4.92
280,2080,,,2.63,3.34,4.21,4.98
281,2081,,,2.63,3.36,4.25,5.05
282,2082,,,2.63,3.39,4.3,5.12
283,2083,,,2.63,3.41,4.35,5.19
284,2084,,,2.63,3.43,4.41,5.26
285,2085,,,2.63,3.45,4.46,5.33
286,2086,,,2.62,3.47,4.51,5.4
287,2087,,,2.62,3.48,4.56,5.47
288,2088,,,2.61,3.5,4.62,5.55
289,2089,,,2.61,3.51,4.68,5.62
