Bhutan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.25851851851851865,0.47,,,,
1,1801,,,,,,
2,1802,0.32148148148148137,0.31,,,,
3,1803,0.1714814814814814,0.22,,,,
4,1804,0.32148148148148137,0.14,,,,
5,1805,0.21148148148148138,0.06,,,,
6,1806,0.09148148148148139,-0.02,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,-0.5585185185185186,-0.54,,,,
14,1814,,,,,,
15,1815,-1.0785185185185187,-0.78,,,,
16,1816,-1.2585185185185186,-0.84,,,,
17,1817,-1.1385185185185187,-0.82,,,,
18,1818,-0.7585185185185186,-0.75,,,,
19,1819,-1.2485185185185186,-0.68,,,,
20,1820,-0.9885185185185186,-0.61,,,,
21,1821,-0.16851851851851857,-0.53,,,,
22,1822,-0.008518518518518592,-0.44,,,,
23,1823,-0.3485185185185186,-0.38,,,,
24,1824,0.061481481481481415,-0.28,,,,
25,1825,-0.1985185185185186,-0.23,,,,
26,1826,-0.008518518518518592,-0.2,,,,
27,1827,0.24148148148148138,-0.19,,,,
28,1828,-0.3185185185185186,-0.21,,,,
29,1829,-0.4485185185185186,-0.23,,,,
30,1830,0.0414814814814814,-0.24,,,,
31,1831,-0.6085185185185187,-0.26,,,,
32,1832,,,,,,
33,1833,-0.2085185185185186,-0.28,,,,
34,1834,-0.3385185185185186,-0.28,,,,
35,1835,-1.2485185185185186,-0.28,,,,
36,1836,-0.37851851851851864,-0.29,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,-0.18851851851851859,-0.31,,,,
41,1841,-0.27851851851851855,-0.32,,,,
42,1842,-0.17851851851851858,-0.32,,,,
43,1843,-0.17851851851851858,-0.32,,,,
44,1844,-0.6785185185185187,-0.33,,,,
45,1845,-0.49851851851851864,-0.32,,,,
46,1846,-0.11851851851851863,-0.31,,,,
47,1847,-0.4485185185185186,-0.3,,,,
48,1848,-0.6385185185185187,-0.29,,,,
49,1849,-0.5885185185185187,-0.27,,,,
50,1850,-0.06851851851851859,-0.25,,,,
51,1851,-0.11851851851851863,-0.22,,,,
52,1852,-0.41851851851851857,-0.21,,,,
53,1853,0.09148148148148139,-0.2,,,,
54,1854,0.001481481481481417,-0.18,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,-0.06851851851851859,-0.14,,,,
59,1859,0.07148148148148137,-0.13,,,,
60,1860,-0.3485185185185186,-0.12,,,,
61,1861,-0.40851851851851856,-0.11,,,,
62,1862,,,,,,
63,1863,-0.17851851851851858,-0.1,,,,
64,1864,-0.3285185185185186,-0.09,,,,
65,1865,0.0414814814814814,-0.06,,,,
66,1866,0.1714814814814814,-0.05,,,,
67,1867,0.2514814814814814,-0.01,,,,
68,1868,-0.13851851851851865,0.02,,,,
69,1869,-0.0785185185185186,0.05,,,,
70,1870,0.001481481481481417,0.06,,,,
71,1871,0.15148148148148138,0.07,,,,
72,1872,0.18148148148148138,0.07,,,,
73,1873,0.2314814814814814,0.08,,,,
74,1874,0.31148148148148136,0.09,,,,
75,1875,-0.09851851851851862,0.1,,,,
76,1876,-0.17851851851851858,0.1,,,,
77,1877,-0.17851851851851858,0.09,,,,
78,1878,0.2914814814814814,0.07,,,,
79,1879,0.6314814814814814,0.04,,,,
80,1880,0.18148148148148138,0.02,,,,
81,1881,0.051481481481481406,0.0,,,,
82,1882,0.1114814814814814,-0.0,,,,
83,1883,-0.27851851851851855,-0.01,,,,
84,1884,-0.38851851851851865,-0.02,,,,
85,1885,-0.18851851851851859,-0.04,,,,
86,1886,0.08148148148148138,-0.05,,,,
87,1887,-0.14851851851851866,-0.06,,,,
88,1888,-0.06851851851851859,-0.05,,,,
89,1889,0.6414814814814814,-0.03,,,,
90,1890,-0.05851851851851858,-0.0,,,,
91,1891,-0.0785185185185186,0.03,,,,
92,1892,0.061481481481481415,0.06,,,,
93,1893,-0.7185185185185186,0.09,,,,
94,1894,0.15148148148148138,0.11,,,,
95,1895,0.0414814814814814,0.12,,,,
96,1896,0.3814814814814814,0.14,,,,
97,1897,0.32148148148148137,0.15,,,,
98,1898,0.3014814814814814,0.15,,,,
99,1899,-0.18851851851851859,0.15,,,,
100,1900,0.3614814814814814,0.13,,,,
101,1901,0.24148148148148138,0.11,,,,
102,1902,-0.0185185185185186,0.09,,,,
103,1903,0.1714814814814814,0.07,,,,
104,1904,-0.08851851851851861,0.06,,,,
105,1905,-0.5285185185185186,0.04,,,,
106,1906,0.08148148148148138,0.02,,,,
107,1907,-0.17851851851851858,-0.0,,,,
108,1908,0.2514814814814814,-0.02,,,,
109,1909,0.3514814814814814,-0.03,,,,
110,1910,-0.03851851851851862,-0.02,,,,
111,1911,-0.2085185185185186,-0.01,,,,
112,1912,-0.10851851851851863,-0.0,,,,
113,1913,-0.3585185185185186,0.0,,,,
114,1914,-0.08851851851851861,0.01,,,,
115,1915,0.4614814814814814,0.02,,,,
116,1916,0.1614814814814814,0.03,,,,
117,1917,-0.05851851851851858,0.06,,,,
118,1918,-0.17851851851851858,0.09,,,,
119,1919,0.3914814814814814,0.12,,,,
120,1920,0.1114814814814814,0.13,,,,
121,1921,0.0414814814814814,0.13,,,,
122,1922,0.4214814814814814,0.13,,,,
123,1923,0.21148148148148138,0.12,,,,
124,1924,0.4114814814814814,0.12,,,,
125,1925,-0.39851851851851866,0.13,,,,
126,1926,0.051481481481481406,0.13,,,,
127,1927,-0.15851851851851856,0.13,,,,
128,1928,0.3314814814814814,0.13,,,,
129,1929,-0.008518518518518592,0.13,,,,
130,1930,-0.008518518518518592,0.13,,,,
131,1931,0.4014814814814814,0.13,,,,
132,1932,0.32148148148148137,0.15,,,,
133,1933,0.1914814814814814,0.18,,,,
134,1934,0.02148148148148138,0.2,,,,
135,1935,0.14148148148148137,0.23,,,,
136,1936,0.1014814814814814,0.25,,,,
137,1937,0.24148148148148138,0.27,,,,
138,1938,0.3514814814814814,0.28,,,,
139,1939,0.4714814814814814,0.29,,,,
140,1940,0.2514814814814814,0.31,,,,
141,1941,0.5214814814814814,0.32,,,,
142,1942,0.5314814814814814,0.33,,,,
143,1943,0.21148148148148138,0.33,,,,
144,1944,0.2314814814814814,0.33,,,,
145,1945,0.051481481481481406,0.33,,,,
146,1946,0.6114814814814814,0.33,,,,
147,1947,0.5014814814814814,0.33,,,,
148,1948,0.061481481481481415,0.34,,,,
149,1949,0.12148148148148141,0.35,,,,
150,1950,0.2614814814814814,0.37,,,,
151,1951,0.5314814814814814,0.39,,,,
152,1952,0.5514814814814815,0.41,,,,
153,1953,0.4614814814814814,0.43,,,,
154,1954,0.5214814814814814,0.45,,,,
155,1955,0.32148148148148137,0.47,,,,
156,1956,0.5014814814814814,0.48,,,,
157,1957,0.3714814814814814,0.47,,,,
158,1958,0.8914814814814813,0.45,,,,
159,1959,0.4614814814814814,0.43,,,,
160,1960,0.8214814814814814,0.41,,,,
161,1961,0.4014814814814814,0.39,,,,
162,1962,0.14148148148148137,0.36,,,,
163,1963,0.07148148148148137,0.34,,,,
164,1964,0.5714814814814814,0.31,,,,
165,1965,-0.10851851851851863,0.29,,,,
166,1966,0.5614814814814814,0.28,,,,
167,1967,0.02148148148148138,0.28,,,,
168,1968,-0.09851851851851862,0.29,,,,
169,1969,0.5814814814814814,0.31,,,,
170,1970,0.3614814814814814,0.34,,,,
171,1971,0.01148148148148137,0.36,,,,
172,1972,0.4314814814814814,0.38,,,,
173,1973,0.6414814814814814,0.41,,,,
174,1974,0.4814814814814814,0.43,,,,
175,1975,0.5814814814814814,0.45,,,,
176,1976,0.5714814814814814,0.46,,,,
177,1977,0.3414814814814814,0.47,,,,
178,1978,0.18148148148148138,0.47,,,,
179,1979,0.7514814814814814,0.47,,,,
180,1980,0.5414814814814815,0.48,,,,
181,1981,0.3914814814814814,0.49,,,,
182,1982,0.4114814814814814,0.5,,,,
183,1983,0.12148148148148141,0.52,,,,
184,1984,0.6814814814814814,0.53,,,,
185,1985,0.7714814814814814,0.54,,,,
186,1986,0.3514814814814814,0.54,,,,
187,1987,0.6614814814814813,0.55,,,,
188,1988,1.0514814814814815,0.56,,,,
189,1989,0.5514814814814815,0.58,,,,
190,1990,0.5614814814814814,0.59,,,,
191,1991,0.3914814814814814,0.61,,,,
192,1992,0.2914814814814814,0.63,,,,
193,1993,0.5814814814814814,0.66,,,,
194,1994,0.6814814814814814,0.69,,,,
195,1995,0.8614814814814814,0.72,,,,
196,1996,0.8314814814814814,0.75,,,,
197,1997,0.051481481481481406,0.78,,,,
198,1998,1.1214814814814813,0.82,,,,
199,1999,1.3614814814814813,0.85,,,,
200,2000,0.5814814814814814,0.89,,,,
201,2001,1.0414814814814815,0.92,,,,
202,2002,0.8214814814814814,0.96,,,,
203,2003,0.7714814814814814,1.0,,,,
204,2004,0.8014814814814815,1.04,,,,
205,2005,1.0014814814814814,1.07,0.95,0.96,1.01,0.97
206,2006,1.4614814814814814,1.1,0.99,1.0,1.04,1.01
207,2007,1.3114814814814815,1.12,1.03,1.04,1.07,1.04
208,2008,1.0814814814814815,1.14,1.07,1.08,1.1,1.08
209,2009,1.6914814814814814,1.17,1.11,1.11,1.14,1.12
210,2010,1.5714814814814813,1.2,1.15,1.15,1.17,1.16
211,2011,0.9914814814814814,1.23,1.19,1.19,1.2,1.19
212,2012,0.7414814814814814,1.26,1.23,1.23,1.23,1.23
213,2013,1.0514814814814815,1.27,1.27,1.27,1.27,1.27
214,2014,1.2214814814814814,1.29,1.31,1.31,1.3,1.31
215,2015,1.1914814814814814,1.3,1.35,1.35,1.33,1.34
216,2016,1.7514814814814814,1.32,1.39,1.38,1.36,1.38
