Suriname,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
125,1925,-0.032258064516129115,0.02,,,,
126,1926,0.42774193548387085,0.06,,,,
127,1927,0.15774193548387083,0.1,,,,
128,1928,0.2677419354838708,0.13,,,,
129,1929,-0.06225806451612914,0.16,,,,
130,1930,0.14774193548387082,0.18,,,,
131,1931,0.5977419354838709,0.2,,,,
132,1932,0.5277419354838708,0.22,,,,
133,1933,0.057741935483870854,0.23,,,,
134,1934,-0.1322580645161292,0.25,,,,
135,1935,0.23774193548387085,0.27,,,,
136,1936,0.2777419354838708,0.29,,,,
137,1937,0.40774193548387083,0.31,,,,
138,1938,0.25774193548387087,0.32,,,,
139,1939,0.15774193548387083,0.33,,,,
140,1940,0.6977419354838709,0.34,,,,
141,1941,0.7877419354838708,0.34,,,,
142,1942,0.5677419354838709,0.35,,,,
143,1943,0.18774193548387086,0.34,,,,
144,1944,0.2677419354838708,0.34,,,,
145,1945,0.23774193548387085,0.34,,,,
146,1946,0.2777419354838708,0.34,,,,
147,1947,0.41774193548387084,0.34,,,,
148,1948,0.22774193548387084,0.35,,,,
149,1949,0.11774193548387085,0.35,,,,
150,1950,0.3377419354838709,0.36,,,,
151,1951,0.5277419354838708,0.38,,,,
152,1952,0.6277419354838708,0.4,,,,
153,1953,0.6977419354838709,0.41,,,,
154,1954,0.23774193548387085,0.44,,,,
155,1955,0.29774193548387085,0.45,,,,
156,1956,0.18774193548387086,0.47,,,,
157,1957,0.5777419354838709,0.48,,,,
158,1958,1.0177419354838708,0.49,,,,
159,1959,0.48774193548387085,0.5,,,,
160,1960,0.48774193548387085,0.51,,,,
161,1961,0.5077419354838708,0.52,,,,
162,1962,0.5677419354838709,0.53,,,,
163,1963,0.5477419354838708,0.54,,,,
164,1964,0.6077419354838709,0.53,,,,
165,1965,0.5877419354838709,0.52,,,,
166,1966,0.6977419354838709,0.51,,,,
167,1967,0.32774193548387087,0.5,,,,
168,1968,0.2677419354838708,0.49,,,,
169,1969,1.097741935483871,0.47,,,,
170,1970,0.5677419354838709,0.46,,,,
171,1971,0.12774193548387086,0.46,,,,
172,1972,0.48774193548387085,0.47,,,,
173,1973,0.6077419354838709,0.48,,,,
174,1974,0.30774193548387085,0.51,,,,
175,1975,0.28774193548387084,0.55,,,,
176,1976,0.48774193548387085,0.59,,,,
177,1977,0.6777419354838708,0.63,,,,
178,1978,0.7177419354838709,0.67,,,,
179,1979,0.8477419354838709,0.69,,,,
180,1980,0.9477419354838709,0.71,,,,
181,1981,0.8077419354838709,0.72,,,,
182,1982,0.8277419354838709,0.73,,,,
183,1983,1.117741935483871,0.74,,,,
184,1984,0.34774193548387083,0.74,,,,
185,1985,0.3377419354838709,0.73,,,,
186,1986,0.5677419354838709,0.73,,,,
187,1987,1.2377419354838708,0.73,,,,
188,1988,0.7377419354838708,0.73,,,,
189,1989,0.4577419354838709,0.74,,,,
190,1990,0.8077419354838709,0.77,,,,
191,1991,0.7777419354838708,0.82,,,,
192,1992,0.9977419354838708,0.87,,,,
193,1993,0.7277419354838708,0.91,,,,
194,1994,0.8277419354838709,0.94,,,,
195,1995,1.447741935483871,0.97,,,,
196,1996,1.0277419354838708,1.01,,,,
197,1997,1.1877419354838707,1.05,,,,
198,1998,1.6977419354838708,1.09,,,,
199,1999,1.0377419354838708,1.13,,,,
200,2000,0.8377419354838709,1.17,,,,
201,2001,1.0677419354838709,1.19,,,,
202,2002,1.2377419354838708,1.21,,,,
203,2003,1.447741935483871,1.23,,,,
204,2004,1.3777419354838707,1.26,,,,
205,2005,1.5177419354838708,1.28,1.17,1.18,1.21,1.15
206,2006,1.197741935483871,1.31,1.21,1.22,1.25,1.18
207,2007,1.1877419354838707,1.34,1.25,1.25,1.28,1.22
208,2008,1.097741935483871,1.36,1.29,1.29,1.31,1.26
209,2009,1.4877419354838708,1.38,1.32,1.33,1.35,1.3
210,2010,1.667741935483871,1.39,1.36,1.36,1.38,1.34
211,2011,1.3077419354838709,1.42,1.4,1.4,1.41,1.38
212,2012,1.4177419354838707,1.44,1.43,1.43,1.45,1.43
213,2013,1.3277419354838709,1.47,1.47,1.47,1.48,1.47
214,2014,1.4577419354838708,1.49,1.51,1.51,1.52,1.51
215,2015,1.627741935483871,1.52,1.55,1.55,1.55,1.56
216,2016,1.847741935483871,1.55,1.6,1.59,1.59,1.61
217,2017,1.5577419354838709,1.57,1.64,1.64,1.62,1.66
218,2018,1.3177419354838709,1.6,1.69,1.68,1.64,1.72
219,2019,1.627741935483871,1.63,1.73,1.73,1.67,1.77
220,2020,1.6977419354838708,1.65,1.77,1.77,1.69,1.82
221,2021,,,1.81,1.81,1.72,1.87
222,2022,,,1.84,1.85,1.75,1.92
223,2023,,,1.88,1.89,1.78,1.96
224,2024,,,1.92,1.93,1.8,2.01
225,2025,,,1.95,1.97,1.83,2.05
226,2026,,,1.98,2.0,1.86,2.09
227,2027,,,2.01,2.03,1.89,2.12
228,2028,,,2.04,2.06,1.92,2.16
229,2029,,,2.06,2.09,1.96,2.19
230,2030,,,2.09,2.12,2.01,2.23
231,2031,,,2.12,2.14,2.05,2.27
232,2032,,,2.14,2.17,2.09,2.31
233,2033,,,2.17,2.2,2.13,2.35
234,2034,,,2.19,2.23,2.17,2.39
235,2035,,,2.21,2.25,2.21,2.44
236,2036,,,2.22,2.28,2.26,2.48
237,2037,,,2.24,2.3,2.3,2.53
238,2038,,,2.26,2.32,2.34,2.58
239,2039,,,2.27,2.34,2.39,2.64
240,2040,,,2.29,2.36,2.43,2.7
241,2041,,,2.3,2.39,2.47,2.75
242,2042,,,2.32,2.42,2.51,2.81
243,2043,,,2.33,2.45,2.55,2.87
244,2044,,,2.35,2.48,2.59,2.92
245,2045,,,2.37,2.52,2.64,2.98
246,2046,,,2.39,2.56,2.68,3.04
247,2047,,,2.41,2.6,2.73,3.09
248,2048,,,2.42,2.65,2.77,3.14
249,2049,,,2.43,2.69,2.81,3.19
250,2050,,,2.44,2.73,2.85,3.23
251,2051,,,2.46,2.77,2.9,3.28
252,2052,,,2.47,2.8,2.94,3.33
253,2053,,,2.48,2.84,2.99,3.38
254,2054,,,2.49,2.88,3.04,3.43
255,2055,,,2.49,2.91,3.08,3.48
256,2056,,,2.49,2.94,3.13,3.54
257,2057,,,2.49,2.96,3.17,3.6
258,2058,,,2.49,2.98,3.21,3.67
259,2059,,,2.49,3.01,3.25,3.73
260,2060,,,2.5,3.03,3.3,3.8
261,2061,,,2.5,3.05,3.34,3.86
262,2062,,,2.5,3.07,3.38,3.93
263,2063,,,2.51,3.09,3.42,3.99
264,2064,,,2.52,3.11,3.46,4.06
265,2065,,,2.52,3.12,3.5,4.13
266,2066,,,2.53,3.13,3.53,4.19
267,2067,,,2.53,3.15,3.57,4.26
268,2068,,,2.54,3.17,3.61,4.32
269,2069,,,2.55,3.19,3.66,4.38
270,2070,,,2.55,3.21,3.71,4.44
271,2071,,,2.56,3.23,3.76,4.5
272,2072,,,2.56,3.25,3.8,4.56
273,2073,,,2.56,3.26,3.85,4.62
274,2074,,,2.55,3.28,3.9,4.68
275,2075,,,2.54,3.3,3.94,4.75
276,2076,,,2.54,3.32,4.0,4.81
277,2077,,,2.54,3.34,4.05,4.88
278,2078,,,2.54,3.36,4.11,4.94
279,2079,,,2.54,3.37,4.16,5.01
280,2080,,,2.54,3.39,4.21,5.08
281,2081,,,2.53,3.41,4.27,5.16
282,2082,,,2.52,3.43,4.32,5.23
283,2083,,,2.51,3.45,4.38,5.31
284,2084,,,2.5,3.48,4.43,5.38
285,2085,,,2.49,3.5,4.48,5.46
286,2086,,,2.48,3.52,4.53,5.53
287,2087,,,2.47,3.54,4.58,5.6
288,2088,,,2.46,3.55,4.63,5.67
289,2089,,,2.45,3.57,4.68,5.73
290,2090,,,2.44,3.58,4.73,5.8
291,2091,,,2.43,3.59,4.77,5.87
292,2092,,,2.43,3.6,4.81,5.94
293,2093,,,2.43,3.61,4.86,6.0
294,2094,,,2.43,3.62,4.9,6.06
295,2095,,,2.43,3.63,4.95,6.13
296,2096,,,2.43,3.64,5.0,6.19
297,2097,,,2.44,3.65,5.04,6.25
298,2098,,,2.44,3.66,5.09,6.31
299,2099,,,2.44,3.67,5.13,6.37
300,2100,,,2.44,3.68,5.17,6.44
