Ethiopia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
154,1954,0.34124999999999994,0.3,,,,
155,1955,0.19124999999999998,0.3,,,,
156,1956,-0.028750000000000053,0.3,,,,
157,1957,0.13124999999999998,0.3,,,,
158,1958,0.62125,0.3,,,,
159,1959,0.50125,0.29,,,,
160,1960,0.38125,0.28,,,,
161,1961,0.24124999999999996,0.27,,,,
162,1962,0.19124999999999998,0.27,,,,
163,1963,0.39125,0.27,,,,
164,1964,0.16124999999999998,0.27,,,,
165,1965,0.20124999999999996,0.28,,,,
166,1966,0.29124999999999995,0.28,,,,
167,1967,-0.018750000000000044,0.29,,,,
168,1968,-0.10875000000000001,0.3,,,,
169,1969,0.52125,0.32,,,,
170,1970,0.49124999999999996,0.33,,,,
171,1971,0.11124999999999996,0.36,,,,
172,1972,0.6612499999999999,0.39,,,,
173,1973,0.86125,0.43,,,,
174,1974,0.19124999999999998,0.47,,,,
175,1975,0.23124999999999996,0.5,,,,
176,1976,0.46124999999999994,0.54,,,,
177,1977,0.5812499999999999,0.57,,,,
178,1978,0.61125,0.59,,,,
179,1979,0.73125,0.62,,,,
180,1980,1.07125,0.64,,,,
181,1981,0.5912499999999999,0.67,,,,
182,1982,0.7012499999999999,0.7,,,,
183,1983,0.9512499999999999,0.73,,,,
184,1984,0.65125,0.75,,,,
185,1985,0.43124999999999997,0.76,,,,
186,1986,0.6912499999999999,0.77,,,,
187,1987,1.15125,0.79,,,,
188,1988,0.9612499999999999,0.8,,,,
189,1989,0.33125,0.82,,,,
190,1990,0.81125,0.85,,,,
191,1991,0.9612499999999999,0.87,,,,
192,1992,0.87125,0.9,,,,
193,1993,0.5812499999999999,0.93,,,,
194,1994,0.92125,0.96,,,,
195,1995,1.16125,0.99,,,,
196,1996,0.9512499999999999,1.03,,,,
197,1997,1.1412499999999999,1.08,,,,
198,1998,1.26125,1.13,,,,
199,1999,0.89125,1.18,,,,
200,2000,1.05125,1.22,,,,
201,2001,1.20125,1.26,,,,
202,2002,1.5612499999999998,1.3,,,,
203,2003,1.53125,1.33,,,,
204,2004,1.43125,1.37,,,,
205,2005,1.55125,1.4,1.32,1.33,1.32,1.29
206,2006,1.4212500000000001,1.43,1.35,1.36,1.35,1.32
207,2007,1.32125,1.45,1.38,1.39,1.39,1.36
208,2008,1.25125,1.48,1.41,1.42,1.42,1.4
209,2009,1.8112499999999998,1.5,1.45,1.45,1.45,1.43
210,2010,1.5212499999999998,1.51,1.48,1.49,1.49,1.47
211,2011,1.45125,1.53,1.51,1.52,1.52,1.51
212,2012,1.4812500000000002,1.55,1.54,1.55,1.55,1.54
213,2013,1.53125,1.57,1.58,1.58,1.59,1.58
214,2014,1.4412500000000001,1.59,1.61,1.61,1.62,1.62
215,2015,1.93125,1.61,1.64,1.64,1.65,1.66
216,2016,1.8512499999999998,1.63,1.68,1.67,1.68,1.69
217,2017,1.72125,1.65,1.71,1.7,1.7,1.72
218,2018,1.27125,1.67,1.74,1.73,1.72,1.76
219,2019,1.7112500000000002,1.69,1.77,1.76,1.75,1.79
220,2020,1.6912500000000001,1.71,1.81,1.79,1.77,1.83
221,2021,,,1.84,1.82,1.81,1.87
222,2022,,,1.88,1.85,1.84,1.9
223,2023,,,1.91,1.89,1.87,1.94
224,2024,,,1.94,1.92,1.9,1.97
225,2025,,,1.97,1.96,1.94,2.01
226,2026,,,2.01,1.99,1.97,2.04
227,2027,,,2.04,2.03,2.01,2.08
228,2028,,,2.07,2.06,2.05,2.12
229,2029,,,2.1,2.09,2.09,2.15
230,2030,,,2.13,2.12,2.13,2.19
231,2031,,,2.16,2.14,2.16,2.23
232,2032,,,2.19,2.17,2.19,2.27
233,2033,,,2.22,2.2,2.23,2.31
234,2034,,,2.25,2.23,2.26,2.35
235,2035,,,2.28,2.26,2.3,2.39
236,2036,,,2.3,2.29,2.33,2.44
237,2037,,,2.33,2.32,2.37,2.48
238,2038,,,2.35,2.35,2.4,2.53
239,2039,,,2.37,2.37,2.44,2.58
240,2040,,,2.38,2.4,2.48,2.63
241,2041,,,2.4,2.44,2.52,2.68
242,2042,,,2.41,2.47,2.56,2.73
243,2043,,,2.42,2.5,2.59,2.78
244,2044,,,2.43,2.53,2.63,2.83
245,2045,,,2.44,2.56,2.67,2.88
246,2046,,,2.45,2.6,2.72,2.93
247,2047,,,2.46,2.63,2.76,2.98
248,2048,,,2.47,2.67,2.81,3.03
249,2049,,,2.48,2.7,2.85,3.09
250,2050,,,2.48,2.73,2.89,3.14
251,2051,,,2.49,2.76,2.93,3.2
252,2052,,,2.5,2.79,2.97,3.26
253,2053,,,2.51,2.82,3.01,3.32
254,2054,,,2.52,2.85,3.05,3.38
255,2055,,,2.53,2.88,3.1,3.44
256,2056,,,2.54,2.9,3.14,3.5
257,2057,,,2.54,2.93,3.18,3.56
258,2058,,,2.55,2.96,3.23,3.62
259,2059,,,2.56,2.98,3.27,3.67
260,2060,,,2.57,3.01,3.31,3.73
261,2061,,,2.57,3.03,3.36,3.78
262,2062,,,2.58,3.06,3.41,3.84
263,2063,,,2.58,3.09,3.45,3.89
264,2064,,,2.59,3.11,3.5,3.95
265,2065,,,2.59,3.13,3.54,4.0
266,2066,,,2.59,3.16,3.58,4.06
267,2067,,,2.59,3.18,3.63,4.12
268,2068,,,2.59,3.21,3.67,4.17
269,2069,,,2.59,3.23,3.72,4.23
270,2070,,,2.59,3.25,3.76,4.29
271,2071,,,2.59,3.28,3.81,4.36
272,2072,,,2.6,3.3,3.85,4.42
273,2073,,,2.6,3.31,3.89,4.48
274,2074,,,2.6,3.33,3.93,4.55
275,2075,,,2.6,3.35,3.97,4.61
276,2076,,,2.6,3.36,4.01,4.67
277,2077,,,2.61,3.38,4.06,4.74
278,2078,,,2.61,3.4,4.11,4.81
279,2079,,,2.62,3.42,4.16,4.88
280,2080,,,2.62,3.44,4.2,4.95
281,2081,,,2.62,3.45,4.25,5.02
282,2082,,,2.62,3.47,4.3,5.09
283,2083,,,2.61,3.49,4.35,5.16
284,2084,,,2.61,3.51,4.41,5.23
285,2085,,,2.6,3.53,4.46,5.3
286,2086,,,2.6,3.55,4.51,5.37
287,2087,,,2.59,3.56,4.56,5.44
288,2088,,,2.57,3.58,4.6,5.51
289,2089,,,2.56,3.6,4.64,5.58
290,2090,,,2.55,3.62,4.69,5.65
291,2091,,,2.53,3.63,4.73,5.72
292,2092,,,2.53,3.64,4.78,5.79
293,2093,,,2.52,3.66,4.83,5.86
294,2094,,,2.51,3.67,4.89,5.92
295,2095,,,2.51,3.69,4.94,5.99
296,2096,,,2.5,3.7,4.99,6.06
297,2097,,,2.49,3.72,5.04,6.13
298,2098,,,2.49,3.73,5.09,6.2
299,2099,,,2.48,3.75,5.14,6.27
300,2100,,,2.48,3.76,5.19,6.34
