United Arab Emirates,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,-0.5089285714285714,-0.48,,,,
49,1849,-0.37892857142857145,-0.46,,,,
50,1850,-0.6689285714285713,-0.44,,,,
51,1851,-0.16892857142857143,-0.42,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,-0.8989285714285713,-0.21,,,,
63,1863,,,,,,
64,1864,-0.21892857142857142,-0.15,,,,
65,1865,0.001071428571428612,-0.12,,,,
66,1866,-0.0789285714285714,-0.1,,,,
67,1867,0.22107142857142859,-0.07,,,,
68,1868,0.06107142857142858,-0.04,,,,
69,1869,0.2910714285714286,-0.02,,,,
70,1870,-0.04892857142857143,0.01,,,,
71,1871,-0.16892857142857143,0.02,,,,
72,1872,-0.17892857142857138,0.04,,,,
73,1873,0.0810714285714286,0.05,,,,
74,1874,0.031071428571428583,0.06,,,,
75,1875,-0.1489285714285714,0.07,,,,
76,1876,0.1110714285714286,0.08,,,,
77,1877,0.5710714285714287,0.08,,,,
78,1878,0.5210714285714286,0.07,,,,
79,1879,-0.0689285714285714,0.06,,,,
80,1880,0.0510714285714286,0.05,,,,
81,1881,0.5110714285714286,0.03,,,,
82,1882,-0.24892857142857144,0.01,,,,
83,1883,-0.11892857142857138,-0.0,,,,
84,1884,-0.16892857142857143,-0.02,,,,
85,1885,-0.1389285714285714,-0.03,,,,
86,1886,-0.17892857142857138,-0.03,,,,
87,1887,-0.25892857142857145,-0.02,,,,
88,1888,0.3110714285714286,-0.01,,,,
89,1889,0.3110714285714286,-0.0,,,,
90,1890,-0.1489285714285714,0.01,,,,
91,1891,0.09107142857142858,0.02,,,,
92,1892,0.15107142857142858,0.03,,,,
93,1893,0.10107142857142859,0.03,,,,
94,1894,0.001071428571428612,0.04,,,,
95,1895,-0.27892857142857136,0.05,,,,
96,1896,0.1310714285714286,0.06,,,,
97,1897,0.021071428571428574,0.07,,,,
98,1898,-0.35892857142857143,0.07,,,,
99,1899,0.22107142857142859,0.07,,,,
100,1900,0.2310714285714286,0.07,,,,
101,1901,0.3410714285714286,0.07,,,,
102,1902,0.5310714285714286,0.07,,,,
103,1903,-0.37892857142857145,0.06,,,,
104,1904,0.2310714285714286,0.05,,,,
105,1905,-0.21892857142857142,0.03,,,,
106,1906,-0.008928571428571397,0.0,,,,
107,1907,-0.1289285714285714,-0.02,,,,
108,1908,0.011071428571428565,-0.03,,,,
109,1909,0.22107142857142859,-0.04,,,,
110,1910,-0.3289285714285714,-0.03,,,,
111,1911,-0.5089285714285714,-0.04,,,,
112,1912,0.04107142857142859,-0.04,,,,
113,1913,0.1110714285714286,-0.05,,,,
114,1914,0.1910714285714286,-0.05,,,,
115,1915,0.6910714285714286,-0.05,,,,
116,1916,-0.26892857142857146,-0.04,,,,
117,1917,-0.17892857142857138,-0.03,,,,
118,1918,-0.28892857142857137,-0.01,,,,
119,1919,0.07107142857142859,0.0,,,,
120,1920,-0.028928571428571415,0.01,,,,
121,1921,-0.22892857142857143,0.03,,,,
122,1922,0.3910714285714286,0.05,,,,
123,1923,-0.018928571428571406,0.07,,,,
124,1924,0.6810714285714285,0.1,,,,
125,1925,-0.04892857142857143,0.11,,,,
126,1926,0.4310714285714286,0.12,,,,
127,1927,0.06107142857142858,0.12,,,,
128,1928,-0.038928571428571423,0.11,,,,
129,1929,0.33107142857142857,0.09,,,,
130,1930,0.021071428571428574,0.06,,,,
131,1931,0.22107142857142859,0.03,,,,
132,1932,-0.0689285714285714,0.01,,,,
133,1933,-0.1989285714285714,-0.01,,,,
134,1934,-0.1489285714285714,-0.03,,,,
