Somalia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
200,2000,1.0150000000000001,1.15,,,,
201,2001,1.175,1.19,,,,
202,2002,1.295,1.23,,,,
203,2003,1.485,1.28,,,,
204,2004,1.2349999999999999,1.31,,,,
205,2005,1.565,1.35,1.39,1.39,1.39,1.37
206,2006,1.375,1.38,1.41,1.42,1.42,1.4
207,2007,1.565,1.4,1.44,1.44,1.44,1.43
208,2008,1.185,1.43,1.47,1.47,1.47,1.45
209,2009,1.625,1.46,1.49,1.49,1.49,1.48
210,2010,1.525,1.48,1.52,1.52,1.52,1.51
211,2011,1.355,1.51,1.54,1.54,1.55,1.54
212,2012,1.405,1.55,1.57,1.57,1.57,1.57
213,2013,1.425,1.58,1.59,1.59,1.6,1.6
214,2014,1.455,1.62,1.62,1.62,1.63,1.63
215,2015,1.895,1.66,1.65,1.64,1.65,1.65
216,2016,1.7550000000000001,1.7,1.67,1.67,1.67,1.68
217,2017,1.795,1.74,1.7,1.7,1.69,1.71
218,2018,1.335,1.78,1.72,1.73,1.72,1.74
219,2019,1.925,1.82,1.75,1.76,1.74,1.77
220,2020,1.955,1.86,1.78,1.79,1.77,1.8
221,2021,,,1.81,1.82,1.8,1.83
222,2022,,,1.85,1.86,1.83,1.87
223,2023,,,1.87,1.89,1.86,1.9
224,2024,,,1.9,1.92,1.9,1.93
225,2025,,,1.93,1.95,1.93,1.96
226,2026,,,1.96,1.98,1.96,2.0
227,2027,,,1.98,2.0,1.99,2.03
228,2028,,,2.01,2.03,2.03,2.06
229,2029,,,2.04,2.06,2.07,2.09
230,2030,,,2.06,2.08,2.1,2.13
231,2031,,,2.08,2.1,2.14,2.16
232,2032,,,2.11,2.13,2.17,2.2
233,2033,,,2.13,2.15,2.2,2.24
234,2034,,,2.15,2.18,2.22,2.28
235,2035,,,2.18,2.21,2.25,2.32
236,2036,,,2.2,2.23,2.29,2.36
237,2037,,,2.22,2.26,2.32,2.41
