Trinidad and Tobago,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,-0.12225806451612897,-0.01,,,,
25,1825,0.20774193548387104,-0.01,,,,
26,1826,-0.07225806451612893,-0.01,,,,
27,1827,0.14774193548387105,-0.01,,,,
28,1828,-0.10225806451612895,-0.01,,,,
29,1829,-0.12225806451612897,-0.02,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,0.357741935483871,-0.01,,,,
47,1847,-0.17225806451612902,-0.02,,,,
48,1848,-0.13225806451612898,-0.03,,,,
49,1849,-0.20225806451612893,-0.04,,,,
50,1850,-0.06225806451612892,-0.05,,,,
51,1851,-0.07225806451612893,-0.07,,,,
52,1852,-0.09225806451612895,-0.08,,,,
53,1853,0.07774193548387104,-0.09,,,,
54,1854,-0.09225806451612895,-0.1,,,,
55,1855,0.07774193548387104,-0.11,,,,
56,1856,0.04774193548387101,-0.11,,,,
57,1857,-0.4422580645161289,-0.12,,,,
58,1858,-0.292258064516129,-0.13,,,,
59,1859,-0.272258064516129,-0.13,,,,
60,1860,-0.05225806451612902,-0.13,,,,
61,1861,-0.08225806451612894,-0.12,,,,
62,1862,-0.22225806451612895,-0.1,,,,
63,1863,-0.292258064516129,-0.06,,,,
64,1864,-0.04225806451612901,-0.03,,,,
65,1865,0.04774193548387101,0.01,,,,
66,1866,0.09774193548387106,0.04,,,,
67,1867,0.20774193548387104,0.07,,,,
68,1868,0.13774193548387104,0.09,,,,
69,1869,0.45774193548387104,0.11,,,,
70,1870,-0.10225806451612895,0.12,,,,
71,1871,0.18774193548387103,0.13,,,,
72,1872,0.25774193548387103,0.12,,,,
73,1873,0.167741935483871,0.11,,,,
74,1874,0.03774193548387106,0.09,,,,
75,1875,-0.142258064516129,0.06,,,,
76,1876,0.07774193548387104,0.03,,,,
77,1877,0.5377419354838711,-0.0,,,,
78,1878,0.687741935483871,-0.03,,,,
79,1879,-0.23225806451612896,-0.06,,,,
80,1880,-0.6122580645161291,-0.09,,,,
81,1881,0.12774193548387103,-0.11,,,,
82,1882,-0.18225806451612891,-0.13,,,,
83,1883,-0.20225806451612893,-0.15,,,,
84,1884,-0.35225806451612895,-0.16,,,,
85,1885,-0.022258064516128995,-0.16,,,,
86,1886,-0.32225806451612893,-0.15,,,,
87,1887,-0.282258064516129,-0.15,,,,
88,1888,0.26774193548387104,-0.14,,,,
89,1889,0.637741935483871,-0.13,,,,
90,1890,-0.6322580645161289,-0.11,,,,
91,1891,0.24774193548387102,-0.09,,,,
92,1892,-0.152258064516129,-0.06,,,,
93,1893,-0.22225806451612895,-0.04,,,,
94,1894,-0.292258064516129,-0.01,,,,
95,1895,0.04774193548387101,0.03,,,,
96,1896,0.15774193548387105,0.07,,,,
97,1897,0.24774193548387102,0.12,,,,
98,1898,-0.08225806451612894,0.15,,,,
99,1899,0.337741935483871,0.18,,,,
100,1900,0.377741935483871,0.19,,,,
101,1901,0.377741935483871,0.19,,,,
102,1902,0.40774193548387105,0.17,,,,
103,1903,0.437741935483871,0.15,,,,
104,1904,-0.21225806451612894,0.12,,,,
105,1905,0.167741935483871,0.08,,,,
106,1906,-0.002258064516128977,0.04,,,,
107,1907,-0.142258064516129,-0.01,,,,
108,1908,-0.18225806451612891,-0.05,,,,
109,1909,-0.152258064516129,-0.09,,,,
110,1910,-0.12225806451612897,-0.12,,,,
111,1911,-0.09225806451612895,-0.14,,,,
112,1912,-0.08225806451612894,-0.16,,,,
113,1913,-0.412258064516129,-0.18,,,,
114,1914,-0.05225806451612902,-0.19,,,,
115,1915,0.05774193548387102,-0.2,,,,
116,1916,-0.33225806451612894,-0.21,,,,
117,1917,-0.6322580645161289,-0.22,,,,
118,1918,-0.33225806451612894,-0.22,,,,
119,1919,0.06774193548387103,-0.22,,,,
120,1920,-0.22225806451612895,-0.2,,,,
121,1921,-0.24225806451612897,-0.17,,,,
122,1922,-0.35225806451612895,-0.14,,,,
123,1923,-0.392258064516129,-0.1,,,,
