Turkmenistan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
112,1912,0.11032258064516132,0.11,,,,
113,1913,0.15032258064516132,0.13,,,,
114,1914,0.9803225806451613,0.14,,,,
115,1915,1.6003225806451613,0.15,,,,
116,1916,-0.4196774193548387,0.16,,,,
117,1917,0.8303225806451613,0.16,,,,
118,1918,-0.4296774193548387,0.16,,,,
119,1919,0.28032258064516136,0.15,,,,
120,1920,-1.4896774193548388,0.13,,,,
121,1921,-0.11967741935483867,0.1,,,,
122,1922,0.8503225806451613,0.05,,,,
123,1923,-0.20967741935483863,-0.01,,,,
124,1924,-0.12967741935483867,-0.08,,,,
125,1925,0.7803225806451612,-0.16,,,,
126,1926,0.0903225806451613,-0.23,,,,
127,1927,0.0303225806451613,-0.3,,,,
128,1928,-0.9796774193548388,-0.37,,,,
129,1929,-1.4396774193548387,-0.42,,,,
130,1930,-0.7596774193548386,-0.45,,,,
131,1931,-1.0696774193548386,-0.47,,,,
132,1932,-0.4196774193548387,-0.45,,,,
133,1933,-0.17967741935483872,-0.39,,,,
134,1934,-1.1696774193548387,-0.28,,,,
135,1935,-0.22967741935483865,-0.14,,,,
136,1936,0.17032258064516131,0.01,,,,
137,1937,-0.24967741935483867,0.14,,,,
138,1938,0.5803225806451613,0.23,,,,
139,1939,0.6203225806451613,0.3,,,,
140,1940,1.2003225806451612,0.36,,,,
141,1941,1.4703225806451614,0.41,,,,
142,1942,0.4603225806451613,0.44,,,,
143,1943,-0.6596774193548387,0.43,,,,
144,1944,0.9203225806451614,0.39,,,,
145,1945,-0.4096774193548387,0.32,,,,
146,1946,0.26032258064516134,0.25,,,,
147,1947,0.9803225806451613,0.18,,,,
148,1948,0.5103225806451613,0.13,,,,
149,1949,-1.0996774193548386,0.1,,,,
150,1950,-0.9396774193548387,0.08,,,,
151,1951,-0.12967741935483867,0.07,,,,
152,1952,0.05032258064516132,0.05,,,,
153,1953,0.4803225806451613,0.05,,,,
154,1954,-0.35967741935483866,0.06,,,,
155,1955,1.4703225806451614,0.1,,,,
156,1956,0.010322580645161339,0.17,,,,
157,1957,-0.24967741935483867,0.25,,,,
158,1958,0.8803225806451613,0.32,,,,
159,1959,-0.4096774193548387,0.38,,,,
160,1960,0.28032258064516136,0.43,,,,
161,1961,1.2303225806451614,0.49,,,,
162,1962,0.5303225806451614,0.54,,,,
163,1963,1.2503225806451614,0.59,,,,
164,1964,-0.4296774193548387,0.65,,,,
165,1965,0.7703225806451613,0.69,,,,
166,1966,1.3103225806451613,0.72,,,,
167,1967,0.4303225806451613,0.73,,,,
168,1968,0.5403225806451614,0.72,,,,
169,1969,-1.1496774193548387,0.69,,,,
170,1970,0.9503225806451613,0.66,,,,
171,1971,1.2803225806451612,0.63,,,,
172,1972,-1.1396774193548387,0.61,,,,
173,1973,0.7203225806451613,0.61,,,,
174,1974,-0.49967741935483867,0.6,,,,
175,1975,0.8203225806451613,0.61,,,,
176,1976,-0.36967741935483867,0.6,,,,
177,1977,0.6503225806451614,0.61,,,,
178,1978,0.4103225806451613,0.62,,,,
179,1979,1.0703225806451613,0.64,,,,
180,1980,0.7403225806451613,0.68,,,,
181,1981,1.3103225806451613,0.72,,,,
182,1982,-0.12967741935483867,0.77,,,,
183,1983,1.6203225806451613,0.81,,,,
184,1984,-0.3096774193548387,0.85,,,,
185,1985,0.8403225806451613,0.87,,,,
186,1986,0.8603225806451613,0.87,,,,
187,1987,0.8003225806451613,0.86,,,,
188,1988,1.2903225806451615,0.85,,,,
189,1989,0.9403225806451613,0.85,,,,
190,1990,1.2503225806451614,0.86,,,,
191,1991,0.8303225806451613,0.9,,,,
192,1992,0.3503225806451613,0.94,,,,
193,1993,-0.019677419354838688,0.99,,,,
194,1994,0.6303225806451613,1.05,,,,
195,1995,1.7603225806451612,1.1,,,,
196,1996,0.5803225806451613,1.17,,,,
197,1997,1.5903225806451613,1.24,,,,
198,1998,1.4303225806451614,1.33,,,,
199,1999,1.6703225806451614,1.41,,,,
200,2000,1.6803225806451614,1.49,,,,
201,2001,1.8503225806451613,1.54,,,,
202,2002,1.6003225806451613,1.56,,,,
203,2003,0.8903225806451613,1.57,,,,
204,2004,1.8903225806451613,1.57,,,,
205,2005,1.7903225806451613,1.56,1.34,1.33,1.37,1.35
206,2006,1.6603225806451614,1.55,1.38,1.37,1.41,1.38
207,2007,1.4403225806451614,1.53,1.42,1.41,1.44,1.42
208,2008,1.0603225806451613,1.52,1.46,1.45,1.48,1.46
209,2009,1.5403225806451613,1.53,1.5,1.49,1.52,1.5
210,2010,2.240322580645161,1.55,1.54,1.53,1.55,1.54
211,2011,0.9703225806451613,1.57,1.58,1.58,1.59,1.58
212,2012,1.1203225806451613,1.62,1.62,1.62,1.63,1.62
213,2013,2.0903225806451613,1.65,1.66,1.66,1.67,1.66
214,2014,1.0003225806451614,1.68,1.7,1.7,1.7,1.7
215,2015,1.8503225806451613,1.7,1.75,1.75,1.74,1.75
216,2016,2.250322580645161,1.73,1.8,1.8,1.79,1.8
217,2017,1.7703225806451612,1.77,1.85,1.86,1.83,1.85
218,2018,1.9503225806451614,1.8,1.9,1.91,1.87,1.89
219,2019,2.160322580645161,1.83,1.95,1.97,1.92,1.94
220,2020,1.1803225806451614,1.87,2.01,2.02,1.96,1.99
221,2021,,,2.05,2.06,2.0,2.04
222,2022,,,2.1,2.11,2.04,2.08
223,2023,,,2.14,2.15,2.08,2.12
224,2024,,,2.18,2.19,2.13,2.17
225,2025,,,2.23,2.22,2.17,2.22
226,2026,,,2.27,2.26,2.21,2.27
227,2027,,,2.31,2.29,2.25,2.33
228,2028,,,2.34,2.32,2.3,2.38
229,2029,,,2.38,2.35,2.34,2.44
230,2030,,,2.41,2.37,2.39,2.49
231,2031,,,2.44,2.4,2.43,2.55
232,2032,,,2.47,2.43,2.47,2.61
233,2033,,,2.49,2.46,2.51,2.67
234,2034,,,2.51,2.5,2.55,2.73
235,2035,,,2.53,2.53,2.59,2.78
236,2036,,,2.55,2.56,2.64,2.84
237,2037,,,2.56,2.6,2.68,2.9
238,2038,,,2.58,2.63,2.73,2.96
239,2039,,,2.59,2.66,2.78,3.02
240,2040,,,2.61,2.7,2.83,3.08
241,2041,,,2.62,2.74,2.89,3.14
242,2042,,,2.64,2.78,2.94,3.2
243,2043,,,2.66,2.82,2.99,3.27
244,2044,,,2.68,2.86,3.05,3.33
245,2045,,,2.7,2.9,3.1,3.4
246,2046,,,2.73,2.94,3.15,3.47
247,2047,,,2.75,2.99,3.2,3.54
248,2048,,,2.77,3.04,3.25,3.61
249,2049,,,2.79,3.09,3.3,3.67
250,2050,,,2.81,3.14,3.35,3.74
251,2051,,,2.83,3.18,3.4,3.81
252,2052,,,2.84,3.23,3.44,3.89
253,2053,,,2.85,3.27,3.49,3.97
254,2054,,,2.86,3.3,3.54,4.04
255,2055,,,2.87,3.33,3.6,4.11
256,2056,,,2.88,3.36,3.65,4.18
257,2057,,,2.88,3.38,3.71,4.26
258,2058,,,2.89,3.41,3.76,4.34
259,2059,,,2.9,3.43,3.81,4.43
260,2060,,,2.91,3.45,3.86,4.51
261,2061,,,2.91,3.47,3.91,4.6
262,2062,,,2.91,3.49,3.96,4.67
263,2063,,,2.91,3.52,4.01,4.75
264,2064,,,2.91,3.54,4.07,4.82
265,2065,,,2.91,3.56,4.12,4.9
266,2066,,,2.91,3.59,4.18,4.97
267,2067,,,2.91,3.62,4.23,5.04
268,2068,,,2.91,3.65,4.29,5.12
269,2069,,,2.91,3.68,4.35,5.18
270,2070,,,2.91,3.7,4.41,5.25
271,2071,,,2.91,3.73,4.47,5.32
272,2072,,,2.92,3.75,4.53,5.39
273,2073,,,2.92,3.77,4.58,5.47
274,2074,,,2.93,3.78,4.64,5.54
275,2075,,,2.94,3.8,4.69,5.61
276,2076,,,2.95,3.82,4.75,5.69
277,2077,,,2.95,3.84,4.81,5.77
278,2078,,,2.95,3.86,4.87,5.85
279,2079,,,2.96,3.89,4.93,5.94
280,2080,,,2.96,3.91,4.99,6.03
281,2081,,,2.96,3.94,5.06,6.12
282,2082,,,2.95,3.96,5.12,6.22
283,2083,,,2.95,3.99,5.19,6.32
284,2084,,,2.95,4.01,5.25,6.41
285,2085,,,2.94,4.04,5.32,6.51
286,2086,,,2.93,4.06,5.38,6.61
287,2087,,,2.91,4.09,5.44,6.7
288,2088,,,2.9,4.11,5.5,6.8
289,2089,,,2.89,4.12,5.55,6.89
290,2090,,,2.87,4.14,5.61,6.99
291,2091,,,2.86,4.15,5.66,7.08
292,2092,,,2.85,4.16,5.72,7.17
293,2093,,,2.84,4.17,5.78,7.26
294,2094,,,2.83,4.18,5.84,7.35
295,2095,,,2.82,4.2,5.91,7.45
296,2096,,,2.82,4.21,5.97,7.55
297,2097,,,2.81,4.23,6.03,7.64
298,2098,,,2.8,4.24,6.1,7.74
299,2099,,,2.79,4.25,6.16,7.83
300,2100,,,2.79,4.27,6.23,7.93
