Hong Kong S.A.R.,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
121,1921,-0.041612903225806575,-0.21,,,,
122,1922,-0.041612903225806575,-0.21,,,,
123,1923,-0.021612903225806557,-0.19,,,,
124,1924,-0.16161290322580657,-0.16,,,,
125,1925,-0.5716129032258066,-0.14,,,,
126,1926,-0.3616129032258065,-0.12,,,,
127,1927,-0.3616129032258065,-0.11,,,,
128,1928,0.21838709677419343,-0.1,,,,
129,1929,0.23838709677419345,-0.09,,,,
130,1930,-0.021612903225806557,-0.07,,,,
131,1931,-0.001612903225806539,-0.04,,,,
132,1932,-0.2016129032258066,-0.01,,,,
133,1933,0.16838709677419345,0.03,,,,
134,1934,-0.4316129032258066,0.05,,,,
135,1935,0.17838709677419345,0.08,,,,
136,1936,-0.3116129032258066,0.1,,,,
137,1937,0.41838709677419345,0.12,,,,
138,1938,0.36838709677419346,0.14,,,,
139,1939,0.018387096774193423,0.17,,,,
140,1940,0.31838709677419347,0.18,,,,
141,1941,0.41838709677419345,0.2,,,,
142,1942,0.24838709677419346,0.21,,,,
143,1943,0.18838709677419344,0.22,,,,
144,1944,0.06838709677419347,0.23,,,,
145,1945,-0.3016129032258066,0.24,,,,
146,1946,0.6083870967741934,0.25,,,,
147,1947,-0.17161290322580658,0.26,,,,
148,1948,0.43838709677419346,0.27,,,,
149,1949,0.5783870967741934,0.29,,,,
150,1950,0.29838709677419345,0.3,,,,
151,1951,0.018387096774193423,0.31,,,,
152,1952,0.6383870967741935,0.32,,,,
153,1953,0.43838709677419346,0.33,,,,
154,1954,0.3283870967741934,0.34,,,,
155,1955,0.21838709677419343,0.35,,,,
156,1956,0.15838709677419344,0.36,,,,
157,1957,0.08838709677419343,0.37,,,,
158,1958,0.41838709677419345,0.38,,,,
159,1959,0.6283870967741935,0.39,,,,
160,1960,0.6283870967741935,0.4,,,,
161,1961,0.43838709677419346,0.41,,,,
162,1962,0.16838709677419345,0.42,,,,
163,1963,0.6183870967741935,0.41,,,,
164,1964,0.37838709677419347,0.39,,,,
165,1965,0.4583870967741934,0.36,,,,
166,1966,0.9683870967741934,0.34,,,,
167,1967,0.12838709677419344,0.32,,,,
168,1968,0.2683870967741935,0.3,,,,
169,1969,0.00838709677419347,0.29,,,,
170,1970,0.10838709677419345,0.28,,,,
171,1971,0.08838709677419343,0.27,,,,
172,1972,0.31838709677419347,0.27,,,,
173,1973,0.7283870967741934,0.28,,,,
174,1974,0.19838709677419344,0.3,,,,
175,1975,0.34838709677419344,0.33,,,,
176,1976,-0.07161290322580655,0.36,,,,
177,1977,0.7383870967741935,0.37,,,,
178,1978,0.31838709677419347,0.37,,,,
179,1979,0.43838709677419346,0.36,,,,
180,1980,0.5383870967741935,0.35,,,,
181,1981,0.5183870967741935,0.35,,,,
182,1982,0.36838709677419346,0.35,,,,
183,1983,0.25838709677419347,0.36,,,,
184,1984,-0.1816129032258066,0.37,,,,
185,1985,0.08838709677419343,0.38,,,,
186,1986,0.31838709677419347,0.39,,,,
187,1987,0.9683870967741934,0.4,,,,
188,1988,0.18838709677419344,0.42,,,,
189,1989,0.47838709677419344,0.44,,,,
190,1990,0.6983870967741934,0.47,,,,
191,1991,0.9083870967741935,0.5,,,,
192,1992,0.20838709677419345,0.53,,,,
193,1993,0.4483870967741934,0.57,,,,
194,1994,0.8583870967741934,0.6,,,,
195,1995,0.15838709677419344,0.64,,,,
196,1996,0.43838709677419346,0.68,,,,
197,1997,0.5183870967741935,0.72,,,,
198,1998,1.2883870967741935,0.76,,,,
199,1999,0.9783870967741934,0.8,,,,
200,2000,0.7283870967741934,0.85,,,,
201,2001,0.9383870967741934,0.89,,,,
202,2002,1.2383870967741935,0.92,,,,
203,2003,1.0583870967741933,0.95,,,,
204,2004,0.8983870967741935,0.95,,,,
205,2005,0.6983870967741934,0.94,0.85,0.86,0.93,0.85
206,2006,1.1583870967741934,0.92,0.88,0.89,0.95,0.88
207,2007,1.2383870967741935,0.9,0.92,0.93,0.98,0.92
208,2008,0.6083870967741934,0.89,0.95,0.96,1.0,0.95
209,2009,1.0283870967741935,0.9,0.99,1.0,1.03,0.99
210,2010,0.7383870967741935,0.91,1.02,1.03,1.05,1.02
211,2011,0.43838709677419346,0.93,1.06,1.06,1.08,1.06
212,2012,0.8083870967741935,0.96,1.1,1.1,1.1,1.09
213,2013,0.8383870967741934,1.03,1.13,1.13,1.13,1.13
214,2014,0.9183870967741935,1.11,1.17,1.17,1.16,1.17
215,2015,1.5083870967741935,1.19,1.21,1.21,1.18,1.21
216,2016,1.0583870967741933,1.28,1.25,1.25,1.21,1.25
217,2017,1.3283870967741933,1.36,1.29,1.29,1.24,1.29
218,2018,1.2283870967741934,1.45,1.33,1.32,1.27,1.34
219,2019,1.7983870967741935,1.54,1.38,1.36,1.3,1.38
220,2020,1.8683870967741933,1.64,1.42,1.39,1.33,1.42
221,2021,,,1.45,1.42,1.37,1.46
222,2022,,,1.49,1.45,1.4,1.49
223,2023,,,1.52,1.48,1.43,1.53
224,2024,,,1.55,1.51,1.47,1.57
225,2025,,,1.58,1.53,1.5,1.6
226,2026,,,1.61,1.56,1.54,1.63
227,2027,,,1.64,1.59,1.57,1.66
228,2028,,,1.67,1.62,1.61,1.69
229,2029,,,1.7,1.65,1.64,1.71
230,2030,,,1.73,1.67,1.67,1.75
231,2031,,,1.76,1.7,1.71,1.78
232,2032,,,1.78,1.73,1.74,1.82
233,2033,,,1.81,1.76,1.77,1.86
234,2034,,,1.83,1.79,1.8,1.9
235,2035,,,1.86,1.82,1.83,1.95
236,2036,,,1.88,1.85,1.85,1.99
237,2037,,,1.9,1.88,1.88,2.04
238,2038,,,1.92,1.9,1.92,2.1
239,2039,,,1.94,1.93,1.95,2.15
240,2040,,,1.95,1.96,1.98,2.2
241,2041,,,1.96,1.99,2.01,2.25
242,2042,,,1.98,2.01,2.04,2.3
243,2043,,,1.99,2.04,2.07,2.35
244,2044,,,2.01,2.07,2.1,2.39
245,2045,,,2.02,2.09,2.13,2.43
246,2046,,,2.03,2.11,2.17,2.47
247,2047,,,2.04,2.14,2.2,2.52
248,2048,,,2.05,2.16,2.24,2.56
249,2049,,,2.06,2.19,2.27,2.6
250,2050,,,2.07,2.21,2.31,2.65
251,2051,,,2.08,2.24,2.35,2.69
252,2052,,,2.1,2.27,2.38,2.74
253,2053,,,2.11,2.29,2.42,2.78
254,2054,,,2.12,2.32,2.46,2.83
255,2055,,,2.12,2.35,2.51,2.88
256,2056,,,2.13,2.38,2.55,2.93
257,2057,,,2.14,2.4,2.58,2.98
258,2058,,,2.15,2.42,2.62,3.03
259,2059,,,2.16,2.44,2.65,3.08
260,2060,,,2.17,2.45,2.68,3.13
261,2061,,,2.17,2.47,2.71,3.19
262,2062,,,2.18,2.49,2.75,3.24
263,2063,,,2.18,2.51,2.79,3.29
264,2064,,,2.19,2.52,2.83,3.35
265,2065,,,2.19,2.54,2.87,3.4
266,2066,,,2.19,2.56,2.9,3.46
267,2067,,,2.2,2.58,2.94,3.51
268,2068,,,2.2,2.6,2.98,3.57
269,2069,,,2.21,2.63,3.02,3.62
270,2070,,,2.21,2.65,3.06,3.68
271,2071,,,2.22,2.68,3.1,3.73
272,2072,,,2.22,2.7,3.14,3.79
273,2073,,,2.23,2.73,3.18,3.84
274,2074,,,2.23,2.75,3.22,3.89
275,2075,,,2.23,2.77,3.26,3.95
276,2076,,,2.23,2.79,3.3,4.0
277,2077,,,2.23,2.81,3.34,4.05
278,2078,,,2.23,2.83,3.38,4.1
279,2079,,,2.23,2.85,3.42,4.16
280,2080,,,2.23,2.86,3.46,4.21
281,2081,,,2.23,2.87,3.51,4.27
282,2082,,,2.22,2.89,3.56,4.33
283,2083,,,2.22,2.9,3.6,4.39
284,2084,,,2.21,2.92,3.64,4.45
285,2085,,,2.21,2.93,3.68,4.52
286,2086,,,2.2,2.95,3.72,4.58
287,2087,,,2.19,2.96,3.76,4.65
288,2088,,,2.19,2.97,3.8,4.71
289,2089,,,2.18,2.99,3.84,4.78
290,2090,,,2.17,3.0,3.88,4.85
291,2091,,,2.16,3.02,3.92,4.91
292,2092,,,2.16,3.03,3.96,4.97
293,2093,,,2.16,3.03,4.01,5.04
294,2094,,,2.17,3.04,4.05,5.09
295,2095,,,2.17,3.05,4.09,5.15
296,2096,,,2.17,3.06,4.14,5.21
297,2097,,,2.17,3.07,4.18,5.27
298,2098,,,2.18,3.08,4.22,5.33
299,2099,,,2.18,3.09,4.27,5.39
300,2100,,,2.18,3.1,4.32,5.45
