Kenya,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
152,1952,0.5762499999999999,0.41,,,,
153,1953,0.64625,0.4,,,,
154,1954,0.38625,0.39,,,,
155,1955,0.31625,0.38,,,,
156,1956,-0.003750000000000031,0.38,,,,
157,1957,0.25625,0.36,,,,
158,1958,0.5662499999999999,0.35,,,,
159,1959,0.51625,0.33,,,,
160,1960,0.29624999999999996,0.32,,,,
161,1961,0.49624999999999997,0.31,,,,
162,1962,0.21624999999999997,0.31,,,,
163,1963,0.15624999999999994,0.32,,,,
164,1964,-0.02375000000000005,0.33,,,,
165,1965,0.27625,0.34,,,,
166,1966,0.45624999999999993,0.36,,,,
167,1967,0.26625,0.37,,,,
168,1968,-0.18375000000000002,0.4,,,,
169,1969,0.5562499999999999,0.42,,,,
170,1970,0.63625,0.45,,,,
171,1971,0.20624999999999996,0.48,,,,
172,1972,0.72625,0.51,,,,
173,1973,0.90625,0.54,,,,
174,1974,0.38625,0.57,,,,
175,1975,0.43624999999999997,0.6,,,,
176,1976,0.70625,0.62,,,,
177,1977,0.67625,0.65,,,,
178,1978,0.47624999999999995,0.67,,,,
179,1979,0.5762499999999999,0.69,,,,
180,1980,1.05625,0.71,,,,
181,1981,0.67625,0.73,,,,
182,1982,0.8262499999999999,0.75,,,,
183,1983,1.23625,0.76,,,,
184,1984,0.74625,0.77,,,,
185,1985,0.5762499999999999,0.78,,,,
186,1986,0.8162499999999999,0.79,,,,
187,1987,1.44625,0.8,,,,
188,1988,1.09625,0.81,,,,
189,1989,0.46624999999999994,0.82,,,,
190,1990,0.5662499999999999,0.83,,,,
191,1991,0.88625,0.84,,,,
192,1992,0.92625,0.85,,,,
193,1993,0.67625,0.87,,,,
194,1994,0.9762500000000001,0.89,,,,
195,1995,0.9762500000000001,0.92,,,,
196,1996,0.90625,0.96,,,,
197,1997,1.04625,1.01,,,,
198,1998,0.96625,1.06,,,,
199,1999,0.7862499999999999,1.11,,,,
200,2000,1.18625,1.16,,,,
201,2001,1.08625,1.21,,,,
202,2002,1.33625,1.26,,,,
203,2003,1.46625,1.31,,,,
204,2004,1.39625,1.36,,,,
205,2005,1.73625,1.4,1.33,1.34,1.33,1.32
206,2006,1.46625,1.44,1.35,1.37,1.36,1.34
207,2007,1.44625,1.47,1.38,1.39,1.39,1.37
208,2008,1.34625,1.49,1.41,1.42,1.41,1.4
209,2009,1.86625,1.51,1.44,1.44,1.44,1.43
210,2010,1.61625,1.52,1.46,1.47,1.47,1.46
211,2011,1.5462500000000001,1.53,1.49,1.5,1.5,1.49
212,2012,1.46625,1.54,1.52,1.52,1.52,1.52
213,2013,1.2762499999999999,1.55,1.55,1.55,1.55,1.55
214,2014,1.49625,1.56,1.58,1.57,1.58,1.58
215,2015,1.74625,1.57,1.61,1.6,1.61,1.61
216,2016,1.57625,1.58,1.63,1.62,1.64,1.64
217,2017,1.64625,1.59,1.66,1.65,1.66,1.67
218,2018,1.0062499999999999,1.6,1.69,1.68,1.68,1.7
219,2019,1.75625,1.61,1.72,1.71,1.7,1.73
220,2020,1.58625,1.62,1.76,1.74,1.73,1.76
221,2021,,,1.79,1.77,1.76,1.79
222,2022,,,1.82,1.8,1.79,1.83
223,2023,,,1.86,1.83,1.82,1.86
224,2024,,,1.89,1.86,1.84,1.89
225,2025,,,1.91,1.89,1.87,1.93
226,2026,,,1.94,1.92,1.9,1.96
227,2027,,,1.97,1.95,1.94,1.99
228,2028,,,2.0,1.98,1.97,2.03
229,2029,,,2.02,2.01,2.01,2.06
230,2030,,,2.05,2.04,2.04,2.09
231,2031,,,2.07,2.06,2.07,2.12
232,2032,,,2.09,2.09,2.11,2.16
233,2033,,,2.11,2.12,2.13,2.2
234,2034,,,2.13,2.14,2.16,2.23
235,2035,,,2.15,2.17,2.19,2.27
236,2036,,,2.18,2.2,2.22,2.32
237,2037,,,2.2,2.22,2.26,2.36
238,2038,,,2.22,2.25,2.29,2.41
239,2039,,,2.23,2.27,2.32,2.46
240,2040,,,2.25,2.3,2.36,2.51
241,2041,,,2.26,2.33,2.39,2.56
242,2042,,,2.28,2.36,2.43,2.61
243,2043,,,2.29,2.39,2.46,2.66
244,2044,,,2.3,2.42,2.5,2.71
245,2045,,,2.31,2.46,2.54,2.76
246,2046,,,2.32,2.49,2.58,2.8
247,2047,,,2.33,2.52,2.62,2.85
248,2048,,,2.33,2.55,2.66,2.89
249,2049,,,2.34,2.57,2.7,2.93
250,2050,,,2.34,2.6,2.73,2.98
251,2051,,,2.35,2.63,2.77,3.02
252,2052,,,2.35,2.65,2.81,3.07
253,2053,,,2.36,2.67,2.85,3.11
254,2054,,,2.36,2.7,2.89,3.16
255,2055,,,2.37,2.72,2.93,3.21
256,2056,,,2.38,2.74,2.97,3.26
257,2057,,,2.39,2.77,3.01,3.31
258,2058,,,2.39,2.79,3.04,3.36
259,2059,,,2.4,2.81,3.08,3.41
260,2060,,,2.41,2.84,3.12,3.46
261,2061,,,2.42,2.86,3.16,3.52
262,2062,,,2.42,2.88,3.2,3.57
263,2063,,,2.42,2.91,3.25,3.62
264,2064,,,2.43,2.93,3.28,3.68
265,2065,,,2.43,2.95,3.32,3.73
266,2066,,,2.43,2.97,3.36,3.78
267,2067,,,2.43,2.99,3.4,3.83
268,2068,,,2.42,3.01,3.43,3.89
269,2069,,,2.42,3.03,3.47,3.94
270,2070,,,2.43,3.05,3.52,3.99
271,2071,,,2.43,3.07,3.56,4.04
272,2072,,,2.43,3.08,3.6,4.1
273,2073,,,2.44,3.1,3.63,4.15
274,2074,,,2.44,3.11,3.67,4.21
275,2075,,,2.44,3.13,3.71,4.26
276,2076,,,2.44,3.15,3.75,4.32
277,2077,,,2.44,3.16,3.8,4.38
278,2078,,,2.45,3.18,3.84,4.44
279,2079,,,2.45,3.2,3.88,4.5
280,2080,,,2.45,3.22,3.93,4.57
281,2081,,,2.45,3.23,3.97,4.63
282,2082,,,2.44,3.25,4.02,4.7
283,2083,,,2.44,3.27,4.06,4.76
284,2084,,,2.43,3.29,4.11,4.83
285,2085,,,2.43,3.3,4.16,4.89
286,2086,,,2.42,3.32,4.21,4.96
287,2087,,,2.42,3.34,4.25,5.02
288,2088,,,2.41,3.36,4.29,5.09
289,2089,,,2.4,3.37,4.33,5.15
290,2090,,,2.39,3.39,4.37,5.21
291,2091,,,2.39,3.41,4.41,5.27
292,2092,,,2.38,3.42,4.45,5.33
293,2093,,,2.38,3.43,4.5,5.39
294,2094,,,2.38,3.45,4.54,5.45
295,2095,,,2.37,3.46,4.59,5.5
296,2096,,,2.37,3.47,4.63,5.56
297,2097,,,2.37,3.49,4.68,5.62
298,2098,,,2.37,3.5,4.72,5.68
299,2099,,,2.36,3.51,4.77,5.74
300,2100,,,2.36,3.53,4.81,5.8
