Benin,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
147,1947,0.698,0.5,,,,
148,1948,0.15799999999999995,0.46,,,,
149,1949,0.708,0.43,,,,
150,1950,0.23799999999999993,0.39,,,,
151,1951,0.518,0.35,,,,
152,1952,0.39799999999999996,0.32,,,,
153,1953,0.29799999999999993,0.3,,,,
154,1954,0.09799999999999992,0.28,,,,
155,1955,0.007999999999999952,0.28,,,,
156,1956,0.09799999999999992,0.27,,,,
157,1957,0.21799999999999994,0.26,,,,
158,1958,0.48799999999999993,0.26,,,,
159,1959,0.478,0.27,,,,
160,1960,0.36799999999999994,0.28,,,,
161,1961,0.07799999999999996,0.29,,,,
162,1962,0.20799999999999993,0.3,,,,
163,1963,0.5579999999999999,0.3,,,,
164,1964,0.16799999999999995,0.31,,,,
165,1965,0.18799999999999994,0.33,,,,
166,1966,0.39799999999999996,0.35,,,,
167,1967,0.14799999999999994,0.38,,,,
168,1968,0.33799999999999997,0.41,,,,
169,1969,0.718,0.42,,,,
170,1970,0.6579999999999999,0.43,,,,
171,1971,0.2879999999999999,0.43,,,,
172,1972,0.598,0.43,,,,
173,1973,1.1079999999999999,0.44,,,,
174,1974,0.2879999999999999,0.45,,,,
175,1975,0.12799999999999995,0.46,,,,
176,1976,0.07799999999999996,0.47,,,,
177,1977,0.588,0.49,,,,
178,1978,0.38799999999999996,0.52,,,,
179,1979,0.718,0.56,,,,
180,1980,0.758,0.62,,,,
181,1981,0.718,0.67,,,,
182,1982,0.508,0.72,,,,
183,1983,0.988,0.76,,,,
184,1984,0.838,0.78,,,,
185,1985,0.768,0.79,,,,
186,1986,0.718,0.79,,,,
187,1987,1.498,0.79,,,,
188,1988,0.938,0.79,,,,
189,1989,0.4179999999999999,0.79,,,,
190,1990,1.0879999999999999,0.79,,,,
191,1991,0.608,0.8,,,,
192,1992,0.46799999999999997,0.82,,,,
193,1993,0.9179999999999999,0.84,,,,
194,1994,0.708,0.87,,,,
195,1995,0.968,0.9,,,,
196,1996,1.0779999999999998,0.93,,,,
197,1997,0.9179999999999999,0.97,,,,
198,1998,1.418,1.02,,,,
199,1999,0.958,1.07,,,,
200,2000,0.8779999999999999,1.13,,,,
201,2001,1.048,1.17,,,,
202,2002,1.158,1.21,,,,
203,2003,1.398,1.25,,,,
204,2004,1.308,1.28,,,,
205,2005,1.6079999999999999,1.31,1.12,1.14,1.15,1.13
206,2006,1.498,1.33,1.15,1.17,1.18,1.16
207,2007,1.408,1.35,1.18,1.2,1.21,1.2
208,2008,1.0679999999999998,1.35,1.21,1.23,1.24,1.23
209,2009,1.308,1.34,1.24,1.26,1.27,1.25
210,2010,1.5179999999999998,1.33,1.27,1.28,1.3,1.28
211,2011,1.3279999999999998,1.32,1.3,1.31,1.32,1.31
212,2012,1.0979999999999999,1.32,1.33,1.34,1.35,1.34
213,2013,1.238,1.33,1.36,1.37,1.38,1.37
214,2014,1.3179999999999998,1.34,1.39,1.39,1.41,1.4
215,2015,1.3479999999999999,1.35,1.42,1.42,1.43,1.43
216,2016,1.5479999999999998,1.37,1.46,1.45,1.45,1.45
217,2017,1.418,1.38,1.5,1.47,1.46,1.48
218,2018,1.288,1.39,1.53,1.5,1.48,1.5
219,2019,1.448,1.4,1.57,1.53,1.5,1.53
220,2020,1.398,1.42,1.61,1.56,1.52,1.56
221,2021,,,1.65,1.59,1.54,1.59
222,2022,,,1.69,1.62,1.57,1.62
223,2023,,,1.73,1.66,1.6,1.66
224,2024,,,1.77,1.69,1.63,1.7
225,2025,,,1.8,1.72,1.66,1.73
226,2026,,,1.84,1.76,1.69,1.77
227,2027,,,1.87,1.79,1.72,1.8
228,2028,,,1.9,1.82,1.75,1.84
229,2029,,,1.94,1.85,1.79,1.87
230,2030,,,1.97,1.88,1.83,1.91
231,2031,,,2.0,1.91,1.86,1.94
232,2032,,,2.03,1.94,1.89,1.98
233,2033,,,2.06,1.97,1.92,2.02
234,2034,,,2.08,2.0,1.95,2.06
235,2035,,,2.1,2.02,1.99,2.09
236,2036,,,2.12,2.05,2.02,2.13
237,2037,,,2.14,2.08,2.06,2.18
238,2038,,,2.15,2.11,2.09,2.22
239,2039,,,2.17,2.14,2.13,2.27
240,2040,,,2.18,2.17,2.16,2.32
241,2041,,,2.19,2.2,2.19,2.37
242,2042,,,2.2,2.23,2.23,2.42
243,2043,,,2.21,2.27,2.26,2.47
244,2044,,,2.22,2.3,2.3,2.52
245,2045,,,2.24,2.34,2.33,2.57
246,2046,,,2.25,2.37,2.37,2.62
247,2047,,,2.26,2.4,2.42,2.67
248,2048,,,2.27,2.44,2.46,2.72
249,2049,,,2.29,2.48,2.51,2.77
250,2050,,,2.3,2.51,2.55,2.82
251,2051,,,2.3,2.55,2.6,2.87
252,2052,,,2.31,2.58,2.64,2.93
253,2053,,,2.32,2.62,2.69,2.98
254,2054,,,2.32,2.65,2.73,3.04
255,2055,,,2.33,2.69,2.78,3.1
256,2056,,,2.34,2.72,2.82,3.16
257,2057,,,2.35,2.75,2.86,3.22
258,2058,,,2.36,2.78,2.9,3.28
259,2059,,,2.36,2.8,2.94,3.34
260,2060,,,2.37,2.83,2.99,3.4
261,2061,,,2.38,2.85,3.03,3.46
262,2062,,,2.39,2.88,3.08,3.52
263,2063,,,2.4,2.9,3.12,3.58
264,2064,,,2.4,2.92,3.17,3.64
265,2065,,,2.41,2.95,3.21,3.7
266,2066,,,2.41,2.97,3.26,3.76
267,2067,,,2.41,3.0,3.3,3.82
268,2068,,,2.41,3.02,3.35,3.88
269,2069,,,2.4,3.05,3.4,3.94
270,2070,,,2.4,3.07,3.45,4.0
271,2071,,,2.4,3.1,3.5,4.06
272,2072,,,2.4,3.12,3.55,4.13
273,2073,,,2.4,3.15,3.6,4.19
274,2074,,,2.4,3.17,3.64,4.26
275,2075,,,2.4,3.19,3.69,4.33
276,2076,,,2.41,3.21,3.74,4.4
277,2077,,,2.41,3.23,3.79,4.47
278,2078,,,2.42,3.25,3.84,4.54
279,2079,,,2.43,3.27,3.89,4.62
280,2080,,,2.43,3.28,3.93,4.69
281,2081,,,2.44,3.3,3.98,4.76
282,2082,,,2.44,3.32,4.03,4.84
283,2083,,,2.44,3.34,4.08,4.91
284,2084,,,2.44,3.36,4.13,4.98
285,2085,,,2.43,3.38,4.18,5.05
286,2086,,,2.43,3.4,4.22,5.12
287,2087,,,2.42,3.42,4.27,5.19
288,2088,,,2.41,3.43,4.32,5.26
289,2089,,,2.39,3.45,4.36,5.33
290,2090,,,2.38,3.47,4.41,5.4
291,2091,,,2.36,3.49,4.45,5.48
292,2092,,,2.35,3.5,4.51,5.56
293,2093,,,2.34,3.52,4.56,5.63
294,2094,,,2.33,3.54,4.62,5.71
295,2095,,,2.32,3.55,4.67,5.78
296,2096,,,2.32,3.57,4.73,5.86
297,2097,,,2.31,3.59,4.79,5.94
298,2098,,,2.3,3.6,4.84,6.01
299,2099,,,2.29,3.62,4.9,6.09
300,2100,,,2.28,3.64,4.96,6.16
