Botswana,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
144,1944,0.44,0.52,,,,
145,1945,0.31,0.54,,,,
146,1946,0.65,0.54,,,,
147,1947,0.95,0.53,,,,
148,1948,0.25,0.51,,,,
149,1949,0.8,0.48,,,,
150,1950,0.65,0.47,,,,
151,1951,0.26,0.46,,,,
152,1952,0.89,0.47,,,,
153,1953,-0.040000000000000036,0.48,,,,
154,1954,0.14,0.48,,,,
155,1955,-0.19000000000000006,0.49,,,,
156,1956,0.29,0.49,,,,
157,1957,0.95,0.49,,,,
158,1958,0.63,0.51,,,,
159,1959,0.74,0.53,,,,
160,1960,0.64,0.55,,,,
161,1961,0.66,0.57,,,,
162,1962,0.73,0.59,,,,
163,1963,-0.030000000000000027,0.6,,,,
164,1964,0.55,0.61,,,,
165,1965,0.73,0.61,,,,
166,1966,0.9099999999999999,0.61,,,,
167,1967,0.14,0.61,,,,
168,1968,0.41,0.59,,,,
169,1969,0.78,0.58,,,,
170,1970,1.33,0.56,,,,
171,1971,0.57,0.55,,,,
172,1972,0.55,0.55,,,,
173,1973,0.94,0.54,,,,
174,1974,-0.19000000000000006,0.54,,,,
175,1975,0.29,0.54,,,,
176,1976,-0.28,0.55,,,,
177,1977,0.71,0.57,,,,
178,1978,0.28,0.59,,,,
179,1979,0.9199999999999999,0.63,,,,
180,1980,0.5,0.68,,,,
181,1981,0.19,0.73,,,,
182,1982,0.97,0.78,,,,
183,1983,1.49,0.83,,,,
184,1984,1.08,0.88,,,,
185,1985,0.86,0.92,,,,
186,1986,0.9299999999999999,0.96,,,,
187,1987,1.68,0.99,,,,
188,1988,0.6699999999999999,1.02,,,,
189,1989,0.63,1.04,,,,
190,1990,1.46,1.05,,,,
191,1991,0.6699999999999999,1.06,,,,
192,1992,1.79,1.07,,,,
193,1993,1.18,1.09,,,,
194,1994,0.75,1.11,,,,
195,1995,1.7,1.12,,,,
196,1996,0.74,1.15,,,,
197,1997,0.9199999999999999,1.17,,,,
198,1998,1.63,1.18,,,,
199,1999,1.49,1.19,,,,
200,2000,0.45,1.19,,,,
201,2001,0.89,1.19,,,,
202,2002,1.52,1.2,,,,
203,2003,1.93,1.19,,,,
204,2004,0.95,1.19,,,,
205,2005,2.06,1.19,1.07,1.13,1.13,1.09
206,2006,0.7,1.19,1.11,1.17,1.17,1.13
207,2007,1.28,1.19,1.16,1.2,1.21,1.18
208,2008,1.21,1.19,1.21,1.24,1.25,1.22
209,2009,0.81,1.21,1.25,1.28,1.28,1.26
210,2010,1.45,1.24,1.3,1.32,1.32,1.3
211,2011,0.7,1.28,1.35,1.36,1.36,1.35
212,2012,1.23,1.34,1.4,1.4,1.4,1.39
213,2013,1.46,1.4,1.44,1.43,1.44,1.44
214,2014,0.84,1.46,1.49,1.47,1.47,1.49
215,2015,2.4,1.52,1.54,1.51,1.51,1.53
216,2016,2.25,1.58,1.58,1.56,1.56,1.58
217,2017,1.18,1.64,1.63,1.6,1.6,1.62
218,2018,1.86,1.7,1.68,1.64,1.64,1.67
219,2019,2.5,1.77,1.73,1.69,1.68,1.72
220,2020,1.1600000000000001,1.83,1.78,1.73,1.71,1.76
221,2021,,,1.83,1.78,1.75,1.81
222,2022,,,1.87,1.82,1.79,1.87
223,2023,,,1.91,1.87,1.83,1.91
224,2024,,,1.95,1.92,1.87,1.96
225,2025,,,1.98,1.96,1.91,2.0
226,2026,,,2.01,2.01,1.95,2.05
227,2027,,,2.04,2.06,2.0,2.09
228,2028,,,2.07,2.11,2.04,2.14
229,2029,,,2.1,2.16,2.09,2.19
230,2030,,,2.13,2.2,2.14,2.24
231,2031,,,2.16,2.24,2.19,2.29
232,2032,,,2.19,2.27,2.24,2.33
233,2033,,,2.22,2.31,2.3,2.38
234,2034,,,2.25,2.34,2.35,2.43
235,2035,,,2.29,2.37,2.41,2.49
236,2036,,,2.32,2.4,2.47,2.55
237,2037,,,2.35,2.43,2.53,2.61
238,2038,,,2.38,2.46,2.58,2.68
239,2039,,,2.41,2.5,2.63,2.74
240,2040,,,2.43,2.54,2.68,2.81
241,2041,,,2.44,2.58,2.73,2.88
242,2042,,,2.45,2.63,2.78,2.94
243,2043,,,2.47,2.68,2.83,3.01
244,2044,,,2.48,2.73,2.87,3.08
245,2045,,,2.5,2.78,2.91,3.15
246,2046,,,2.51,2.84,2.95,3.22
247,2047,,,2.52,2.89,3.0,3.28
248,2048,,,2.53,2.94,3.05,3.35
249,2049,,,2.53,2.99,3.1,3.42
250,2050,,,2.54,3.03,3.15,3.49
251,2051,,,2.55,3.07,3.2,3.57
252,2052,,,2.57,3.11,3.26,3.64
253,2053,,,2.58,3.15,3.31,3.7
254,2054,,,2.59,3.18,3.37,3.77
255,2055,,,2.59,3.21,3.43,3.83
256,2056,,,2.6,3.24,3.5,3.9
257,2057,,,2.6,3.26,3.56,3.96
258,2058,,,2.6,3.28,3.62,4.02
259,2059,,,2.61,3.3,3.68,4.08
260,2060,,,2.61,3.32,3.74,4.15
261,2061,,,2.62,3.34,3.8,4.22
262,2062,,,2.62,3.36,3.86,4.29
263,2063,,,2.62,3.38,3.93,4.37
264,2064,,,2.62,3.4,4.0,4.45
265,2065,,,2.62,3.42,4.06,4.54
266,2066,,,2.61,3.44,4.13,4.63
267,2067,,,2.61,3.47,4.19,4.72
268,2068,,,2.61,3.51,4.25,4.82
269,2069,,,2.61,3.55,4.31,4.92
270,2070,,,2.61,3.58,4.38,5.02
271,2071,,,2.62,3.62,4.45,5.12
272,2072,,,2.63,3.66,4.51,5.22
273,2073,,,2.63,3.69,4.57,5.31
274,2074,,,2.64,3.72,4.63,5.4
275,2075,,,2.65,3.75,4.68,5.49
276,2076,,,2.66,3.77,4.74,5.58
277,2077,,,2.67,3.79,4.79,5.66
278,2078,,,2.68,3.81,4.85,5.75
279,2079,,,2.68,3.83,4.9,5.84
280,2080,,,2.68,3.85,4.95,5.93
281,2081,,,2.68,3.87,5.01,6.01
282,2082,,,2.67,3.89,5.07,6.1
283,2083,,,2.66,3.91,5.13,6.18
284,2084,,,2.64,3.93,5.2,6.27
285,2085,,,2.63,3.96,5.26,6.36
286,2086,,,2.62,3.99,5.33,6.45
287,2087,,,2.62,4.02,5.4,6.55
288,2088,,,2.61,4.05,5.47,6.65
289,2089,,,2.6,4.08,5.54,6.75
290,2090,,,2.6,4.11,5.6,6.85
291,2091,,,2.59,4.13,5.67,6.94
292,2092,,,2.59,4.16,5.72,7.04
293,2093,,,2.59,4.18,5.78,7.14
294,2094,,,2.59,4.21,5.84,7.25
295,2095,,,2.59,4.24,5.9,7.35
296,2096,,,2.58,4.26,5.96,7.45
297,2097,,,2.58,4.29,6.02,7.55
298,2098,,,2.58,4.32,6.08,7.65
299,2099,,,2.58,4.34,6.13,7.75
300,2100,,,2.58,4.37,6.19,7.85
