Pakistan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
171,1971,0.8254838709677419,0.45,,,,
172,1972,-0.05451612903225811,0.47,,,,
173,1973,0.6254838709677419,0.49,,,,
174,1974,0.32548387096774195,0.52,,,,
175,1975,0.015483870967741953,0.53,,,,
176,1976,0.22548387096774192,0.53,,,,
177,1977,1.0254838709677419,0.53,,,,
178,1978,0.525483870967742,0.54,,,,
179,1979,0.5654838709677419,0.56,,,,
180,1980,1.145483870967742,0.58,,,,
181,1981,0.955483870967742,0.61,,,,
182,1982,0.21548387096774196,0.64,,,,
183,1983,0.27548387096774196,0.66,,,,
184,1984,0.555483870967742,0.66,,,,
185,1985,0.955483870967742,0.66,,,,
186,1986,0.30548387096774193,0.66,,,,
187,1987,1.015483870967742,0.66,,,,
188,1988,1.405483870967742,0.67,,,,
189,1989,0.31548387096774194,0.68,,,,
190,1990,0.955483870967742,0.69,,,,
191,1991,0.4754838709677419,0.7,,,,
192,1992,0.27548387096774196,0.71,,,,
193,1993,1.035483870967742,0.74,,,,
194,1994,0.7554838709677419,0.79,,,,
195,1995,0.6154838709677419,0.85,,,,
196,1996,0.555483870967742,0.93,,,,
197,1997,0.31548387096774194,1.01,,,,
198,1998,1.2554838709677418,1.09,,,,
199,1999,1.4654838709677418,1.17,,,,
200,2000,1.425483870967742,1.24,,,,
201,2001,1.585483870967742,1.3,,,,
202,2002,1.645483870967742,1.36,,,,
203,2003,1.095483870967742,1.41,,,,
204,2004,1.7954838709677419,1.44,,,,
205,2005,0.765483870967742,1.45,1.21,1.2,1.23,1.19
206,2006,1.785483870967742,1.45,1.23,1.23,1.25,1.22
207,2007,1.385483870967742,1.44,1.26,1.26,1.27,1.25
208,2008,1.1954838709677418,1.42,1.29,1.28,1.3,1.28
209,2009,1.5454838709677419,1.41,1.31,1.31,1.32,1.3
210,2010,1.765483870967742,1.41,1.34,1.34,1.35,1.33
211,2011,1.4654838709677418,1.42,1.36,1.37,1.37,1.36
212,2012,0.8754838709677419,1.43,1.39,1.39,1.4,1.39
213,2013,1.405483870967742,1.43,1.41,1.42,1.42,1.42
214,2014,1.015483870967742,1.43,1.44,1.45,1.45,1.45
215,2015,1.355483870967742,1.42,1.48,1.49,1.48,1.49
216,2016,2.165483870967742,1.41,1.52,1.52,1.51,1.53
217,2017,1.725483870967742,1.41,1.56,1.56,1.54,1.57
218,2018,2.005483870967742,1.4,1.6,1.6,1.57,1.61
219,2019,1.145483870967742,1.4,1.64,1.64,1.61,1.65
220,2020,1.075483870967742,1.4,1.68,1.68,1.64,1.69
221,2021,,,1.72,1.72,1.68,1.74
222,2022,,,1.77,1.75,1.72,1.78
223,2023,,,1.81,1.79,1.77,1.82
224,2024,,,1.84,1.83,1.81,1.87
225,2025,,,1.88,1.86,1.85,1.91
226,2026,,,1.92,1.9,1.89,1.96
227,2027,,,1.96,1.93,1.93,2.01
228,2028,,,1.99,1.96,1.97,2.05
229,2029,,,2.02,1.99,2.02,2.1
230,2030,,,2.06,2.02,2.06,2.15
231,2031,,,2.09,2.05,2.1,2.19
232,2032,,,2.12,2.09,2.14,2.24
233,2033,,,2.15,2.12,2.18,2.29
234,2034,,,2.18,2.16,2.22,2.34
235,2035,,,2.21,2.2,2.26,2.4
236,2036,,,2.24,2.24,2.3,2.45
237,2037,,,2.26,2.27,2.34,2.51
238,2038,,,2.28,2.31,2.39,2.57
239,2039,,,2.31,2.35,2.43,2.64
240,2040,,,2.33,2.39,2.48,2.7
241,2041,,,2.36,2.43,2.52,2.77
242,2042,,,2.38,2.47,2.57,2.84
243,2043,,,2.41,2.51,2.62,2.91
244,2044,,,2.44,2.55,2.67,2.98
245,2045,,,2.46,2.6,2.72,3.05
246,2046,,,2.49,2.65,2.77,3.12
247,2047,,,2.51,2.69,2.82,3.2
248,2048,,,2.52,2.74,2.87,3.27
249,2049,,,2.54,2.78,2.92,3.33
250,2050,,,2.55,2.82,2.97,3.4
251,2051,,,2.56,2.86,3.01,3.46
252,2052,,,2.57,2.9,3.05,3.53
253,2053,,,2.58,2.94,3.1,3.6
254,2054,,,2.59,2.97,3.15,3.67
255,2055,,,2.6,3.0,3.2,3.73
256,2056,,,2.6,3.03,3.25,3.8
257,2057,,,2.61,3.06,3.3,3.87
258,2058,,,2.62,3.1,3.35,3.94
259,2059,,,2.63,3.13,3.41,4.01
260,2060,,,2.64,3.16,3.46,4.08
261,2061,,,2.65,3.2,3.52,4.15
262,2062,,,2.65,3.23,3.58,4.22
263,2063,,,2.66,3.27,3.64,4.3
264,2064,,,2.66,3.3,3.7,4.37
265,2065,,,2.66,3.33,3.76,4.45
266,2066,,,2.65,3.36,3.81,4.52
267,2067,,,2.65,3.39,3.87,4.6
268,2068,,,2.65,3.41,3.93,4.68
269,2069,,,2.65,3.44,3.98,4.76
270,2070,,,2.65,3.46,4.04,4.84
271,2071,,,2.66,3.47,4.1,4.92
272,2072,,,2.66,3.49,4.15,5.0
273,2073,,,2.66,3.5,4.2,5.08
274,2074,,,2.67,3.52,4.26,5.16
275,2075,,,2.68,3.53,4.31,5.23
276,2076,,,2.68,3.55,4.36,5.31
277,2077,,,2.69,3.57,4.42,5.39
278,2078,,,2.69,3.59,4.48,5.48
279,2079,,,2.7,3.62,4.54,5.56
280,2080,,,2.7,3.64,4.6,5.64
281,2081,,,2.7,3.67,4.67,5.73
282,2082,,,2.7,3.69,4.73,5.82
283,2083,,,2.7,3.71,4.8,5.91
284,2084,,,2.7,3.74,4.87,6.0
285,2085,,,2.69,3.76,4.93,6.1
286,2086,,,2.68,3.78,4.99,6.19
287,2087,,,2.67,3.8,5.05,6.28
288,2088,,,2.66,3.82,5.11,6.37
289,2089,,,2.65,3.84,5.16,6.46
290,2090,,,2.64,3.86,5.22,6.55
291,2091,,,2.63,3.87,5.28,6.64
292,2092,,,2.62,3.88,5.35,6.73
293,2093,,,2.61,3.89,5.42,6.81
294,2094,,,2.61,3.91,5.48,6.9
295,2095,,,2.6,3.92,5.55,6.99
296,2096,,,2.59,3.93,5.62,7.07
297,2097,,,2.58,3.94,5.7,7.16
298,2098,,,2.58,3.95,5.77,7.24
299,2099,,,2.57,3.96,5.84,7.33
300,2100,,,2.56,3.97,5.91,7.42
