Colombia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
125,1925,0.17806451612903235,0.19,,,,
126,1926,0.6580645161290324,0.21,,,,
127,1927,0.12806451612903236,0.23,,,,
128,1928,0.25806451612903236,0.24,,,,
129,1929,0.17806451612903235,0.24,,,,
130,1930,0.32806451612903237,0.25,,,,
131,1931,0.6780645161290324,0.26,,,,
132,1932,0.29806451612903234,0.26,,,,
133,1933,0.07806451612903231,0.27,,,,
134,1934,0.03806451612903239,0.29,,,,
135,1935,0.11806451612903235,0.31,,,,
136,1936,0.38806451612903237,0.34,,,,
137,1937,0.43806451612903236,0.36,,,,
138,1938,0.13806451612903237,0.38,,,,
139,1939,0.4180645161290324,0.41,,,,
140,1940,0.9480645161290324,0.43,,,,
141,1941,1.1480645161290324,0.46,,,,
142,1942,0.7680645161290324,0.48,,,,
143,1943,0.25806451612903236,0.5,,,,
144,1944,0.4680645161290323,0.5,,,,
145,1945,0.42806451612903235,0.51,,,,
146,1946,0.43806451612903236,0.5,,,,
147,1947,0.5180645161290324,0.5,,,,
148,1948,0.7280645161290323,0.49,,,,
149,1949,0.48806451612903234,0.49,,,,
150,1950,0.07806451612903231,0.49,,,,
151,1951,0.43806451612903236,0.49,,,,
152,1952,0.7480645161290324,0.5,,,,
153,1953,0.7380645161290323,0.51,,,,
154,1954,0.37806451612903236,0.53,,,,
155,1955,0.22806451612903234,0.54,,,,
156,1956,0.11806451612903235,0.55,,,,
157,1957,0.7680645161290324,0.57,,,,
158,1958,1.1580645161290324,0.58,,,,
159,1959,0.6580645161290324,0.59,,,,
160,1960,0.5580645161290323,0.61,,,,
161,1961,0.6580645161290324,0.62,,,,
162,1962,0.5880645161290323,0.64,,,,
163,1963,0.6480645161290324,0.65,,,,
164,1964,0.6480645161290324,0.64,,,,
165,1965,0.6580645161290324,0.64,,,,
166,1966,0.8180645161290323,0.64,,,,
167,1967,0.47806451612903234,0.63,,,,
168,1968,0.48806451612903234,0.63,,,,
169,1969,0.9680645161290324,0.62,,,,
170,1970,0.6580645161290324,0.61,,,,
171,1971,0.18806451612903236,0.61,,,,
172,1972,0.6780645161290324,0.61,,,,
173,1973,0.8980645161290324,0.63,,,,
174,1974,0.35806451612903234,0.65,,,,
175,1975,0.24806451612903235,0.67,,,,
176,1976,0.4580645161290323,0.7,,,,
177,1977,0.9580645161290324,0.73,,,,
178,1978,0.7980645161290324,0.75,,,,
179,1979,0.8380645161290323,0.78,,,,
180,1980,1.0380645161290323,0.8,,,,
181,1981,0.7880645161290324,0.83,,,,
182,1982,0.9180645161290324,0.85,,,,
183,1983,1.2780645161290325,0.86,,,,
184,1984,0.5780645161290323,0.86,,,,
185,1985,0.6980645161290324,0.87,,,,
186,1986,0.6880645161290324,0.88,,,,
187,1987,1.2780645161290325,0.89,,,,
188,1988,0.9080645161290324,0.9,,,,
189,1989,0.5680645161290323,0.91,,,,
190,1990,0.8980645161290324,0.93,,,,
191,1991,1.0580645161290323,0.95,,,,
192,1992,1.2480645161290322,0.98,,,,
193,1993,0.9380645161290324,1.0,,,,
194,1994,0.8780645161290324,1.02,,,,
195,1995,1.1680645161290324,1.04,,,,
196,1996,0.7880645161290324,1.06,,,,
197,1997,1.2480645161290322,1.09,,,,
198,1998,1.5180645161290323,1.12,,,,
199,1999,0.6680645161290324,1.15,,,,
200,2000,0.7880645161290324,1.18,,,,
201,2001,1.1980645161290324,1.21,,,,
202,2002,1.4080645161290324,1.23,,,,
203,2003,1.4280645161290324,1.25,,,,
204,2004,1.3380645161290323,1.27,,,,
205,2005,1.4180645161290324,1.29,1.18,1.19,1.21,1.15
206,2006,1.2580645161290325,1.31,1.21,1.22,1.24,1.19
207,2007,1.2880645161290323,1.32,1.24,1.25,1.27,1.22
208,2008,1.0380645161290323,1.32,1.28,1.28,1.3,1.26
209,2009,1.4980645161290322,1.33,1.31,1.32,1.33,1.3
210,2010,1.5780645161290323,1.34,1.35,1.35,1.36,1.33
211,2011,1.1380645161290324,1.36,1.38,1.38,1.39,1.37
212,2012,1.1880645161290324,1.38,1.42,1.41,1.42,1.41
213,2013,1.3080645161290323,1.41,1.45,1.45,1.45,1.45
214,2014,1.3380645161290323,1.45,1.49,1.48,1.48,1.49
215,2015,1.6980645161290324,1.48,1.52,1.52,1.51,1.53
216,2016,1.6380645161290324,1.52,1.56,1.55,1.54,1.57
217,2017,1.3480645161290323,1.56,1.6,1.59,1.57,1.62
218,2018,1.4280645161290324,1.6,1.64,1.63,1.6,1.66
219,2019,1.6980645161290324,1.64,1.68,1.67,1.63,1.7
220,2020,1.8880645161290324,1.69,1.71,1.71,1.66,1.75
221,2021,,,1.75,1.75,1.7,1.79
222,2022,,,1.78,1.78,1.74,1.83
223,2023,,,1.81,1.82,1.77,1.87
224,2024,,,1.84,1.85,1.8,1.91
225,2025,,,1.87,1.88,1.83,1.95
226,2026,,,1.9,1.91,1.87,1.99
227,2027,,,1.92,1.94,1.9,2.03
228,2028,,,1.95,1.97,1.94,2.07
229,2029,,,1.97,2.0,1.98,2.11
230,2030,,,1.99,2.03,2.02,2.15
231,2031,,,2.02,2.06,2.06,2.2
232,2032,,,2.04,2.09,2.1,2.24
233,2033,,,2.06,2.13,2.13,2.29
234,2034,,,2.09,2.16,2.17,2.34
235,2035,,,2.11,2.2,2.2,2.38
236,2036,,,2.13,2.23,2.24,2.43
237,2037,,,2.16,2.26,2.28,2.48
238,2038,,,2.18,2.29,2.31,2.53
239,2039,,,2.2,2.32,2.35,2.59
240,2040,,,2.22,2.36,2.39,2.64
241,2041,,,2.24,2.39,2.42,2.69
242,2042,,,2.26,2.42,2.46,2.74
243,2043,,,2.28,2.45,2.51,2.8
244,2044,,,2.29,2.48,2.55,2.85
245,2045,,,2.31,2.51,2.6,2.9
246,2046,,,2.32,2.54,2.65,2.95
247,2047,,,2.33,2.58,2.7,3.0
248,2048,,,2.34,2.61,2.75,3.05
249,2049,,,2.34,2.64,2.79,3.1
250,2050,,,2.35,2.67,2.84,3.15
251,2051,,,2.36,2.7,2.88,3.21
252,2052,,,2.37,2.74,2.92,3.26
253,2053,,,2.38,2.77,2.96,3.32
254,2054,,,2.39,2.8,3.01,3.38
255,2055,,,2.39,2.83,3.06,3.44
256,2056,,,2.4,2.85,3.1,3.5
257,2057,,,2.41,2.88,3.15,3.57
258,2058,,,2.42,2.9,3.19,3.63
259,2059,,,2.43,2.92,3.23,3.7
260,2060,,,2.44,2.94,3.28,3.76
261,2061,,,2.45,2.96,3.33,3.83
262,2062,,,2.46,2.99,3.38,3.89
263,2063,,,2.47,3.01,3.43,3.96
264,2064,,,2.47,3.02,3.47,4.03
265,2065,,,2.48,3.04,3.52,4.1
266,2066,,,2.48,3.06,3.56,4.17
267,2067,,,2.48,3.08,3.6,4.24
268,2068,,,2.48,3.1,3.65,4.31
269,2069,,,2.48,3.12,3.7,4.38
270,2070,,,2.48,3.14,3.75,4.45
271,2071,,,2.48,3.16,3.79,4.51
272,2072,,,2.48,3.18,3.84,4.58
273,2073,,,2.47,3.19,3.89,4.65
274,2074,,,2.47,3.21,3.93,4.72
275,2075,,,2.46,3.23,3.98,4.79
276,2076,,,2.46,3.25,4.03,4.85
277,2077,,,2.47,3.27,4.08,4.92
278,2078,,,2.47,3.3,4.14,4.99
279,2079,,,2.47,3.32,4.19,5.06
280,2080,,,2.47,3.34,4.24,5.14
281,2081,,,2.47,3.37,4.29,5.21
282,2082,,,2.47,3.39,4.35,5.28
283,2083,,,2.46,3.41,4.4,5.36
284,2084,,,2.46,3.43,4.46,5.43
285,2085,,,2.45,3.45,4.51,5.5
286,2086,,,2.45,3.47,4.57,5.57
287,2087,,,2.44,3.49,4.63,5.64
288,2088,,,2.43,3.5,4.68,5.71
289,2089,,,2.42,3.51,4.73,5.78
290,2090,,,2.41,3.52,4.79,5.85
291,2091,,,2.41,3.53,4.84,5.92
292,2092,,,2.41,3.54,4.89,6.0
293,2093,,,2.41,3.56,4.94,6.06
294,2094,,,2.41,3.57,4.99,6.13
295,2095,,,2.42,3.58,5.05,6.2
296,2096,,,2.42,3.59,5.1,6.27
297,2097,,,2.42,3.6,5.15,6.34
298,2098,,,2.43,3.61,5.2,6.41
299,2099,,,2.43,3.62,5.26,6.47
300,2100,,,2.44,3.64,5.31,6.54
