Congo (Kinshasa),year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
145,1945,0.6406666666666667,0.53,,,,
146,1946,0.45066666666666677,0.53,,,,
147,1947,0.6106666666666667,0.51,,,,
148,1948,0.48066666666666674,0.5,,,,
149,1949,0.6006666666666668,0.47,,,,
150,1950,0.29066666666666674,0.45,,,,
151,1951,0.45066666666666677,0.44,,,,
152,1952,0.5606666666666668,0.43,,,,
153,1953,0.47066666666666673,0.42,,,,
154,1954,0.23066666666666674,0.41,,,,
155,1955,0.16066666666666674,0.41,,,,
156,1956,0.09066666666666673,0.4,,,,
157,1957,0.41066666666666674,0.4,,,,
158,1958,0.6806666666666668,0.39,,,,
159,1959,0.5806666666666668,0.39,,,,
160,1960,0.43066666666666675,0.39,,,,
161,1961,0.38066666666666676,0.4,,,,
162,1962,0.35066666666666674,0.4,,,,
163,1963,0.42066666666666674,0.41,,,,
164,1964,0.30066666666666675,0.42,,,,
165,1965,0.31066666666666676,0.43,,,,
166,1966,0.5306666666666667,0.43,,,,
167,1967,0.31066666666666676,0.44,,,,
168,1968,0.29066666666666674,0.45,,,,
169,1969,0.6706666666666667,0.47,,,,
170,1970,0.6606666666666667,0.49,,,,
171,1971,0.28066666666666673,0.51,,,,
172,1972,0.6106666666666667,0.54,,,,
173,1973,0.8406666666666667,0.58,,,,
174,1974,0.35066666666666674,0.61,,,,
175,1975,0.3906666666666667,0.65,,,,
176,1976,0.3906666666666667,0.68,,,,
177,1977,0.8506666666666667,0.71,,,,
178,1978,0.7606666666666668,0.74,,,,
179,1979,0.9806666666666668,0.77,,,,
180,1980,0.9906666666666668,0.8,,,,
181,1981,0.8806666666666667,0.83,,,,
182,1982,0.7606666666666668,0.86,,,,
183,1983,1.1506666666666667,0.88,,,,
184,1984,0.8206666666666668,0.9,,,,
185,1985,0.7106666666666668,0.91,,,,
186,1986,0.7806666666666667,0.91,,,,
187,1987,1.3506666666666667,0.91,,,,
188,1988,1.0806666666666667,0.92,,,,
189,1989,0.7506666666666668,0.93,,,,
190,1990,1.0306666666666668,0.94,,,,
191,1991,0.8306666666666668,0.96,,,,
192,1992,0.9206666666666667,0.98,,,,
193,1993,0.9206666666666667,1.0,,,,
194,1994,0.9806666666666668,1.01,,,,
195,1995,1.1206666666666667,1.03,,,,
196,1996,0.8606666666666667,1.06,,,,
197,1997,1.2606666666666668,1.1,,,,
198,1998,1.5406666666666669,1.13,,,,
199,1999,0.8406666666666667,1.18,,,,
200,2000,1.1206666666666667,1.21,,,,
201,2001,1.0206666666666668,1.25,,,,
202,2002,1.3806666666666667,1.28,,,,
203,2003,1.4106666666666667,1.3,,,,
204,2004,1.4206666666666667,1.33,,,,
205,2005,1.9706666666666668,1.34,1.19,1.2,1.24,1.19
206,2006,1.5706666666666669,1.36,1.22,1.23,1.27,1.22
207,2007,1.3506666666666667,1.37,1.26,1.26,1.3,1.26
208,2008,1.2206666666666668,1.38,1.29,1.3,1.33,1.29
209,2009,1.4506666666666668,1.39,1.33,1.33,1.35,1.33
210,2010,1.7006666666666668,1.4,1.36,1.36,1.38,1.36
211,2011,1.2106666666666668,1.4,1.4,1.4,1.41,1.4
212,2012,1.0606666666666666,1.42,1.43,1.43,1.44,1.43
213,2013,1.3606666666666667,1.44,1.47,1.46,1.47,1.47
214,2014,1.3306666666666667,1.46,1.5,1.5,1.5,1.5
215,2015,1.4306666666666668,1.48,1.54,1.53,1.52,1.54
216,2016,1.7106666666666668,1.5,1.57,1.57,1.55,1.57
217,2017,1.5306666666666668,1.53,1.61,1.6,1.57,1.61
218,2018,1.3906666666666667,1.55,1.64,1.64,1.6,1.64
219,2019,1.6606666666666667,1.58,1.68,1.68,1.62,1.68
220,2020,1.7406666666666668,1.6,1.72,1.71,1.65,1.71
221,2021,,,1.75,1.74,1.69,1.75
222,2022,,,1.79,1.78,1.72,1.78
223,2023,,,1.82,1.81,1.75,1.82
224,2024,,,1.86,1.84,1.78,1.86
225,2025,,,1.89,1.87,1.81,1.9
226,2026,,,1.92,1.9,1.84,1.93
227,2027,,,1.95,1.92,1.87,1.97
228,2028,,,1.99,1.95,1.91,2.01
229,2029,,,2.02,1.98,1.94,2.04
230,2030,,,2.05,2.01,1.98,2.08
231,2031,,,2.08,2.03,2.01,2.12
232,2032,,,2.1,2.06,2.04,2.16
233,2033,,,2.13,2.09,2.08,2.2
234,2034,,,2.15,2.12,2.11,2.24
235,2035,,,2.17,2.15,2.15,2.28
236,2036,,,2.19,2.18,2.18,2.32
237,2037,,,2.21,2.21,2.22,2.37
238,2038,,,2.23,2.24,2.26,2.41
239,2039,,,2.25,2.27,2.3,2.46
240,2040,,,2.26,2.3,2.34,2.51
241,2041,,,2.28,2.33,2.38,2.56
242,2042,,,2.29,2.36,2.42,2.6
243,2043,,,2.3,2.4,2.46,2.65
244,2044,,,2.32,2.43,2.5,2.69
245,2045,,,2.33,2.46,2.55,2.74
246,2046,,,2.34,2.5,2.59,2.79
247,2047,,,2.36,2.53,2.64,2.84
248,2048,,,2.36,2.57,2.69,2.89
249,2049,,,2.37,2.6,2.74,2.94
250,2050,,,2.38,2.63,2.78,2.99
251,2051,,,2.39,2.66,2.83,3.04
252,2052,,,2.4,2.69,2.87,3.09
253,2053,,,2.41,2.72,2.92,3.14
254,2054,,,2.42,2.75,2.97,3.2
255,2055,,,2.43,2.78,3.02,3.25
256,2056,,,2.43,2.81,3.07,3.31
257,2057,,,2.44,2.83,3.11,3.36
258,2058,,,2.45,2.86,3.16,3.41
259,2059,,,2.46,2.89,3.2,3.46
260,2060,,,2.47,2.91,3.25,3.52
261,2061,,,2.48,2.94,3.3,3.57
262,2062,,,2.48,2.96,3.35,3.63
263,2063,,,2.49,2.98,3.4,3.69
264,2064,,,2.49,3.01,3.44,3.75
265,2065,,,2.49,3.03,3.49,3.81
266,2066,,,2.49,3.05,3.54,3.86
267,2067,,,2.49,3.07,3.58,3.93
268,2068,,,2.48,3.1,3.63,3.99
269,2069,,,2.48,3.12,3.68,4.05
270,2070,,,2.48,3.15,3.74,4.12
271,2071,,,2.48,3.17,3.79,4.19
272,2072,,,2.48,3.19,3.84,4.25
273,2073,,,2.48,3.21,3.89,4.32
274,2074,,,2.48,3.23,3.94,4.39
275,2075,,,2.48,3.25,3.99,4.45
276,2076,,,2.49,3.27,4.04,4.52
277,2077,,,2.49,3.29,4.09,4.59
278,2078,,,2.49,3.31,4.14,4.66
279,2079,,,2.5,3.33,4.19,4.73
280,2080,,,2.5,3.35,4.24,4.8
281,2081,,,2.5,3.36,4.29,4.87
282,2082,,,2.49,3.38,4.34,4.94
283,2083,,,2.49,3.4,4.39,5.01
284,2084,,,2.48,3.42,4.45,5.08
285,2085,,,2.47,3.43,4.5,5.16
286,2086,,,2.47,3.45,4.55,5.23
287,2087,,,2.46,3.47,4.59,5.31
288,2088,,,2.46,3.49,4.64,5.38
289,2089,,,2.45,3.51,4.69,5.46
290,2090,,,2.44,3.53,4.74,5.53
291,2091,,,2.43,3.55,4.79,5.61
292,2092,,,2.43,3.56,4.84,5.68
293,2093,,,2.43,3.58,4.9,5.76
294,2094,,,2.43,3.59,4.95,5.83
295,2095,,,2.42,3.61,5.01,5.91
296,2096,,,2.42,3.63,5.07,5.99
297,2097,,,2.42,3.64,5.13,6.06
298,2098,,,2.42,3.66,5.19,6.14
299,2099,,,2.42,3.67,5.25,6.21
300,2100,,,2.42,3.69,5.31,6.29
