Puerto Rico,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
139,1939,0.12967741935483856,0.36,,,,
140,1940,0.6296774193548386,0.37,,,,
141,1941,0.7796774193548386,0.39,,,,
142,1942,0.8496774193548385,0.41,,,,
143,1943,0.3996774193548385,0.43,,,,
144,1944,0.35967741935483855,0.44,,,,
145,1945,0.12967741935483856,0.44,,,,
146,1946,0.2696774193548385,0.45,,,,
147,1947,0.6596774193548385,0.44,,,,
148,1948,0.7396774193548386,0.44,,,,
149,1949,0.23967741935483855,0.45,,,,
150,1950,0.019677419354838577,0.46,,,,
151,1951,0.5096774193548386,0.47,,,,
152,1952,0.6896774193548385,0.5,,,,
153,1953,0.6996774193548385,0.52,,,,
154,1954,0.3996774193548385,0.55,,,,
155,1955,0.37967741935483856,0.58,,,,
156,1956,0.29967741935483855,0.61,,,,
157,1957,0.7096774193548385,0.63,,,,
158,1958,0.9896774193548386,0.65,,,,
159,1959,0.7996774193548386,0.65,,,,
160,1960,0.9696774193548385,0.66,,,,
161,1961,0.5696774193548385,0.66,,,,
162,1962,0.5796774193548385,0.65,,,,
163,1963,0.8496774193548385,0.64,,,,
164,1964,0.6796774193548385,0.61,,,,
165,1965,0.30967741935483856,0.59,,,,
166,1966,0.5896774193548385,0.56,,,,
167,1967,0.3196774193548385,0.54,,,,
168,1968,0.37967741935483856,0.52,,,,
169,1969,0.9396774193548385,0.51,,,,
170,1970,0.5896774193548385,0.49,,,,
171,1971,0.2596774193548385,0.49,,,,
172,1972,0.5396774193548386,0.5,,,,
173,1973,0.6996774193548385,0.52,,,,
174,1974,0.22967741935483854,0.55,,,,
175,1975,0.36967741935483855,0.58,,,,
176,1976,0.2596774193548385,0.62,,,,
177,1977,0.7496774193548386,0.65,,,,
178,1978,0.7896774193548386,0.68,,,,
179,1979,0.6796774193548385,0.71,,,,
180,1980,1.1596774193548387,0.74,,,,
181,1981,1.0696774193548384,0.76,,,,
182,1982,0.6896774193548385,0.79,,,,
183,1983,1.1296774193548385,0.8,,,,
184,1984,0.5796774193548385,0.81,,,,
185,1985,0.5496774193548385,0.8,,,,
186,1986,0.6596774193548385,0.8,,,,
187,1987,1.2496774193548386,0.79,,,,
188,1988,0.8796774193548386,0.8,,,,
189,1989,0.5296774193548386,0.81,,,,
190,1990,0.8496774193548385,0.83,,,,
191,1991,0.7796774193548386,0.86,,,,
192,1992,0.7896774193548386,0.9,,,,
193,1993,0.8996774193548385,0.94,,,,
194,1994,0.9896774193548386,0.98,,,,
195,1995,1.1296774193548385,1.02,,,,
196,1996,0.8096774193548385,1.07,,,,
197,1997,1.3296774193548386,1.12,,,,
198,1998,1.6596774193548387,1.17,,,,
199,1999,1.1396774193548387,1.22,,,,
200,2000,0.8496774193548385,1.26,,,,
201,2001,1.2896774193548386,1.3,,,,
202,2002,1.5096774193548386,1.33,,,,
203,2003,1.5796774193548386,1.36,,,,
204,2004,1.1596774193548387,1.38,,,,
205,2005,1.4696774193548385,1.4,1.35,1.34,1.34,1.33
206,2006,1.5096774193548386,1.41,1.37,1.36,1.36,1.35
207,2007,1.6696774193548385,1.43,1.39,1.39,1.38,1.37
208,2008,1.1896774193548385,1.44,1.41,1.41,1.41,1.4
209,2009,1.3796774193548385,1.45,1.43,1.43,1.43,1.42
210,2010,1.6496774193548385,1.46,1.45,1.45,1.45,1.45
211,2011,1.2396774193548386,1.47,1.47,1.47,1.47,1.47
212,2012,1.4696774193548385,1.48,1.49,1.49,1.5,1.49
213,2013,1.3996774193548385,1.49,1.52,1.51,1.52,1.52
214,2014,1.4696774193548385,1.51,1.54,1.53,1.54,1.54
215,2015,1.7796774193548384,1.54,1.56,1.56,1.56,1.56
216,2016,1.6896774193548385,1.56,1.58,1.58,1.59,1.59
217,2017,1.4096774193548387,1.58,1.6,1.6,1.61,1.61
218,2018,1.2996774193548384,1.61,1.63,1.63,1.63,1.64
219,2019,1.6196774193548387,1.63,1.65,1.66,1.65,1.67
220,2020,1.8996774193548385,1.65,1.68,1.69,1.67,1.7
221,2021,,,1.7,1.72,1.69,1.73
222,2022,,,1.73,1.75,1.71,1.76
223,2023,,,1.76,1.78,1.73,1.8
224,2024,,,1.78,1.81,1.75,1.83
225,2025,,,1.81,1.84,1.77,1.86
226,2026,,,1.84,1.86,1.79,1.9
227,2027,,,1.86,1.89,1.82,1.93
228,2028,,,1.89,1.92,1.84,1.96
229,2029,,,1.91,1.94,1.87,1.99
230,2030,,,1.94,1.96,1.9,2.02
231,2031,,,1.96,1.99,1.94,2.05
232,2032,,,1.98,2.01,1.97,2.08
233,2033,,,2.0,2.03,2.01,2.11
234,2034,,,2.02,2.06,2.04,2.14
235,2035,,,2.04,2.08,2.07,2.16
236,2036,,,2.06,2.1,2.1,2.19
237,2037,,,2.07,2.12,2.13,2.22
238,2038,,,2.09,2.13,2.15,2.25
239,2039,,,2.1,2.15,2.18,2.29
240,2040,,,2.12,2.17,2.21,2.33
241,2041,,,2.13,2.19,2.23,2.37
242,2042,,,2.14,2.22,2.26,2.41
243,2043,,,2.15,2.24,2.29,2.45
244,2044,,,2.17,2.25,2.32,2.49
245,2045,,,2.18,2.27,2.35,2.54
246,2046,,,2.19,2.3,2.38,2.58
247,2047,,,2.2,2.32,2.42,2.62
248,2048,,,2.21,2.34,2.46,2.66
249,2049,,,2.22,2.37,2.49,2.69
250,2050,,,2.23,2.39,2.52,2.73
251,2051,,,2.24,2.42,2.55,2.77
252,2052,,,2.24,2.44,2.58,2.8
253,2053,,,2.25,2.47,2.61,2.84
254,2054,,,2.26,2.5,2.64,2.88
255,2055,,,2.26,2.52,2.67,2.91
256,2056,,,2.27,2.55,2.7,2.95
257,2057,,,2.27,2.57,2.73,3.0
258,2058,,,2.27,2.6,2.76,3.04
259,2059,,,2.27,2.62,2.78,3.08
260,2060,,,2.28,2.64,2.81,3.12
261,2061,,,2.28,2.66,2.85,3.17
262,2062,,,2.28,2.68,2.88,3.21
263,2063,,,2.28,2.69,2.92,3.25
264,2064,,,2.28,2.7,2.95,3.29
265,2065,,,2.29,2.71,2.98,3.33
266,2066,,,2.29,2.72,3.01,3.38
267,2067,,,2.29,2.74,3.04,3.42
268,2068,,,2.29,2.75,3.07,3.46
269,2069,,,2.3,2.76,3.1,3.51
270,2070,,,2.3,2.77,3.13,3.55
271,2071,,,2.3,2.79,3.17,3.6
272,2072,,,2.3,2.8,3.2,3.64
273,2073,,,2.3,2.81,3.22,3.69
274,2074,,,2.3,2.82,3.25,3.74
275,2075,,,2.29,2.83,3.28,3.79
276,2076,,,2.29,2.84,3.31,3.84
277,2077,,,2.29,2.86,3.34,3.89
278,2078,,,2.29,2.87,3.38,3.93
279,2079,,,2.29,2.88,3.41,3.97
280,2080,,,2.29,2.9,3.45,4.02
281,2081,,,2.29,2.91,3.49,4.07
282,2082,,,2.29,2.93,3.53,4.11
283,2083,,,2.29,2.94,3.57,4.15
284,2084,,,2.29,2.96,3.61,4.19
285,2085,,,2.29,2.98,3.65,4.24
286,2086,,,2.29,3.0,3.69,4.28
287,2087,,,2.29,3.01,3.72,4.32
288,2088,,,2.28,3.03,3.76,4.36
289,2089,,,2.28,3.04,3.8,4.41
290,2090,,,2.27,3.05,3.83,4.45
291,2091,,,2.26,3.06,3.86,4.5
292,2092,,,2.26,3.07,3.89,4.55
293,2093,,,2.25,3.07,3.92,4.61
294,2094,,,2.25,3.08,3.95,4.66
295,2095,,,2.24,3.08,3.99,4.71
296,2096,,,2.24,3.09,4.02,4.76
297,2097,,,2.24,3.1,4.05,4.82
298,2098,,,2.23,3.1,4.08,4.87
299,2099,,,2.23,3.11,4.12,4.92
300,2100,,,2.23,3.11,4.15,4.98
