Guyana,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
125,1925,-0.005806451612903274,-0.0,,,,
126,1926,0.39419354838709675,0.03,,,,
127,1927,0.11419354838709678,0.07,,,,
128,1928,0.21419354838709675,0.1,,,,
129,1929,-0.06580645161290322,0.13,,,,
130,1930,0.1341935483870968,0.15,,,,
131,1931,0.6241935483870967,0.17,,,,
132,1932,0.40419354838709676,0.18,,,,
133,1933,0.024193548387096753,0.19,,,,
134,1934,-0.08580645161290323,0.21,,,,
135,1935,0.17419354838709677,0.23,,,,
136,1936,0.24419354838709678,0.26,,,,
137,1937,0.3641935483870968,0.28,,,,
138,1938,0.16419354838709677,0.29,,,,
139,1939,0.16419354838709677,0.3,,,,
140,1940,0.7641935483870967,0.31,,,,
141,1941,0.7741935483870968,0.32,,,,
142,1942,0.5841935483870968,0.32,,,,
143,1943,0.2541935483870968,0.32,,,,
144,1944,0.21419354838709675,0.32,,,,
145,1945,0.22419354838709676,0.31,,,,
146,1946,0.15419354838709676,0.31,,,,
147,1947,0.3641935483870968,0.31,,,,
148,1948,0.21419354838709675,0.31,,,,
149,1949,0.08419354838709675,0.32,,,,
150,1950,0.27419354838709675,0.33,,,,
151,1951,0.47419354838709676,0.34,,,,
152,1952,0.6741935483870968,0.37,,,,
153,1953,0.7041935483870968,0.39,,,,
154,1954,0.21419354838709675,0.41,,,,
155,1955,0.26419354838709674,0.44,,,,
156,1956,0.15419354838709676,0.45,,,,
157,1957,0.5441935483870968,0.47,,,,
158,1958,1.0241935483870968,0.48,,,,
159,1959,0.5141935483870967,0.49,,,,
160,1960,0.5041935483870967,0.51,,,,
161,1961,0.46419354838709675,0.52,,,,
162,1962,0.4841935483870968,0.54,,,,
163,1963,0.5641935483870968,0.54,,,,
164,1964,0.7041935483870968,0.54,,,,
165,1965,0.6041935483870968,0.53,,,,
166,1966,0.7541935483870967,0.52,,,,
167,1967,0.3041935483870968,0.51,,,,
168,1968,0.23419354838709677,0.51,,,,
169,1969,1.0541935483870968,0.49,,,,
170,1970,0.5041935483870967,0.48,,,,
171,1971,0.06419354838709679,0.48,,,,
172,1972,0.5341935483870968,0.48,,,,
173,1973,0.6841935483870968,0.5,,,,
174,1974,0.3041935483870968,0.52,,,,
175,1975,0.28419354838709676,0.56,,,,
176,1976,0.4341935483870968,0.59,,,,
177,1977,0.7341935483870967,0.63,,,,
178,1978,0.7141935483870968,0.66,,,,
179,1979,0.8641935483870968,0.68,,,,
180,1980,0.8841935483870969,0.7,,,,
181,1981,0.7641935483870967,0.71,,,,
182,1982,0.7841935483870968,0.72,,,,
183,1983,1.1241935483870966,0.73,,,,
184,1984,0.3341935483870968,0.73,,,,
185,1985,0.3141935483870968,0.73,,,,
186,1986,0.5341935483870968,0.72,,,,
187,1987,1.214193548387097,0.72,,,,
188,1988,0.7841935483870968,0.72,,,,
189,1989,0.4241935483870968,0.74,,,,
190,1990,0.9441935483870968,0.77,,,,
191,1991,0.7141935483870968,0.82,,,,
192,1992,0.8741935483870968,0.87,,,,
193,1993,0.6341935483870967,0.92,,,,
194,1994,0.8741935483870968,0.95,,,,
195,1995,1.4941935483870967,0.98,,,,
196,1996,1.0841935483870968,1.02,,,,
197,1997,1.2441935483870967,1.06,,,,
198,1998,1.6441935483870969,1.1,,,,
199,1999,0.9841935483870967,1.14,,,,
200,2000,0.8641935483870968,1.18,,,,
201,2001,1.0941935483870968,1.2,,,,
202,2002,1.1741935483870969,1.21,,,,
203,2003,1.464193548387097,1.22,,,,
204,2004,1.3441935483870968,1.24,,,,
205,2005,1.4841935483870967,1.26,1.13,1.15,1.17,1.1
206,2006,1.2041935483870967,1.28,1.16,1.19,1.2,1.14
207,2007,1.1841935483870967,1.3,1.2,1.22,1.24,1.18
208,2008,0.9941935483870967,1.32,1.24,1.26,1.27,1.22
209,2009,1.4941935483870967,1.34,1.28,1.29,1.3,1.26
210,2010,1.5341935483870968,1.36,1.32,1.32,1.34,1.3
211,2011,1.2741935483870968,1.38,1.36,1.36,1.37,1.35
212,2012,1.2841935483870968,1.4,1.39,1.39,1.4,1.39
213,2013,1.2641935483870967,1.42,1.43,1.43,1.44,1.43
214,2014,1.5141935483870967,1.45,1.47,1.46,1.47,1.47
215,2015,1.6641935483870969,1.47,1.51,1.5,1.51,1.52
216,2016,1.7441935483870967,1.49,1.55,1.54,1.54,1.56
217,2017,1.5241935483870968,1.52,1.59,1.58,1.57,1.61
218,2018,1.3041935483870968,1.54,1.64,1.62,1.59,1.66
219,2019,1.4941935483870967,1.56,1.68,1.66,1.62,1.71
220,2020,1.6141935483870968,1.58,1.72,1.7,1.65,1.75
221,2021,,,1.76,1.75,1.68,1.8
222,2022,,,1.79,1.79,1.71,1.85
223,2023,,,1.83,1.83,1.73,1.89
224,2024,,,1.87,1.86,1.76,1.93
225,2025,,,1.9,1.89,1.78,1.98
226,2026,,,1.93,1.93,1.81,2.02
227,2027,,,1.96,1.96,1.85,2.06
228,2028,,,1.99,1.98,1.88,2.09
229,2029,,,2.02,2.01,1.92,2.13
230,2030,,,2.04,2.04,1.97,2.17
231,2031,,,2.07,2.06,2.01,2.21
232,2032,,,2.09,2.09,2.06,2.25
233,2033,,,2.11,2.12,2.1,2.29
234,2034,,,2.13,2.15,2.14,2.33
235,2035,,,2.15,2.18,2.18,2.38
236,2036,,,2.17,2.2,2.22,2.42
237,2037,,,2.19,2.23,2.26,2.47
238,2038,,,2.21,2.26,2.3,2.52
239,2039,,,2.22,2.28,2.33,2.58
240,2040,,,2.24,2.31,2.37,2.64
241,2041,,,2.26,2.34,2.41,2.69
242,2042,,,2.27,2.37,2.44,2.75
243,2043,,,2.29,2.4,2.48,2.81
244,2044,,,2.31,2.43,2.52,2.86
245,2045,,,2.33,2.47,2.57,2.92
246,2046,,,2.35,2.51,2.62,2.97
247,2047,,,2.36,2.55,2.67,3.02
248,2048,,,2.38,2.59,2.72,3.07
249,2049,,,2.39,2.63,2.76,3.12
250,2050,,,2.4,2.67,2.8,3.16
251,2051,,,2.41,2.7,2.84,3.21
252,2052,,,2.42,2.74,2.88,3.26
253,2053,,,2.43,2.78,2.93,3.31
254,2054,,,2.43,2.81,2.97,3.36
255,2055,,,2.43,2.85,3.02,3.42
256,2056,,,2.43,2.88,3.06,3.48
257,2057,,,2.43,2.9,3.11,3.55
258,2058,,,2.43,2.93,3.15,3.61
259,2059,,,2.44,2.95,3.19,3.68
260,2060,,,2.44,2.97,3.23,3.74
261,2061,,,2.45,2.99,3.28,3.81
262,2062,,,2.45,3.02,3.33,3.87
263,2063,,,2.46,3.03,3.37,3.94
264,2064,,,2.47,3.05,3.42,4.01
265,2065,,,2.47,3.06,3.45,4.08
266,2066,,,2.48,3.07,3.49,4.14
267,2067,,,2.48,3.09,3.53,4.21
268,2068,,,2.49,3.11,3.57,4.27
269,2069,,,2.49,3.13,3.62,4.33
270,2070,,,2.49,3.15,3.66,4.39
271,2071,,,2.5,3.16,3.71,4.45
272,2072,,,2.49,3.18,3.75,4.51
273,2073,,,2.49,3.2,3.8,4.57
274,2074,,,2.48,3.21,3.84,4.63
275,2075,,,2.48,3.23,3.89,4.69
276,2076,,,2.48,3.25,3.94,4.75
277,2077,,,2.48,3.27,3.99,4.82
278,2078,,,2.48,3.29,4.04,4.88
279,2079,,,2.48,3.31,4.09,4.95
280,2080,,,2.48,3.32,4.14,5.02
281,2081,,,2.48,3.35,4.2,5.1
282,2082,,,2.47,3.37,4.25,5.17
283,2083,,,2.47,3.39,4.3,5.24
284,2084,,,2.46,3.41,4.36,5.32
285,2085,,,2.45,3.44,4.41,5.39
286,2086,,,2.45,3.46,4.46,5.46
287,2087,,,2.44,3.48,4.51,5.53
288,2088,,,2.43,3.5,4.57,5.6
289,2089,,,2.42,3.52,4.62,5.67
290,2090,,,2.41,3.53,4.66,5.74
291,2091,,,2.4,3.55,4.71,5.81
292,2092,,,2.4,3.56,4.75,5.88
293,2093,,,2.4,3.57,4.8,5.94
294,2094,,,2.4,3.58,4.85,6.01
295,2095,,,2.4,3.59,4.9,6.07
296,2096,,,2.4,3.6,4.95,6.14
297,2097,,,2.4,3.61,5.0,6.21
298,2098,,,2.41,3.62,5.04,6.27
299,2099,,,2.41,3.63,5.09,6.34
300,2100,,,2.41,3.65,5.14,6.4
